Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   510.404799   1743.989056   2662.657982   3953.247056
0.031250   186.651092   1792.996397   2644.165951   3781.339900
0.037500   339.900294   1829.963204   2734.357277   3596.401558
0.043750   455.503328   1856.051302   2898.945731   3610.701508
0.050000   522.214070   1873.975457   2973.473594   3627.814948
0.056250   433.135397   1872.102042   2832.745806   3146.112333
0.062500   377.100742   1788.370520   2465.738809   3436.008282
0.068750   348.218389   1737.636455   2517.103007   3445.786642
0.075000   386.904259   1790.724423   2451.386566   3503.840580
0.081250   318.038757   1777.296595   2398.859344   3649.346524
0.087500   359.716611   1700.380716   2421.484704   3576.020094
0.093750   436.852001   1728.868717   2482.482357   3369.606850
0.100000   456.548834   1842.481058   2579.710883   3438.719728
0.106250   433.924086   1800.343438   2449.589687   3533.230701
0.112500   403.556329   1871.378842   2566.034081   3733.021349
0.118750   365.800682   1896.362759   2747.046077   3673.526366
0.125000   381.004909   1739.910067   2570.278740   3481.774060
0.131250   448.838829   1650.665093   2597.786587   3536.920498
0.137500   459.093692   1643.075551   2566.194146   3667.451511
0.143750   357.027787   1712.457294   2608.405090   4018.725897
0.150000   382.536691   1801.463149   2367.904190   3428.402527
0.156250   405.484662   1775.100375   2230.536899   3568.118874
0.162500   383.052880   1779.751210   2387.773533   3518.468174
0.168750   443.517061   1805.575663   2640.418183   3554.278184
0.175000   425.323540   1758.037252   2560.646830   3527.282707
0.181250   397.909987   1737.382537   2503.965481   3508.649789
0.187500   413.751974   1800.219012   2293.674988   3342.717173
0.193750   339.659968   1812.048912   2478.568620   3413.823291
0.200000   294.500017   1752.464911   2693.771399   3722.551912
0.206250   315.004533   1752.149946   2406.904033   3529.967601
0.212500   391.263375   1703.333908   2426.927500   3503.052565
0.218750   253.038940   1644.245949   2549.029254   3470.641530
0.225000   245.576391   1745.939217   2515.314862   3540.715100
0.231250   259.875778   1784.121651   2731.690223   3540.829557
0.237500   373.151074   1740.459122   2789.832605   3598.007996
0.243750   429.168283   1759.634288   2600.281314   3498.761066
0.250000   348.722447   1802.180955   2800.281793   3876.481287
0.256250   360.943976   1863.018038   2709.209241   3925.734644
0.262500   314.524828   2415.215346   2463.815983   3579.885811
0.268750   368.311764   2267.677723   --undefined--   --undefined--
0.275000   357.442693   1402.280512   2478.872897   3321.122067
0.281250   360.800624   1385.096480   2490.992406   3387.908336
0.287500   361.240887   1603.187271   2425.602409   3333.408523
0.293750   279.816053   1566.604621   2572.338512   3570.417932
0.300000   340.974087   1491.515692   2532.503827   3515.267399
0.306250   350.894215   1638.740690   2567.086244   3452.714147
0.312500   275.433999   1532.554131   2643.500388   3696.490285
0.318750   414.404305   1572.487550   2638.290721   3618.095165
0.325000   205.210683   1362.920148   2444.550829   3384.524968
0.331250   283.313669   1482.586772   2482.123797   3571.577803
0.337500   288.408088   1489.138453   2493.674353   3702.673075
0.343750   319.264722   1427.005372   2566.994122   3492.671296
0.350000   342.321776   1442.263422   2481.242887   3359.862399
0.356250   364.955133   1523.560902   2454.681290   3517.235990
0.362500   345.947692   1532.433331   2456.616864   3428.316898
0.368750   369.689531   1657.833279   2575.389229   3427.058462
0.375000   405.635735   1611.828700   2409.437862   3438.054541
0.381250   431.924345   1670.767127   2647.736230   3676.944043
0.387500   369.830153   1580.830086   2564.251962   3511.474216
0.393750   357.513625   1553.115391   2470.349249   3406.419764
0.400000   349.960607   1568.125497   2493.409901   3535.816180
0.406250   518.985430   574.060040   2328.179870   3494.711021
0.412500   355.654377   1707.199771   2273.186511   3419.496022
0.418750   342.275681   1655.300686   2354.707292   3492.024032
0.425000   934.733880   2412.583115   3546.403541   4551.810059
0.431250   931.777768   2421.531607   3437.135841   4685.060115
0.437500   921.142389   2419.355173   --undefined--   --undefined--
0.443750   644.561416   2409.008819   3323.957103   3567.293797
0.450000   362.852051   1373.510105   2462.120542   3476.463979
0.456250   285.121704   1388.117284   2417.461828   3445.687470
0.462500   285.532177   1516.408509   2514.736482   3473.424896
0.468750   293.610029   1484.461346   2530.477375   3474.658822
0.475000   343.726392   1534.923622   2530.315431   3520.905691
0.481250   397.223021   1661.283960   2554.560293   3566.995047
0.487500   1893.766485   2590.157706   --undefined--   --undefined--
0.493750   318.021185   1653.027504   2539.986787   3529.801186
0.500000   343.036492   1619.888397   2545.162477   3457.826782
0.506250   284.212429   1606.743068   2412.323649   3472.893223
0.512500   286.287670   1627.296444   2506.630509   3572.224570
0.518750   323.893626   1606.905306   2559.106653   3400.740510
0.525000   442.977674   1546.045649   2700.299626   3508.891511
0.531250   484.922758   1602.430671   2570.745588   3390.455402
0.537500   1075.908746   2409.983340   --undefined--   --undefined--
0.543750   124.184278   1402.637231   2524.257111   3445.784006
0.550000   358.884802   1391.835988   2414.582638   3490.213079
0.556250   342.516049   1517.815999   2440.637913   3456.221385
0.562500   388.619732   1503.970097   2457.525888   3375.094334
0.568750   352.816890   1513.256480   2417.988533   3354.852770
0.575000   406.779161   1506.553825   2502.356745   3401.957871
0.581250   315.516527   1588.198946   2596.121635   3427.189537
0.587500   274.631283   1484.851893   2494.236709   3440.969672
0.593750   229.121397   1484.990254   2438.148752   3403.903759
0.600000   181.097298   1589.348185   2315.482645   3379.116819
0.606250   877.183859   2223.675685   3133.062167   3500.648128
0.612500   284.761162   1427.020214   2798.531956   3608.241651
0.618750   428.673218   1617.745961   2615.769861   3430.786178
0.625000   332.409149   1513.907459   2624.509838   3341.493647
0.631250   260.860154   1441.800873   2484.951240   3371.226000
0.637500   166.543434   1695.770103   2427.568007   3503.386174
0.643750   143.169689   1553.595121   2486.994641   3491.425510
0.650000   1393.590822   2366.045528   3345.071503   4629.035067
0.656250   1418.652405   2312.072417   3357.682400   4481.975470
0.662500   468.487983   1797.365113   2767.661362   3671.936425
0.668750   489.102686   1781.181212   2686.926845   3605.666038
0.675000   1203.751493   1901.295757   2495.784887   3579.777612
0.681250   377.379117   1561.570972   2641.247713   3786.511601
0.687500   1024.223289   2004.166521   2564.414224   3865.112695
0.693750   382.277142   1594.225102   2711.722722   3822.036142
0.700000   326.958805   1426.918507   2505.719802   3692.897117
0.706250   320.147138   1457.027347   2730.313775   3701.966926
0.712500   211.847378   1272.839605   2623.008407   3538.325234
0.718750   329.320223   1340.454188   2476.965226   3382.138454
0.725000   297.621029   1486.526749   2639.452622   3385.754951
0.731250   249.910584   1442.791802   2604.880287   3445.719064
0.737500   285.236831   1579.034497   2565.502394   3372.259200
0.743750   369.097318   1569.461673   2657.287084   3616.738727
0.750000   397.342413   1466.365197   2683.825710   3686.266417
0.756250   1355.271115   2724.374628   --undefined--   --undefined--
0.762500   293.470915   1455.528988   2727.398567   3821.204698
0.768750   1106.330504   2209.075566   2698.304280   3760.681451
0.775000   1114.889552   1733.123286   2797.280937   3847.883490
0.781250   231.547742   1495.905227   2665.543920   3831.891603
0.787500   395.313448   1500.473726   2659.487520   3786.810633
0.793750   451.163129   1627.690497   2672.919998   3827.708467
0.800000   418.788172   1773.415823   2696.459843   3791.326802
0.806250   437.322437   1839.829819   2700.433273   3772.843922
0.812500   530.388267   1507.025601   2655.898173   3755.188071
0.818750   729.378388   1372.487134   2616.375859   3800.871343
0.825000   669.600300   1482.521850   2616.051085   3834.399730
0.831250   515.340054   1475.083791   2588.154364   3882.650274
0.837500   365.979779   2333.100100   2637.193427   3868.514788
0.843750   460.561510   2350.412584   3038.069483   3867.666867
0.850000   535.238646   2550.800431   2552.118894   3861.226588
0.856250   463.457082   1491.392125   2508.710542   3378.430365
0.862500   304.571037   1309.088889   2522.809271   3417.516164
