Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   509.646648   1626.272769   2648.809157   3933.056882
0.031250   158.645489   1374.175682   2392.666326   3624.933417
0.037500   1335.037996   2365.478664   3585.022820   4505.527326
0.043750   1285.335410   2361.242244   3606.223692   4757.064873
0.050000   1459.667755   2541.470179   --undefined--   --undefined--
0.056250   1835.114868   2640.501761   --undefined--   --undefined--
0.062500   1702.801946   2599.497594   --undefined--   --undefined--
0.068750   1740.727062   2590.606397   --undefined--   --undefined--
0.075000   1758.006562   2728.284348   --undefined--   --undefined--
0.081250   1825.976877   2830.252352   --undefined--   --undefined--
0.087500   1784.461870   2796.972912   --undefined--   --undefined--
0.093750   1797.922192   2823.475263   --undefined--   --undefined--
0.100000   1658.016327   2906.410340   --undefined--   --undefined--
0.106250   1732.299110   3007.889035   --undefined--   --undefined--
0.112500   1883.505371   2860.540603   --undefined--   --undefined--
0.118750   1955.589453   3063.601943   --undefined--   --undefined--
0.125000   1965.596554   3107.568136   --undefined--   --undefined--
0.131250   2006.080136   3053.474560   --undefined--   --undefined--
0.137500   1944.169178   3040.156412   --undefined--   --undefined--
0.143750   1804.557038   2865.522050   --undefined--   --undefined--
0.150000   1996.895034   2889.740494   --undefined--   --undefined--
0.156250   2038.787671   3059.309519   --undefined--   --undefined--
0.162500   1839.798120   2799.920380   --undefined--   --undefined--
0.168750   1828.829339   2807.524891   --undefined--   --undefined--
0.175000   1793.014065   2772.510102   --undefined--   --undefined--
0.181250   2048.722598   2699.491508   --undefined--   --undefined--
0.187500   2129.281545   3037.880421   --undefined--   --undefined--
0.193750   2061.400622   2522.958384   --undefined--   --undefined--
0.200000   2022.931508   2691.056526   --undefined--   --undefined--
0.206250   1831.418533   2739.124389   --undefined--   --undefined--
0.212500   1782.383579   2713.070848   --undefined--   --undefined--
0.218750   1889.464779   2771.482339   --undefined--   --undefined--
0.225000   1858.610114   2731.243117   --undefined--   --undefined--
0.231250   1810.801472   2699.991760   --undefined--   --undefined--
0.237500   1896.447020   2778.813119   --undefined--   --undefined--
0.243750   1889.612912   2989.357521   --undefined--   --undefined--
0.250000   1937.287392   2899.692046   --undefined--   --undefined--
0.256250   1943.640699   2671.845992   --undefined--   --undefined--
0.262500   1749.165309   2728.902905   --undefined--   --undefined--
0.268750   1889.724968   2689.512941   --undefined--   --undefined--
0.275000   1890.708640   2995.733551   --undefined--   --undefined--
0.281250   1846.844002   2960.292621   --undefined--   --undefined--
0.287500   1742.385711   2775.406373   --undefined--   --undefined--
0.293750   1889.951363   2892.326460   --undefined--   --undefined--
0.300000   1903.349107   2781.558991   --undefined--   --undefined--
0.306250   1741.894791   2764.704843   --undefined--   --undefined--
0.312500   1777.150652   2746.440435   --undefined--   --undefined--
0.318750   1696.620740   2760.317444   --undefined--   --undefined--
0.325000   1803.588734   2689.964761   --undefined--   --undefined--
0.331250   1850.993065   2767.236247   --undefined--   --undefined--
0.337500   1755.880187   2817.547705   --undefined--   --undefined--
0.343750   1711.530477   2940.511559   --undefined--   --undefined--
0.350000   1684.000281   2902.824712   --undefined--   --undefined--
0.356250   1875.959564   2686.988453   --undefined--   --undefined--
0.362500   2093.576608   3012.688242   --undefined--   --undefined--
0.368750   1912.735477   2895.868356   --undefined--   --undefined--
0.375000   1813.927364   2824.416191   --undefined--   --undefined--
0.381250   1773.418454   2822.564776   --undefined--   --undefined--
0.387500   1815.122443   3037.938791   --undefined--   --undefined--
0.393750   1849.873793   3127.055858   --undefined--   --undefined--
0.400000   1864.630992   3001.118107   --undefined--   --undefined--
0.406250   2044.335210   2720.982653   --undefined--   --undefined--
0.412500   2183.443201   2775.180778   --undefined--   --undefined--
0.418750   2025.091813   2867.493033   --undefined--   --undefined--
0.425000   2015.640712   2404.055279   --undefined--   --undefined--
0.431250   1817.040747   2611.480613   --undefined--   --undefined--
0.437500   1772.752719   2821.007583   --undefined--   --undefined--
0.443750   1828.871567   2712.648997   --undefined--   --undefined--
0.450000   1954.559541   2772.664375   --undefined--   --undefined--
0.456250   1962.219040   3241.076432   --undefined--   --undefined--
0.462500   1852.699602   2974.106543   --undefined--   --undefined--
0.468750   1728.721081   2800.705569   --undefined--   --undefined--
