Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   676.570022   1748.955922   2307.500952   3714.258681
0.031250   636.644772   1741.826095   2510.237546   3746.582967
0.037500   614.637849   1687.827447   2520.187546   3681.782805
0.043750   592.202668   1623.133482   2581.979459   3436.731192
0.050000   705.192233   1657.477595   2670.087275   3458.408453
0.056250   624.992909   1637.350822   2817.228976   3666.362607
0.062500   762.307572   2095.449354   2766.520271   4087.117331
0.068750   730.470307   2375.898519   2571.386176   3959.057097
0.075000   531.806993   1480.843164   2519.259807   3711.693586
0.081250   619.360631   1534.219492   2551.939911   3789.592346
0.087500   1046.167292   2056.058042   2818.000078   4104.323599
0.093750   1025.068138   2008.504602   3019.838706   4021.283033
0.100000   836.966730   1904.107937   2982.465492   4091.414577
0.106250   751.002184   1772.100781   2899.344732   3862.269923
0.112500   714.483231   1815.127168   2653.301522   3082.095595
0.118750   685.636948   2035.172986   3141.104138   4223.998339
0.125000   580.699185   2007.473431   3166.952157   3913.191175
0.131250   632.900950   1880.903886   3012.059301   3178.328380
0.137500   710.445072   1718.585479   2754.335583   3516.068954
0.143750   724.277896   1773.298588   2652.654669   3461.765709
0.150000   658.462303   1673.838057   2488.954674   3526.226820
0.156250   660.162003   1740.085324   2442.160142   3450.256350
0.162500   671.449367   1812.719202   2393.840081   3320.745483
0.168750   686.110953   1961.821309   3132.874613   3892.355311
0.175000   631.325523   1952.418619   3010.505550   4013.193347
0.181250   606.094113   1921.863414   2896.084036   2998.526754
0.187500   636.526782   2089.136182   2125.036968   3345.840667
0.193750   614.548565   1701.189496   2422.066782   3434.331910
0.200000   600.044419   1769.590032   2740.349354   3458.065429
0.206250   652.994887   1683.843766   2509.212709   3391.090630
0.212500   612.156475   1890.877188   2190.003545   3394.596604
0.218750   594.986524   1898.027346   3064.768982   4057.169883
0.225000   600.002699   2009.849102   3231.084983   3911.245379
0.231250   589.836042   1675.793726   2418.372958   3443.861953
0.237500   567.683226   1702.959185   2549.063047   3294.020204
0.243750   562.392416   1570.069489   2619.169230   3772.373897
0.250000   530.764559   1445.401781   2562.976826   3757.467344
0.256250   487.103326   1524.816525   2702.816610   3869.385258
0.262500   438.926243   1577.010123   2645.068998   3820.485062
0.268750   452.175907   1645.956422   2624.719868   3953.106539
0.275000   515.861247   1675.520685   2739.015477   3878.199516
0.281250   815.104785   2194.337778   --undefined--   --undefined--
0.287500   752.447750   1689.009429   2903.551588   3384.933710
0.293750   650.030177   1617.460066   2920.403153   3262.348067
0.300000   760.529222   1691.825353   2612.182039   3459.133308
0.306250   772.097228   1756.784169   2912.889696   3444.249838
0.312500   634.405662   1821.782256   2496.955531   3535.258931
0.318750   650.794307   1933.017796   2183.555667   3705.831148
0.325000   791.275243   2066.519137   3340.528849   3911.420943
0.331250   829.066008   2157.636753   3066.489958   3980.677430
0.337500   690.117113   2133.205064   3221.906896   4068.183510
0.343750   710.494072   2059.553816   2859.187074   3688.636261
0.350000   633.121453   1990.302907   2066.666751   3530.697829
0.356250   704.751435   2030.368427   3177.190337   4168.297391
0.362500   671.178592   2061.853747   3355.724212   3616.012803
0.368750   625.682343   2070.423842   2116.624969   3439.904007
0.375000   505.379079   1716.380254   2256.070262   3594.352863
0.381250   501.667659   1519.275434   2346.749443   3646.200934
0.387500   571.739475   1474.986554   2344.061993   3577.693113
0.393750   663.297370   1865.353192   2086.701891   3681.250841
0.400000   634.888920   1579.497166   2463.768849   3646.114722
0.406250   739.281161   1294.527861   2487.029739   3650.613215
0.412500   588.196394   1287.121981   2382.436167   3471.739565
0.418750   564.197678   1462.156280   2482.465672   3495.383573
0.425000   628.847971   1641.727034   2685.558905   3612.372433
0.431250   592.142317   1759.852524   2863.328167   3151.293001
0.437500   536.883475   1682.680488   2580.670259   3490.415698
0.443750   512.363303   1636.847468   2416.404283   3626.237581
