Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   554.532169   1446.833061   2818.821261   3907.097055
0.031250   651.988967   1476.155330   2711.656397   3915.015348
0.037500   633.125282   1543.606429   2806.273505   4021.451536
0.043750   702.918288   1547.550427   2826.264761   3862.869478
0.050000   859.102399   1546.063024   2746.252620   3705.170583
0.056250   891.133656   1519.373188   2757.621046   3644.279109
0.062500   879.645254   1558.761477   2718.273083   3526.115057
0.068750   892.042380   1555.584112   2939.365481   4121.742512
0.075000   774.462838   1599.460472   2978.767854   3754.033635
0.081250   815.516304   1636.714416   3003.792552   3392.919217
0.087500   863.947944   1662.877423   3153.868550   3746.164215
0.093750   812.234676   1491.006500   2750.958102   3704.423943
0.100000   795.604268   1452.217297   2708.164286   3816.679986
0.106250   833.915452   1662.109805   2767.995892   3956.411356
0.112500   806.124461   1622.496783   2638.961465   3786.677535
0.118750   794.460778   1404.844499   2610.307098   3471.331284
0.125000   889.259982   1538.880089   2753.600939   4086.245685
0.131250   910.398617   1617.397244   2746.745812   3759.541215
0.137500   815.360614   1663.616144   2344.318573   3426.697052
0.143750   657.793094   1523.908866   2540.982508   3450.486421
0.150000   778.198003   1611.961498   2469.040499   3445.049995
0.156250   921.037261   1709.766146   2757.612936   3152.047176
0.162500   928.908178   1648.515033   2692.740405   3550.660567
0.168750   838.687805   1509.008567   2692.389712   3600.344605
0.175000   779.481078   1420.365493   2555.662186   3535.444740
0.181250   815.910385   1480.583013   2534.941358   3535.394509
0.187500   808.023829   1573.166975   2335.740465   3553.075494
0.193750   838.846701   1440.264260   2354.692867   3548.368086
0.200000   848.176560   1438.007096   2431.694422   3530.270059
0.206250   789.986098   1439.983460   2220.982842   3531.991633
0.212500   854.514120   1465.523499   2154.034605   3535.818281
0.218750   833.701033   1395.332044   2296.433036   3503.853721
0.225000   811.727884   1359.654710   2385.380308   3501.538644
0.231250   857.961776   1387.462669   2405.323271   3585.169184
0.237500   800.504729   1357.101393   2528.221004   3683.376100
0.243750   690.557737   1395.835507   2444.535039   3403.982838
0.250000   772.322888   1455.755025   2448.459948   3498.416346
0.256250   881.073456   1383.589780   2691.401384   3631.045387
0.262500   897.376938   1405.714352   2599.165533   3571.616985
0.268750   863.958534   1516.631666   2816.662542   3161.218549
0.275000   753.805274   1516.602585   2568.841424   3540.767351
0.281250   762.221864   1488.962985   2390.384207   3497.268291
0.287500   851.273749   1540.900547   2493.722276   3556.206781
0.293750   879.066130   1506.623180   2436.977843   3555.128824
0.300000   886.702030   1557.116628   2363.617876   3450.103895
0.306250   883.204419   1540.406611   2316.485463   3386.320077
0.312500   837.664030   1577.413861   2442.856494   3373.527667
0.318750   855.521429   1541.124104   2753.837150   3382.785537
0.325000   744.727409   1462.296279   2403.856623   3341.676182
0.331250   836.787755   1512.577023   2523.669292   3423.782556
0.337500   840.283734   1598.942497   2633.802302   3684.003977
0.343750   813.554432   1568.557380   2588.682089   3713.898592
0.350000   833.348642   1426.259870   2517.629725   3579.023193
0.356250   850.641807   1561.501046   2815.247951   3750.936500
0.362500   887.063022   1572.051873   2894.695471   3966.103174
0.368750   863.583793   1591.628791   2922.065142   4024.725766
0.375000   854.003763   1628.249674   2982.389618   3879.357766
0.381250   868.672132   1692.111878   2922.546226   3838.247636
0.387500   834.187304   1590.157273   2822.429205   3982.109376
0.393750   696.843589   1511.114937   2680.580469   3776.961508
0.400000   755.911681   1596.437384   2847.652356   3696.484939
0.406250   755.623472   1573.952746   2875.835173   2954.021682
0.412500   811.619886   1555.274039   2876.722132   3824.411521
0.418750   774.941402   1601.466105   2794.212623   3701.681578
0.425000   762.504333   1620.191126   2784.842302   3693.447621
0.431250   936.449937   1600.818680   2800.234984   3815.425751
0.437500   936.138682   1491.874202   2801.141137   3861.710709
0.443750   737.713951   1466.131447   2681.498818   3770.469609
0.450000   798.731839   1573.085636   2663.673248   3637.505556
0.456250   884.644270   1611.612264   2811.689850   3914.775151
0.462500   772.615313   1538.498344   2713.963220   3747.677632
0.468750   806.609441   1536.687196   2745.958443   3770.180449
0.475000   969.293012   1574.371289   2832.199531   3827.566523
0.481250   907.988502   1598.919928   2889.207377   3733.780826
0.487500   744.179609   1580.502799   2703.745048   3454.819026
0.493750   863.677297   1635.527081   2763.742584   3799.518616
0.500000   879.704807   1638.660071   2865.696281   3827.656769
0.506250   956.843706   1697.439185   2903.296628   3905.270234
0.512500   757.387921   1522.092480   2711.530160   3752.530879
0.518750   881.549625   1648.713518   2776.796270   3635.254648
0.525000   641.723087   1638.392795   2199.215504   3641.919214
0.531250   797.584727   1646.135947   2775.925688   4015.188739
0.537500   1116.195204   1620.933197   2812.688361   3831.976649
0.543750   595.047208   1628.308975   2806.030895   3791.876270
0.550000   496.272675   1516.236856   2427.652033   3499.423282
0.556250   534.088607   1562.853810   2658.135216   3448.851671
0.562500   518.768127   1531.997054   2345.534771   3191.927061
0.568750   575.654467   1548.729555   2469.014330   3147.106837
0.575000   639.393934   1463.700985   2424.215234   3384.903929
0.581250   491.469346   1426.661868   2406.897581   3420.906647
0.587500   543.085070   1474.135308   2459.935066   3441.573034
0.593750   716.839148   1527.386023   2524.220630   3655.502544
0.600000   688.418024   1543.168460   2491.361555   3610.954713
0.606250   637.173474   1442.142745   2466.389338   3415.183189
0.612500   688.774502   1357.968479   2451.850131   3502.790985
0.618750   696.059995   1404.581361   2590.936657   3632.463573
0.625000   728.750713   1471.938485   2733.051590   3738.881074
0.631250   670.318136   1479.189069   2470.457728   3523.658014
0.637500   689.061559   1548.981715   2592.262612   3677.258028
0.643750   640.247311   1551.644172   2508.674394   3686.620095
0.650000   822.609747   1602.906513   2862.055305   3810.620445
0.656250   963.568475   1586.898271   2790.714448   3748.619744
0.662500   678.386263   1447.380357   2495.789593   3635.309815
0.668750   809.528129   1430.262338   2573.927479   3531.407118
0.675000   852.902885   1459.633465   2711.772668   3780.637423
0.681250   854.823438   1600.618351   2745.665552   3878.543241
0.687500   738.455198   1514.466982   2759.689766   3872.884492
0.693750   834.181036   1552.247658   2738.548220   3772.238635
0.700000   826.484108   1554.296006   2608.225488   3596.146477
0.706250   767.543230   1547.779588   2627.224905   3333.794277
0.712500   814.960023   1543.191380   2567.532897   3326.349860
0.718750   814.527582   1474.168160   2510.948553   3357.568436
0.725000   746.028278   1452.004346   2578.137569   3320.070379
0.731250   773.508733   1492.563953   2247.811711   3394.918543
0.737500   687.759711   1500.497966   2213.186501   3474.542916
0.743750   485.670570   1534.086893   2338.437885   3507.977362
0.750000   520.742758   1461.350207   2336.885708   3545.969933
0.756250   551.848507   1408.582383   2325.668844   3551.046549
0.762500   493.593327   1450.818628   2262.151663   3559.411603
0.768750   712.105845   1460.587321   2249.363111   3518.925720
0.775000   655.999053   1476.480622   2187.049031   3562.712756
0.781250   564.893991   1515.277205   2503.805512   3602.322465
0.787500   444.335358   1523.485202   2594.090086   3597.431756
0.793750   1311.155530   1521.451049   2863.182760   3764.737707
0.800000   834.257163   1534.418974   2694.645446   3651.819229
0.806250   712.188085   1529.167356   2475.123566   3627.559911
0.812500   849.925590   1539.798335   2375.903680   3622.821549
0.818750   964.551605   1574.552194   2334.901265   3599.141154
0.825000   858.199716   1524.379410   2348.920684   3611.720437
0.831250   839.526024   1517.695967   2415.435753   3495.245705
0.837500   847.922576   1523.240582   2605.785906   3476.835680
0.843750   822.052055   1545.800573   2629.179349   3530.769486
0.850000   798.750532   1555.164618   2545.301078   3502.413668
0.856250   756.343018   1574.187598   2488.538379   3403.958176
0.862500   746.647410   1572.511539   2810.546589   3592.604870
0.868750   717.361723   1559.044493   2582.959945   3456.301230
0.875000   743.997752   1537.025011   2942.704636   3846.304996
0.881250   636.371149   1502.859704   2767.952712   3340.753029
0.887500   660.708989   1411.514579   2544.766246   3403.312326
0.893750   783.456297   1502.256804   2519.330250   3457.013039
