Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   426.603268   1349.230787   2941.164487   3911.328604
0.031250   1048.853553   1097.645917   2714.935730   3733.507117
0.037500   352.051450   1373.120741   2616.225725   3469.207619
0.043750   395.364566   1650.071296   2749.441628   3529.836320
0.050000   335.580066   1567.093548   2634.039564   3540.456075
0.056250   265.969729   1439.437839   2531.529872   3557.491060
0.062500   269.245182   1402.802477   2600.841143   3621.951604
0.068750   313.765425   2305.960948   2745.547953   3934.350331
0.075000   387.588204   1608.969015   2634.584596   3621.615473
0.081250   396.258946   1341.649892   2599.937053   3593.057706
0.087500   348.991500   865.291773   2460.760502   3477.508044
0.093750   429.930735   1335.256073   2466.975850   3523.832849
0.100000   451.515143   1461.916366   2546.259127   3616.478571
0.106250   215.249589   1451.602618   2683.078488   3779.010909
0.112500   420.063218   1422.211157   2711.893024   3852.520205
0.118750   564.687997   1875.306628   2802.056109   3855.821011
0.125000   499.899089   1587.960784   2783.083246   3761.617321
0.131250   424.041067   1525.699937   2723.264188   3700.870988
0.137500   288.723533   1517.433977   2669.012793   3695.936505
0.143750   266.316176   1635.544445   2709.707681   3800.902280
0.150000   291.917360   1592.188619   2713.965283   3681.291076
0.156250   255.399552   1464.596660   2633.205656   3727.031839
0.162500   1402.759148   2587.320898   3777.573971   4030.049341
0.168750   768.878014   2324.695897   2631.773010   3883.314344
0.175000   498.539879   1721.197096   2671.638735   4132.413769
0.181250   423.114840   1725.570454   2706.994504   3743.867237
0.187500   480.584630   1803.742291   2601.852016   3682.708811
0.193750   351.862001   1292.284810   2673.907156   3789.064579
0.200000   227.345514   1502.074264   2641.212795   3566.361311
0.206250   387.747757   1617.372534   2618.993383   3750.098287
0.212500   485.588630   1589.447885   2665.538320   3859.319351
0.218750   431.958760   1658.336729   2683.071558   3734.400957
0.225000   376.124552   1841.513508   2656.907532   3806.901799
0.231250   339.255326   1708.850630   2677.834641   3796.375370
0.237500   352.860226   1477.703365   2721.044536   3912.962115
0.243750   447.440565   1292.962235   2638.357644   3669.524168
0.250000   405.293904   1282.036674   2600.476529   3613.246388
0.256250   175.489167   1416.208790   2534.172759   3559.124351
0.262500   358.769839   1725.751178   2384.244441   3552.886907
0.268750   423.948040   1694.409121   2521.499705   3535.669442
0.275000   365.874015   1505.436388   2646.939941   3562.671479
0.281250   310.732103   1537.959969   2645.990937   3521.910556
0.287500   336.089347   1889.418286   2765.748311   3757.898684
0.293750   441.862906   1883.052609   2727.449280   3575.611241
0.300000   458.467685   1857.130586   2665.844178   3637.035931
0.306250   399.319705   1907.929903   2705.357613   3742.449222
0.312500   393.923616   1993.684264   2707.238906   3763.733631
0.318750   299.728892   1841.832660   2414.942868   3485.718518
0.325000   309.215217   2085.849272   2709.646037   3680.979654
0.331250   339.164517   1924.474860   2701.097232   3795.111197
0.337500   264.751547   1875.598135   2710.467142   3577.928659
0.343750   301.102144   2166.804981   2768.759903   3877.200053
0.350000   499.189430   2219.436456   2673.580298   3892.331033
0.356250   455.448064   2241.351507   2652.593840   3814.954319
0.362500   519.815816   2189.288232   2722.092567   3760.072084
0.368750   419.603044   2216.787938   2772.344515   3727.665567
0.375000   363.568157   1928.087579   2729.304677   3747.440836
0.381250   335.359888   1527.162101   2661.286769   3703.088687
0.387500   272.472408   1878.110229   2747.104170   3823.702231
0.393750   257.216542   1908.938569   2782.005210   3892.443034
0.400000   203.850730   1437.361645   2498.692935   3558.452578
0.406250   197.646105   1352.603438   2448.235388   3479.617389
0.412500   379.469787   2338.741800   2614.207641   3747.788078
0.418750   305.136266   1591.092456   2637.135209   3717.256168
0.425000   392.408974   1737.035473   2737.711401   3858.575189
0.431250   306.401560   1393.943261   2707.086865   3736.572694
0.437500   266.265533   1273.696980   2650.839504   3702.553066
0.443750   290.739205   1494.518056   2599.851651   3706.862530
0.450000   247.418736   1571.581417   2649.105676   3675.130828
0.456250   191.883009   1505.275583   2620.370719   3705.943124
0.462500   223.657032   1461.200913   2551.529747   3696.714913
0.468750   224.454057   1580.662452   2659.344210   3682.180147
0.475000   230.145821   1716.555948   2697.453344   3783.807819
0.481250   84.139634   1637.412079   2673.908491   3862.249631
0.487500   689.593793   2269.335399   2603.703594   3863.295312
0.493750   221.811756   1709.637448   2679.446124   3819.548878
0.500000   292.120876   1690.392641   2548.847605   3732.920431
0.506250   336.389490   1565.919229   2580.634412   3831.880181
0.512500   1420.333660   2670.551391   --undefined--   --undefined--
0.518750   148.432042   1731.750943   2682.432887   3811.635488
0.525000   213.933129   1710.851158   2604.502659   3865.357676
0.531250   421.931530   1135.262402   2328.828439   3243.159359
0.537500   430.614507   1186.616198   2567.581412   3398.891967
0.543750   441.628699   1453.275664   2591.183216   3455.210190
0.550000   495.585328   1639.357685   2589.622538   3675.704097
0.556250   570.027714   2134.239181   2815.699791   4008.855853
0.562500   546.176430   2123.801886   2722.949852   3972.918119
0.568750   543.886046   1967.550684   2635.424352   3853.558721
0.575000   531.243337   1524.462350   2670.817693   3828.804258
0.581250   506.225507   1544.277105   2537.799495   3656.594590
0.587500   483.789634   1768.202007   2727.117877   3795.882813
0.593750   522.582843   1689.001367   2681.957955   3729.065952
0.600000   344.562397   1495.298152   2669.353029   3747.488422
0.606250   258.300513   503.627520   2583.217049   3649.666149
0.612500   390.175549   1396.507202   2594.568014   3513.942361
0.618750   418.905532   1518.296572   2651.794854   3536.592020
0.625000   404.535156   1487.800590   2627.869838   3496.388544
0.631250   350.103080   1749.820234   2589.442086   3376.262200
0.637500   385.489460   1637.246675   2697.651046   3445.120382
0.643750   377.284825   1885.906008   2793.597327   3771.273781
0.650000   364.795139   1996.711825   2814.371073   3842.516149
0.656250   242.042024   1416.611082   2686.034934   3871.349860
0.662500   169.945728   1332.928178   2674.562905   3775.277936
0.668750   695.460446   2525.066324   2660.838675   3751.548883
0.675000   416.662121   1780.405446   2779.216243   4039.342465
0.681250   367.631674   1555.169933   2560.731981   3631.278499
0.687500   348.489282   1429.496936   2531.116024   3560.001721
0.693750   309.673706   1301.552496   2581.858133   3453.069990
0.700000   308.313263   1611.260478   2561.540273   3478.236440
0.706250   281.598446   1523.753914   2527.096915   3560.651948
0.712500   232.213817   1712.650621   2570.450975   3650.761405
0.718750   239.360343   1835.087440   2531.156992   3647.005095
0.725000   1373.443421   2469.025769   --undefined--   --undefined--
0.731250   187.251975   1308.044329   2552.015172   3713.865310
0.737500   292.122018   1397.690732   2628.958711   3639.097203
0.743750   445.536830   1540.365780   2691.727162   3492.146117
0.750000   439.162830   1681.601901   2761.541066   3438.602278
0.756250   1664.207616   2948.875234   3612.113003   4343.020386
0.762500   1210.156188   1768.464004   2857.114510   3801.916467
0.768750   1371.095997   2763.052513   --undefined--   --undefined--
0.775000   1331.212171   2642.375682   3513.629274   4668.817545
0.781250   311.693995   1503.714923   2678.687897   3554.724546
0.787500   371.047017   1454.592902   2680.359312   3588.206310
0.793750   360.681720   1608.072014   2602.307097   3735.017434
0.800000   312.434042   1673.756546   2712.831559   3706.376601
0.806250   294.560530   1679.607079   2644.968139   3751.185882
0.812500   336.018697   1624.067898   2683.313697   3772.835572
0.818750   547.172807   1997.547371   2818.192753   3799.426998
0.825000   609.467466   2012.956239   2959.699303   3809.656389
0.831250   524.438478   2005.670865   2919.488850   3844.644191
0.837500   436.102088   1578.704188   2610.845919   3647.629425
0.843750   448.907964   1579.092357   2731.851334   3639.467547
0.850000   352.271774   1496.639115   2539.225385   3485.626960
0.856250   312.470291   1600.435030   2519.325667   3548.485268
0.862500   226.030548   1419.907811   2484.494985   3540.930063
0.868750   198.733574   1728.362966   2716.951871   3513.902474
0.875000   203.161939   1397.638624   2650.673553   3685.176888
0.881250   311.467383   1386.954538   2569.533184   3630.776097
0.887500   306.592216   1612.439188   2579.397843   3605.581255
0.893750   256.300622   1667.138511   2599.536679   3646.573599
0.900000   321.673977   1687.532530   2616.825950   3825.467549
0.906250   380.439199   1564.773312   2582.627144   3741.843447
0.912500   506.339816   2068.084800   2783.379469   3753.837539
0.918750   391.403795   1439.574690   2684.616167   3606.943339
0.925000   346.579596   1473.493457   2667.592061   3676.592938
0.931250   457.141284   1456.526817   2636.540926   3801.830744
0.937500   462.458394   1522.870602   2580.616725   3687.915299
0.943750   381.818041   1307.672207   2626.392655   3670.020188
0.950000   352.667275   1437.919595   2601.047440   3649.185028
0.956250   428.526521   1404.008322   2517.299677   3698.805461
0.962500   386.497832   1429.067008   2581.080175   3660.553597
0.968750   345.417757   1692.762724   2746.169060   3623.738532
0.975000   325.383325   1802.459881   2785.273351   3842.918316
0.981250   410.204811   2116.459794   2718.572558   3872.337231
0.987500   390.285165   1818.100614   2602.499042   3811.701465
0.993750   311.805880   1806.643035   2698.629609   3728.035696
1.000000   295.585019   1969.399146   2776.372721   3686.514348
1.006250   147.867969   1776.295096   2585.958123   3588.119852
1.012500   944.549468   2498.852025   3452.070119   4752.054211
1.018750   715.928007   2365.052963   2697.008778   3732.814694
1.025000   284.210530   1183.694520   2606.644358   3736.234837
1.031250   300.380043   1600.384496   2620.058352   3682.792449
1.037500   316.838710   1674.325448   2851.674149   3752.816123
1.043750   343.251979   1544.946367   2557.878858   3699.550240
1.050000   382.442837   1657.789895   2521.135349   3481.657781
1.056250   254.844143   1432.287230   2548.284973   3583.140977
1.062500   115.322615   1387.891039   2650.302802   3778.801880
1.068750   226.126459   1496.589434   2605.811935   3723.633857
1.075000   238.779868   1747.610041   2631.337889   3764.113235
1.081250   306.006633   1528.697008   2583.904360   3659.442168
1.087500   296.436153   1560.718806   2684.793556   3623.258500
1.093750   386.163591   1481.832765   2625.246800   3532.638372
1.100000   436.100121   1488.279983   2630.539217   3587.618732
1.106250   330.285159   1558.213880   2666.754804   3718.873122
1.112500   404.106922   1689.013670   2650.259597   3764.287083
1.118750   596.781358   2416.497725   3159.591825   3800.805811
1.125000   510.746176   2340.798746   3263.424171   3585.182004
1.131250   443.832703   2376.426210   2524.390375   3714.810990
1.137500   373.054720   2142.659075   2684.669397   3808.823728
1.143750   298.622082   1696.472306   2804.876253   3579.667942
1.150000   197.047896   1729.757517   2897.750882   3533.898256
1.156250   145.437209   1950.714461   2714.750272   3363.333768
1.162500   197.116065   2207.893540   2824.738710   3623.296035
1.168750   220.380552   2206.576286   2706.284972   3324.780483
1.175000   245.073145   2202.965621   2527.332704   2979.522472
1.181250   285.926730   2259.587209   2926.190262   3799.814109
1.187500   293.419694   2287.481544   2943.265277   3827.305915
1.193750   282.339891   2321.694806   3041.287078   3880.388276
1.200000   276.738781   2406.550389   3022.225046   3852.511143
1.206250   280.968668   2434.656325   3029.782399   3807.551000
1.212500   284.506480   2446.788623   3051.452357   3947.178040
1.218750   286.136522   2457.343657   3064.435519   4038.789686
1.225000   286.191100   2473.195056   3049.303974   4050.404977
1.231250   288.384006   2482.345416   3011.708784   3839.201279
1.237500   285.314565   2481.633251   2940.694046   3595.341615
1.243750   283.299849   2479.607297   2917.937219   3716.137381
1.250000   287.031852   2486.345760   2874.593294   3677.359246
1.256250   286.382469   2443.080161   2838.593322   3698.876645
1.262500   293.207334   2341.809041   2840.306231   3857.698522
1.268750   303.126876   2300.293797   2856.003354   3671.401689
1.275000   298.102899   2280.683868   2845.514553   3739.707220
1.281250   294.018560   2249.130812   2830.564686   3925.578684
1.287500   308.247240   2218.598233   2825.537963   4032.220410
1.293750   299.670224   2177.181652   2818.163783   4108.671470
1.300000   258.228015   2123.655924   2902.294814   4124.912575
1.306250   247.014537   2040.452719   2879.466652   4133.385212
1.312500   282.102925   2018.553721   2802.886153   4162.779749
1.318750   331.629661   2013.863108   2804.039772   4118.749741
1.325000   366.469932   1980.557357   2706.983283   3910.806883
1.331250   374.248583   1923.470932   2736.380387   3995.377533
1.337500   388.326000   1899.437176   2773.639405   3979.725608
1.343750   342.337298   1903.871601   2785.186792   3943.440475
1.350000   225.790820   1956.010733   2775.160788   4087.823845
1.356250   1940.175571   2787.942390   3903.782149   4702.797810
1.362500   1970.551373   2631.115562   3595.925897   4716.839245
1.368750   110.556443   1823.980503   2556.817454   3743.472449
1.375000   201.483751   1785.014698   2806.133463   3806.027720
1.381250   489.987057   1734.389904   2676.310064   3753.850245
1.387500   416.239398   1604.741288   2535.742984   3629.898535
1.393750   323.555672   1572.206990   2572.999420   3515.186492
1.400000   286.987754   1732.110449   2777.266338   3681.739020
1.406250   252.811640   1771.817792   2759.061231   3783.621030
1.412500   1323.641396   2222.894823   3165.833215   4055.964641
1.418750   1410.983135   2087.041714   3266.386351   4122.912518
1.425000   1184.481708   1483.346607   3104.869283   3400.045837
1.431250   1304.949136   1489.027649   3001.412979   4012.092197
1.437500   397.236439   1510.300174   2658.859012   3909.853312
1.443750   987.068422   1787.943540   2801.009423   4000.253618
1.450000   1093.749421   1583.719439   2784.908250   4097.456943
1.456250   852.975925   1449.235365   2752.896678   4088.807345
1.462500   671.104754   1435.667067   2746.136629   4053.654144
1.468750   478.907907   1381.292244   2775.378449   4019.797004
1.475000   400.792600   1346.536309   2761.437124   3797.591734
1.481250   468.813606   1228.134837   2664.601959   3588.503822
1.487500   498.587706   1130.635470   2561.615979   3221.128377
1.493750   524.324277   1129.698305   2541.386449   3170.912101
1.500000   553.135871   1151.132814   2545.541023   3348.100575
1.506250   565.263351   1152.754650   2571.599819   3267.978027
1.512500   573.306535   1139.864511   2624.509004   3129.844913
1.518750   574.945207   1128.605255   2637.094266   3221.454557
1.525000   572.132374   1142.021825   2652.867760   3416.354972
1.531250   569.192482   1143.083093   2660.500813   3306.655566
1.537500   565.300351   1148.644177   2650.735688   3230.606515
1.543750   566.073685   1152.347910   2650.369049   3219.749856
1.550000   562.466255   1151.965559   2670.693975   3133.577141
1.556250   559.195109   1154.257813   2681.957151   3190.181894
1.562500   547.068554   1170.470787   2689.186533   3281.976891
1.568750   516.151541   1203.318218   2675.788672   3361.379753
1.575000   490.954196   1238.266802   2665.340348   3357.450132
1.581250   463.972919   1241.336304   2690.731508   3362.371776
1.587500   442.260918   1248.188172   2671.670054   3406.075938
1.593750   427.335050   1252.810101   2698.373589   3378.393479
1.600000   426.190755   1249.326029   2735.873790   3356.739774
1.606250   417.150599   1276.759999   2768.744414   3466.096809
1.612500   396.461961   1338.671740   2775.779562   3640.582312
1.618750   364.174292   1343.495233   2762.956079   3713.020082
1.625000   317.693417   1346.046363   2764.256400   3843.575545
1.631250   275.627400   1332.367993   2788.256792   4043.264364
1.637500   255.484764   1303.187428   2777.082136   3787.552105
1.643750   282.466753   1754.262257   2782.638992   3760.075721
1.650000   478.249159   1836.817907   2754.847013   3815.454269
1.656250   479.734757   1839.807022   2751.296245   3783.398343
1.662500   644.313574   1796.507087   2914.055535   3930.104628
1.668750   710.142900   1892.480201   2909.518491   3998.408888
1.675000   537.423904   1903.738114   2842.458924   4111.626367
1.681250   449.743796   1815.975210   2657.063608   3877.549559
1.687500   381.521325   1770.988601   2637.859159   3817.197932
1.693750   384.697374   1777.783639   2744.084603   3872.969304
1.700000   447.816809   2007.575210   2775.022029   4160.501463
1.706250   545.483224   2007.903995   2846.438137   4259.532271
1.712500   837.744631   1946.411700   2819.839293   4212.698295
1.718750   1731.564883   1808.055773   2753.743766   4193.370620
1.725000   468.599710   1905.637297   2822.821531   4214.662758
1.731250   649.085864   1991.809933   2835.624828   4203.342199
