Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1784.678845   2388.994483   --undefined--   --undefined--
0.031250   193.171181   1474.636740   2412.317720   3481.919728
0.037500   89.903219   1332.031215   2500.879996   3427.299490
0.043750   1089.902364   2267.042587   --undefined--   --undefined--
0.050000   1711.653555   2185.960214   --undefined--   --undefined--
0.056250   1549.566893   2192.957501   --undefined--   --undefined--
0.062500   1099.062664   2234.778735   --undefined--   --undefined--
0.068750   1566.976456   2173.141922   --undefined--   --undefined--
0.075000   2124.870035   2869.252125   --undefined--   --undefined--
0.081250   2268.335787   2280.950785   --undefined--   --undefined--
0.087500   2017.410755   2688.313838   --undefined--   --undefined--
0.093750   1955.471262   2552.661663   --undefined--   --undefined--
0.100000   1617.107785   2271.216300   --undefined--   --undefined--
0.106250   1534.556034   2377.948815   --undefined--   --undefined--
0.112500   1510.065506   2383.245967   --undefined--   --undefined--
0.118750   1516.474949   2448.725632   --undefined--   --undefined--
0.125000   1462.974651   2484.587501   --undefined--   --undefined--
0.131250   1453.765251   2709.899301   --undefined--   --undefined--
0.137500   1403.777574   2689.430743   --undefined--   --undefined--
0.143750   1281.613147   2428.780354   --undefined--   --undefined--
0.150000   1296.210480   2382.496349   --undefined--   --undefined--
0.156250   1366.506093   2286.593921   --undefined--   --undefined--
0.162500   1379.637231   2355.550575   --undefined--   --undefined--
0.168750   1264.764692   2383.893027   --undefined--   --undefined--
0.175000   1330.334269   2274.467291   --undefined--   --undefined--
0.181250   1415.775829   2360.853492   --undefined--   --undefined--
0.187500   1562.586893   2439.319833   --undefined--   --undefined--
0.193750   1637.766419   2495.803708   --undefined--   --undefined--
0.200000   1669.005109   2507.080575   --undefined--   --undefined--
0.206250   1616.866157   2528.517607   --undefined--   --undefined--
0.212500   1334.735024   2260.602665   --undefined--   --undefined--
0.218750   1287.533007   2304.409501   --undefined--   --undefined--
0.225000   1338.377157   2494.009287   --undefined--   --undefined--
0.231250   1316.038223   2459.527465   --undefined--   --undefined--
0.237500   1457.962595   2442.021500   --undefined--   --undefined--
0.243750   1427.711847   2316.692878   --undefined--   --undefined--
0.250000   1342.123049   2155.359958   --undefined--   --undefined--
0.256250   1313.740484   2374.014257   --undefined--   --undefined--
0.262500   1361.510304   2341.809772   --undefined--   --undefined--
0.268750   1539.833980   2373.037595   --undefined--   --undefined--
0.275000   1750.200939   2524.006751   --undefined--   --undefined--
0.281250   1623.552904   2228.969436   --undefined--   --undefined--
0.287500   1582.261792   2224.783834   --undefined--   --undefined--
0.293750   1636.101105   2286.484108   --undefined--   --undefined--
0.300000   1572.227734   2301.516343   --undefined--   --undefined--
0.306250   1442.602180   2405.915594   --undefined--   --undefined--
0.312500   1391.335855   2348.721109   --undefined--   --undefined--
0.318750   1486.486904   2342.471619   --undefined--   --undefined--
0.325000   1378.461313   2433.419188   --undefined--   --undefined--
0.331250   1368.267845   2345.269088   --undefined--   --undefined--
0.337500   1296.744270   2278.767706   --undefined--   --undefined--
0.343750   1196.408145   2296.049826   --undefined--   --undefined--
0.350000   1292.575918   2311.088015   --undefined--   --undefined--
0.356250   1380.670211   2359.002020   --undefined--   --undefined--
0.362500   1477.453013   2337.909755   --undefined--   --undefined--
0.368750   1463.835184   2360.673219   --undefined--   --undefined--
0.375000   1463.541680   2372.699136   --undefined--   --undefined--
0.381250   1458.730314   2323.774539   --undefined--   --undefined--
0.387500   1470.477825   2376.298886   --undefined--   --undefined--
0.393750   1274.864641   2361.906831   --undefined--   --undefined--
0.400000   1404.278335   2406.952689   --undefined--   --undefined--
0.406250   1422.555343   2206.571395   --undefined--   --undefined--
0.412500   1371.207234   2187.104038   --undefined--   --undefined--
0.418750   1493.910079   2278.241509   --undefined--   --undefined--
0.425000   1411.217099   2103.228515   --undefined--   --undefined--
0.431250   1331.411754   2240.995828   --undefined--   --undefined--
0.437500   1283.683254   2342.915703   --undefined--   --undefined--
0.443750   1301.345415   2385.655302   --undefined--   --undefined--
0.450000   1292.891939   2362.921658   --undefined--   --undefined--
0.456250   1255.678771   2314.764585   --undefined--   --undefined--
0.462500   1326.280305   2300.255570   --undefined--   --undefined--
0.468750   1379.380951   2268.766785   --undefined--   --undefined--
0.475000   1447.562499   2356.973271   --undefined--   --undefined--
0.481250   1543.114496   2402.707438   --undefined--   --undefined--
0.487500   1394.311542   2400.419259   --undefined--   --undefined--
0.493750   1291.078221   2282.669468   --undefined--   --undefined--
0.500000   1386.689519   2291.332741   --undefined--   --undefined--
0.506250   1472.427899   2262.311038   --undefined--   --undefined--
0.512500   1599.454332   2161.143782   --undefined--   --undefined--
0.518750   1431.379948   2103.406721   --undefined--   --undefined--
0.525000   1420.181987   2267.703912   --undefined--   --undefined--
0.531250   1437.902483   2273.086139   --undefined--   --undefined--
0.537500   1364.928958   2175.272866   --undefined--   --undefined--
0.543750   1359.589486   2161.664173   --undefined--   --undefined--
0.550000   1371.011404   2021.501087   --undefined--   --undefined--
0.556250   1390.325879   2174.809052   --undefined--   --undefined--
0.562500   1422.542151   2424.738209   --undefined--   --undefined--
0.568750   1599.790488   2544.792432   --undefined--   --undefined--
0.575000   1373.004816   2315.889654   --undefined--   --undefined--
0.581250   1250.298329   2421.029007   --undefined--   --undefined--
0.587500   1393.867348   2368.318678   --undefined--   --undefined--
0.593750   1559.154603   2466.713364   --undefined--   --undefined--
0.600000   1499.402718   2464.082235   --undefined--   --undefined--
0.606250   1365.404327   2400.487890   --undefined--   --undefined--
0.612500   1427.880886   2392.308440   --undefined--   --undefined--
0.618750   1475.288824   2311.981296   --undefined--   --undefined--
0.625000   1367.814735   2300.594630   --undefined--   --undefined--
0.631250   1387.212236   2304.967988   --undefined--   --undefined--
0.637500   1339.924564   2219.353279   --undefined--   --undefined--
0.643750   1346.476358   2172.686474   --undefined--   --undefined--
0.650000   1422.784888   2302.461956   --undefined--   --undefined--
0.656250   1304.507563   2322.145758   --undefined--   --undefined--
0.662500   1291.689520   2244.571302   --undefined--   --undefined--
0.668750   1392.485374   2283.137673   --undefined--   --undefined--
0.675000   1370.685621   2222.601720   --undefined--   --undefined--
0.681250   1403.733424   2134.128887   --undefined--   --undefined--
0.687500   1430.228899   2276.259679   --undefined--   --undefined--
0.693750   1385.397752   2315.343236   --undefined--   --undefined--
0.700000   1377.176206   2272.391089   --undefined--   --undefined--
0.706250   1315.724601   2173.927368   --undefined--   --undefined--
0.712500   1212.291152   2213.783825   2994.139186   3580.602629
0.718750   1098.193386   1965.062978   2896.150101   3811.526185
0.725000   1141.623306   2026.980261   2941.664590   3849.085984
0.731250   1133.111041   2038.834513   2943.087055   3905.478096
0.737500   1390.859671   2273.132895   3366.871339   4623.855809
0.743750   1618.698269   2832.556461   3407.236829   4612.321060
0.750000   1781.964420   2374.062945   3295.567832   4622.232966
0.756250   187.424010   1957.076340   2290.997997   3374.925776
0.762500   543.755940   2069.302912   2210.069736   3450.535705
0.768750   1808.793182   2344.278233   2702.704632   4024.097294
0.775000   1794.798486   2654.119504   3468.036634   4513.791658
0.781250   1938.416066   2823.341495   3536.216364   4436.104718
0.787500   1766.588341   2880.917324   3521.557348   4364.372067
0.793750   305.392541   1696.707760   2941.896320   3546.267230
0.800000   310.467914   1639.605960   2667.539196   3507.556646
0.806250   285.581705   1630.387922   2635.886941   3499.076461
0.812500   286.897836   1634.109443   2810.109282   3503.821098
0.818750   298.672251   1668.932143   2851.043802   3502.718473
0.825000   333.495564   1779.801505   2714.024053   3490.467770
0.831250   369.331721   1896.271983   2605.602986   3527.418366
0.837500   388.187613   1933.682947   2579.663230   3530.709906
0.843750   385.396838   1953.192091   2604.223288   3422.765020
0.850000   372.751278   1984.662803   2634.102684   3474.833028
0.856250   363.529453   2065.285255   2689.035953   3510.399099
0.862500   352.702130   2134.789702   2774.038296   3500.870699
0.868750   340.406640   2166.506488   2842.803653   3506.425447
0.875000   332.691188   2172.534963   2904.188285   3511.717570
0.881250   324.149555   2177.669825   2898.983791   3514.093582
0.887500   321.485348   2217.952220   2909.487467   3514.141160
0.893750   318.526939   2241.291089   2914.639744   3536.313009
0.900000   319.099505   2250.318226   2875.038041   3535.375560
0.906250   320.927002   2259.369313   2877.319125   3509.939427
0.912500   320.693733   2262.987518   2907.768913   3523.151382
0.918750   324.413105   2264.802791   2911.403553   3556.176404
0.925000   326.286434   2272.076637   2879.872810   3585.913374
0.931250   330.475453   2264.244495   2832.377730   3599.591607
0.937500   331.852838   2242.679309   2798.352705   3604.706775
0.943750   329.741946   2169.385533   2739.582759   3611.299097
0.950000   333.780094   2115.757889   2680.892091   3612.019510
0.956250   335.980101   2102.530107   2641.972830   3589.959732
0.962500   336.528054   2081.651205   2649.055552   3731.747247
0.968750   354.957066   2039.166026   2611.289052   3762.358143
0.975000   285.498979   1997.420565   2747.693006   3774.431166
0.981250   1929.493501   3157.194967   3716.245222   4676.606516
0.987500   1866.362261   2603.253999   3752.054626   4628.151699
