Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   684.005705   1746.716748   2303.559361   3589.273474
0.031250   625.235458   1691.889612   2482.356775   3895.058331
0.037500   631.835505   1668.189925   2429.689809   3956.582692
0.043750   562.459839   1763.700686   2455.133771   3921.476051
0.050000   574.306065   1786.992800   2560.191345   3925.012895
0.056250   569.831236   1719.345264   2272.253067   3856.785164
0.062500   530.946302   1610.292351   2319.861242   3709.725066
0.068750   593.849057   1769.229714   2416.768075   3735.860994
0.075000   595.083021   1777.945744   2533.938097   3763.623956
0.081250   552.978924   1755.501172   2440.104526   3586.841403
0.087500   555.452313   1761.754826   2408.576423   3488.629881
0.093750   574.593661   1764.058856   2638.680086   3856.431753
0.100000   556.444413   1810.185464   2660.468393   3725.137274
0.106250   506.043171   1712.741625   2632.983181   3779.088090
0.112500   463.282390   1642.147446   2497.100698   3689.483540
0.118750   573.210761   1690.424802   2445.735140   3728.555607
0.125000   622.869988   1702.514955   2481.575568   3783.904297
0.131250   505.656601   1642.277727   2472.714393   3566.754077
0.137500   461.822000   1663.120330   2425.973167   3491.583106
0.143750   487.303686   1783.829831   2330.452799   3469.185984
0.150000   509.416887   1737.753618   2431.377301   3553.459631
0.156250   505.634304   1773.460536   2483.832141   3814.034647
0.162500   492.557944   1689.096773   2560.810691   3810.899004
0.168750   457.669545   1636.626365   2505.360318   3662.229744
0.175000   442.278320   1695.723887   2456.569006   3598.397102
0.181250   441.179976   1734.064602   2367.736239   3799.747631
0.187500   504.897740   1730.149266   2316.690607   3736.899498
0.193750   537.499533   1671.586006   2174.624350   3760.971755
0.200000   507.231309   1629.931061   2344.920828   3765.488947
0.206250   520.076262   1606.290716   2338.612639   3692.850498
0.212500   458.782092   1597.843699   2347.649901   3719.021106
0.218750   382.385963   1793.637371   2527.590621   3787.394813
0.225000   443.152602   1797.705453   2434.576468   3748.073106
0.231250   525.926581   1745.081358   2453.005221   3669.394332
0.237500   594.490908   1828.712007   2327.137809   3561.445048
0.243750   589.620612   1802.464506   2209.648934   3599.908987
0.250000   430.970141   1840.789211   2166.709828   3662.920601
0.256250   411.305938   1839.445433   2607.206564   3803.109403
0.262500   470.161868   1812.656806   2531.144997   3735.024645
0.268750   421.540768   1739.180619   2356.317731   3528.058591
0.275000   378.311172   1702.775086   2373.448601   3576.902069
0.281250   389.221467   1691.264963   2372.259926   3608.468873
0.287500   466.705834   1698.370718   2313.390992   3565.185721
0.293750   438.676862   1777.567504   2711.900157   4065.703027
0.300000   488.799526   1728.321890   2670.878989   4128.681893
0.306250   482.480086   1601.066962   2643.671029   3397.994381
0.312500   472.367416   1617.142004   2513.382157   3488.546864
