Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1154.016933   2262.563785   3284.983178   4051.040741
0.031250   1385.013267   2437.774949   3658.295128   4619.967767
0.037500   439.992851   1589.066760   2497.987006   3711.144894
0.043750   383.915575   1636.303044   2507.560442   3663.876003
0.050000   1015.630501   2420.197067   3503.457021   4396.475612
0.056250   544.992761   1147.742582   2503.390358   3656.049068
0.062500   1033.666152   2426.143040   3406.023175   4340.916285
0.068750   1281.048589   2410.560780   2784.786359   4248.329836
0.075000   1345.199970   2717.264033   --undefined--   --undefined--
0.081250   1101.964291   2220.758568   3059.297595   4192.644251
0.087500   1072.709630   2108.336929   3115.838632   4179.015304
0.093750   922.233180   1904.836809   3140.842187   4382.053593
0.100000   902.253767   2030.806569   3230.495955   4463.959958
0.106250   905.830589   1877.528558   3167.778129   4437.087919
0.112500   682.068103   1649.718794   3075.825309   4411.416875
0.118750   1408.594619   2600.924756   3337.099179   4605.468091
0.125000   1107.027148   2245.742890   3467.150186   3599.790342
0.131250   1312.440173   2559.709333   --undefined--   --undefined--
0.137500   1211.996073   2388.368557   3316.459313   4530.104977
0.143750   1145.639225   2389.094250   3231.635451   4372.891561
0.150000   1427.572786   2541.248141   3498.004421   4297.508368
0.156250   193.933960   1485.042511   2519.383815   3436.713543
0.162500   870.690850   2118.420835   3252.902048   4524.354903
0.168750   873.450922   2527.344728   3298.351267   4490.592857
0.175000   652.252318   1182.907214   2473.674863   3455.572427
0.181250   544.619350   1520.810066   2434.070271   3579.098189
0.187500   1485.509989   2464.065955   --undefined--   --undefined--
0.193750   1194.682865   2353.807219   3210.436925   3704.349976
0.200000   1311.593509   2357.032374   3370.280659   4424.110834
0.206250   1391.879667   2058.733208   2749.251279   4009.490896
0.212500   1286.373950   2421.429474   3523.018053   4774.717431
0.218750   490.720773   1330.707322   2264.263078   3375.209619
0.225000   401.008498   1418.039012   2272.510631   3333.330980
0.231250   1292.378334   2269.493769   3374.097183   4475.588405
0.237500   1504.575074   2684.136276   3258.226176   4355.050693
0.243750   1547.955227   2390.548054   3269.926807   4221.459221
0.250000   729.264811   1976.623274   3224.574993   3998.410904
0.256250   960.883258   2026.320974   3086.040446   3779.938609
0.262500   807.305982   1531.519170   2856.149787   3834.161026
0.268750   233.192211   1521.680482   2739.034073   3795.740406
0.275000   259.826560   1722.314247   2700.126181   3940.971164
0.281250   896.760237   1930.217489   2839.084454   4114.478713
0.287500   1306.238342   2075.200295   3074.228893   4278.306602
0.293750   1181.119950   1861.444868   2986.714758   4155.001718
0.300000   1015.951211   1968.584678   2850.496943   4010.066408
0.306250   885.207464   2059.661196   2819.666657   3953.102422
0.312500   679.255870   1827.872612   3094.302137   3845.053633
0.318750   732.569285   1934.550946   2982.625620   3829.336570
0.325000   445.689368   1969.965586   2754.602546   3812.707677
0.331250   446.574239   1808.486009   2782.940845   3724.534357
0.337500   412.111209   1832.778670   3029.318958   3878.733676
0.343750   396.563278   1497.405846   2224.173331   3342.127521
0.350000   617.366266   1931.593924   2928.141279   4103.986933
0.356250   476.324241   1780.015920   2885.744735   3695.022296
0.362500   1283.671436   2064.834783   3095.599517   4378.956739
0.368750   950.202608   2112.964503   3148.976055   4179.087272
0.375000   899.260410   2220.028345   3429.473288   4136.483515
0.381250   930.695657   2133.949288   3373.791521   4184.155509
0.387500   855.594086   2075.418487   3032.430565   3997.445758
0.393750   456.140375   1780.697369   2889.290391   3605.037816
0.400000   1445.751827   2273.914222   3409.101514   4347.717906
0.406250   218.307891   1475.722339   2378.900672   3481.496998
0.412500   424.475149   1318.803899   2527.189915   3440.158754
0.418750   795.968063   2463.976402   3327.726113   4560.440653
0.425000   736.890839   2221.531913   3430.691562   4371.293553
0.431250   1805.816784   1850.229941   3275.989114   4279.539613
0.437500   259.050527   1754.986921   3112.128292   4220.384850
0.443750   269.909232   1817.726488   2504.811042   3341.765076
0.450000   281.689886   1508.775322   2522.517028   3539.742711
0.456250   338.458757   1584.968643   2748.911853   3584.753423
0.462500   706.961053   1873.070211   2994.275359   3883.026820
0.468750   262.781913   1647.327749   2899.974125   3817.074923
0.475000   205.390184   1604.298255   2939.709505   2972.710936
0.481250   1014.212733   2136.161571   2851.545629   3970.457387
0.487500   143.423463   2079.306622   2284.408650   3356.924098
0.493750   401.652515   1955.595705   3080.588659   4062.407527
0.500000   500.290906   1973.113009   3052.310604   3975.998508
0.506250   651.582864   2215.439665   3280.827981   4251.135185
0.512500   338.675792   1571.954905   2375.606907   3407.458639
0.518750   403.096037   1562.699690   2510.936668   3511.455673
0.525000   1284.265150   2402.484449   3499.707064   4431.741700
0.531250   226.069825   1940.428074   2174.108262   3642.106202
0.537500   872.811271   2190.651077   2994.701212   3761.554006
0.543750   260.825985   1432.602584   2636.892545   3601.785501
0.550000   89.050139   1390.508923   2773.795913   3602.388170
0.556250   788.416112   2315.916642   2860.447475   4030.337124
0.562500   894.977801   1998.726245   2848.699495   3981.673577
0.568750   1742.106685   2496.191613   --undefined--   --undefined--
0.575000   291.790545   1614.980427   2425.237851   3650.129742
0.581250   1505.938614   2373.683777   3488.874399   4427.251118
0.587500   1442.557677   2389.986337   3269.036247   4386.486935
0.593750   244.052503   1510.615838   2862.761828   3566.397702
0.600000   1437.826676   2750.594333   --undefined--   --undefined--
0.606250   958.273137   2025.721155   2992.235636   3814.447365
0.612500   1054.883655   2362.861424   2828.750811   3877.896290
0.618750   1467.032340   2455.966423   3822.569774   4840.835734
0.625000   349.228255   1785.647993   2601.518548   3985.692849
0.631250   421.068897   1426.844716   2371.818459   3524.551801
0.637500   232.923226   1384.319736   2315.606716   3459.764230
0.643750   1248.725934   2315.817225   3411.400794   4582.280133
0.650000   1557.911729   2282.424508   3387.509972   4546.703862
0.656250   1359.191294   2398.695497   3428.631748   4567.035199
0.662500   1117.780411   2375.535761   3182.544279   4455.206915
0.668750   1035.650434   2080.335425   3064.802553   4373.973402
0.675000   1088.671643   2142.930954   2974.747353   3939.147570
0.681250   1081.546529   2153.773407   3145.844413   3891.314684
0.687500   531.507976   2037.780695   3164.591468   3962.708169
0.693750   584.229421   1918.359479   2932.899146   3850.586290
0.700000   847.222239   1674.608009   2774.255001   3852.697284
0.706250   343.659782   1579.354451   2725.979946   3792.658860
0.712500   1832.990891   2994.871670   --undefined--   --undefined--
0.718750   795.401851   1889.686611   3136.963520   3985.103528
0.725000   509.266013   1845.657254   3162.758041   3886.729546
0.731250   1532.216856   2467.650719   3582.806000   4772.401703
0.737500   1593.127573   2671.295904   --undefined--   --undefined--
0.743750   248.173162   1540.684834   2465.269889   3808.846773
0.750000   414.002858   1771.195549   2430.883926   3985.412226
0.756250   253.689867   1699.408112   2510.198996   3623.968626
0.762500   359.636952   1616.323335   2834.650984   3852.132863
0.768750   363.919185   1708.952866   2946.395825   3961.308074
0.775000   331.213916   1585.222964   2864.772098   3440.409666
0.781250   277.612807   1544.823324   2722.531109   4174.801297
0.787500   396.426474   1719.865158   2852.026470   4098.334411
0.793750   367.079686   1973.827349   2888.387696   3965.647879
0.800000   375.085035   1988.713705   2979.718249   3905.075444
0.806250   459.025629   1955.309120   2963.307463   3885.036925
0.812500   1792.481886   2837.767370   --undefined--   --undefined--
0.818750   1369.122495   2563.822633   3719.746511   4306.722089
0.825000   214.647681   1459.733577   2493.386391   3390.307374
0.831250   322.218877   1573.408892   2566.670336   3389.793094
0.837500   73.558132   1928.737738   3059.264967   4556.782141
0.843750   329.317180   2036.261705   2150.312502   3167.298493
0.850000   181.517810   1856.923436   3109.311040   3970.321250
0.856250   1689.794491   2733.312477   --undefined--   --undefined--
0.862500   1633.634019   2394.664050   2765.534701   3716.614898
0.868750   1607.211916   1751.680612   2863.255511   3785.589434
0.875000   245.999026   1810.384323   2744.327678   3690.094053
0.881250   271.696470   1744.324536   2773.877651   3610.325801
0.887500   278.640312   1739.003888   2510.573658   3570.337913
0.893750   310.919128   1778.807896   3005.477496   3772.948729
0.900000   1783.608786   2795.408331   --undefined--   --undefined--
0.906250   1726.512160   2729.956638   3495.678138   4683.404907
0.912500   516.263895   1692.801515   3032.541397   3964.910279
0.918750   409.186084   1687.902853   2756.941290   4025.175658
0.925000   478.322875   1647.322430   2601.684805   3956.987557
0.931250   457.161928   1789.426408   2823.493134   3982.766641
0.937500   366.589863   1769.412119   2874.625144   3869.858081
0.943750   262.283950   1762.043189   2785.358371   3866.996877
0.950000   290.926393   1809.653501   2777.966292   3847.272372
0.956250   720.544027   2081.259238   3152.967848   3951.682445
0.962500   867.408027   2070.713094   3404.704939   3773.021631
0.968750   199.870482   1998.320979   3164.231770   3964.625302
0.975000   377.587474   1954.930050   3246.004170   4369.366074
0.981250   235.335701   1614.672493   2439.338411   3434.731110
0.987500   238.590083   1628.535499   2571.440117   3649.006087
0.993750   309.641146   1694.949168   2664.954245   3365.144600
1.000000   1167.922161   2360.373246   3409.549399   4385.283799
1.006250   498.076989   2288.141172   2998.496616   4378.860572
1.012500   526.690689   2414.962733   3053.193435   4392.999241
1.018750   1025.934899   2548.631445   3235.896127   4415.457785
1.025000   337.515208   1686.886015   2543.308370   3498.583197
1.031250   317.919554   1967.278877   3081.840541   4016.296015
1.037500   613.710153   2092.315769   3072.465295   4022.360691
1.043750   472.073671   1926.284838   2923.576436   3899.848041
1.050000   576.770548   2139.051442   3038.465795   3914.763923
1.056250   375.987311   1772.289231   2466.109232   3401.212440
1.062500   458.281175   1566.548560   2673.686402   3573.767864
1.068750   478.969910   1559.597672   2689.791175   3627.389172
1.075000   475.612378   1500.322817   2697.138482   3717.708517
