Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1470.818934   2084.336316   2830.862566   4110.837881
0.031250   1243.285109   1883.334121   3080.493963   4130.559004
0.037500   1278.899420   1968.538598   3143.841662   4135.649174
0.043750   1269.962043   2043.405784   3134.639032   4069.012964
0.050000   919.283318   2065.569592   3145.271844   4104.265413
0.056250   560.403761   1998.814365   3005.009426   4073.011146
0.062500   877.830760   2097.676176   3052.788002   4274.077756
0.068750   1776.861977   2873.400804   --undefined--   --undefined--
0.075000   1702.107086   2782.454123   --undefined--   --undefined--
0.081250   979.391239   2408.574457   2692.296396   3966.133179
0.087500   1006.178038   2300.387354   2846.356699   3876.619739
0.093750   1303.839061   2505.327165   3122.327496   3736.983520
0.100000   1588.798548   2445.479579   3675.757575   4522.429312
0.106250   1580.056461   2662.750510   3089.191410   3759.528237
0.112500   1663.624774   2711.170324   3575.864664   4826.791278
0.118750   1426.498232   2573.052691   3206.222518   4043.358867
0.125000   1222.729522   2244.479974   3002.097593   4120.811670
0.131250   1305.741647   2103.309753   2866.598204   4052.826393
0.137500   1336.058844   2185.519632   2844.738366   4075.067555
0.143750   1217.448209   2085.313339   2966.668985   4088.498241
0.150000   1430.499851   2100.620861   2844.974313   3904.752348
0.156250   1416.644771   2168.714083   2797.791766   3906.828177
0.162500   1199.471899   2123.960695   2952.308465   3922.821720
0.168750   1259.931934   2177.080858   2927.952070   4076.898579
0.175000   1236.966222   2152.776218   2960.340437   4211.871685
0.181250   1258.983745   2141.053059   2901.700080   4079.348073
0.187500   1477.903859   1810.249216   2945.875419   4147.594719
0.193750   1629.631317   1904.717154   2853.441463   3930.113688
0.200000   1364.932737   2017.709436   2818.742586   3922.485892
0.206250   1287.395257   1865.084590   2743.011475   3939.356726
0.212500   1057.809549   2033.452400   2988.393021   4034.043956
0.218750   970.467061   2097.100421   2981.893276   4037.922192
0.225000   1187.527630   2297.310455   2854.055463   3846.967108
0.231250   1153.575186   2297.599565   3182.935890   3926.218596
0.237500   1001.200487   2269.674698   3105.526296   3740.103227
0.243750   1187.639624   2448.245306   3254.785079   3648.809034
