Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
21.481661,,,425.883111,,,2188.895422,,,2697.230416,,,3960.824848
21.487911,,,439.294652,,,1991.776983,,,2572.601685,,,4029.824824
21.494161,,,438.546779,,,1787.659541,,,2456.358333,,,4093.325373
21.500411,,,431.465029,,,1747.742479,,,2563.251943,,,4329.044615
21.506661,,,425.983354,,,1735.385424,,,2744.826996,,,4462.861419
21.512911,,,420.238736,,,1705.828249,,,2744.648974,,,4371.137874
21.519161,,,413.31056,,,1682.535872,,,2749.099467,,,4218.15434
21.525411,,,406.204408,,,1588.274156,,,2804.499091,,,4361.392523
21.531661,,,403.595588,,,1575.207112,,,2830.772051,,,4174.320365
21.537911,,,401.68533,,,1770.041773,,,2817.702076,,,4138.333758
21.544161,,,400.686697,,,1928.065122,,,2805.240054,,,4179.022369
21.550411,,,400.487279,,,2149.114866,,,2830.457031,,,4273.426938
21.556661,,,398.232734,,,2132.092756,,,2856.534085,,,4416.530828
21.562911,,,394.829239,,,2044.661021,,,2887.999592,,,4505.184216
21.569161,,,394.589619,,,1888.340866,,,2908.160867,,,4362.4559
21.575411,,,393.237538,,,1896.455504,,,2991.003642,,,4268.910576
