Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1474.288825   2483.277322   3087.552903   4411.447005
0.034375   1483.534741   1735.929833   3055.661943   4399.867809
0.040625   1358.001956   2345.276984   3448.832697   4602.412574
0.046875   465.768988   1521.069236   2373.658888   3863.427269
0.053125   715.441273   1967.762011   2807.004167   4004.572642
0.059375   769.104720   1881.379831   3040.462561   3749.211758
0.065625   634.193108   1839.198273   3026.388510   3770.626015
0.071875   657.608062   1906.168609   3132.622151   3865.015842
0.078125   666.673902   2060.996502   3164.636374   4011.240250
0.084375   642.959437   1976.782033   3129.634351   4004.249328
0.090625   786.090242   1988.176105   2934.617736   3934.812928
0.096875   791.527100   2290.884388   3155.666848   4131.616787
0.103125   867.454375   2499.857603   3338.774379   4675.468718
0.109375   455.110399   2142.862829   3073.715269   3825.095366
0.115625   427.593982   2096.171498   2833.527852   3857.815247
0.121875   432.358928   1991.431880   2839.419716   3860.440090
0.128125   431.304042   2146.097415   2719.199463   3869.089345
0.134375   440.758731   2147.911019   2716.802157   3989.397601
0.140625   444.805703   2299.077084   2615.391564   3911.628632
0.146875   457.977233   2256.639383   2259.838342   3738.779015
0.153125   467.681579   2113.768185   2412.740595   3788.372908
0.159375   488.549653   1961.834768   2412.426901   3811.275175
0.165625   482.312873   1960.221185   2446.945552   3784.109208
0.171875   493.317574   1895.321661   2657.477339   3827.285686
0.178125   491.904522   1829.611519   2450.166585   3727.446591
0.184375   494.349028   1833.953097   2406.333665   3714.669265
0.190625   526.711749   1804.984207   2701.714109   3615.946498
0.196875   531.293618   1650.541805   2583.195386   3781.545840
0.203125   513.878699   1649.426229   2556.592494   3799.504194
0.209375   544.822231   1650.360318   2702.307253   3629.258122
0.215625   537.599078   1546.510149   2550.660056   3630.917695
0.221875   520.848682   1540.884262   2686.641587   3707.908020
0.228125   540.249146   1539.388931   2822.926614   3814.809048
0.234375   528.118929   1472.579243   2647.614033   3926.588626
0.240625   512.610541   1452.859662   2663.816528   3875.741506
0.246875   539.590241   1505.254696   2713.693018   3933.044651
0.253125   528.603616   1474.729596   2693.418636   4060.042172
0.259375   510.910093   1499.881969   2796.914241   4016.225288
0.265625   499.733719   1489.132252   2823.104932   4020.301729
0.271875   522.489655   1428.649653   2683.288163   3917.415347
0.278125   505.819211   1438.060384   2779.003247   3876.251145
0.284375   520.097785   1548.261522   2864.387536   3800.219714
0.290625   552.835950   1434.719794   2630.059725   3803.581054
0.296875   433.584100   1457.441556   2771.682002   3870.513261
0.303125   443.198493   1598.953080   2830.040979   3888.992870
0.309375   533.999162   1634.750939   2752.784122   4064.048769
0.315625   660.675739   1602.069402   2810.201572   3814.624856
