Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1325.442654   2209.214439   3540.141135   4814.793821
0.034375   1292.614636   2256.527254   3705.128515   4819.004937
0.040625   293.401980   1425.931270   2414.463465   3861.387574
0.046875   364.416528   1914.885831   2441.285024   3840.728484
0.053125   1832.506037   2277.453493   3748.079498   5086.012396
0.059375   1426.269977   2699.467264   3639.643236   4940.242141
0.065625   1215.843921   2523.946374   3329.991120   4416.165754
0.071875   1232.067779   2464.753503   3485.208364   4458.285774
0.078125   1263.346425   2564.743765   3731.600842   4951.318271
0.084375   247.743265   1703.261164   3000.356926   3995.447213
0.090625   1805.845806   3200.205216   --undefined--   --undefined--
0.096875   1967.633625   2952.791760   --undefined--   --undefined--
0.103125   456.945900   1807.405090   2896.511712   4042.457491
0.109375   1622.069305   2838.354336   3530.388458   4754.243387
0.115625   1060.053069   2193.266088   3318.151367   4417.396447
0.121875   1106.308108   2217.700338   3329.011729   4512.320335
0.128125   964.680057   2296.163575   3325.076825   4390.264981
0.134375   937.334965   2349.898003   3483.785775   4342.402298
0.140625   1009.738521   2268.282133   3474.913520   4316.801664
0.146875   1059.249851   2253.783034   3253.357128   4455.906474
0.153125   619.501070   2214.280541   3383.615286   4493.494119
0.159375   1070.034335   2250.110019   3316.601997   4508.894376
0.165625   1261.162155   2230.837675   3256.432712   4392.673866
0.171875   1347.220672   2229.148194   3226.189469   4453.440002
0.178125   1504.892911   2789.770898   3679.165675   5040.595101
0.184375   1299.145112   2412.561967   3207.883903   4250.079765
0.190625   363.284322   2295.156213   3182.255489   4282.668371
0.196875   461.885051   2160.304883   3075.320800   4253.697810
0.203125   394.794589   2138.127924   3287.336964   4391.515006
0.209375   708.572667   2124.632070   3290.691880   4506.354766
0.215625   346.869162   1868.060731   2967.162739   4436.506726
0.221875   881.003362   2522.332239   3205.872002   4647.934888
0.228125   449.549350   1519.147991   2866.033302   3971.193421
0.234375   918.849898   2515.456439   3647.694261   4642.359573
0.240625   1860.865973   3066.622476   3488.765418   4742.606618
0.246875   165.139092   1798.841669   2915.329996   3739.253143
0.253125   979.540870   2175.357734   3450.281930   4758.376336
0.259375   908.815092   2134.217640   3254.134713   4556.439512
0.265625   161.834467   1649.374388   2911.470685   4125.338918
0.271875   359.450567   1818.256727   2898.029020   4276.990156
0.278125   403.162908   2070.467109   2802.834845   3712.395725
0.284375   184.386631   1838.995828   2564.967062   3637.605734
0.290625   293.006693   1900.966002   2742.540842   3708.858998
0.296875   364.675391   1984.908805   3038.477605   4339.081046
0.303125   967.867108   2160.720260   3154.161196   4459.911522
0.309375   690.092282   2020.841910   3172.825695   4339.262849
0.315625   269.432463   1727.247404   2910.985872   4137.123351
0.321875   1195.448499   2751.328450   4308.629983   4937.014605
0.328125   918.196541   2654.512836   3416.391929   4814.507318
0.334375   449.454292   1812.494586   2712.241305   4038.117684
0.340625   391.189117   1713.146212   2696.456527   4177.291685
0.346875   1861.229527   2814.834134   --undefined--   --undefined--
0.353125   815.320714   2067.560127   2943.868804   4285.953044
0.359375   1101.085006   2436.256583   3384.788234   4358.342370
0.365625   903.277599   2093.846342   3554.225252   4593.783983
0.371875   583.153573   2136.662882   3427.437926   4562.567417
0.378125   197.151353   1461.726144   2746.741334   3859.926547
0.384375   1417.046938   2780.408900   4011.354398   5086.937694
0.390625   1271.143521   2197.048896   3084.336858   4396.037055
0.396875   1017.806505   2321.507430   3090.284820   4461.731486
0.403125   362.639388   2100.088249   3089.553247   4357.144970
0.409375   865.724690   2110.116930   3152.192098   4259.366644
0.415625   282.436298   1901.997892   3018.793866   4125.244970
0.421875   332.440994   1787.668348   3191.246019   3796.217770
0.428125   1784.548867   2945.339051   3804.042373   4927.269607
0.434375   434.394783   2181.037064   3022.063206   4360.459997
0.440625   371.996585   1873.170513   2802.390293   3761.335252
0.446875   1552.558833   2520.670683   3709.871897   4936.308817
0.453125   295.704970   1773.060134   2716.156877   3868.183663
0.459375   1812.284940   2951.355952   3872.845923   4825.181901
0.465625   1815.503646   3035.760803   4404.920977   4886.505857
0.471875   397.880240   1662.143966   2899.355174   4215.377044
0.478125   253.367403   2036.110845   3046.358346   4512.741696
0.484375   1351.930450   2111.666166   3296.559952   4571.112431
0.490625   1965.895341   3468.423569   --undefined--   --undefined--
0.496875   696.520627   2049.073350   3375.999308   4386.012887
0.503125   1569.335741   2833.820859   3899.895914   4832.886920
0.509375   353.249356   1610.391823   2869.080298   4071.081866
0.515625   370.553373   1741.930642   2893.797598   4069.352941
0.521875   328.792376   1773.051115   3066.566229   4264.079101
0.528125   259.336553   1676.201832   2998.846112   4219.807485
0.534375   1170.529960   2205.139457   3242.566395   4213.078551
0.540625   243.035628   1924.602241   2825.266533   3671.494377
0.546875   369.390291   2412.292813   3607.268127   4915.560570
0.553125   459.875659   2161.452587   3041.579465   3739.344192
0.559375   388.385125   1787.259083   2832.831236   3764.840509
0.565625   325.503612   1747.320355   2717.427600   3868.984336
0.571875   258.399008   1791.037912   2670.265888   3949.958683
0.578125   1586.911914   2733.238358   4403.843034   4672.051700
0.584375   1539.213568   2749.238877   4125.808578   4968.706128
0.590625   1352.706915   2659.380412   3821.050604   4923.818630
0.596875   1535.197563   2672.295296   3733.928395   4889.462940
0.603125   1614.824553   2633.811948   3741.422440   4917.388909
0.609375   1412.814868   2348.939037   3784.497818   5153.616866
0.615625   98.436616   1672.614384   2503.470328   3766.672054
0.621875   1723.569740   2689.887662   3777.118575   5064.086550
0.628125   999.448685   2206.210519   3291.451136   4143.352603
0.634375   761.767357   2156.648886   3277.127686   4215.989061
0.640625   562.938979   2229.890007   3220.218336   4349.419095
0.646875   882.067643   2239.933996   3354.373783   4470.670624
0.653125   529.049353   2127.507143   2582.314943   3504.778813
0.659375   317.409667   2005.377821   3174.790093   4614.438097
0.665625   231.081182   1848.183685   2968.814265   4277.928690
0.671875   359.480566   1879.858112   3031.926545   4354.088208
0.678125   242.012709   1965.882588   2833.089888   4067.550927
0.684375   392.083587   2005.629894   2561.882311   3888.682407
0.690625   227.009289   1875.718680   2775.641492   4140.519103
0.696875   262.783430   1565.544947   2710.044201   3856.151184
0.703125   548.814208   1701.615570   2421.759571   3731.461905
0.709375   787.997122   2330.751504   3516.165313   4638.295528
