Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   499.095841   1447.239572   2773.007544   3736.478693
0.034375   1182.606218   2092.367551   3116.657682   4454.472952
0.040625   1210.685601   2192.934636   3148.185002   4497.401996
0.046875   1423.671085   2845.685172   --undefined--   --undefined--
0.053125   1149.508314   2001.060298   --undefined--   --undefined--
0.059375   1863.021048   2986.154437   --undefined--   --undefined--
0.065625   1670.410902   2807.469538   --undefined--   --undefined--
0.071875   1742.198760   2786.450279   --undefined--   --undefined--
0.078125   1813.545591   2664.583998   --undefined--   --undefined--
0.084375   2027.323956   2649.557486   --undefined--   --undefined--
0.090625   2024.291146   2994.214526   --undefined--   --undefined--
0.096875   1981.790123   3034.757620   --undefined--   --undefined--
0.103125   1954.710660   3129.145541   --undefined--   --undefined--
0.109375   1692.317096   2849.589579   --undefined--   --undefined--
0.115625   1928.921036   2837.173436   --undefined--   --undefined--
0.121875   1992.436141   2928.607436   --undefined--   --undefined--
0.128125   2041.601711   3041.119509   --undefined--   --undefined--
0.134375   2072.979639   2267.853827   --undefined--   --undefined--
0.140625   1429.987959   2506.889147   --undefined--   --undefined--
0.146875   776.077248   2191.579750   --undefined--   --undefined--
0.153125   875.609368   2149.961945   --undefined--   --undefined--
0.159375   1396.546896   2177.960324   --undefined--   --undefined--
0.165625   1847.869837   2385.201151   --undefined--   --undefined--
0.171875   1434.629553   2418.898067   --undefined--   --undefined--
0.178125   1362.000027   2390.882663   --undefined--   --undefined--
0.184375   2011.967314   --undefined--   --undefined--   --undefined--
0.190625   2056.899511   3231.301025   --undefined--   --undefined--
0.196875   1750.227361   2695.884660   --undefined--   --undefined--
0.203125   1602.096917   2881.387480   --undefined--   --undefined--
0.209375   1253.505110   2379.042472   --undefined--   --undefined--
0.215625   1980.267604   2799.435499   --undefined--   --undefined--
0.221875   1866.259405   2781.730042   --undefined--   --undefined--
0.228125   1948.988092   3002.575001   --undefined--   --undefined--
0.234375   1973.359407   2875.813577   --undefined--   --undefined--
0.240625   1862.810026   2724.177795   --undefined--   --undefined--
0.246875   1884.677100   2904.684244   --undefined--   --undefined--
0.253125   1871.252917   2827.131031   --undefined--   --undefined--
0.259375   1697.200459   2742.323147   --undefined--   --undefined--
0.265625   1618.506184   2568.405536   --undefined--   --undefined--
0.271875   1840.393797   2810.684775   --undefined--   --undefined--
0.278125   1956.900954   3011.621297   --undefined--   --undefined--
0.284375   1873.077168   3009.651073   --undefined--   --undefined--
0.290625   1756.333933   3021.205596   --undefined--   --undefined--
0.296875   1703.205572   2817.869742   --undefined--   --undefined--
0.303125   1628.795578   2723.397914   --undefined--   --undefined--
0.309375   1590.768437   2737.504778   --undefined--   --undefined--
0.315625   1457.476688   2524.271553   --undefined--   --undefined--
0.321875   1742.874360   2770.391764   --undefined--   --undefined--
0.328125   1711.671129   2882.891031   --undefined--   --undefined--
0.334375   1824.763076   2764.075107   --undefined--   --undefined--
0.340625   1903.450340   2621.630978   --undefined--   --undefined--
0.346875   1938.984106   2863.390463   --undefined--   --undefined--
0.353125   1803.460637   2710.622099   --undefined--   --undefined--
0.359375   1930.442814   2755.277659   --undefined--   --undefined--
0.365625   1836.313635   2100.819569   --undefined--   --undefined--
0.371875   1337.929703   2257.873760   --undefined--   --undefined--
0.378125   1916.214963   2758.915087   --undefined--   --undefined--
0.384375   1939.223572   2973.070392   --undefined--   --undefined--
0.390625   1884.403810   2756.435520   --undefined--   --undefined--
0.396875   1553.900454   2560.635076   --undefined--   --undefined--
0.403125   1719.229901   2927.102064   --undefined--   --undefined--
0.409375   1360.269357   2327.500618   --undefined--   --undefined--
0.415625   1114.837773   2360.492574   --undefined--   --undefined--
0.421875   1994.777406   2801.654324   --undefined--   --undefined--
0.428125   1907.374470   2776.600811   --undefined--   --undefined--
0.434375   1799.098558   2687.169730   --undefined--   --undefined--
0.440625   1596.095100   2617.485436   --undefined--   --undefined--
0.446875   1522.094256   2654.963367   --undefined--   --undefined--
0.453125   1666.427203   2697.214332   --undefined--   --undefined--
0.459375   1708.375155   2868.196454   --undefined--   --undefined--
0.465625   1822.370307   2923.047758   --undefined--   --undefined--
0.471875   1873.168094   2014.153969   --undefined--   --undefined--
0.478125   1241.150751   2271.102638   --undefined--   --undefined--
0.484375   1545.760139   2468.344407   --undefined--   --undefined--
