Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1474.771478   2059.907656   2749.472135   4416.437363
0.034375   1357.229463   2390.691773   2870.365966   4151.541255
0.040625   1386.752637   2413.904613   3937.150335   4720.995576
0.046875   1070.697047   2263.114121   3476.057889   4075.661320
0.053125   1077.266402   2253.070973   3397.916363   4430.636456
0.059375   1249.224813   2305.220279   3567.519503   4418.928167
0.065625   1309.134579   2650.112073   3418.225505   4355.186473
0.071875   1263.948887   2202.002492   3118.186155   4163.043298
0.078125   1171.170935   2214.959551   3233.052557   4074.456812
0.084375   1232.318182   2290.847527   3148.928713   4091.022929
0.090625   1258.872385   2282.911502   3206.525985   4089.686588
0.096875   1276.428712   2265.114673   3525.545090   4401.527363
0.103125   1099.974641   2289.299311   3492.076440   4478.723939
0.109375   1291.454661   2385.751690   3311.398522   4363.428203
0.115625   1498.714549   2683.172328   3499.875775   4399.826462
0.121875   1284.993547   2428.426944   3374.414364   4494.638241
0.128125   1139.236941   2326.817416   3101.847016   4166.781180
0.134375   1059.507489   2328.351763   3044.536589   4133.792796
0.140625   1012.218695   2114.817391   3356.791655   4476.771417
0.146875   1027.173221   2075.053940   3258.215261   4137.520119
0.153125   1155.825583   2342.898978   3542.462173   4281.144855
0.159375   1117.925026   2310.347883   3419.002146   4374.332792
0.165625   1214.023770   2365.312637   3340.500156   4469.243365
0.171875   1378.275880   2509.395252   3557.535268   4392.314307
0.178125   1583.546838   2551.762765   3668.304937   4536.819750
0.184375   1266.038902   2389.455113   3427.822698   4527.657338
0.190625   1174.964244   2387.438090   3405.343205   4582.860775
0.196875   1300.183526   2398.454457   3450.825894   4513.489655
0.203125   1329.755801   1921.226165   3078.956963   4278.707079
0.209375   1301.394744   2022.608466   3160.946419   4298.034566
0.215625   1303.322122   1918.558348   3125.426519   4293.576558
0.221875   1383.545772   1764.008523   3170.348947   4266.845445
0.228125   1247.137254   2302.004256   3051.575335   4183.459046
0.234375   1217.138667   2284.174968   3114.749840   4098.916168
0.240625   1310.460054   2329.926806   3178.216494   4215.021849
0.246875   1157.172068   2304.824382   3252.847879   4238.815147
0.253125   1238.903911   2483.443088   3142.962312   4199.135465
0.259375   1322.591983   2409.292897   3642.023208   4530.706686
0.265625   1005.283758   2241.519733   3399.177718   4444.147406
0.271875   1015.531811   2117.762394   3200.799312   4310.584009
0.278125   1082.982927   2108.445228   3424.984778   4364.132508
0.284375   1169.126388   1919.206408   3444.444765   4339.262325
0.290625   1151.792181   2066.931124   3289.580768   4368.231356
0.296875   1177.829722   2187.231288   3351.114150   4478.051467
0.303125   1324.229552   2311.259181   3467.343572   4489.495583
0.309375   1405.103434   2421.904102   3558.030593   4494.619861
0.315625   1270.553914   2365.621365   3356.649560   4584.464958
0.321875   1133.682590   2280.212024   3147.393852   4414.593369
0.328125   1656.090643   2830.194136   --undefined--   --undefined--
0.334375   1702.848527   1776.960401   3130.435086   4306.921031
0.340625   1525.240557   2403.471727   3413.469940   4401.849260
0.346875   1296.462098   2281.177708   3400.947673   4392.198233
0.353125   1340.551377   2423.097145   3478.131919   4393.855608
0.359375   1433.686559   2502.219085   3547.885049   4477.375508
0.365625   1329.937752   2552.868360   3451.670582   4466.876529
0.371875   1256.810749   2397.761516   3580.015993   4595.462258
0.378125   1232.807837   2326.643854   3501.227325   4608.916620
0.384375   1270.207920   2156.919092   3319.916347   4391.272486
0.390625   1511.400481   2575.185838   3424.100554   4405.759949
0.396875   1262.719199   2472.053720   3508.414367   4405.738512
0.403125   1190.928628   2338.773046   3329.348896   4526.885990
0.409375   1074.461965   2203.468571   3226.102549   4539.971707
0.415625   1254.420022   2295.076479   3315.996569   4532.358515
0.421875   1256.919583   2420.688022   3365.685300   4453.574259
0.428125   1248.958723   2302.659401   3434.023641   4424.544998
0.434375   1373.464707   2391.379430   3410.063106   4402.556831
0.440625   1222.876788   2436.343024   3341.676978   4452.836729
0.446875   1181.793403   2565.680009   3342.685962   4517.184757
0.453125   1134.779298   2668.823146   2955.243738   4461.902871
0.459375   1098.710331   2454.495457   3414.916165   4381.344675
0.465625   1228.599600   2410.438838   3518.406494   4504.770678
0.471875   1552.294096   2510.890787   3547.692665   4595.239649
0.478125   1282.575967   2514.678193   3334.662627   4451.189701
0.484375   1364.837295   2388.081044   3126.041688   4347.730806
0.490625   1562.736872   2533.605340   3267.251415   4383.383484
0.496875   1317.504269   2421.681384   3391.677049   4581.086458
0.503125   1223.299441   2226.456155   3559.320541   4424.013515
0.509375   1225.552745   2201.691164   3382.197060   3949.606880
0.515625   1105.302611   2135.983029   3252.606230   4111.004048
0.521875   1225.348602   2343.899740   3183.734550   4365.699688
0.528125   1346.120200   2305.507858   3345.589897   4375.155219
0.534375   1297.945323   2297.966261   3353.733758   4376.247218
0.540625   1303.772474   2203.948071   3414.524235   4469.262974
0.546875   1698.581107   2282.964218   3477.645466   4886.867517
0.553125   1146.458541   1713.153759   3021.779896   3527.405966
0.559375   880.056495   1781.055738   2975.407020   3430.666536
0.565625   1577.070519   2289.984962   3369.049855   4582.987473
0.571875   1357.166754   2265.954674   3291.231214   4407.476201
0.578125   1358.834674   2337.366034   3347.600687   4441.691467
0.584375   1493.978825   2142.245748   3369.459363   4644.715565
0.590625   598.397936   2028.447574   3332.322016   4689.342235
0.596875   1658.889216   2381.776548   3188.207655   4427.893780
0.603125   1652.770975   2787.497559   3359.295234   4910.854198
0.609375   657.288486   1818.032224   3221.569458   3508.857471
0.615625   599.355981   1880.762038   3280.216871   3753.161505
0.621875   562.311753   1803.081077   3030.397728   3917.824422
0.628125   1646.561403   2769.299518   3564.348903   5015.171212
0.634375   593.282138   1735.143438   2854.098702   3684.306104
0.640625   607.423344   1833.434880   2823.751182   4052.718084
0.646875   654.455282   1827.336564   2810.924428   4276.583542
0.653125   623.070944   1796.667621   2805.279574   4256.225010
0.659375   645.488521   1704.221763   2833.166092   4213.447621
0.665625   679.852876   1797.171620   2692.680171   4200.490175
0.671875   694.573923   1909.164826   2750.661616   4273.830464
0.678125   765.615370   1779.904080   2563.957987   4206.688398
0.684375   799.674010   1897.714337   2506.076310   3989.257902
0.690625   822.805797   1830.175058   2537.863833   3862.077126
0.696875   1084.698818   2015.397916   2460.384583   3948.089490
0.703125   1305.636487   1590.239366   2496.456887   3763.617232
0.709375   523.147933   1604.440637   2721.140026   3745.428539
0.715625   512.039422   1645.764293   3094.247010   3440.447829
0.721875   535.429600   1676.962984   2522.094887   3482.684140
0.728125   537.125062   1779.720014   2387.458932   3485.479938
0.734375   529.793071   1958.106816   2773.899382   3598.845181
0.740625   517.851276   2149.198898   2596.022669   3854.373023
0.746875   513.433599   2367.688476   3180.787548   4827.172444
0.753125   503.699587   2446.801315   3249.691554   4698.909623
0.759375   496.587250   2624.090178   3363.070446   4733.585580
0.765625   483.355000   2732.945667   3422.874519   4724.783896
0.771875   457.402696   1814.051026   2763.012714   3613.715400
0.778125   443.439298   2696.212559   3679.963372   4787.555145
0.784375   440.872818   2672.767299   3707.582372   4638.328701
0.790625   435.436730   2712.019742   3721.087539   4598.933387
0.796875   440.924448   2726.018992   3697.400141   4630.262096
0.803125   442.961456   2803.319732   3705.384518   4690.636182
0.809375   430.490545   1450.544243   2887.910339   3705.131873
0.815625   432.207937   1750.280244   2909.697068   3683.821889
0.821875   445.894859   1817.389141   2913.379336   3632.825298
0.828125   480.506558   1892.894143   2861.131647   3578.891711
0.834375   508.322063   2123.715270   2798.916853   3620.864957
0.840625   495.612819   2098.508783   2743.703417   3604.897705
0.846875   478.736805   2595.417481   3342.816952   4501.604478
0.853125   484.244795   2548.168031   3457.930043   4538.575871
0.859375   458.963639   2501.908044   3390.458199   4613.579778
0.865625   430.549397   2288.955452   3197.408634   4388.189470
0.871875   416.591610   2223.366353   2391.870622   3337.783511
0.878125   490.247224   2155.644873   2619.905122   3567.212715
0.884375   491.894947   2177.717480   2868.498238   3485.479051
0.890625   472.295620   2185.015522   2971.766934   3792.428521
0.896875   521.752555   2141.060895   3115.333830   3648.145050
0.903125   522.761516   2150.345592   3305.326001   3805.879843
0.909375   584.749885   2173.109725   3259.717417   4664.147432
0.915625   630.709980   2186.918714   2870.475024   3925.419106
0.921875   730.139402   2188.561707   2773.692668   3932.614873
0.928125   692.182591   2084.033833   2809.529640   4086.599110
0.934375   664.474669   2069.814111   2866.471474   3982.724456
0.940625   644.174222   2106.253685   2662.785655   4366.595789
0.946875   593.012894   2138.103400   2676.058607   4468.877078
0.953125   626.614814   1989.395074   2681.412002   4423.444445
0.959375   629.691348   1957.153605   2915.643649   4301.003784
0.965625   636.352258   2088.776968   2949.022932   4308.672493
0.971875   693.473702   2155.749981   3240.115237   4547.759261
0.978125   1392.655414   2285.191125   3384.635635   4546.367843
0.984375   1596.693000   2269.852455   3458.800151   4553.621952
0.990625   1640.111898   2161.961452   3502.505788   4680.695722
0.996875   1422.609401   1918.581588   2369.336384   3865.077328
1.003125   1029.581947   1823.310690   2370.621792   3953.570203
1.009375   864.407034   1815.688081   2345.908207   3882.263494
1.015625   878.194564   1783.181896   2437.244592   3939.702694
1.021875   802.135795   1624.742106   2192.848728   3915.442642
1.028125   991.635505   1522.259684   2159.722683   3951.353877
1.034375   1054.218589   1494.851434   2493.885575   4129.797209
1.040625   995.206045   1524.493492   2584.023508   4160.130985
1.046875   953.841526   1554.146957   2580.142496   4119.807076
1.053125   876.818740   1548.234913   2597.220331   4112.589258
1.059375   692.810784   1490.144801   2589.959560   4025.138305
1.065625   493.238351   1383.915995   2490.150788   3935.226002
1.071875   589.956681   1358.471693   2460.899356   3948.756495
1.078125   649.834739   1300.383555   2621.204641   3950.329013
