Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   620.740706   1787.696423   2808.928890   3941.458307
0.034375   664.617500   1724.204524   2990.068239   4265.739801
0.040625   680.956180   1903.433795   3075.366551   4323.585592
0.046875   694.677259   1731.120794   3161.135519   3531.694381
0.053125   1231.940338   2302.477401   3294.956379   4683.145152
0.059375   929.205603   2401.163403   3209.987829   4722.457090
0.065625   371.612527   1295.559039   2557.243597   3527.842373
0.071875   477.387545   1568.019591   2681.705088   3660.301836
0.078125   553.032762   1767.198907   2988.082389   4501.371836
0.084375   1121.805451   1950.925035   3382.023039   4584.880929
0.090625   603.342544   1691.070609   3116.158816   3437.024878
0.096875   632.336657   1645.729294   2853.781350   3775.658160
0.103125   365.148350   1556.991999   2578.645017   3707.795301
0.109375   1582.107224   2515.611561   3760.948189   4865.003015
0.115625   475.363965   1843.977861   2710.204878   3842.150080
0.121875   478.283325   2129.736318   3177.909952   3720.330614
0.128125   526.808860   1897.124103   2973.790598   3624.286920
0.134375   588.748918   1813.349249   2950.279950   3862.312721
0.140625   359.405367   1739.767517   2907.491322   3909.540926
0.146875   525.423362   1845.048436   2832.584255   4015.111444
0.153125   617.927000   1760.992441   2658.941822   3845.119115
0.159375   504.315864   1752.726114   2760.082162   3798.073973
0.165625   527.854128   1841.214820   2901.765052   3786.267868
0.171875   505.090284   2077.486304   3259.228397   4595.441893
0.178125   1081.658882   2366.554577   3508.031480   4486.212361
0.184375   683.098255   1685.048033   2640.474031   3731.587629
0.190625   706.494182   2059.046719   3295.889797   4674.509156
0.196875   699.524746   2005.389724   3302.165581   4720.131125
0.203125   734.419072   1644.580604   2593.095526   3794.328474
0.209375   620.823966   1845.986703   2589.353837   3746.244242
0.215625   614.614995   1927.683544   2764.977090   3661.921892
0.221875   283.628688   1547.962050   2712.656811   3902.591474
0.228125   437.387613   1634.094216   2658.579621   4021.041221
0.234375   436.367743   1775.504969   2600.935709   3926.940931
0.240625   598.888953   2036.388691   2775.063400   3946.717039
0.246875   520.335028   1668.478699   3086.704686   4171.852603
0.253125   618.062450   1695.631095   2936.615553   4264.930039
0.259375   486.038520   1865.234156   3045.286185   4352.891385
0.265625   552.589597   2048.860427   3123.386068   4395.104394
0.271875   625.191811   2185.229571   2879.227365   4490.900136
0.278125   844.712174   2310.438796   3356.777342   4478.438924
0.284375   902.408902   2248.874047   3436.310740   4611.355008
0.290625   530.283060   1808.936606   2644.072038   4125.798795
0.296875   648.221781   1834.538706   2562.779157   3879.863650
0.303125   635.865230   1699.365616   2493.843073   3862.743387
0.309375   1568.351976   2463.160639   3811.354743   4856.498360
0.315625   1206.962716   2413.306042   3659.994545   4806.069498
0.321875   1074.511367   2180.034293   2324.303384   4054.125937
0.328125   1069.589263   2193.068300   2934.776612   4249.248078
0.334375   1227.583138   2275.094863   2930.282789   4395.645197
0.340625   1010.040349   2294.477437   2861.796440   4220.278834
0.346875   765.358227   2038.977040   2704.115710   3910.828782
0.353125   725.681421   2009.168996   2963.770609   4244.319176
0.359375   1249.006095   2052.459473   2820.283006   4269.788249
0.365625   1602.329881   2114.889086   2852.599545   4167.120200
0.371875   1326.053504   2055.052392   2875.977579   4055.344240
0.378125   1725.975952   2337.754923   3318.404163   4246.171018
0.384375   673.789851   1946.645720   2626.227332   3799.966601
0.390625   778.448995   1959.606428   2697.241277   3931.874032
0.396875   1105.630379   2047.667411   3327.288354   4473.913803
0.403125   1783.237191   2065.203997   3173.473455   4391.230628
0.409375   628.868065   2028.548952   2801.847599   3937.993984
0.415625   680.619125   2014.831011   2776.351192   4023.618098
0.421875   809.049321   2027.765801   2844.329915   4010.792770
0.428125   780.914915   2033.385434   2785.257529   3797.792627
0.434375   780.755233   2075.919796   2685.275493   3681.556257
0.440625   804.881403   2047.407007   2670.246924   3520.327667
0.446875   862.198983   2163.368820   2894.448934   4268.373428
0.453125   962.026803   2086.131065   3006.126739   4378.811327
0.459375   932.369126   2078.924996   3060.553658   4052.181235
0.465625   912.873545   2150.096407   3145.151240   4065.548055
0.471875   795.738446   2036.553309   2810.258111   3498.652387
0.478125   820.415552   2025.102275   2864.826149   3937.847498
