Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   833.754258   1792.643900   2745.591838   4233.493175
0.034375   809.442921   1827.520026   2714.474671   4156.590383
0.040625   790.943927   1916.309729   2726.274535   4057.097583
0.046875   809.608893   1893.055290   2742.988799   3856.841898
0.053125   851.505662   1876.024055   2733.891286   3912.046801
0.059375   851.927778   1889.270076   2772.053485   3972.110509
0.065625   828.806798   1907.347401   2757.037306   4079.637080
0.071875   755.098082   1904.373778   2704.969503   3936.948507
0.078125   752.284249   1918.205380   2673.901577   3846.663662
0.084375   739.733200   1930.677555   2705.246021   3908.627138
0.090625   645.108793   1934.357568   2727.531035   3896.178542
0.096875   747.042649   1920.104323   2717.098582   3710.047882
0.103125   878.295445   1913.849676   2671.464587   3660.988469
0.109375   840.954617   1890.310711   2733.529810   3665.450809
0.115625   738.311895   1832.536085   2796.649199   3654.490061
0.121875   765.929604   1913.522600   2893.620734   4159.525076
0.128125   834.136709   1931.130960   2852.674397   4075.139444
0.134375   855.989632   2008.288028   2769.398256   4118.619486
0.140625   814.730528   1915.929610   2733.993223   3883.158224
0.146875   737.300894   1899.990101   2730.722974   3808.181035
0.153125   741.075365   1921.147868   2771.469420   3909.604200
0.159375   763.024016   1891.876716   2817.226695   3702.877938
0.165625   813.560848   1913.552004   3041.835053   4118.254072
0.171875   787.894475   1844.868395   2906.838430   4304.046270
0.178125   731.244057   1828.418817   2770.651131   3887.249446
0.184375   738.745788   1904.702503   2796.320048   3823.012755
0.190625   740.985908   1920.465778   2846.745464   3909.844498
0.196875   757.313248   1891.726572   2824.174663   3904.410951
0.203125   852.237918   1979.895564   2783.295655   3789.146123
0.209375   847.338274   1983.939941   2720.000471   3985.123273
0.215625   768.470486   1898.127096   2747.461166   3947.203945
0.221875   727.793052   1770.855923   2765.156790   3777.681305
0.228125   883.569760   1862.562252   2906.331959   3475.069801
0.234375   849.755694   1775.605070   2711.473349   3837.009584
0.240625   777.996601   1835.306114   2705.745107   3860.275493
0.246875   761.181723   1883.350289   2746.828655   3903.732031
0.253125   773.886871   1849.605575   2730.584741   3912.800116
0.259375   757.936929   1890.800049   2639.236830   3845.067642
0.265625   804.113113   1915.101016   2606.200070   3922.395681
0.271875   839.059282   1852.068424   2698.158429   4043.653980
0.278125   820.622415   1854.858847   2830.458443   4181.400073
0.284375   979.114893   2209.289151   3310.222815   4345.673478
0.290625   1119.960724   2124.716985   3319.661367   4227.699718
0.296875   675.220409   1817.004438   2789.432244   4053.476863
0.303125   1124.290855   2243.393412   3230.572489   4426.214355
0.309375   1159.345919   2390.915740   3350.468812   4398.662321
0.315625   762.143096   2141.711948   2280.891488   3736.661033
0.321875   1166.577252   2209.112306   3506.096355   4333.790398
0.328125   1485.661961   1917.136006   2995.648791   4146.005358
0.334375   1736.855651   1871.861810   2964.036405   4163.882300
0.340625   1462.968129   2117.263618   3565.444183   4548.599427
0.346875   1376.543375   2486.391011   3647.971568   4912.822265
0.353125   568.665626   1630.975435   2876.310631   3679.841608
0.359375   1724.819679   2114.774622   3205.125791   4547.150003
0.365625   1415.160005   2230.582062   3406.922928   4339.438299
0.371875   1313.046359   2211.032304   3540.615035   4224.186310
0.378125   1192.239483   2119.805932   3802.415320   4032.289970
0.384375   1215.749422   2148.595150   3408.832186   4274.530424
0.390625   870.048123   1793.949191   3067.267563   4096.767440
0.396875   917.107030   1626.047194   2830.215670   3909.632822
0.403125   1076.275539   1970.489199   2979.039436   4244.951954
0.409375   1391.893714   2304.166222   3534.577215   4175.823911
0.415625   1211.388301   2399.662356   --undefined--   --undefined--
0.421875   1180.595161   2372.464856   3372.492845   4708.695459
0.428125   1250.485319   2587.976168   3409.494922   4717.554302
0.434375   1200.180950   2563.481350   3643.443688   4327.894531
0.440625   951.469314   2218.603638   3690.993101   4837.474228
0.446875   771.655910   2127.805095   3324.218897   4419.435934
0.453125   482.578045   1761.642575   2593.471457   3923.534934
0.459375   712.136024   1952.527446   2642.564951   3757.925284
0.465625   849.993145   2094.144999   3286.672742   4270.999425
0.471875   869.675858   2048.389352   3247.098017   4455.854230
0.478125   800.364165   1970.653246   2683.599792   3964.400784
0.484375   665.714779   2189.361455   2758.641257   3282.295109
0.490625   649.916525   1972.830946   2683.695604   3525.288473
0.496875   592.803204   1910.207858   2675.423581   3648.671947
0.503125   358.019551   1860.527471   2669.775212   3603.744994
0.509375   380.585720   1823.661348   2647.173223   3415.299132
0.515625   398.612142   1870.990370   2682.164528   3511.060370
0.521875   409.019501   1950.462551   2769.474222   3538.999292
0.528125   421.972211   1988.274259   2819.959669   3597.586730
0.534375   406.989502   1855.283799   2849.699809   3606.984231
0.540625   382.772505   1838.378881   2875.553509   3614.504421
0.546875   346.402330   1877.139602   2874.990963   3621.539599
0.553125   321.185127   1902.000953   2852.203232   3610.040061
0.559375   311.897449   1925.686015   2834.635923   3587.741430
0.565625   306.306725   1944.154019   2853.490164   3559.384256
0.571875   376.596586   1989.517044   2768.478734   3633.541501
0.578125   451.088616   2073.730346   2760.576174   3714.956482
0.584375   500.005839   2214.794929   2821.193531   3832.907963
0.590625   549.293500   2307.605822   2886.125309   3925.916239
0.596875   549.136672   2250.503681   2881.958401   3867.207544
0.603125   539.671600   2202.187786   2869.754335   3949.255079
0.609375   570.109648   2165.371757   2806.001933   4163.705720
0.615625   578.450175   2164.212064   2824.459225   4188.869825
0.621875   558.874699   2092.016618   2855.049344   4416.887675
0.628125   531.291442   1999.606605   2888.321237   4445.002678
0.634375   514.962561   1986.182840   2893.156764   4338.371139
0.640625   501.043721   1997.236526   2856.758930   4330.779170
0.646875   490.544216   1996.501101   2843.084772   4356.744426
0.653125   499.591211   1948.048154   2851.727418   4441.198636
0.659375   549.701911   1880.633478   2902.580702   4466.893813
0.665625   558.758533   1857.479450   2899.350619   4633.651536
0.671875   570.719963   1980.125674   2879.614136   4489.370246
0.678125   992.682066   2154.953491   2856.061070   4498.951154
0.684375   817.108347   2111.745093   2900.686170   4475.685778
0.690625   779.986259   2151.666815   2697.556497   4402.033508
0.696875   444.138280   2066.404981   2724.057246   4377.169181
0.703125   1454.620174   2342.158331   3015.186119   4562.823200
0.709375   1350.637945   2383.548141   2705.230099   4294.817917
0.715625   836.432605   2165.133632   2695.525620   3968.238862
0.721875   860.687430   2336.590627   3015.111784   4244.274267
0.728125   831.717112   2173.792161   2940.222792   4736.856432
0.734375   820.101968   2007.700644   2776.341553   4595.571186
0.740625   825.764503   1806.116914   2753.956358   3902.858020
0.746875   810.138583   1585.469712   2742.069974   3903.901303
0.753125   828.670685   1611.457712   2852.960815   4182.401088
0.759375   888.319425   1869.958522   3107.484826   5108.195786
0.765625   1056.112446   2018.481033   3230.905609   5023.691127
0.771875   1096.931702   2150.078391   3281.940030   4958.003803
0.778125   850.882137   1723.226109   3177.184835   4833.658220
0.784375   864.530464   1625.373151   3138.296530   4428.439096
0.790625   834.793251   1496.046517   2816.840999   4400.129695
0.796875   787.860181   1505.995500   2838.287331   4391.602812
0.803125   763.494280   1440.280508   2813.080138   4270.058650
0.809375   795.457862   1274.273398   2651.302595   4190.627726
0.815625   772.967184   1252.451570   2562.880773   4163.998456
0.821875   693.659484   1263.794264   2703.973990   4019.886331
0.828125   599.795057   1213.054248   2745.642217   4195.298644
0.834375   612.545280   1059.122313   2755.687950   4057.508315
0.840625   597.623888   1327.632917   2759.586413   3978.424625
0.846875   603.372996   1307.293204   2769.355256   4001.698266
0.853125   633.192532   1114.932752   2757.484478   4021.402300
0.859375   663.252232   1044.658637   2762.179291   4040.913181
0.865625   635.893443   1068.741150   2766.946743   4109.823719
0.871875   606.559572   1076.121029   2781.135969   4171.272039
0.878125   597.153667   1058.226215   2788.956819   4150.243406
0.884375   603.725710   1049.106105   2797.887980   4120.499758
0.890625   611.692328   1042.888543   2809.882480   4047.477472
0.896875   617.332164   1023.628167   2812.895426   4010.471206
0.903125   622.624811   1015.874424   2805.650322   3953.362931
0.909375   619.767095   1019.873229   2799.890447   3770.698207
0.915625   615.796093   1026.774213   2799.589167   3623.029953
0.921875   613.453922   1032.857486   2799.383784   3554.761913
0.928125   611.643918   1033.706497   2796.445553   3463.196052
0.934375   608.892730   1037.827069   2796.981642   3431.811190
0.940625   600.253212   1044.212907   2793.754594   3432.712919
0.946875   588.943366   1044.818748   2792.766469   3439.534044
0.953125   578.731849   1037.298969   2793.120055   3438.094789
0.959375   570.099540   1023.878668   2797.636133   3466.242797
0.965625   557.275759   1040.677471   2807.466183   3556.751492
0.971875   536.736116   1073.396590   2822.266859   3715.417970
0.978125   516.560741   1094.437727   2837.295400   3907.340642
0.984375   500.817964   1174.931372   2846.897804   4057.582220
0.990625   487.725262   1271.321787   2862.429047   4104.538062
0.996875   483.388460   1330.185663   2871.820719   4130.694481
1.003125   481.853315   1376.478042   2881.113310   4133.169646
1.009375   478.463625   1397.056865   2888.074140   4102.033929
1.015625   469.870801   1381.240754   2887.971563   3935.407275
1.021875   465.136517   1375.562253   2869.832729   3848.589845
1.028125   464.823811   1396.974148   2833.166013   3878.202485
1.034375   471.994329   1418.636875   2771.260597   3891.346702
1.040625   497.229770   1502.899907   2763.420264   3935.484937
1.046875   519.836081   1646.761013   2814.365645   3983.322655
1.053125   532.886185   1639.463736   2839.994851   4055.127681
1.059375   528.216275   1622.942034   2843.595941   4032.833505
1.065625   530.025390   1727.465783   2892.250503   4014.012873
1.071875   522.125150   1705.760183   2915.977404   4077.634540
1.078125   496.167221   1565.176713   2933.857051   4100.100978
1.084375   471.501797   1490.453305   2916.638053   4108.165636
1.090625   452.357679   1414.163802   2849.141368   4098.984231
1.096875   447.184361   1427.746465   2849.795066   4156.234300
1.103125   449.318960   1426.841791   2833.604410   4295.557962
1.109375   429.687255   1337.607682   2872.739291   4456.373688
1.115625   364.642313   1399.897899   2874.963599   4247.044566
1.121875   314.412264   1482.078989   2828.500391   4064.340065
1.128125   246.727543   1755.012400   2794.675367   4237.356913
1.134375   236.904226   2183.219344   2760.762563   4440.284756
1.140625   131.339833   2291.707833   2780.291617   4620.615254
1.146875   430.924726   2114.320121   2802.870505   4519.023514
1.153125   266.714478   1962.603240   2833.657866   4487.539794
1.159375   188.245073   2003.170464   2898.577119   4447.871381
1.165625   563.886176   1952.755902   2884.700117   4546.689816
1.171875   811.714070   2048.860747   2876.083224   4651.916752
1.178125   939.581976   2073.627045   2791.541925   4350.034388
1.184375   920.362528   2173.348010   2784.964041   4135.959738
1.190625   1002.087745   2213.189792   2919.640288   4528.575118
1.196875   975.759988   2193.562931   2923.875712   4526.637163
1.203125   908.881322   2149.130885   2894.794507   4481.523939
1.209375   883.159259   2199.929894   3081.086333   4493.510676
1.215625   1062.632381   2224.318836   3148.444591   4787.779415
1.221875   950.193652   2185.135020   3006.009915   4627.413413
1.228125   1074.192695   2200.708748   3040.407994   4676.707478
1.234375   922.717957   2135.885124   3062.539463   4678.927643
1.240625   921.256049   2091.377045   2902.134291   4519.732669
1.246875   1268.033032   2172.853563   2940.650689   4820.364626
1.253125   1106.814033   2308.157101   3117.767675   4840.064029
1.259375   1089.300930   2299.210435   3100.367190   4642.528367
1.265625   1269.515982   2261.907502   3011.753524   4629.376638
1.271875   851.273064   2215.965114   2905.516347   4358.785210
1.278125   828.788286   2104.268962   2897.841813   4358.926612
1.284375   882.257330   2099.376014   2861.835358   4194.830216
1.290625   885.842535   2076.659562   2782.642924   4224.870758
1.296875   984.638470   2137.048870   2874.177403   4517.317455
1.303125   1053.961337   2238.923728   3002.899430   4254.051009
1.309375   1052.481936   2224.717905   3001.432513   4592.923384
1.315625   1478.419597   2422.172720   2960.144355   4585.989691
1.321875   860.409623   2234.092431   2876.070365   4540.745336
1.328125   1012.492553   2230.956186   3061.295160   4625.600125
1.334375   1054.478984   2213.228728   3070.308049   4725.258050
1.340625   960.665198   2202.407101   3012.015698   4614.967255
1.346875   882.382393   2251.871826   3010.653343   4571.768371
1.353125   928.990107   2170.880795   2905.326091   4350.178884
1.359375   955.777268   2077.272326   2863.462189   4386.281233
1.365625   960.370127   2100.692904   2941.888626   4303.886613
1.371875   993.620717   2138.328831   2995.874058   4418.610538
1.378125   905.785549   2205.026954   2969.418379   4301.007939
1.384375   895.083791   2212.981809   2929.835168   4208.144521
1.390625   853.320230   2093.430351   2913.805917   4336.871051
1.396875   862.510871   2124.129536   2894.802839   4272.658436
1.403125   909.477908   2109.433278   2898.837200   3993.938527
1.409375   954.080655   2178.412302   2847.138068   4390.162174
1.415625   918.491799   1956.353822   2807.858580   4294.763076
1.421875   846.207082   2019.539915   2839.012663   4221.940232
1.428125   948.798128   1977.118849   2930.489588   4286.694049
1.434375   1055.384286   2052.518581   2952.726693   4410.589492
1.440625   1046.284726   2048.579133   2899.977578   4338.795989
1.446875   772.471075   2071.263769   2912.130900   3961.036692
1.453125   842.399813   2030.061229   2997.310313   4120.193657
1.459375   869.855882   2148.549577   3040.076388   4213.923050
1.465625   980.038957   2320.017164   3123.866805   4752.804728
1.471875   1198.354038   2236.201682   3059.911851   4646.059820
1.478125   1033.868337   2139.060913   3052.711214   4545.667765
1.484375   1336.995864   2250.858243   3190.795244   4597.279360
1.490625   1303.040941   2243.497296   3205.067435   4647.834518
1.496875   1039.362651   2159.380384   2917.553322   4519.801470
1.503125   1836.652398   2183.679458   2775.061174   4556.947419
1.509375   1657.352540   2389.049342   3054.205212   4572.500807
1.515625   924.113336   1990.496414   3028.018075   4512.770283
1.521875   1681.718187   2481.295760   2924.722384   4485.068907
1.528125   539.867255   1589.702080   2795.975880   4164.533863
1.534375   938.308344   1393.957351   2735.466936   4047.206523
1.540625   1390.291950   2566.856012   3796.531105   4238.481304
1.546875   667.960250   2112.084169   2948.875449   4120.700581
1.553125   663.751546   2125.023600   2979.956819   4430.715856
1.559375   742.753679   2173.213921   2906.451433   4322.580215
1.565625   767.798305   2073.545406   2995.021606   4212.936613
1.571875   666.312884   2004.385474   2953.450848   4197.120326
1.578125   416.983366   2016.595912   2925.976746   4204.231421
1.584375   440.925306   2075.153844   2922.390428   4135.054602
1.590625   447.107732   2076.021141   2927.673284   4146.185113
1.596875   458.214204   2086.576134   2898.900501   3693.425809
1.603125   468.548909   2110.751926   2853.334879   3628.346141
1.609375   477.970797   2115.183936   2952.230649   3789.646885
1.615625   491.227007   2128.616928   2957.148965   4170.504069
1.621875   503.616242   2132.197090   2926.907651   4168.291394
1.628125   518.551005   2133.825706   2916.006587   4140.860134
1.634375   518.282218   2137.774560   2911.763662   4123.158946
1.640625   511.789607   2139.455518   2908.995488   4077.357979
1.646875   516.776522   2141.799777   2899.901651   4065.151696
1.653125   522.953193   2146.618814   2888.106915   4064.249846
1.659375   524.402739   2155.395719   2916.329333   4072.788654
1.665625   529.823356   2159.605133   2930.942831   4067.734617
1.671875   539.342238   2161.982104   2915.878386   4077.735148
1.678125   549.506468   2157.239676   2888.987616   4093.801243
1.684375   556.386950   2152.784258   2891.333366   4091.416945
1.690625   558.002258   2136.749280   2906.532641   4067.782472
1.696875   561.630913   2110.520479   2911.646796   4021.704738
1.703125   574.725763   2086.520891   2919.954246   3973.094064
1.709375   576.383265   2057.293084   2946.384890   3970.654920
1.715625   553.273858   2017.297521   2958.793081   3979.500627
1.721875   523.668561   1991.578886   2966.253504   3738.763630
1.728125   511.097194   1968.488027   2984.666276   3897.996081
1.734375   497.815486   1948.707923   2980.407502   4014.942593
1.740625   472.562095   1910.549622   2989.151079   3947.096445
1.746875   424.024671   1853.528316   3015.226487   3834.316374
1.753125   409.935925   1844.973670   3021.706526   3826.327927
1.759375   415.190812   1755.674558   2941.612673   3727.233133
1.765625   407.787222   1671.170708   2976.851410   3846.210586
1.771875   401.085025   1619.934622   2973.331870   3879.161812
1.778125   400.733233   1615.842954   2993.152284   3851.348313
1.784375   416.933571   1611.573911   2949.105542   3851.744000
1.790625   420.910850   1584.582015   2880.565236   3842.819330
1.796875   435.970473   1552.964722   2887.409168   3985.838256
1.803125   451.405809   1550.884878   2854.266461   3987.506575
1.809375   555.232221   1515.174345   2894.832501   4000.333170
1.815625   640.813169   1710.119742   2932.279927   4057.813837
1.821875   711.150265   1765.658476   2949.715551   3987.411588
1.828125   762.035225   1754.312080   2926.560241   3959.043674
1.834375   797.209324   1692.919328   2905.647326   3882.269189
1.840625   797.095859   1683.941337   2935.526774   3999.867897
1.846875   792.651582   1674.817734   2952.605693   4005.076812
1.853125   788.372514   1645.939830   2949.367612   4006.325653
1.859375   787.354264   1568.342410   2934.697314   3856.940600
1.865625   793.662877   1581.576142   2924.534147   3144.311529
1.871875   792.546543   1609.554409   2923.744113   4042.005711
1.878125   793.939173   1619.583818   2932.494191   3981.171005
1.884375   802.178536   1627.685824   2960.353084   4012.902033
1.890625   809.240585   1642.028694   2981.506437   4030.254734
1.896875   803.665806   1558.617678   2702.780122   3054.008481
1.903125   804.485792   1516.376634   2977.615991   3014.661075
1.909375   804.528376   1477.106877   2952.149973   3185.749983
1.915625   798.633162   1432.305489   2925.765713   3191.988656
1.921875   805.151419   1459.637488   2923.222729   3279.640671
1.928125   811.069223   1490.636843   2896.451395   3220.172596
1.934375   813.132471   1534.090704   2893.521880   3218.505481
1.940625   817.890335   1558.750792   2859.938929   2985.759776
1.946875   828.052197   1541.534809   2719.836869   3093.674328
1.953125   832.332066   1519.222924   2697.929891   3130.095142
1.959375   829.022730   1490.268779   2508.135042   3160.823306
1.965625   782.435451   1477.974298   2411.154501   3235.611294
1.971875   773.520947   1581.089825   2852.642209   3247.310083
1.978125   798.659329   1732.397452   3088.632268   3684.196391
1.984375   833.393907   1630.207189   3096.271471   3840.704001
1.990625   1216.660199   1519.488313   2986.260381   3800.722521
1.996875   1111.419189   1738.152528   3112.531839   3721.560043
2.003125   912.568899   1700.970768   2971.198936   3824.447968
2.009375   845.342102   1777.038767   2964.680514   3854.307966
2.015625   936.842305   1920.613750   3279.057277   3775.135041
2.021875   1130.958685   1852.257009   3477.744783   3703.706927
2.028125   1440.565976   2596.712339   3546.714309   5050.745792
2.034375   1466.183558   2576.077316   3537.314129   5042.714583
2.040625   483.354384   1536.034029   2721.958601   3559.670740
2.046875   862.917491   1798.052810   3024.869678   3927.905496
2.053125   879.129269   1833.451572   2904.321950   3938.483493
2.059375   850.628137   1683.424786   2955.492340   3749.885475
2.065625   884.048672   1665.604643   3212.496055   3751.081074
2.071875   848.660717   1517.291317   2774.798744   3923.230472
2.078125   783.438594   1410.120950   2723.858915   3908.966644
2.084375   611.608538   1401.548888   2603.513641   3953.318789
2.090625   620.412791   1417.803191   2505.419909   3940.351419
2.096875   286.316043   1318.546347   2508.490944   3978.548414
2.103125   754.533314   1429.606179   2531.852528   3958.090481
2.109375   1331.551204   2231.126378   3204.102521   4119.944613
2.115625   904.826882   1426.368049   2757.911008   4078.733727
2.121875   794.831323   1637.874330   2592.696608   3992.391190
2.128125   815.288603   1804.040433   2660.665982   3954.216119
2.134375   890.191239   1618.981621   2587.079109   3951.715642
2.140625   1247.085108   1334.362607   2882.241285   3946.208959
2.146875   944.486000   1554.858694   2889.241733   3894.486829
2.153125   829.791350   1359.117307   2673.634775   3907.267519
2.159375   832.664147   1285.136067   2642.552991   3960.713160
2.165625   580.772941   1332.934081   2675.210337   3960.353853
2.171875   1338.384909   2608.988321   3911.542414   4964.805712
2.178125   1349.938699   2259.969084   3694.609045   4681.781500
2.184375   1357.926514   2545.591260   3944.617551   4975.207134
2.190625   404.319811   1296.233464   2630.959931   3801.238489
2.196875   1111.365863   2392.292310   3528.039298   4900.228329
2.203125   1252.939283   2561.439669   3395.479335   4742.407878
2.209375   1234.663911   2692.947333   3221.167585   4375.742427
2.215625   908.636249   1551.631533   3015.144232   4178.111067
2.221875   836.575422   1849.499667   2914.170744   4294.081192
2.228125   1227.733078   2324.203929   3384.838530   4508.139389
2.234375   1097.736867   2135.802235   3338.410175   4401.239211
2.240625   1134.070541   2274.045259   3454.546990   4372.693120
2.246875   1203.992615   2332.976998   3273.046762   4486.495488
2.253125   834.695647   2002.603342   2177.483938   3371.453210
2.259375   854.243427   1385.538787   2683.839517   3624.206648
2.265625   917.579237   2687.777042   3831.654868   4959.870474
2.271875   740.422921   1571.058998   2812.171048   3934.589040
2.278125   680.232141   1706.844091   2867.113730   3967.548073
2.284375   733.359417   1522.645959   2824.509191   4066.827888
2.290625   612.205636   1716.418700   2871.224032   4290.427542
2.296875   583.599792   1872.087009   2941.345705   3965.868568
2.303125   654.394729   1885.256619   3029.765501   4230.753127
2.309375   1567.410447   2406.499978   3110.090634   4552.696267
2.315625   1224.497586   2307.306183   3236.103245   4643.363604
2.321875   1089.518680   2507.411520   3127.964043   4675.115220
2.328125   740.111258   2057.587524   2781.210698   3475.562228
2.334375   645.865559   1938.905732   2731.616544   3708.813195
2.340625   597.007339   1940.223772   2517.801438   3737.634951
2.346875   789.377460   1468.488163   2440.509189   3798.379130
2.353125   642.044375   1650.505195   2789.689194   3869.292087
2.359375   672.475304   1701.707272   2848.700599   4005.742730
2.365625   803.486379   1585.270873   3018.847238   4039.515302
2.371875   828.945410   1431.980882   3459.901416   4034.395563
2.378125   761.143066   1727.393854   3170.524481   3906.206826
2.384375   679.569465   1843.173200   3146.582817   4025.868884
2.390625   723.049812   1948.307826   3251.558700   4164.749163
2.396875   784.675140   1974.022830   3203.555723   3975.717629
2.403125   816.434337   1988.964299   3065.062667   4063.552507
2.409375   767.396163   1806.562374   2905.627526   3861.878351
2.415625   770.569864   1969.012029   2983.144400   3721.598480
2.421875   970.845087   2066.970549   3229.380673   4231.195646
2.428125   758.723577   1950.958800   2877.391087   4220.588244
2.434375   783.095509   1853.698046   2899.281711   4280.746328
2.440625   796.951386   1896.954672   2838.614475   4091.623788
2.446875   761.414644   1861.505114   2902.405316   3884.271984
2.453125   741.822774   1902.511597   2910.492423   3847.343820
2.459375   721.700337   1960.235242   3028.946192   4311.726456
2.465625   831.723544   1943.378909   2860.788596   3844.302362
2.471875   826.454312   1906.494346   3202.327525   4034.896466
2.478125   760.271402   1863.382811   3061.925372   4213.276990
2.484375   739.869203   1751.945744   2935.480096   4149.446016
2.490625   776.423474   1812.739269   2919.202294   4221.096857
2.496875   698.529107   1874.080497   2668.269633   3929.892748
2.503125   730.731966   1889.943096   2861.323876   3835.759714
2.509375   811.080576   1860.177828   3047.963169   3859.464261
2.515625   746.380503   1865.566085   2961.865776   4191.474934
2.521875   598.024588   1911.479578   3020.045286   4419.728689
2.528125   745.717220   1899.733727   2870.849747   4185.438600
2.534375   771.048764   1767.146432   2791.150885   3885.941357
2.540625   779.592737   1926.824792   2776.500755   3848.793024
2.546875   847.606768   1833.211327   2737.171976   3939.874715
2.553125   875.291852   1447.558066   2652.502632   4088.972570
2.559375   900.765813   1987.581359   2878.265463   4276.856181
2.565625   773.928772   1870.367176   2833.576174   4089.356385
2.571875   705.380606   1965.543386   2818.124145   4081.146561
2.578125   752.257509   1936.500301   2823.016538   3895.497623
2.584375   731.428119   1823.104559   2844.974901   4022.602957
2.590625   676.014582   1789.150354   2866.271699   3934.186824
2.596875   627.886152   2162.033609   2347.267356   3687.657904
2.603125   677.127323   1959.236778   3173.514338   3696.324113
2.609375   777.863329   1789.775015   2780.460364   3970.707582
2.615625   794.901943   1885.475955   2897.118885   4167.060675
2.621875   807.370222   1932.749705   3065.822401   4325.121567
2.628125   914.883934   1450.035571   2585.830365   3892.150282
2.634375   1221.746395   2555.848061   3930.666817   4844.589236
2.640625   848.420973   1674.708125   2524.929392   3822.614590
2.646875   546.693685   1943.627241   2919.960082   3844.156744
2.653125   521.221148   2001.161709   3023.345134   4039.778228
2.659375   626.506403   1966.123653   2918.801760   4068.326918
2.665625   1334.947299   2699.608013   2822.610277   4277.426273
2.671875   1268.965673   2680.517590   3585.818370   4865.448762
2.678125   784.969843   1530.276901   2718.441970   3632.083139
2.684375   810.565197   1480.344714   2919.754223   3923.057309
2.690625   1080.200807   2242.375494   3298.968998   4295.289893
2.696875   1105.671159   2264.528282   3546.421746   4646.413370
2.703125   927.533553   1030.917371   2372.116206   3777.486378
2.709375   1300.989025   2414.863872   3634.295862   4790.314744
2.715625   1456.812907   2509.266195   3663.974842   4930.727280
2.721875   1092.088807   1463.546249   2737.843413   3822.141190
2.728125   779.234854   1734.328507   2770.563562   4217.961009
2.734375   826.476265   1670.070205   2815.108077   3591.025351
2.740625   843.349757   1575.378015   2813.610562   3674.707289
2.746875   919.615452   1567.443525   2880.297716   3780.619591
2.753125   780.592578   1642.127131   2830.246911   3804.438642
2.759375   596.816891   1730.003719   2808.804152   3848.407302
2.765625   567.190937   1855.251227   2891.561174   4088.559645
2.771875   684.927651   1967.625229   2792.677924   4030.724775
2.778125   826.919510   2121.730659   2841.053330   4030.795416
2.784375   842.941521   1705.895346   2879.440202   3910.820306
2.790625   808.765712   1718.832166   2889.133370   3671.910766
2.796875   799.690420   1721.472322   2821.197946   3795.836054
2.803125   909.198270   1776.383879   2805.851944   3950.393749
2.809375   985.835283   1627.251568   2822.141175   4006.150389
2.815625   881.340814   1695.298730   2795.838275   3990.767836
2.821875   889.826063   1804.056956   2912.640940   4083.073163
2.828125   847.845647   1577.097057   2861.834745   3644.431200
2.834375   1420.712660   2860.932188   3543.315693   4799.090163
2.840625   1043.403534   2169.023968   3051.530777   4387.803182
2.846875   922.251026   2063.652960   2923.748073   4259.310652
2.853125   793.849597   1475.041380   2705.693497   3637.590581
2.859375   828.550020   1471.599784   2732.688656   3631.911538
2.865625   849.271000   1481.018698   2770.839232   3620.458854
2.871875   847.730818   1543.115944   2770.936820   3562.440939
2.878125   871.553618   1568.243573   2818.020772   3747.577144
2.884375   870.181663   1581.876647   2831.462468   3822.650268
2.890625   862.360328   1610.858319   2845.100426   3858.939336
2.896875   849.521029   1597.627240   2805.364310   3843.830024
2.903125   844.602912   1585.339521   2785.096279   3938.902368
2.909375   845.797005   1588.378420   2812.999399   3960.252948
2.915625   858.247642   1604.561832   2851.032547   4182.934029
2.921875   861.644746   1689.901936   2847.312370   4178.435799
2.928125   855.239950   1762.929881   2852.302271   4130.387967
2.934375   835.064537   1762.702661   2845.355864   4113.340842
2.940625   817.193498   1733.187312   2827.462701   4077.628388
2.946875   796.228409   1667.031940   2847.483306   4073.025610
2.953125   802.505388   1601.976068   2855.858587   3443.701865
2.959375   798.392345   1600.716720   2863.403277   3238.412967
2.965625   757.330632   1633.121194   2816.779947   2834.814690
2.971875   689.060465   1758.208059   2832.087023   3378.783657
2.978125   666.837253   1868.221313   2867.924437   4218.119159
2.984375   663.241519   1701.662757   2859.030356   4151.018327
2.990625   630.179991   1668.333958   2878.630074   4337.261682
2.996875   786.790785   2292.035906   2905.714026   4281.888235
3.003125   866.598303   2534.332755   3011.542870   4397.423298
3.009375   777.798251   2253.326428   2625.774756   3708.262661
3.015625   727.526714   1943.878382   2683.640576   3919.384854
3.021875   685.770905   2182.617436   2961.315828   4355.165273
3.028125   716.900788   2020.678730   3016.738954   4399.272743
3.034375   837.925894   2025.856385   2973.720696   4408.690163
3.040625   840.557126   2107.439943   3000.533167   4460.585596
3.046875   938.379261   2248.353744   3097.916701   4576.001433
3.053125   1003.704241   2351.849601   3162.495016   4654.581602
3.059375   1013.151394   2288.601601   3073.660559   4499.871703
3.065625   1094.156961   2270.750912   2903.854946   4486.465356
