Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   702.472164   1948.925255   3149.019884   4035.191182
0.034375   684.902101   1998.326708   3251.747186   3647.335884
0.040625   686.699342   2105.179031   3263.396150   4081.952213
0.046875   687.797721   2178.197683   3321.790949   4311.030080
0.053125   760.954193   2119.310944   3121.494788   4241.196724
0.059375   766.949732   2115.820949   3023.375755   4241.521879
0.065625   734.038679   2260.206562   2539.104096   4029.084230
0.071875   749.634808   2110.272759   3159.939497   4169.526159
0.078125   614.934024   1982.994901   3208.632982   3746.533621
0.084375   625.546051   1996.501817   3054.327068   3476.701477
0.090625   699.196454   2086.051436   3346.383129   3568.681858
0.096875   688.100801   1903.352677   2722.653164   3551.882071
0.103125   699.269753   2128.856983   2551.952135   3498.961950
0.109375   721.082840   2149.172328   3455.372274   4486.840783
0.115625   635.814541   2068.956189   3334.657860   4217.599546
0.121875   715.405346   2212.560027   3324.586357   4247.117341
0.128125   880.621105   2234.710241   3377.646629   4187.539956
0.134375   833.610380   2202.599259   3372.717161   4329.397779
0.140625   904.257693   2210.423370   3517.214680   4299.584100
0.146875   766.583297   2215.634089   3646.748120   4053.270930
0.153125   560.227406   2088.008713   3277.107596   4252.605476
0.159375   592.491069   1865.736792   2984.881405   3753.624666
0.165625   696.197749   2056.020042   3255.745879   4363.260865
0.171875   812.930865   2101.382144   3268.788971   4369.167732
0.178125   558.865672   2072.926171   3368.247039   3589.133241
0.184375   559.228857   2089.127142   2522.505130   3549.689843
0.190625   618.050985   2047.899818   3370.311843   3502.997162
0.196875   704.606683   2021.879960   3451.722461   3711.989851
0.203125   687.856572   2026.281711   3355.858347   3799.469190
0.209375   681.909357   2069.365280   3413.678097   4200.059196
0.215625   656.879847   1986.965811   3271.398081   4297.322627
0.221875   663.947340   2006.708127   3246.233789   4106.009133
0.228125   635.377251   2150.739275   3399.257847   4296.930731
0.234375   576.026113   2052.269294   3390.621707   4049.696568
0.240625   626.257944   2073.116579   3423.571793   4266.756363
0.246875   628.113213   2081.676687   3212.468654   4560.615003
0.253125   660.731992   2092.157254   3198.932334   4380.087368
0.259375   604.965263   2143.798410   2723.718299   3837.882114
0.265625   619.025458   2032.393724   2722.929388   4026.955653
0.271875   661.107740   2196.334972   3103.115274   4132.103502
0.278125   736.321057   2196.697602   3286.724777   4206.629501
0.284375   697.053697   2161.515842   3087.952389   4325.560353
0.290625   565.168675   2060.657283   2997.041323   4119.120324
0.296875   541.766543   1946.511561   2857.551830   4095.871867
0.303125   553.550097   2052.442772   2957.139395   4188.335657
0.309375   595.227848   2056.957091   3298.921946   4310.423412
0.315625   605.530644   2085.669211   3338.179222   3968.495108
0.321875   589.756785   1993.710463   3158.986778   3821.740151
0.328125   593.995338   1930.131649   2993.404866   4041.992269
