Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1007.488540   1881.253302   2607.194328   3620.824505
0.034375   804.269957   1801.701658   2585.565952   3561.277966
0.040625   806.504239   1880.841563   2601.174636   3564.917380
0.046875   813.643205   1882.257310   2637.452381   3527.252299
0.053125   833.565509   2468.330048   2872.535515   5139.893355
0.059375   868.486518   2367.756490   3031.000277   4512.073703
0.065625   954.336292   2255.482008   3015.687369   4271.612121
0.071875   918.657921   2150.734308   2950.179614   4156.917438
0.078125   848.754641   1741.660837   2865.440705   4094.105013
0.084375   1803.303668   2865.551606   --undefined--   --undefined--
0.090625   1758.291102   2835.476942   --undefined--   --undefined--
0.096875   663.395377   1524.887646   2841.939810   4084.338279
0.103125   884.718235   1665.702883   2942.942989   4008.257675
0.109375   186.001556   2083.518173   2737.550185   3859.014541
0.115625   2055.368611   2803.242853   --undefined--   --undefined--
0.121875   1956.461181   2988.486954   --undefined--   --undefined--
0.128125   1936.716396   2872.308695   --undefined--   --undefined--
0.134375   625.510552   2056.100888   3177.822337   3881.290995
0.140625   926.722967   2199.675165   3396.237414   4028.876878
0.146875   947.774848   2051.228755   2910.784188   4010.062423
0.153125   853.151046   1845.685739   2997.288894   4162.051477
0.159375   875.243998   1941.070546   2837.293918   4147.813162
0.165625   728.635780   1843.829254   2950.873395   4036.051590
0.171875   780.265379   1711.223105   2906.688326   4017.961978
0.178125   751.992744   1856.159115   2812.496496   3951.817384
0.184375   818.904096   1940.306251   2802.809489   3957.536909
0.190625   996.653764   2281.749063   2729.386893   3821.641509
0.196875   310.976850   2175.625484   2642.516412   3995.083630
0.203125   2018.712602   3069.717274   --undefined--   --undefined--
0.209375   746.813460   2017.432171   3008.045801   4069.531287
0.215625   1224.259381   2545.409881   3911.980171   4863.038248
0.221875   1613.591279   2781.665480   --undefined--   --undefined--
0.228125   597.352312   1674.736306   2794.751416   3963.493059
0.234375   624.737753   1498.305603   2763.285394   3945.299755
0.240625   1628.517754   2773.940267   --undefined--   --undefined--
0.246875   1484.036353   2787.357787   3881.145304   5129.233571
0.253125   762.124924   1594.676247   2899.954999   4093.656649
0.259375   1694.362534   2927.552254   --undefined--   --undefined--
0.265625   1660.999424   3009.345701   --undefined--   --undefined--
0.271875   1707.757491   2992.637875   --undefined--   --undefined--
0.278125   615.442323   1793.751372   2892.622785   3876.883408
0.284375   992.396124   2242.009135   3593.578561   4150.344844
0.290625   745.614996   2266.350873   3424.180570   4754.611012
0.296875   733.694551   2319.395555   3244.410231   3993.439794
0.303125   1503.074963   2736.453748   --undefined--   --undefined--
0.309375   866.082170   1644.539161   2639.160520   3930.399668
0.315625   924.830642   1800.185278   2787.177105   3995.439572
0.321875   714.526133   2035.392722   3209.841772   4085.593315
0.328125   634.530014   2038.077370   3216.298588   4086.560701
0.334375   871.498622   1970.672670   3196.108680   3818.495839
0.340625   973.304525   2044.117293   3168.618897   3916.548897
0.346875   923.734116   2071.875383   2930.222331   3897.740411
0.353125   680.796028   2181.255623   2750.580367   3907.861287
0.359375   665.119780   1982.271148   2935.080909   4040.754219
0.365625   1832.701765   2918.734598   --undefined--   --undefined--
0.371875   758.043052   1930.447702   2907.603068   4082.568146
0.378125   903.971239   2042.227294   3005.098790   4010.701877
0.384375   782.169407   1999.278255   3049.786031   3907.331022
0.390625   914.715937   1894.322749   3146.427454   3952.988238
0.396875   1060.776322   1955.380825   2891.290565   3978.125509
0.403125   1113.637168   1883.179290   2753.757829   3879.576930
0.409375   1543.105876   2784.202970   --undefined--   --undefined--
0.415625   647.947763   1495.238738   2870.191057   4071.105366
0.421875   969.828277   1926.786933   2908.985396   4144.002562
0.428125   767.174779   1777.600151   2910.806477   4039.612886
0.434375   1946.251515   2839.646260   --undefined--   --undefined--
0.440625   765.576256   1952.259090   3093.978613   3912.758507
0.446875   867.150138   1963.695695   3130.342596   3914.095838
0.453125   844.891589   2057.728658   3030.312599   4014.606940
0.459375   508.895745   1799.454296   2852.419616   4136.839748
0.465625   386.485552   1812.153873   2924.516589   4178.638527
0.471875   649.804087   1906.967690   2916.492482   4164.764172
0.478125   913.695943   1798.122650   3006.596155   4065.990918
0.484375   1570.755342   2754.633810   --undefined--   --undefined--
0.490625   1197.545621   2242.120371   2653.426367   3770.310039
0.496875   1074.904624   2235.375216   2828.739697   3784.684018
0.503125   1041.674160   2001.253505   2823.463442   3909.158428
0.509375   1670.773592   2772.276690   --undefined--   --undefined--
0.515625   1578.400636   2942.952646   --undefined--   --undefined--
0.521875   870.893831   2084.287209   3206.690157   4032.505984
0.528125   1238.790473   1634.449442   2847.256633   4056.787731
0.534375   1513.774961   1649.776711   2752.003087   4211.768159
0.540625   881.390959   1826.997621   2862.482572   4212.155119
0.546875   727.107256   1871.902106   2917.221993   4233.157466
0.553125   708.206434   1862.284322   2972.083801   4190.239676
0.559375   672.676281   1794.056574   2980.384303   4067.009882
0.565625   737.497677   1873.686533   2969.430418   4172.829949
0.571875   878.398295   1958.075270   3087.855724   4175.170480
0.578125   872.172750   1977.856882   2888.440971   4182.114939
0.584375   920.439571   1910.644282   2833.192100   4136.223384
0.590625   887.431694   2046.605830   2844.916095   3977.179004
0.596875   1030.102647   2247.976180   2315.221065   3769.458051
0.603125   606.635300   2103.762018   2232.779814   3726.866191
0.609375   750.290145   2049.655904   2778.433507   3811.600275
0.615625   652.201211   2050.028278   2987.973410   4108.567846
0.621875   586.539689   2052.639221   2933.367339   4186.256164
0.628125   546.501992   2121.953005   3074.989102   4088.042571
0.634375   366.487003   2096.037815   2942.282910   4129.068633
0.640625   373.887925   2178.436376   3024.306497   4203.856110
0.646875   416.160642   2176.030802   3065.762705   4142.886970
0.653125   446.705706   2196.200211   2863.531798   4128.702298
0.659375   460.664669   2271.877269   2932.734705   4137.987538
0.665625   489.329717   2306.178093   3018.035428   4167.656206
0.671875   496.622842   2313.590206   2907.272566   4188.285086
0.678125   497.448789   2345.616731   2754.082570   4203.032107
0.684375   496.602375   2359.748210   2866.482218   4204.407581
0.690625   495.733195   2354.541316   2840.112299   4157.151967
0.696875   497.342245   2354.418700   2819.282382   4203.822519
0.703125   498.026075   2360.787284   2846.746775   4219.779893
0.709375   503.586927   2363.846165   2830.727217   4223.184269
0.715625   501.381343   2355.323501   2831.480653   4231.479265
0.721875   500.329645   2362.404222   2886.469428   4219.385816
0.728125   506.553672   2372.905352   2928.250827   4231.666800
0.734375   503.298476   2363.660309   2933.176856   4246.817848
0.740625   500.259601   2321.693479   2951.441535   4256.960052
0.746875   502.090514   2254.342336   2986.300699   4207.501861
0.753125   501.865299   2222.549046   2940.891609   4147.091416
0.759375   495.297557   2209.433374   3000.805983   4186.562102
0.765625   491.026347   2205.740632   3045.955283   4143.500289
0.771875   491.151474   2212.349338   3042.508914   4144.755543
0.778125   495.473884   2204.157243   3042.523656   4142.145908
0.784375   496.299109   2178.690616   3011.490194   4183.743010
0.790625   487.265220   2116.747654   3000.478684   4173.438471
0.796875   468.410374   2042.972922   3007.044427   4213.271758
0.803125   461.470783   1988.447794   3053.340905   4264.302154
0.809375   457.534467   1961.039416   3088.363785   4257.984724
0.815625   408.032205   1991.393702   3120.981670   4309.037294
0.821875   379.052242   2137.095839   3555.433939   4535.774398
0.828125   361.196895   2043.450998   2882.592326   4115.406376
0.834375   392.231162   2034.470183   2926.922754   3989.714867
0.840625   459.782323   2072.417101   3108.444094   4089.655360
0.846875   500.498480   2108.138900   3313.921624   4193.078579
0.853125   519.226907   2023.398600   3470.430625   4211.609498
0.859375   557.097211   2039.281814   3395.308761   3973.898258
0.865625   512.114260   2033.620065   3401.571300   4162.259553
0.871875   442.974517   1999.905009   3490.281788   4420.410820
0.878125   498.727266   2080.196518   3429.718463   4752.673958
0.884375   520.204841   1995.835781   3515.661368   4529.299848
0.890625   443.562185   1937.289349   3034.318026   4400.457923
0.896875   2098.607024   2266.198362   4472.737814   5242.625155
0.903125   1486.384798   2206.813150   3936.774220   5170.829497
0.909375   1637.565017   2209.632897   3935.368559   5205.092982
0.915625   1582.476490   2211.658388   3909.859321   5248.476158
0.921875   1545.285490   2214.375723   3818.038094   5284.518242
0.928125   1590.130262   2420.835840   --undefined--   --undefined--
0.934375   1568.360065   2254.543220   3753.868886   5114.994355
0.940625   1565.485468   2408.141933   3838.308634   5099.618975
0.946875   1527.141990   2508.299657   3827.570380   5171.122994
0.953125   240.540523   1555.179203   2769.328336   4019.062581
0.959375   625.563293   1684.105640   2791.811215   4429.871351
0.965625   660.402866   1612.507695   2811.219601   4403.047344
0.971875   628.932987   1712.680823   2790.181205   4167.054540
0.978125   624.742512   1786.606878   2891.580159   3996.203710
0.984375   672.734381   1659.702838   2710.228084   3977.976861
0.990625   775.757105   1616.961817   2609.886073   4030.395180
0.996875   915.186228   1620.553775   2698.632280   4185.464177
1.003125   836.556493   1663.855732   2606.190455   4037.896629
1.009375   1320.723634   1334.723624   2622.071598   3955.991929
1.015625   1348.481525   1351.631950   2629.846562   3857.168381
1.021875   1121.905547   1400.781278   2656.664986   3757.276862
1.028125   813.161240   1412.101072   2804.547539   3879.276652
1.034375   778.818269   1437.808690   2936.187675   4056.240716
1.040625   860.231876   1550.124724   2931.930122   4100.022812
1.046875   911.342210   1534.527671   2986.612148   3966.646253
1.053125   929.570730   1569.535983   3136.955076   4032.050105
1.059375   924.516530   1519.783901   3213.232176   4054.903997
1.065625   1097.540016   1567.329898   3259.185455   3936.584119
1.071875   1039.048224   1513.465510   3227.993267   3902.629808
1.078125   928.155202   1531.265087   3180.426603   3865.992570
1.084375   889.932330   1410.092015   3066.740560   3840.106891
1.090625   495.060203   1312.898157   3053.860200   3865.041672
1.096875   556.037950   1161.086500   3223.576207   3964.935854
1.103125   685.079433   1255.610675   3382.713219   4035.835787
