Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   677.690312   1540.356142   2523.451389   3356.575882
0.031250   689.267243   1735.142474   3162.139489   3945.105293
0.037500   605.608424   1672.477262   2960.208445   3704.539625
0.043750   477.727372   1528.020051   2729.603635   3401.073757
0.050000   565.619766   1538.166363   2509.071069   3197.771581
0.056250   689.203295   1497.548063   2509.936314   3373.967327
0.062500   695.132901   1667.452510   2717.942329   3807.286501
0.068750   642.380751   1649.778146   2683.905785   3154.886553
0.075000   516.592175   1663.223833   2847.646412   3090.923431
0.081250   556.464927   1741.761122   2977.956485   3865.632218
0.087500   584.726355   1718.117790   2918.754066   3833.635327
0.093750   593.185893   1608.785837   2347.180318   3410.715349
0.100000   584.410427   1601.589281   2437.483506   3368.994319
0.106250   624.167048   1561.421040   2682.979848   3483.499603
0.112500   626.858151   1511.521349   2797.966995   3693.207827
0.118750   716.279114   1508.707283   2717.986755   3885.669358
0.125000   697.896284   1525.063822   2614.074070   3702.013607
0.131250   664.243843   1599.633656   2593.761925   3514.604223
0.137500   645.186444   1543.819429   2291.575267   3616.889290
0.143750   790.833416   1929.742503   2658.447151   4004.774925
0.150000   729.715187   1664.508629   2733.190911   3952.861048
0.156250   618.391239   1603.045671   2814.157473   3946.771834
0.162500   645.949571   1571.760797   2764.464507   3778.995660
0.168750   632.084223   1530.262267   2601.479401   3713.091671
0.175000   716.227590   1552.034844   2844.260621   3878.114435
0.181250   764.590475   1753.160736   3032.785198   3914.156673
0.187500   615.311647   1767.239867   2969.590011   3739.729491
0.193750   598.831546   1738.906970   2593.084011   3318.408200
0.200000   886.167949   2000.768318   3219.622206   4695.738304
0.206250   821.676055   2111.781693   3357.332366   3701.171815
0.212500   711.788959   1718.864529   2893.763611   3969.810876
0.218750   782.601636   1814.576456   3012.835644   3910.005725
0.225000   579.140123   1517.533401   2353.838214   3408.682838
0.231250   573.781166   1575.036449   2524.358849   3446.479409
0.237500   590.700670   1560.135228   2486.515891   3724.458318
0.243750   551.419723   1599.709054   2382.733028   3726.567822
0.250000   654.330745   1578.480457   2356.461913   3671.783002
0.256250   665.437239   1507.364325   2625.520972   3528.480202
0.262500   564.269497   1553.708126   2775.642915   3317.239272
0.268750   529.832737   1610.176726   3033.322888   3310.362121
0.275000   621.208490   1657.156037   2831.777208   3675.423932
0.281250   645.889469   1826.262139   3012.259800   4220.190133
0.287500   619.749471   1860.724623   2909.857761   4113.273927
0.293750   604.239413   1744.567220   2686.742643   3401.694120
0.300000   614.952368   1901.738135   2302.378291   3445.967314
0.306250   805.223658   1961.554992   3166.058183   4039.922018
0.312500   608.552834   1634.371244   2565.850263   4326.695137
0.318750   626.483620   1647.150803   2575.486695   3649.913282
0.325000   650.686248   1523.554319   2358.627656   3602.050926
0.331250   572.645827   1507.722558   2511.226363   3810.968726
0.337500   645.403048   1626.756245   2723.123366   4005.378483
0.343750   600.339383   1609.350974   2743.368903   4034.840935
0.350000   630.676149   1575.422650   2670.593671   4049.256984
0.356250   699.337556   1571.297538   2738.814960   4017.128875
0.362500   599.741904   1483.156013   2566.154614   3919.534240
0.368750   566.256233   1554.117449   2466.991796   3804.080236
0.375000   701.403554   1535.318810   2629.091843   3977.444904
0.381250   735.132869   1559.653753   2821.527001   4088.284876
0.387500   572.022332   1749.618918   3028.453364   4356.800295
0.393750   564.439267   1770.552055   2765.643765   4018.430353
0.400000   570.961388   1688.840204   2635.836791   3932.569828
0.406250   676.061908   1714.517297   2990.446297   3659.435917
