Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1636.964537   2422.203928   2929.871253   4787.538640
0.031250   1741.332910   2415.542562   2950.528745   4747.598106
0.037500   1884.413062   2356.303232   2948.758639   4791.286413
0.043750   1914.853102   2156.642488   2976.353020   4468.113545
0.050000   1441.211928   2070.562487   2821.388242   3113.053507
0.056250   1366.018842   1974.675430   2519.365320   3362.872021
0.062500   1347.247378   2097.233089   2664.409084   3401.841829
0.068750   1375.814009   2136.470733   2766.770116   3520.098625
0.075000   1506.796246   2095.565733   2824.320541   3551.471198
0.081250   1548.764786   2117.533507   2947.729324   3558.260360
0.087500   1567.935396   2074.726729   2792.285925   3468.741496
0.093750   1486.196558   1972.224042   2627.062972   3336.244325
0.100000   1172.657940   2004.920383   2837.445773   3229.981968
0.106250   1180.027920   2010.237390   3117.882638   3754.345804
0.112500   982.510444   1821.901565   2771.682576   3337.119593
0.118750   906.383163   1824.834235   2615.772685   3297.900336
0.125000   877.083828   1829.787070   2751.580674   3260.473262
0.131250   922.918185   1861.199642   2593.642127   3467.851874
0.137500   975.450823   1797.063909   2486.666982   3437.441538
0.143750   1003.030624   1682.450695   2470.183185   3365.587729
0.150000   997.425870   1785.954615   2500.377259   3272.101384
0.156250   928.611587   1922.918990   2464.039800   3200.183025
0.162500   931.433600   1674.713182   2321.243780   3194.983905
0.168750   1654.543197   2404.838932   3105.540725   4790.352525
0.175000   490.386929   1748.514222   2420.372800   3089.139150
0.181250   642.515582   1890.199014   2597.920601   3291.659812
0.187500   754.388342   1952.440845   2882.011581   4699.178385
0.193750   738.458366   1776.529626   2677.417636   3101.342682
0.200000   835.343381   1655.801728   2527.840464   3168.993240
0.206250   1139.480130   1603.505283   2432.486989   3254.040255
0.212500   1322.210906   1612.891370   2815.986595   3012.424876
0.218750   1083.285016   1686.755518   2595.201375   3160.366522
0.225000   1104.086577   1866.561951   2500.640927   3326.420451
0.231250   1130.296079   1979.319253   2495.320444   3404.391781
0.237500   1033.313964   1748.703060   2584.571048   3480.587880
0.243750   981.227545   1667.092156   2523.294876   3423.476800
0.250000   977.024440   1742.770711   2618.096051   3328.738369
0.256250   1022.463097   1859.403184   2784.502258   3102.450456
0.262500   1121.324258   1821.072914   2861.223994   3320.084873
0.268750   1201.043171   1796.981283   2933.187750   3245.387196
0.275000   1192.989660   1928.138478   2668.502515   3229.235185
0.281250   1039.905172   2109.021180   2887.966048   4172.279371
0.287500   1061.197341   1860.037987   2673.949572   3440.223579
0.293750   1005.629992   1760.781505   2715.808719   3411.285738
0.300000   1221.994565   1952.692053   2579.433311   3102.080610
0.306250   1385.823323   2048.694390   2921.958558   2925.313580
0.312500   1416.518191   2271.762407   2326.749900   3017.466393
0.318750   1462.248429   2279.557239   2412.031534   3238.510097
0.325000   1381.501643   2189.244094   2349.471570   3401.126631
0.331250   1100.634749   1882.148553   2574.903433   3458.606807
0.337500   1121.345159   2235.782526   2429.675225   3350.852304
0.343750   1124.155623   1217.859048   2292.682503   3293.863855
0.350000   1022.851753   1968.114282   2220.430841   3213.733668
0.356250   906.063745   1761.737169   2552.777484   3326.026212
0.362500   949.783058   1726.851438   2537.549690   3393.180478
0.368750   1063.742071   1567.580331   2425.339045   3444.918866
0.375000   1236.125668   1571.558187   2384.977644   3326.586958
0.381250   1175.295241   1855.968915   2780.860367   3319.506253
0.387500   1168.282034   2020.764748   2660.294996   3358.777151
0.393750   1243.042145   2189.441603   2765.966468   3120.926646
0.400000   1191.621321   1858.458258   2691.515957   3208.975416
0.406250   1004.301224   1755.936990   2537.030158   3311.528653
0.412500   982.358595   1707.438554   2541.796268   3273.189294
0.418750   947.932220   1731.137150   2605.893363   3187.327965
0.425000   1069.496084   1784.984414   2342.238492   3398.665154
0.431250   1081.343005   1898.860675   2530.757445   3408.529742
0.437500   1186.932095   1971.966260   2621.520404   3248.938998
0.443750   1192.015529   2309.501771   2501.225429   3348.515505
0.450000   1034.082927   1978.469089   2429.983995   3358.022702
0.456250   922.405790   1953.778514   2302.438293   3257.534983
0.462500   819.799794   1798.104183   2541.477742   3236.876158
0.468750   745.417326   1693.070223   2529.660456   3208.061159
0.475000   1573.577754   2452.889541   --undefined--   --undefined--
0.481250   991.257473   1630.898227   2492.544326   3264.526260
0.487500   1159.270854   1807.478054   2754.402712   3183.254413
0.493750   1184.066009   2086.338680   3025.942966   4085.656434
0.500000   1059.669354   1901.589321   2619.717011   3427.867502
0.506250   1090.281036   1775.157121   2761.956150   3547.869127
0.512500   1109.148708   1779.703658   2633.449295   3571.861665
0.518750   1034.809385   1770.245507   2575.662973   3500.928380
