Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   647.707984   1564.668805   2434.986203   3561.632994
0.031250   428.856000   1580.033784   2391.071245   3587.021264
0.037500   1223.785988   2361.244316   --undefined--   --undefined--
0.043750   1463.468373   2462.273704   3565.387875   4111.574582
0.050000   1458.351521   2457.569538   3080.365938   4229.684421
0.056250   1372.332644   2264.686706   3138.009167   4279.039200
0.062500   1586.333144   2508.201496   3018.438088   4193.977616
0.068750   1580.051662   2620.279407   3271.472151   4186.384334
0.075000   1493.643554   2695.320726   --undefined--   --undefined--
0.081250   1513.727528   2728.521161   --undefined--   --undefined--
0.087500   1824.878619   2415.112807   --undefined--   --undefined--
0.093750   484.353066   1954.638607   2716.292311   3684.580262
0.100000   1403.266930   2316.026013   3468.650922   4648.917205
0.106250   892.271304   2100.166213   --undefined--   --undefined--
0.112500   1339.332530   2299.826236   3329.454046   4233.715632
0.118750   1296.070647   2321.988957   3414.554887   4300.528562
0.125000   1534.522420   2439.210668   3352.483941   4210.783983
0.131250   1616.687413   2507.210655   3294.133159   4235.399693
0.137500   1390.423880   2341.917132   3276.203786   4334.352549
0.143750   1355.464900   2462.160523   3597.126927   4496.403039
0.150000   1466.965337   2461.534200   3630.857974   3892.586492
0.156250   1513.898214   2444.761415   --undefined--   --undefined--
0.162500   1638.983853   2548.821877   --undefined--   --undefined--
0.168750   1471.984738   2386.539754   3790.557197   4536.171047
0.175000   1345.395394   2464.709002   3721.167910   4256.635029
0.181250   1555.200387   2559.696266   --undefined--   --undefined--
0.187500   1406.994938   2347.014448   3384.432402   4269.557121
0.193750   1518.483662   2582.466121   --undefined--   --undefined--
0.200000   1547.836704   2355.353171   --undefined--   --undefined--
0.206250   1383.002660   2326.804931   --undefined--   --undefined--
0.212500   1585.171252   2610.506508   --undefined--   --undefined--
0.218750   1777.401609   2948.042399   --undefined--   --undefined--
0.225000   1529.427959   2581.839204   3653.051385   4316.373978
0.231250   1637.669492   2614.393338   --undefined--   --undefined--
0.237500   1759.094251   2624.480457   --undefined--   --undefined--
0.243750   1631.109051   2649.178682   --undefined--   --undefined--
0.250000   1392.180877   2524.517886   3623.742210   4388.937491
0.256250   1481.072496   2453.836433   --undefined--   --undefined--
0.262500   1579.944170   2695.238231   --undefined--   --undefined--
0.268750   1587.501959   2563.597411   --undefined--   --undefined--
0.275000   1427.414556   2382.535140   3435.770800   4419.067059
0.281250   1522.088184   2319.283834   3423.916847   4491.571277
0.287500   1507.939543   2238.911989   --undefined--   --undefined--
0.293750   1510.093238   2314.880897   3495.246722   4431.939880
0.300000   1388.132300   2448.514925   3189.454620   4277.662809
0.306250   1719.025651   2708.060350   --undefined--   --undefined--
0.312500   582.831353   1751.140635   2793.998060   3771.423196
0.318750   640.552407   1626.367340   2768.532564   3740.070936
0.325000   96.063537   1321.880202   2657.120995   3744.459668
0.331250   1549.145402   2773.703984   --undefined--   --undefined--
0.337500   1512.891900   2611.496580   3360.421366   4393.900158
0.343750   1437.678433   2352.049976   3340.303079   4271.259468
0.350000   1597.562874   1919.232493   3182.386132   4311.742812
0.356250   1512.289118   2336.322372   --undefined--   --undefined--
0.362500   1471.210232   2424.610303   --undefined--   --undefined--
0.368750   177.191650   1564.129307   2742.975295   3615.162671
0.375000   1610.122128   2674.163040   --undefined--   --undefined--
0.381250   1656.744579   2674.405536   --undefined--   --undefined--
0.387500   1646.041916   2650.481593   --undefined--   --undefined--
0.393750   1296.668170   2448.167362   3409.558818   4776.108634
0.400000   1532.680617   2553.044566   --undefined--   --undefined--
0.406250   348.502367   1664.569970   2616.445915   3605.949517
0.412500   1369.075941   2509.438096   --undefined--   --undefined--
0.418750   1395.952192   2459.319857   --undefined--   --undefined--
0.425000   1358.011068   2379.754235   --undefined--   --undefined--
0.431250   1375.075174   2458.004762   --undefined--   --undefined--
0.437500   1318.660266   2286.498529   3345.988427   4913.262038
0.443750   1397.725676   2158.363619   3356.071780   4531.380887
0.450000   1689.050371   2124.912363   3388.297166   4815.450992
0.456250   1607.332011   2709.847169   --undefined--   --undefined--
0.462500   372.379673   1671.617602   2641.695493   3783.372166
0.468750   1493.596912   2563.791708   --undefined--   --undefined--
0.475000   1491.918488   2610.802790   --undefined--   --undefined--
0.481250   1504.099506   2737.839370   --undefined--   --undefined--
0.487500   1497.503564   2574.112258   --undefined--   --undefined--
0.493750   1482.501177   2494.117414   --undefined--   --undefined--
0.500000   1527.474395   2376.817425   3390.645519   4643.487159
0.506250   1523.960614   2294.763696   3558.305781   4846.265416
0.512500   1608.821302   2611.409943   --undefined--   --undefined--
0.518750   1649.127999   2801.540175   --undefined--   --undefined--
0.525000   469.532518   1491.086995   2390.282350   3451.459824
0.531250   860.861335   1960.314919   2917.609380   4097.016458
0.537500   905.700422   2066.662321   3202.720876   4665.996522
0.543750   966.734204   2099.341338   2980.815449   4003.127920
0.550000   928.631309   2076.587546   2810.850305   3945.250479
0.556250   273.872446   1445.756961   2583.460331   3427.892744
0.562500   516.075276   1597.664960   2519.757919   3576.704313
0.568750   530.346108   1809.680765   2669.105632   3712.249954
0.575000   468.860115   1943.215818   3001.954401   3832.700299
0.581250   497.326202   1918.223398   3153.733275   3863.657353
0.587500   754.312983   2009.753609   3015.596924   3798.623636
0.593750   649.326231   1962.004454   2844.739258   3881.415415
0.600000   388.009284   1773.205251   2798.570356   3964.537292
0.606250   497.472690   1960.766277   2669.454912   3926.362897
0.612500   810.629038   2063.392116   2873.967387   3965.605682
0.618750   878.395236   1923.411322   3038.067370   3826.655638
0.625000   943.669407   1999.002870   3127.522926   3724.600400
0.631250   344.724891   1852.245353   2600.829338   3796.774286
0.637500   521.956020   1839.650912   2578.829306   3498.652767
0.643750   506.831301   1776.361126   2572.963473   3347.174969
0.650000   647.366550   1990.982097   2672.064996   3044.419590
0.656250   642.296229   1966.301991   2708.411297   2818.530279
0.662500   670.806732   1923.152977   2754.501393   2810.358929
0.668750   721.782683   2076.990006   2812.942059   3147.522165
0.675000   759.919678   2257.649043   2786.131633   2876.506790
0.681250   917.102696   2217.854683   2773.549054   2885.544588
0.687500   635.708299   1749.634578   2730.092813   3277.019476
0.693750   553.745710   1749.552098   2670.402704   3333.084900
0.700000   380.864100   1706.080102   2750.213054   3375.693691
0.706250   395.586979   1750.660169   2764.149084   3331.812396
0.712500   410.058727   1709.330604   2655.565138   3477.199395
0.718750   404.744765   1657.310464   2643.311411   3522.244170
0.725000   394.823169   1660.191473   2501.970380   3581.316590
0.731250   382.782368   1706.345304   2525.291694   3556.082229
0.737500   391.944168   1680.863898   2489.684815   3498.651118
0.743750   396.383175   1756.062098   2399.045937   3499.767958
0.750000   389.273581   1866.774638   2428.393380   3528.949605
0.756250   373.599403   1983.522960   2497.813409   3531.803146
0.762500   343.152076   2034.482477   2547.522683   3547.912998
0.768750   321.385332   2054.129674   2606.667021   3579.827782
0.775000   317.690891   2092.165752   2672.531420   3341.776982
0.781250   320.351223   2140.931604   2744.508530   3312.656748
0.787500   327.638246   2120.046614   2791.850804   3238.120226
0.793750   337.154237   2130.479037   2814.625706   3006.254993
0.800000   332.832741   2141.151155   2873.014564   2923.329703
0.806250   322.028444   2173.936245   2840.188691   2943.250280
0.812500   328.819560   2165.813178   2515.400267   3025.701954
0.818750   336.697354   2124.211926   2447.544899   3031.775991
0.825000   333.018737   2100.960496   2559.770255   3025.536493
0.831250   329.111526   2081.272314   2623.285793   3031.998880
0.837500   330.559394   2123.414441   2593.789881   3035.297800
0.843750   342.974776   2163.600275   2690.384489   3003.693869
0.850000   344.599284   2247.402361   2441.534868   2941.819402
0.856250   333.391677   2182.958489   2932.792369   2945.374212
0.862500   316.238623   2177.219706   2850.435634   3467.820130
0.868750   312.148125   2165.988657   2800.979887   3552.601001
0.875000   328.247987   2136.684161   2724.717221   3540.940655
0.881250   346.024479   2109.118266   2658.990714   3507.368676
0.887500   346.754427   2042.796618   2604.635370   3502.570486
0.893750   349.014011   2011.750922   2576.108684   3549.314410
0.900000   353.188436   1967.919615   2552.533930   3534.178472
0.906250   348.822544   1881.506632   2468.281975   3441.357830
0.912500   344.598216   1901.908613   2440.681355   3452.139360
0.918750   257.319447   1989.804693   2492.284870   3530.285476
0.925000   290.903730   1976.280995   2592.902419   3415.804512
0.931250   347.198028   1967.912535   2687.595211   3421.371074
0.937500   347.882782   2002.357809   2755.616429   3555.879080
0.943750   316.731644   1910.994622   2720.222141   3696.063814
0.950000   335.279528   1836.574774   2754.341244   3739.304749
0.956250   366.414069   1945.347654   2729.530926   3896.500365
0.962500   340.220848   1836.945117   2668.987583   3782.161441
0.968750   366.153794   1824.954450   2672.528804   3766.432628
0.975000   305.590151   1811.047583   2648.415410   3754.732543
0.981250   1736.734682   2480.750855   3699.391736   4591.365582
0.987500   1814.467247   2564.972464   3853.959799   4687.407340
0.993750   1689.540905   2607.751632   3913.167869   4886.411822
1.000000   1687.462285   2606.725037   3821.469055   4712.009987
1.006250   1698.303682   2471.323341   3493.835428   4650.743080
1.012500   510.566066   1690.585682   2564.126801   3739.841318
1.018750   494.612246   1703.256103   2585.487981   3682.199521
1.025000   474.879746   1710.719432   2610.855139   3838.639342
1.031250   1647.122032   2456.475217   3818.681113   4568.420262
1.037500   177.284213   1639.955291   2747.550802   3849.639414
1.043750   350.064860   1615.372179   2730.268867   3860.668756
1.050000   200.508058   1586.964707   2419.065775   3811.027512
1.056250   450.594299   1525.551412   2596.037704   3575.994662
1.062500   532.035057   1557.520456   2393.485553   3560.862736
1.068750   537.091346   1611.938412   2454.680422   3713.648277
1.075000   524.739953   1604.752349   2506.027365   3567.622936
1.081250   492.671133   1586.825794   2538.553077   3703.564051
1.087500   733.729807   1495.445757   2542.651140   3890.306668
1.093750   748.098428   1431.195229   2472.859599   3897.242267
1.100000   622.597314   1374.684105   2397.864853   3850.401770
1.106250   551.539230   1353.100921   2606.070519   3978.814916
1.112500   533.676743   1380.790032   2561.387094   3845.984920
1.118750   796.955580   1370.035212   2676.243582   4020.740128
1.125000   645.400385   1406.811149   2583.731101   4063.972138
1.131250   652.126650   1385.172642   2579.783180   3820.289992
1.137500   622.192237   1345.804543   2584.600102   3775.169701
1.143750   479.341033   1239.371201   2551.677664   3884.719355
1.150000   482.540615   997.038507   2376.231808   3649.963672
1.156250   475.623835   979.769339   2364.699471   3494.663505
1.162500   478.105358   973.302426   2346.208901   3421.298803
1.168750   499.429962   972.902505   2372.893507   3394.470250
1.175000   508.395838   976.062309   2374.328031   3371.907479
1.181250   520.911348   974.911858   2370.518567   3399.965378
1.187500   531.465548   976.625202   2392.929449   3410.461502
1.193750   539.422386   958.527886   2407.255099   3417.517694
1.200000   541.957966   949.672709   2433.227323   3408.329907
1.206250   543.587260   939.182779   2471.104120   3378.998063
1.212500   542.913028   911.374921   2477.047386   3401.520766
1.218750   539.532739   898.903118   2492.030100   3442.485442
1.225000   527.782225   888.966137   2504.788800   3447.021232
1.231250   506.130475   900.347461   2548.920425   3464.923126
1.237500   498.721150   900.796244   2560.955834   3442.222072
1.243750   504.878467   873.824730   2546.761439   3429.415720
1.250000   501.031338   833.785188   2559.109069   3439.011330
1.256250   487.953848   828.419414   2592.693432   3469.372619
1.262500   486.804100   856.559909   2586.908617   3475.765544
1.268750   499.794471   846.255188   2595.630431   3459.441625
1.275000   513.259890   777.540684   2594.547831   3488.451550
1.281250   511.662188   785.701887   2565.151183   3495.382717
1.287500   516.122325   761.711095   2574.275099   3460.941702
1.293750   523.094041   734.687216   2569.520135   3436.212681
1.300000   520.849340   714.714343   2558.980473   3435.650341
1.306250   509.730759   729.821095   2543.026124   3452.830085
1.312500   504.624011   740.180208   2523.055210   3449.511588
1.318750   497.306090   732.531020   2500.158759   3446.984263
1.325000   481.780245   736.477565   2482.951121   3448.938958
1.331250   472.209535   725.075333   2485.339505   3417.460783
1.337500   464.664977   694.386160   2478.750081   3405.274255
1.343750   453.168785   681.168876   2457.194354   3393.835664
1.350000   435.017430   726.719878   2466.890949   3402.431486
1.356250   408.524481   789.918587   2478.319349   3403.038997
1.362500   393.736702   806.319224   2461.244520   3403.020996
1.368750   382.311630   803.215016   2449.688611   3375.091088
1.375000   390.645337   781.639881   2454.309486   3400.956778
1.381250   390.519590   764.699796   2471.324899   3413.616519
1.387500   386.338963   744.061559   2490.262312   3484.460553
1.393750   382.859850   718.169812   2586.214577   3601.409141
1.400000   369.175900   2559.772117   3624.319239   3996.810112
1.406250   418.410808   1151.446167   2499.773937   3439.663358
