Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   956.537793   1804.445432   2913.410901   3749.271116
0.031250   1256.416741   2224.366239   3210.281311   4081.737732
0.037500   1401.929351   2216.709920   3182.094425   4075.972458
0.043750   1260.187010   1896.146685   3188.984000   3841.937075
0.050000   925.867324   1892.777453   3044.118932   3840.876707
0.056250   956.488307   1964.108421   2965.198945   3782.409980
0.062500   1074.461398   1940.651339   3014.749763   3703.884151
0.068750   1105.074793   1955.325066   2908.489894   3791.168202
0.075000   1003.147386   1886.825428   2898.107610   3827.670983
0.081250   892.372247   2006.750212   2927.689233   4000.936223
0.087500   985.830254   2076.009631   3022.392050   3945.361092
0.093750   995.416822   2018.185555   3055.814131   3884.058178
0.100000   1032.349757   2116.261153   3223.069585   4010.138226
0.106250   1094.077792   2268.010136   3050.192640   3895.307293
0.112500   1150.713801   2194.179767   3118.596190   4060.130167
0.118750   1040.538001   2070.905716   3145.003459   4090.015181
0.125000   1230.441183   2134.196084   3089.236447   4159.667726
0.131250   1295.876521   2070.127128   3067.035567   4136.436554
0.137500   1073.957396   1838.827592   2862.906229   3971.802621
0.143750   1147.114637   1919.646953   2750.900363   3894.378722
0.150000   1371.071565   2539.139426   3109.474232   3934.482013
0.156250   1203.132994   2382.159806   2770.964025   3958.812626
0.162500   1057.331003   2017.144076   2796.141802   4021.600639
0.168750   1016.608240   1969.329894   2779.038589   4021.258856
0.175000   1062.641691   2180.728628   2880.399133   3970.904859
0.181250   1015.553847   2125.775562   3184.943525   4026.162498
0.187500   978.118013   2055.437127   3152.410647   4037.224077
0.193750   1105.447676   1997.360889   3182.683193   3905.581067
0.200000   886.615622   1918.145901   3009.383156   3890.143945
0.206250   1001.336485   1960.798035   3021.171400   3745.170715
0.212500   941.827569   1852.956737   2903.796191   3858.442415
0.218750   1283.715120   2141.230688   3128.662006   4023.089316
0.225000   1387.081121   2147.763640   3200.219571   4048.946156
0.231250   1284.434894   2076.834287   3079.413426   4027.795891
0.237500   990.092050   1868.522919   2878.157391   4002.591772
0.243750   1121.553865   2137.090962   2897.421152   4029.003149
0.250000   1135.319350   2408.504597   3070.759602   3994.916717
0.256250   1023.314378   1817.156419   2826.064212   3840.671207
0.262500   1140.729798   1944.758293   3003.319486   4001.531825
0.268750   1071.898255   1860.065425   2792.408247   3882.649433
0.275000   911.302989   1992.861940   2938.198414   4054.380640
0.281250   1036.157951   2028.086367   3088.734522   4121.370629
0.287500   1073.433020   1913.089951   3006.089928   3997.273402
0.293750   998.806113   1884.664014   3001.782592   3885.203718
0.300000   1141.470270   2174.795949   3061.394072   4089.705390
0.306250   1245.415923   2339.367396   3094.966116   4105.863147
0.312500   1029.174561   2098.010536   3104.178259   4002.584490
0.318750   1011.627007   2113.123352   3150.023017   3982.633828
0.325000   1024.004354   2079.297379   3134.325927   4016.657944
0.331250   1072.771067   2116.853769   3046.518315   3981.872503
0.337500   1313.345715   2272.754668   3026.620917   3873.294172
0.343750   1059.837769   1779.715780   2849.611515   3814.668812
0.350000   978.372681   1879.059785   2903.041296   3927.658823
0.356250   967.930762   2006.975536   2972.107350   4131.620386
0.362500   1191.511940   2307.425692   2939.592799   4087.580259
0.368750   1181.264042   2347.851588   3110.948908   3855.157155
0.375000   1529.267826   2565.697654   3366.433739   3790.796735
0.381250   1048.858909   1936.560350   2748.679543   3887.547253
0.387500   989.136747   2004.844644   3091.388143   3871.526510
0.393750   927.499821   1938.848896   2955.050387   3878.095026
0.400000   1049.700441   2257.887169   2926.735339   4009.982129
0.406250   1045.298360   1901.991467   2725.743634   3793.032982
0.412500   972.964621   1999.178550   2820.310285   3835.455266
0.418750   1044.819753   2017.103471   2876.936356   4011.667371
0.425000   958.442952   1878.441894   2837.205028   3919.523689
0.431250   1111.788215   2125.434316   3026.680157   4102.107316
0.437500   1067.540896   2057.756724   3053.150500   4122.177741
0.443750   1014.650267   1901.741447   2971.705939   3907.166197
0.450000   1054.531217   1912.195720   2967.362731   3817.167795
0.456250   1348.319930   2073.145682   3158.648965   4023.324733
0.462500   1264.651276   2078.061721   3048.525964   4088.071337
0.468750   1125.517928   2122.209526   3018.193557   4057.451904
0.475000   1242.898769   1938.613488   2950.262541   3966.057406
0.481250   926.301420   1985.544123   2883.956669   3882.793411
0.487500   907.664802   1968.001540   2897.321572   3918.926461
0.493750   1062.017722   2039.844087   3016.614169   4097.415281
0.500000   915.833545   2134.714186   3199.253707   4051.009625
0.506250   981.587353   2289.949196   3148.715959   3825.148976
0.512500   1025.722005   2294.054180   2992.128088   3907.723327
0.518750   971.560115   2067.453465   3004.975202   3871.736239
0.525000   1018.434470   1922.948563   2874.402844   3773.377263
0.531250   1117.888257   1956.974592   2869.703691   3692.568100
0.537500   1110.838527   2053.620161   3137.868088   3728.159197
0.543750   1041.356685   2003.170676   3071.022874   3740.209008
0.550000   1165.385866   2055.937067   3105.966894   4136.013797
0.556250   1339.885571   2352.764146   3240.844607   4243.317898
0.562500   1328.551699   2312.111872   3273.381121   4033.062290
0.568750   1154.748705   2203.998914   3079.969194   4033.022290
0.575000   1145.299788   2179.398097   3136.333407   4012.024735
0.581250   1211.936723   2267.605472   3297.263299   4043.240033
0.587500   1256.230053   2316.740602   3278.897346   4175.855181
0.593750   1040.775037   2178.762204   3059.411851   4120.404918
0.600000   1174.852011   2079.236302   2937.520186   4128.926091
0.606250   1107.319942   2070.297608   2975.349442   4081.399340
0.612500   1210.019473   2164.941989   3116.233771   4010.843072
0.618750   1407.131038   2246.196221   2989.890916   3964.548993
0.625000   1326.996458   2103.430740   3229.112244   4104.465965
0.631250   1300.592845   2025.281459   3084.563911   3999.759749
0.637500   1237.972524   2045.570061   3084.856124   4032.298037
0.643750   1379.974417   2231.165034   3034.754177   4061.117789
0.650000   1190.233946   2176.371327   3231.881284   4106.315541
0.656250   1057.888622   2198.670139   3240.355529   4110.871239
0.662500   1110.629174   2099.336656   2937.349167   4104.904730
0.668750   1241.213558   2001.522697   3154.810440   4125.655740
0.675000   1337.478827   2106.118558   3083.548524   4173.873277
0.681250   1145.734822   2031.172163   3054.463228   4007.177274
0.687500   1137.293282   2185.451137   3169.521784   4052.286098
0.693750   943.641344   2119.461098   3199.390549   4238.153656
0.700000   955.340610   2192.309073   3158.941312   4176.850417
0.706250   1051.861313   2120.150041   3154.602610   4032.965023
0.712500   1115.787665   2187.283432   3208.745661   3980.718907
0.718750   930.676304   1940.790946   2919.167997   3879.565005
0.725000   1036.158447   1873.721146   2743.726431   3913.373256
0.731250   1263.999359   2335.960769   3243.649581   3993.112900
0.737500   1190.265068   2300.808812   3404.820838   4081.880729
0.743750   1090.477563   2161.246415   3159.677412   3995.918191
0.750000   1213.322712   2032.918787   3229.864693   3948.092949
0.756250   1188.819317   2062.996965   3121.853408   4013.202604
0.762500   1202.494507   1977.756841   3084.727829   4097.203317
0.768750   1161.145936   2086.888509   3172.548662   4037.712467
0.775000   1130.479261   1941.569766   2966.517892   3984.781525
0.781250   1168.970540   1867.403431   2843.840670   4032.391680
0.787500   1055.078542   1920.763431   3055.170258   4048.330942
0.793750   958.963358   1799.416416   2882.178478   3690.297570
0.800000   1117.384374   1804.963315   2685.252892   3638.608400
0.806250   1349.525809   2222.180831   3183.194585   3963.895144
0.812500   1269.694930   1795.917236   2857.769790   3945.760425
0.818750   1297.251331   1764.894086   2811.785136   3928.152083
0.825000   1421.227733   1862.168034   2932.874258   4086.337422
0.831250   1054.541595   1757.678439   2885.240961   3988.532568
0.837500   985.318731   1825.692899   2865.791266   3686.991097
0.843750   1003.605185   1880.141160   2871.815698   3806.460376
0.850000   1166.274883   2044.915312   2958.007395   4075.470169
0.856250   1310.243431   2438.039944   2900.991292   4075.254425
0.862500   1524.498028   2648.868093   2974.150744   4048.629508
