Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   919.302891   2098.662380   2678.637029   3870.087502
0.031250   1026.307827   2413.941411   2431.653923   3898.177749
0.037500   902.904721   2156.094590   3053.932585   4041.764443
0.043750   871.408649   1898.509555   2811.331398   3953.992790
0.050000   1696.081562   2483.233103   --undefined--   --undefined--
0.056250   299.283809   1801.661566   2524.547893   3598.568758
0.062500   121.909658   1824.403037   3078.355753   3830.889754
0.068750   907.864926   1819.028426   3125.528840   3944.135779
0.075000   673.763332   1843.171469   2888.203295   3971.041022
0.081250   1938.169024   3044.142950   --undefined--   --undefined--
0.087500   1906.594427   3017.933131   --undefined--   --undefined--
0.093750   602.494818   1863.534991   2904.289542   3793.032189
0.100000   815.514893   1935.075267   2838.639116   3833.540926
0.106250   629.324584   2020.362568   2842.669833   3840.737890
0.112500   928.371688   1978.442838   2935.604486   4009.358049
0.118750   1010.535914   2052.700746   3292.998535   3895.844648
0.125000   978.251924   2047.325504   3276.478567   3535.778286
0.131250   346.534837   1901.876366   2245.847014   3745.251382
0.137500   1159.077477   2011.558497   3440.342841   3645.532586
0.143750   918.788041   1991.899540   3529.913802   3659.863534
0.150000   819.004203   1961.380548   2846.671366   3839.485744
0.156250   907.868511   2034.541066   2726.117664   3900.701723
0.162500   808.604854   2079.178533   2693.833219   3923.129471
0.168750   1739.647602   2281.865693   --undefined--   --undefined--
0.175000   906.411655   2005.240343   2521.909031   4025.909286
0.181250   909.325710   2082.343565   3415.430239   3877.671214
0.187500   841.511093   2004.538459   3391.237228   3902.179991
0.193750   840.790039   1918.531793   3123.396066   3688.335122
0.200000   905.473841   2041.706907   2986.486186   3846.583885
0.206250   1051.658499   1970.835571   2745.573023   4010.188857
0.212500   982.038946   1753.811190   2702.220797   3989.262644
0.218750   1024.154977   1908.320879   2844.609484   3985.101588
0.225000   949.502384   2007.857686   3002.523362   3875.030549
0.231250   959.804322   1913.651705   3043.341865   3968.016271
0.237500   754.343291   1879.389883   3007.098472   3977.012803
0.243750   724.302566   1907.472542   3132.969767   3953.806528
0.250000   1073.299633   1845.177453   2990.554687   3983.235971
0.256250   984.724153   1843.030759   2834.909239   3987.067169
0.262500   1101.435653   1886.363765   2945.437217   3939.746945
0.268750   92.659164   1736.806726   2489.450904   3598.120383
0.275000   150.548439   1915.672423   2507.251129   3898.098268
0.281250   339.948612   2026.748130   2866.795608   3952.770336
0.287500   239.923068   1923.053755   2689.442562   3881.726334
0.293750   830.165208   1903.407902   2649.403674   3855.382239
0.300000   697.737562   1938.730593   2879.974666   3889.111180
0.306250   246.146677   1920.254802   2728.891437   3942.407775
0.312500   324.626066   1884.826062   2824.595741   3977.431340
0.318750   583.092486   1918.588924   3035.681798   3880.807752
0.325000   990.421372   1926.513317   3064.564813   3868.040106
0.331250   895.500685   1876.847397   3327.544271   3688.555521
