Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   466.288932   1583.999923   3099.524374   4103.602923
0.031250   274.609662   1508.781544   3016.995575   4155.269797
0.037500   318.109983   1515.173775   2924.236837   3513.637198
0.043750   500.031303   1566.647297   2930.299002   3795.516980
0.050000   382.182240   1549.515499   2936.292075   3826.813665
0.056250   1539.860536   2648.971875   3506.873259   4521.575560
0.062500   1489.738482   2172.295265   3322.132191   4414.045141
0.068750   1493.097652   2019.975214   3163.313908   4005.388548
0.075000   1478.811066   2581.303444   3674.684195   4620.484658
0.081250   1479.504648   2433.165376   3707.570245   4558.300775
0.087500   1410.199315   1992.666833   3005.849392   3955.505965
0.093750   1448.744422   2023.845496   3108.587227   3937.295359
0.100000   1403.296725   2064.446655   3351.163104   3757.987681
0.106250   1408.921104   2139.093882   3182.256937   4001.909020
0.112500   1465.760786   2414.830792   3618.032424   4424.231676
0.118750   1388.021430   2414.971504   3770.443597   4045.322326
0.125000   1387.979214   2485.038086   3683.431206   4316.856470
0.131250   1446.307083   2553.563343   3582.750084   4385.332467
0.137500   1303.294961   2371.288672   3513.532888   4569.810325
0.143750   139.006587   1584.140042   2657.182438   3544.612045
0.150000   1535.755415   2685.788390   --undefined--   --undefined--
0.156250   348.489738   1453.879904   2515.724530   3706.573002
0.162500   646.144888   1577.536890   2567.521991   3852.308202
0.168750   607.309230   1601.798353   2707.911915   3495.037683
0.175000   189.576616   1673.167529   2744.982225   3432.068034
0.181250   1075.581047   1968.143655   2974.780197   4056.904055
0.187500   940.078675   1824.907788   2998.154486   4158.735181
0.193750   1439.126310   1960.292601   --undefined--   --undefined--
0.200000   1428.288880   2163.610383   3399.314738   4585.191571
0.206250   1265.965556   2148.169331   3272.080576   4352.965796
0.212500   989.536683   2118.076115   3024.668347   4190.417770
0.218750   1749.900798   2773.648597   --undefined--   --undefined--
0.225000   86.017710   1545.187099   2419.169881   3545.971230
0.231250   1463.901280   2450.899615   --undefined--   --undefined--
0.237500   1442.231054   2375.287280   --undefined--   --undefined--
0.243750   1515.586345   2658.147722   --undefined--   --undefined--
0.250000   1643.024995   2742.372345   --undefined--   --undefined--
0.256250   1735.900307   2786.045428   --undefined--   --undefined--
0.262500   1759.459702   2781.215010   --undefined--   --undefined--
0.268750   963.181189   1982.853121   2936.441295   3936.809741
0.275000   967.948539   2047.738006   2957.493316   4016.269344
0.281250   1305.006690   2606.869230   --undefined--   --undefined--
0.287500   1065.008200   2169.457717   3303.289799   3812.312925
0.293750   1069.200756   2085.991458   2938.338796   3953.486863
0.300000   1007.954356   2030.870227   2933.196404   3965.677897
0.306250   1552.489466   2256.126848   --undefined--   --undefined--
0.312500   1213.530772   2152.830167   2849.144953   3804.756121
0.318750   932.398092   2116.492854   3194.356123   4064.400573
0.325000   997.404366   2145.387157   3210.949736   3957.729850
0.331250   1171.423288   1890.086900   2923.315856   3905.116122
0.337500   1189.906369   1896.073397   2951.329340   4096.959818
0.343750   1092.900632   1939.261449   2987.736228   4150.626540
0.350000   981.550422   1975.869288   3046.570888   4108.125189
0.356250   1070.667811   2050.074012   2933.068407   4044.421736
0.362500   1363.363747   1927.321576   2831.159372   4117.079797
0.368750   1475.877681   1713.895318   2790.994731   4079.422044
0.375000   968.968762   2366.929042   3120.066150   4053.845973
0.381250   978.087865   2196.862713   2979.810870   4006.109217
0.387500   961.262327   1975.347091   3046.312991   4086.567195
0.393750   996.950854   1873.618920   3139.224983   4094.888012
0.400000   1075.976695   1902.371119   3014.588852   3986.477602
0.406250   944.043859   1986.743827   2883.806050   3940.513443
0.412500   1008.271677   2061.042347   2910.773746   3948.320489
0.418750   1047.877272   2057.656602   2974.182516   4039.832822
0.425000   1210.344570   2088.772506   3037.043665   3954.077689
0.431250   1223.494200   2079.657384   3219.510734   3792.537060
0.437500   963.944841   2169.732241   3186.528682   3861.413660
0.443750   1192.995663   2227.185866   3083.564197   4192.432064
0.450000   1319.952380   2221.230976   3025.197471   4320.002029
0.456250   1378.121765   2272.471129   3018.105306   4176.746446
0.462500   1389.383201   2371.773110   3057.188728   4024.841503
0.468750   1379.129866   2477.624405   3116.259390   3932.725418
0.475000   1388.124779   2484.503604   3091.292174   3978.903892
0.481250   1306.326629   2423.125077   3105.172375   4005.462019
0.487500   1194.035008   2444.975056   3121.273780   4070.501357
0.493750   190.135338   1419.710912   2722.897063   3341.598439
0.500000   281.429460   1347.213879   2724.927436   3225.983890
0.506250   292.077917   1327.380162   2704.700612   3205.837210
0.512500   290.973991   1347.987601   2677.895454   3214.278895
0.518750   293.353265   1376.192994   2684.186324   3278.671954
0.525000   293.639449   1374.381618   2696.834098   3353.613243
0.531250   292.934887   1398.188079   2642.381783   3286.546116
0.537500   289.526445   1476.183539   2632.882185   3478.584822
0.543750   286.480509   1540.114575   2629.175109   3585.055913
0.550000   294.709106   1536.326665   2603.762025   3612.255784
0.556250   301.461512   1560.478215   2558.651285   3450.801170
0.562500   304.904876   1568.931172   2532.869870   3412.064336
0.568750   306.815436   1612.437210   2538.951646   3422.353565
0.575000   307.043854   1734.967118   2601.395757   3461.843092
0.581250   306.260814   1878.781825   2586.822095   3443.972041
0.587500   307.190960   1987.255039   2589.938475   3458.884683
0.593750   310.835136   2421.667686   2756.295376   3482.212335
0.600000   311.729011   2442.376368   2886.729252   3501.648137
0.606250   302.525968   2349.414989   2687.947596   3502.194096
0.612500   289.741134   2048.017417   2688.163177   3469.490377
