Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   538.148496   1525.934966   2393.262765   3560.490137
0.031250   1377.618610   2582.798049   --undefined--   --undefined--
0.037500   1324.369728   2366.316585   2732.533870   4113.700174
0.043750   1360.906567   2345.004187   3310.121798   4113.786069
0.050000   1372.044773   2400.004331   3377.985664   4164.090705
0.056250   1366.327218   2654.911873   3408.469010   3973.754840
0.062500   1454.165482   2668.429337   3594.106040   4284.752947
0.068750   1499.425277   2635.374060   3575.821490   4235.448337
0.075000   1588.258677   2593.373437   --undefined--   --undefined--
0.081250   1553.435916   2496.373500   3366.778636   4485.834519
0.087500   1465.119031   2547.231286   3143.642663   4120.369808
0.093750   1498.391782   2520.051882   3081.952341   4097.313035
0.100000   1630.363140   2735.522972   3473.159494   3966.782925
0.106250   1512.514988   2511.674030   3368.292990   4141.374199
0.112500   1552.500742   2663.432388   2959.609999   4081.180798
0.118750   1518.968494   2442.790787   3137.029800   4172.900307
0.125000   1507.473530   2546.541497   3078.135939   4121.690677
0.131250   1475.974829   2313.994181   3217.073942   4086.160621
0.137500   1481.879594   2530.082410   3413.009078   3873.064529
0.143750   1378.888334   2528.450993   3541.403135   3782.322809
0.150000   1453.429130   2409.896207   3484.790935   4143.402363
0.156250   1362.352843   2330.698049   3463.636437   4033.856319
0.162500   1442.742592   2384.123081   3231.181322   3841.736378
0.168750   656.601215   1921.921174   2919.200282   3893.085586
0.175000   962.463215   2114.469167   2947.679093   4031.644984
0.181250   1160.621495   2196.875274   3171.637152   4060.611658
0.187500   1134.780235   2171.072648   3179.427239   3730.678087
0.193750   1179.837430   2351.964462   3370.499944   3737.271678
0.200000   1003.645548   2022.611994   2783.767733   3633.738179
0.206250   1000.660851   1947.955733   2647.878660   3631.602474
0.212500   1063.746707   1890.667417   2664.604131   3747.216130
0.218750   1077.991243   1929.882109   2790.448601   3962.802763
0.225000   1004.006575   2014.811645   2740.962758   3813.174452
0.231250   1190.544387   2163.723544   2675.047263   3621.830625
0.237500   1221.584602   2275.751437   2667.609272   3644.729677
0.243750   1156.562314   1970.147396   2750.118212   3773.590449
0.250000   1116.112998   1895.383051   2840.635864   3859.090869
0.256250   1107.779749   1803.435196   2851.789248   3712.462260
0.262500   935.691470   1973.749779   2921.208840   3751.776468
0.268750   915.366957   1877.001387   2892.699323   3858.875400
0.275000   901.508938   1908.272254   2938.235666   3961.146765
0.281250   960.838197   1921.655561   2922.694597   3613.416319
0.287500   1052.660432   1777.857314   2664.084999   3487.428847
0.293750   1201.708870   1857.377712   2581.624700   3452.248119
0.300000   1368.389875   2417.880999   3355.484026   4115.176266
0.306250   1076.659838   2272.233391   3482.569831   4060.469608
0.312500   911.706186   2039.551533   2897.596258   3797.430575
0.318750   1094.622999   1928.883031   2798.480335   3940.389609
0.325000   871.470767   1623.903813   2739.563045   3790.681622
0.331250   828.134130   1758.763632   2780.129575   3802.435924
0.337500   954.634129   1876.343530   2777.744788   3822.919291
0.343750   949.115730   1973.585337   2866.912131   3692.716318
0.350000   1050.613517   2052.058064   2907.865340   3739.957312
0.356250   1077.069881   2111.477988   2877.180777   3696.867148
0.362500   1077.919767   1955.780114   2996.682010   3784.250013
0.368750   1049.248928   1957.830088   2987.531096   4161.867601
0.375000   977.160802   1895.389547   2817.592148   4042.983927
0.381250   1050.568143   2126.406661   2852.002186   4106.756016
0.387500   932.557953   2118.666133   3158.514839   4180.903637
0.393750   1255.559762   2188.416160   3147.475077   4234.610284
0.400000   1006.492773   2128.234364   2851.206706   3910.461677
0.406250   1012.428570   2057.046899   2986.502971   3765.637182
0.412500   1173.040474   2168.181749   3279.396207   4601.179647
0.418750   1058.377199   2057.715674   2618.933165   3516.207758
0.425000   935.116792   1906.694288   2801.017527   3562.707745
0.431250   1017.697424   1814.799590   2841.068620   3859.178121
0.437500   991.088954   1819.281489   2865.463898   3785.278980
0.443750   1001.763214   1894.061581   3095.372517   3844.096378
0.450000   963.507194   1973.181582   2989.711449   3989.182707
0.456250   976.430467   1976.853557   3011.457561   3769.937471
0.462500   999.234591   1842.089124   2931.538040   3567.268622
0.468750   1007.181698   1705.171529   2837.239293   3583.103388
0.475000   1015.296169   1873.592433   3082.835403   3755.812088
0.481250   972.673868   1911.509858   2986.623816   3734.215432
0.487500   937.690339   2077.951632   2851.744405   3779.024842
0.493750   995.323010   1978.044689   2615.344981   3897.952869
0.500000   1133.862993   2006.867750   2640.671518   3904.155533
0.506250   1065.438671   2234.235396   3076.075788   4145.437169
0.512500   1128.777984   2184.474519   3283.422913   4105.716987
0.518750   1133.893081   2070.577330   2636.166069   3658.177308
0.525000   1139.273196   2073.335722   2523.670297   3650.008117
0.531250   1133.678159   2139.990025   3095.728154   3517.593498
0.537500   1056.249047   2060.356514   3009.007538   3666.335675
0.543750   1090.280123   2152.638571   2811.069505   3803.077698
0.550000   1086.534665   2188.501572   3048.782988   3788.248725
0.556250   1117.695117   2163.907896   2778.406201   3639.814342
0.562500   1008.367964   1993.106119   2736.266933   3703.711066
0.568750   946.590823   1839.136804   2672.832278   3769.215817
0.575000   993.498032   1891.690241   2636.353991   3745.114098
0.581250   1051.014656   2011.122788   3115.770705   3943.126328
0.587500   1171.888832   1904.050853   2923.120479   4007.670379
0.593750   1129.310231   1939.981185   2782.997172   3737.834974
0.600000   1124.813660   2337.914728   2475.787439   3801.764677
0.606250   1093.451048   2117.654041   2730.098469   3575.876383
0.612500   1066.250131   1879.073219   3133.621416   3608.066102
0.618750   1033.406994   1816.244396   3222.323448   3663.310608
0.625000   1004.644901   1831.453849   2843.169122   3785.182138
0.631250   982.262679   1917.567678   2961.508828   3805.666522
0.637500   1028.433750   2074.909350   3182.341810   3866.494704
0.643750   922.118671   2025.168059   3185.442123   4070.604619
0.650000   1197.895765   2114.225521   3190.560226   4254.997722
0.656250   1147.509925   1219.308468   2482.590185   3410.094684
0.662500   129.226116   1333.948382   2468.286526   3419.859680
0.668750   249.975597   1384.562702   2577.774506   3589.852930
0.675000   310.722576   1351.903588   2700.407223   3689.898551
0.681250   315.013858   1367.383331   2596.471495   3625.984170
0.687500   316.314763   1372.792619   2577.878172   3573.457389
0.693750   310.145449   1413.131732   2541.614229   3507.697977
0.700000   301.599616   1477.198293   2503.786130   3542.377518
0.706250   303.855095   1595.451722   2501.185231   3576.097847
0.712500   306.221344   1607.001609   2514.246529   3536.453432
0.718750   307.699383   1667.236631   2564.266327   3523.157102
0.725000   297.874962   1696.565909   2652.699796   3519.803755
0.731250   300.358245   1654.082309   2612.205948   3452.268173
0.737500   302.430059   1731.469264   2601.970573   3466.892397
0.743750   305.106864   1797.333283   2599.587606   3472.380700
0.750000   302.708820   1757.014767   2538.680893   3457.100934
0.756250   301.119603   1756.831108   2427.774505   3456.490605
0.762500   304.016304   1747.698167   2485.783528   3499.554381
0.768750   305.258618   1753.358755   2482.784300   3500.231546
0.775000   300.428886   1744.880235   2514.643278   3459.917113
0.781250   296.010632   1750.988576   2537.536315   3489.581046
0.787500   305.241093   1793.113027   2546.185210   3435.178284
0.793750   298.219375   1816.548534   2548.636633   3301.041853
0.800000   290.210783   1841.186642   2532.965003   3333.752642
0.806250   295.086232   1921.266052   2536.431369   3238.614288
0.812500   310.150100   1858.872814   2504.311029   3332.710577
0.818750   303.742202   1816.389415   2488.978751   3321.038846
0.825000   304.878553   1817.039516   2479.971777   3271.542363
0.831250   307.060864   1862.473820   2520.850062   3319.253654
0.837500   303.201266   1874.136736   2549.323789   3347.438275
0.843750   289.576519   1879.996151   2566.458299   3491.520589
0.850000   279.707001   1882.470160   2561.710558   3814.000055
0.856250   281.609516   1842.287641   2593.715333   3936.096118
0.862500   276.329882   1786.631672   2605.735514   3913.853885
0.868750   241.664617   1782.204636   2643.279203   3811.992273
0.875000   190.141177   1833.343226   2846.080711   3840.010185
0.881250   1848.817873   2973.590424   3874.497274   4664.736155
0.887500   164.800764   1799.136669   2874.935952   3918.277019
0.893750   309.636834   1766.275639   2938.829600   3903.357043
0.900000   310.281190   1811.699016   3013.464328   3904.672319
0.906250   321.901088   1784.585689   3332.010320   3958.107524
0.912500   313.208783   1733.478269   3376.283367   3924.888947
0.918750   323.526445   1706.427703   3405.734762   3906.877116
0.925000   323.246715   1687.298721   3382.280605   3909.166104
0.931250   322.320721   1673.527552   3434.716081   3896.245714
0.937500   309.570535   1709.811394   3386.874828   3964.145398
0.943750   226.639976   1726.917591   3429.048166   4008.850375
0.950000   1605.231791   3448.860892   3867.824208   4400.593792
0.956250   1556.108719   3461.229543   3819.401522   4380.648423
0.962500   1588.842699   3470.842433   3867.840753   4299.171199
0.968750   1582.168981   3447.986704   3834.852286   4559.098816
0.975000   146.498615   1778.474817   3479.888611   3878.048941
0.981250   292.718957   1824.170358   3429.506307   3798.840427
0.987500   319.709280   1742.780595   3365.027863   3983.219813
0.993750   318.417643   1759.015037   3435.083346   3907.824025
1.000000   283.474856   1643.126404   3355.091332   3722.103304
1.006250   250.271660   1847.260864   3356.535940   3894.983524
1.012500   220.956191   1879.341796   3357.436570   3973.517802
1.018750   213.599185   1653.227017   3368.387948   3823.598997
1.025000   1033.982908   2003.583647   3466.713704   3898.614895
1.031250   1160.086710   2076.359712   3483.303714   3559.558996
1.037500   1196.743700   2018.290749   3102.377256   3448.902411
1.043750   1154.175228   2036.644592   2896.867178   3371.751090
1.050000   586.844344   1236.113240   2551.794927   3399.572253
1.056250   641.405522   1232.120412   2552.613105   3408.405160
1.062500   635.815525   1234.125933   2539.239180   3411.166504
1.068750   560.791696   1265.671352   2638.406670   3429.003005
1.075000   1251.237909   2641.712540   3473.672479   3701.204450
1.081250   1155.151709   2637.081212   3481.707516   3867.831142
1.087500   988.550393   1142.701627   2692.503911   3493.221611
1.093750   589.534558   1150.536588   2639.596626   3504.588991
1.100000   483.055195   1117.027444   2681.840780   3519.640765
1.106250   447.127880   1079.269757   2823.267449   3540.129965
1.112500   383.872736   1075.504383   2734.828680   3526.398268
1.118750   373.752797   1077.310881   2633.587768   3449.873435
1.125000   414.418734   1048.046894   2613.209409   3432.843735
1.131250   435.555121   1036.031653   2623.507682   3428.965064
1.137500   454.501660   1022.252617   2673.018960   3414.147951
1.143750   464.836304   1021.678916   2690.543120   3384.840401
