Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1376.317728   2396.882850   --undefined--   --undefined--
0.031250   430.301162   1653.044007   2565.623808   3586.520554
0.037500   1400.566829   2254.623876   --undefined--   --undefined--
0.043750   1223.184198   2156.735979   3245.317834   4440.892935
0.050000   1299.726902   2449.224060   --undefined--   --undefined--
0.056250   169.099920   1493.178704   2629.155089   3420.281739
0.062500   70.190004   1389.348252   2441.879668   3505.335928
0.068750   802.382101   1967.933249   2297.138598   3634.108981
0.075000   434.079638   1674.311070   2690.161238   3768.016192
0.081250   1539.909055   2780.062940   --undefined--   --undefined--
0.087500   1406.635467   2495.149425   --undefined--   --undefined--
0.093750   1425.294012   2519.481064   3626.336345   4269.340841
0.100000   1647.153577   2659.996801   --undefined--   --undefined--
0.106250   268.143964   1606.693520   2726.203417   3957.936032
0.112500   1445.171326   2430.756598   --undefined--   --undefined--
0.118750   1372.919549   2351.888412   3315.301042   4354.317055
0.125000   1422.889342   2280.991611   3220.569224   4271.311277
0.131250   1524.573637   2429.693699   --undefined--   --undefined--
0.137500   1363.174975   2371.153908   3535.883649   4677.581402
0.143750   1400.165003   2422.254323   --undefined--   --undefined--
0.150000   1470.684807   2504.807202   --undefined--   --undefined--
0.156250   847.148950   2124.903094   2677.245814   3333.085118
0.162500   1542.553905   2400.247222   3254.545840   4369.839467
0.168750   1674.282761   2237.449680   3446.536804   4777.164580
0.175000   642.253884   1989.598374   2827.271137   3525.870188
0.181250   488.952446   1749.518956   2730.613297   3573.618460
0.187500   1530.922976   2718.490299   --undefined--   --undefined--
0.193750   779.451104   2183.452192   3054.194512   4581.091207
0.200000   786.280313   1802.686743   3034.724123   3771.854023
0.206250   539.565615   1638.864618   2801.976983   3698.484556
0.212500   1732.492628   2498.999856   --undefined--   --undefined--
0.218750   1469.213098   2311.574522   3543.272202   4415.085687
0.225000   1503.283592   2240.197930   3357.948089   4678.637977
0.231250   686.834671   1727.583159   2762.175429   3681.361445
0.237500   536.728775   1554.751240   2777.924489   3690.887567
0.243750   1763.551359   2696.479402   --undefined--   --undefined--
0.250000   1311.123982   2376.612095   --undefined--   --undefined--
