Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   758.898989   2036.180559   2680.687113   3596.714508
0.031250   600.228736   1838.831375   2592.635391   3458.427827
0.037500   705.420799   1679.447904   2417.941672   3483.909659
0.043750   1344.430226   2437.990713   3655.768612   4439.838153
0.050000   984.512783   2103.599278   2653.025796   3882.614718
0.056250   805.336426   1478.057067   2646.122636   3425.138536
0.062500   734.248079   1757.778384   2543.745996   3402.960593
0.068750   790.978039   1887.690376   2370.997495   3603.566602
0.075000   746.958848   1775.628541   2404.276694   3662.328702
0.081250   730.001603   1966.452376   2440.752498   3312.068532
0.087500   793.520526   1581.257676   2553.552218   3596.356765
0.093750   942.556591   1769.041620   2164.001670   3521.337493
0.100000   1137.360594   2142.414134   3249.835476   3812.156975
0.106250   1322.422203   2280.394505   3525.594787   4686.048096
0.112500   430.457263   1597.083351   2577.094758   3731.897906
0.118750   668.817443   1761.591836   2735.168350   3833.412381
0.125000   406.418813   1519.155923   2489.384367   3601.994392
0.131250   441.519374   1710.352344   2403.464703   3507.163026
0.137500   426.165470   1901.264335   2295.737685   3544.483010
0.143750   423.955084   1981.260381   2166.740832   3499.130925
0.150000   598.934755   1844.151472   2218.084106   3524.502891
0.156250   526.842290   2150.509328   3041.026820   3830.844805
0.162500   938.548048   2183.833156   3356.806789   4570.155937
0.168750   1156.848903   2115.055345   3275.771407   4477.184087
0.175000   854.928473   2133.701947   3245.628648   4512.996386
0.181250   850.182169   2149.650768   3168.627592   4543.530319
0.187500   786.293759   2112.569426   3061.372468   3911.632216
0.193750   1105.115434   2226.637860   3152.563186   3879.474501
0.200000   1154.904656   2205.225758   3373.557062   3999.929638
0.206250   892.119889   1940.283580   3150.902263   4017.032760
0.212500   635.325491   1858.576853   2862.163351   4049.801710
0.218750   529.610296   1762.939643   2748.305178   4076.261478
0.225000   502.435784   1770.285163   2717.066120   3998.022900
0.231250   1394.512136   2554.689769   2571.750280   3959.474031
0.237500   1589.973424   2559.333218   3621.101530   4648.285819
0.243750   1778.994478   2655.603846   3127.271424   4218.461575
0.250000   1755.103426   2337.345433   2601.378022   4057.397228
0.256250   1751.474087   1846.669343   2543.891859   3700.031468
0.262500   1720.739287   2629.356612   2736.219052   4241.696033
0.268750   711.211021   1716.572766   2692.593687   3852.806956
0.275000   669.134957   1691.389853   2663.717160   3762.239503
0.281250   725.656235   1787.289862   2963.883481   3993.086032
0.287500   845.321168   1867.146449   2998.497762   4195.394625
0.293750   641.244008   1459.659415   2870.090557   3306.645272
0.300000   652.285466   1745.655261   2503.258836   3409.396007
0.306250   617.567994   1596.565845   2330.857318   3543.177405
0.312500   574.929645   1558.772061   2331.374113   3539.904393
0.318750   513.290746   1552.274024   2330.335236   3480.089090
0.325000   693.173575   1715.624447   2303.505148   3519.764988
0.331250   622.189057   1668.704330   2343.253136   3669.279899
0.337500   598.532069   1676.047741   2336.128790   3633.332589
0.343750   597.907274   1802.346856   2362.506515   3547.419527
0.350000   577.281448   1765.437930   2357.162221   3591.219697
0.356250   601.454405   1740.665384   2365.207652   3467.194204
0.362500   1693.210312   2382.726333   3181.983975   4430.265502
0.368750   677.263902   1714.687710   2336.213623   3546.132610
0.375000   761.860701   1818.480239   2329.979856   3631.488982
0.381250   760.203939   2041.273192   2353.814470   3563.699538
0.387500   726.334732   1858.316307   2368.933726   3675.879831
0.393750   701.963933   1815.748242   2382.644806   3588.371730
0.400000   819.306790   1844.903481   2409.622884   3611.058289
0.406250   784.048894   1810.446985   2373.126156   3595.802427
0.412500   661.310112   1711.295499   2328.243605   3675.371770
0.418750   694.329801   1824.233309   2353.160892   3657.070059
0.425000   612.740383   1683.089002   2380.981782   3716.114473
0.431250   647.698387   1692.069254   2387.707078   3800.751988
0.437500   857.716565   1698.603430   2515.063468   3970.061205
0.443750   823.117996   1693.811681   2532.743984   3766.321306
0.450000   673.632695   1692.427354   2410.413329   3637.008286
0.456250   638.768953   1753.254428   2325.265033   3692.462199
0.462500   734.678691   1688.945550   2351.455942   3765.668719
0.468750   690.933054   1724.251204   2408.675181   3869.888194
0.475000   774.755592   1745.903807   2289.229101   3687.828050
0.481250   854.375205   1788.769853   2405.725637   3841.394127
0.487500   904.676129   1750.712816   2329.901862   3747.346132
0.493750   852.464054   1712.771940   2313.711357   3716.518321
0.500000   799.232697   1802.139245   2269.343065   3686.465008
0.506250   789.198752   1738.607293   2284.735358   3740.564488
0.512500   736.822691   1668.123568   2295.996289   3761.287002
0.518750   741.726721   1667.640326   2283.579957   3753.190015
0.525000   768.367914   1729.413114   2326.389504   3725.226459
0.531250   736.853043   1680.207692   2219.750298   3684.819084
0.537500   933.935476   1641.977796   2280.345013   3758.147941
0.543750   956.431310   1785.722276   2335.434618   3618.770377
0.550000   841.949554   1795.602590   2304.493482   3660.137202
0.556250   809.898653   1783.579255   2484.097053   3673.397410
0.562500   823.060273   1770.267461   2453.000157   3652.097998
0.568750   740.603181   1917.840038   2313.146983   3693.970684
0.575000   803.589441   2048.028905   2210.171408   3681.737780
0.581250   869.946094   1957.200003   2274.466313   3646.978699
0.587500   802.923258   1930.561597   2393.154523   3760.784498
0.593750   734.220314   1790.042842   2321.723437   3742.718704
0.600000   805.473763   1787.934476   2356.149383   3653.300231
0.606250   870.984618   1774.354573   2346.538965   3652.675851
0.612500   770.134407   1850.715283   2508.403013   3594.830499
0.618750   818.567307   1724.535108   2409.634272   3483.118300
0.625000   854.813120   1649.293686   2232.967813   3504.248693
0.631250   816.337520   1580.476846   2213.077829   3468.784052
0.637500   959.960755   1631.354686   2220.361552   3407.648659
0.643750   882.523854   1844.596042   2410.942872   3468.258851
0.650000   768.575020   1760.450071   2447.403269   3557.419029
0.656250   670.100127   1575.312913   2243.628119   3478.647909
0.662500   715.802811   1628.157859   2187.805625   3504.999290
0.668750   803.645692   1776.406050   2247.282535   3362.364485
0.675000   871.016333   1804.953810   2206.808293   3264.031872
0.681250   801.232271   2063.595097   2174.372872   3312.707447
0.687500   757.438387   1734.094119   2293.532088   3485.096118
0.693750   799.149572   1663.605830   2306.005439   3507.301800
0.700000   785.830189   1624.227363   2310.722932   3502.833211
0.706250   741.578999   1601.666133   2322.356324   3538.065006
