Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   604.033381   2011.625055   2980.064106   3490.999533
0.031250   693.794813   2018.418887   2915.334988   3671.861297
0.037500   795.660378   2020.470528   2929.748731   3944.172212
0.043750   830.607564   2005.977435   2931.883819   3856.449339
0.050000   771.245566   2012.636889   2856.434183   3759.160720
0.056250   695.066630   2162.238521   2930.544115   3754.164552
0.062500   634.271847   1969.963308   2537.637220   3408.431318
0.068750   679.742054   2076.895978   2339.678333   3198.280569
0.075000   674.847635   2007.275587   2475.773129   3117.177130
0.081250   600.842132   1965.597426   2913.885103   2974.725898
0.087500   591.756011   1961.008754   2774.258121   3908.583602
0.093750   581.996897   1859.411505   2590.283579   3399.073745
0.100000   556.037441   1929.402245   2719.013042   3364.888514
0.106250   647.342222   2052.155272   2755.214167   3810.894784
0.112500   653.750505   2092.107401   2658.581183   3744.637104
0.118750   663.905621   2148.795283   2761.169079   3715.545402
0.125000   653.069893   2065.479080   2873.875292   3344.464747
0.131250   633.535167   2015.875489   2604.515207   3736.011796
0.137500   623.236859   2030.628680   2417.065381   3826.200701
0.143750   664.880372   2093.817718   2624.355771   3918.140606
0.150000   737.395497   2003.573749   2788.907443   3888.601499
0.156250   683.723717   1961.751632   2872.422729   3899.029271
0.162500   674.095334   1942.870712   2790.443602   3405.981889
0.168750   694.454438   1887.125158   2438.641995   3136.316318
0.175000   659.091737   1991.659018   2212.295037   3022.298255
0.181250   641.801046   1962.166609   2005.330243   2964.911441
0.187500   637.130169   1638.784559   2310.978276   3306.935707
0.193750   687.162220   1592.656162   2331.189306   3295.666284
0.200000   636.909570   1778.068839   2393.781135   3241.016056
0.206250   631.568378   1880.307630   2666.493828   3957.445581
0.212500   786.437688   1952.174961   2781.072625   4055.494139
0.218750   782.929651   2011.308545   2744.673965   4073.809362
0.225000   801.430789   2002.288734   2765.443079   3908.567954
0.231250   747.382517   1849.442953   2940.242872   3895.378343
0.237500   734.460122   1813.688110   2891.808372   3955.810395
0.243750   652.299001   1724.985083   2609.102061   3791.961671
0.250000   624.547749   1737.874701   2789.028308   3747.944125
0.256250   588.628553   1519.038839   2433.265867   3415.263528
0.262500   602.309614   1431.946426   2340.985633   3516.676347
0.268750   633.760608   2049.824098   2114.761815   3609.010827
0.275000   592.897389   1776.151202   2243.836450   3636.361051
0.281250   620.562284   1638.138867   2395.620451   3589.486065
0.287500   656.894177   1646.644168   2534.011852   3591.498820
0.293750   612.862470   1531.852022   2381.062501   3447.894640
0.300000   582.188588   1583.925185   2486.871186   3316.474040
0.306250   613.377122   1663.581687   2850.170450   3866.481738
0.312500   663.651752   1559.394020   2656.069142   3567.509970
0.318750   696.141100   1505.828256   2142.519017   3276.885116
0.325000   612.867738   1635.717140   2201.757313   3322.328556
0.331250   583.684845   1732.777031   2098.433561   3521.852181
0.337500   578.092703   1810.317028   2395.715813   3637.154732
0.343750   562.618523   1693.358906   2783.920211   3778.842486
0.350000   626.686168   1664.696124   2918.801499   3974.165963
0.356250   768.675892   1735.875956   2921.859740   4001.168427
0.362500   805.266503   1791.215938   2977.854378   3998.971108
0.368750   606.895424   1344.285127   2521.627457   3536.048484
0.375000   750.327182   2023.886940   2812.113377   4011.186014
0.381250   695.376909   1871.101236   2684.633853   4000.039134
0.387500   680.736544   1765.992433   2554.803831   3805.583503
0.393750   701.386627   1327.205877   2360.554007   3656.596590
0.400000   638.925978   1380.867900   2321.925755   3346.061037
0.406250   761.184173   1690.775402   2850.956001   3851.281536
0.412500   737.675360   1737.150380   2958.663616   4090.596697
0.418750   557.062048   1492.600519   2753.934121   3324.925064
0.425000   664.197846   1475.853928   2457.326439   3280.890257
0.431250   608.769794   1518.052104   2453.961815   3411.739303
0.437500   545.694491   1837.838686   2090.069409   3270.901473
0.443750   549.574337   1737.957211   2568.518930   3409.692908
0.450000   533.091517   1669.277684   2673.853398   3257.404935
0.456250   548.925260   1792.528765   2806.961905   4081.723324
0.462500   527.578052   1665.856344   2748.645000   3802.678832
0.468750   613.179387   1539.403131   2608.008450   3231.677323
0.475000   613.200076   1711.727033   2300.093363   3284.748875
0.481250   633.918667   1737.918126   2802.912634   3933.311097
0.487500   493.689582   2165.078466   2814.130669   4255.986552
0.493750   418.572849   1966.352740   2793.119725   4114.832927
0.500000   452.920592   1781.042896   2770.882944   3946.010894
0.506250   514.340056   1788.417013   2518.681032   3520.713219
0.512500   541.504002   1799.829824   2502.117717   3433.726653
0.518750   592.978216   1892.804861   2567.960911   3393.502778
0.525000   584.661671   1962.036980   2822.894188   3270.213155
0.531250   457.608961   2028.871465   3022.266772   3995.338334
0.537500   337.249639   1990.671144   2942.884276   3201.171491
0.543750   330.383332   2358.672522   2960.196876   3388.912702
0.550000   320.340829   2378.551682   3007.802321   4103.016432
0.556250   326.931010   2329.356527   3076.860813   4169.128507
0.562500   305.255841   2264.834052   3019.622864   4048.686155
0.568750   337.945604   2337.882645   3026.844275   4081.500086
0.575000   302.026780   2315.893577   3067.321932   4299.729460
0.581250   375.359505   2005.946083   2905.737421   3716.369328
0.587500   429.009639   1469.307136   2170.963181   3042.770982
0.593750   443.721793   1713.071557   2119.999166   3055.575747
0.600000   420.027442   2096.667673   2766.525627   4263.485806
0.606250   392.779188   2120.290932   2760.837844   4153.944657
0.612500   397.309466   2149.910526   2877.140250   4223.303352
0.618750   383.513847   2164.995484   2955.353339   4247.208542
0.625000   347.798867   2172.313846   2972.246835   4196.897978
0.631250   350.456040   2208.042631   2786.909480   4180.258824
0.637500   374.691096   2245.942178   2823.010847   4212.109573
0.643750   377.018948   2229.892186   2896.173535   4140.414358
0.650000   370.307558   2284.492494   2933.736097   3982.779093
0.656250   377.656591   2344.697973   2968.648740   4085.864432
0.662500   375.981140   2342.895605   3005.514105   4090.233809
0.668750   323.778406   2346.130670   3013.898991   4109.452125
0.675000   279.743172   2343.337731   2989.093829   4161.878499
0.681250   265.507115   2316.644068   2966.548387   4179.206222
0.687500   277.781996   2276.899497   2929.162945   4205.791954
0.693750   292.888380   2270.243061   2872.132240   4286.252659
0.700000   306.597959   2283.903494   2909.546779   4298.682949
0.706250   344.303180   2295.644310   2912.737204   4231.557928
0.712500   385.696380   2278.003160   2871.307979   4212.593745
0.718750   396.625621   2266.073280   2859.233087   4250.414585
0.725000   407.032110   2254.712911   2893.263355   4243.170974
0.731250   410.337714   2210.332578   2888.261140   4220.308648
0.737500   406.272459   2215.438429   2888.958300   4212.847445
0.743750   392.820738   2230.815990   2895.857633   4214.439313
0.750000   324.698399   2180.135142   2898.738703   4197.091714
0.756250   289.457003   2136.603235   2888.597650   4183.076892
0.762500   313.199203   2094.282222   2866.618642   4269.376053
0.768750   324.123057   1970.694249   2887.364971   4419.862690
0.775000   243.316206   2004.073270   2988.286230   4283.441680
0.781250   252.045551   2028.134908   2863.566049   4222.999417
0.787500   282.450894   1950.704538   2926.706516   4187.740441
0.793750   291.515441   1918.253309   2926.458365   4162.972474
0.800000   255.356469   2010.788869   2975.772843   4269.526590
0.806250   291.645409   1973.862785   3045.270775   4275.432663
0.812500   351.796397   1940.734520   3028.033211   4153.491988
0.818750   299.722241   1861.596775   2960.446765   4096.909009
0.825000   189.131654   1884.998405   3047.718241   4100.127956
0.831250   128.081554   1860.158660   3040.163858   4138.483043
0.837500   1843.697465   3105.717022   4191.729675   4636.033292
0.843750   1389.522681   2024.141502   3943.369270   4318.298761
0.850000   420.980145   1933.025191   3225.249316   4069.096424
