Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   862.989577   1850.572921   3065.747182   4036.896892
0.034375   917.629986   1996.274498   2871.126332   3734.020641
0.040625   1217.370641   2243.240512   3373.358624   4393.923887
0.046875   1248.021527   2289.874515   3509.654152   4396.195203
0.053125   1261.368421   1464.539901   2663.218454   3643.803928
0.059375   1254.995387   2511.895568   3561.087583   4926.016474
0.065625   1218.973471   2455.425055   3434.380646   4902.927040
0.071875   1131.820819   2444.184523   3452.370635   4184.867252
0.078125   998.239510   2215.175953   3124.787018   4576.219572
0.084375   1028.304410   2156.551080   3129.502093   4629.885013
0.090625   1135.603108   2372.728119   3296.779665   4585.843679
0.096875   1202.947767   2144.505662   3012.092398   4223.023607
0.103125   1190.417945   2075.257450   3163.271777   4189.012329
0.109375   1200.100036   2148.079163   3284.490847   4152.853759
0.115625   1276.456161   2032.658022   3256.779028   4103.632894
0.121875   1176.953237   2017.967971   3112.071410   4240.795413
0.128125   1116.970186   2025.860254   3017.580342   4214.367824
0.134375   1116.332170   2241.509028   3078.818411   4290.611381
0.140625   1214.767148   2058.030547   3234.335650   4484.503971
0.146875   1127.064117   2281.028713   3548.305575   4375.197370
0.153125   1335.520129   2331.539626   3595.671444   4449.702258
0.159375   1047.905780   2151.887123   3198.944465   4271.298215
0.165625   1020.233407   2205.241187   3272.676472   4333.645882
0.171875   1102.574724   2422.210669   2990.664107   3993.653126
0.178125   1247.037107   2438.894273   2792.787125   4161.639625
0.184375   1255.302961   2285.236571   2926.680473   4181.640771
0.190625   1274.174890   2003.655696   2991.459931   4087.386936
0.196875   1180.182749   2440.047717   2813.571893   4136.518861
0.203125   1087.025043   2330.773500   3011.685548   4153.540764
0.209375   1278.881084   2334.372246   3374.806902   4334.659813
0.215625   1349.523780   2472.018383   3609.186327   4375.122913
0.221875   1167.547007   2183.184290   3294.359720   4009.917948
0.228125   1114.181689   2037.845733   3274.503451   4171.925949
0.234375   1340.980824   1768.488837   2951.499613   4355.548057
0.240625   1344.011133   2322.581366   3208.595283   4574.899872
0.246875   1121.077430   2180.285585   3167.456252   4280.164129
0.253125   1214.024419   2231.272525   3076.478580   4258.144259
0.259375   1213.502990   2191.169288   3271.714150   4313.661698
0.265625   1167.174057   2607.035307   3618.301622   4434.761750
0.271875   1283.691849   2572.828869   3423.955244   4415.452453
0.278125   1435.579916   2378.372488   3006.651845   4310.673744
0.284375   1630.113853   2425.085571   3130.342187   4288.005293
0.290625   1189.583255   2282.997139   3494.203181   4447.475510
0.296875   1229.118610   2420.238855   3370.336365   4522.078566
0.303125   1379.452498   2549.983405   3799.323702   4119.368017
0.309375   1390.032540   2416.043011   3580.461385   4526.891558
0.315625   1525.845299   2091.589129   2998.578641   4231.116303
0.321875   1232.185250   2062.968863   3108.728437   4199.838622
0.328125   1151.041575   2294.121810   3343.285951   4690.074646
0.334375   1296.663438   2322.906852   3277.721082   4764.254026
0.340625   1448.646522   2433.413689   3605.080223   4761.287522
0.346875   1146.826413   2379.213096   3494.476921   4698.661693
0.353125   1455.999449   2321.165886   3352.344883   4581.331366
0.359375   1424.577473   2281.479922   3333.783404   4581.596589
0.365625   1407.571248   2317.957625   3385.591221   4672.694467
0.371875   1389.352588   2378.938682   3489.300477   4670.259683
0.378125   1285.024299   2417.187994   3659.314908   4766.855036
0.384375   992.302841   2259.969518   2270.013737   3706.737599
0.390625   1219.492545   1783.795466   2598.339571   3767.982600
0.396875   1233.133801   1436.039616   2625.100067   3755.406941
0.403125   1350.860987   1405.328086   2491.266274   3655.829687
0.409375   1068.482453   1848.866526   2646.803599   3617.444838
0.415625   1174.478564   2144.496669   2606.335364   3570.176449
0.421875   1387.454231   2307.927266   3533.162783   4656.268971
0.428125   1275.685943   2352.494757   3653.321805   4212.872107
0.434375   1148.029893   2217.100872   3546.057353   4217.547945
0.440625   1166.313385   2216.152899   3527.698348   5112.602771
0.446875   1198.178935   2384.752201   3503.656029   4970.151846
0.453125   1319.864630   2343.143071   3519.094029   4913.837651
0.459375   1357.705711   2356.939193   3441.875725   4332.602209
0.465625   1314.068199   2412.228367   3498.115948   4322.258632
0.471875   1209.036494   2378.702484   3315.826522   4304.387335
0.478125   1158.492455   2328.166933   3238.006681   4263.258936
0.484375   1351.517701   2404.103041   3719.828696   4926.182407
0.490625   1431.220672   2296.882767   3410.326687   4060.035095
0.496875   1380.483986   2396.345073   3475.764276   4024.586226
0.503125   1322.100894   2341.300605   3894.882994   4037.429461
0.509375   1281.203638   2237.060290   3660.294799   3998.695779
0.515625   452.939090   1602.446144   2981.003440   3466.057865
0.521875   1139.819072   2014.211913   2782.395806   3783.962634
0.528125   1070.393946   2001.651721   2937.826901   3963.893939
0.534375   1210.963503   2129.901885   2938.376790   3606.596435
0.540625   1316.024977   2222.401882   3465.883465   4692.793741
0.546875   1266.094856   2190.120367   3363.054608   4663.711126
0.553125   1231.323745   2085.302689   3195.937110   4414.047073
0.559375   1227.444673   2165.385111   3229.340661   4400.399427
0.565625   1312.873937   1694.642709   2504.377491   3773.176127
0.571875   1023.642996   1672.503779   2817.748039   3886.714710
0.578125   993.610837   1839.526068   2904.820207   4129.997963
0.584375   1227.423283   1875.966496   2795.595312   3938.620771
0.590625   1360.264218   2471.489302   3154.956525   4070.463727
0.596875   1523.466716   2116.440739   2590.759028   4265.625558
0.603125   1283.121815   1989.978563   2422.457424   3835.146668
0.609375   1255.390202   2436.038019   3201.951559   4457.434912
0.615625   1326.455456   2523.896387   3395.182755   4483.990449
0.621875   1153.982421   2230.934748   3538.355459   5102.543821
0.628125   1297.928634   2281.772303   3471.179471   5063.580403
0.634375   1390.848301   2304.646364   3527.179283   4891.060400
0.640625   1326.927219   2252.063767   3487.923092   4645.595950
0.646875   1238.663653   2201.439978   3475.427922   4669.732042
0.653125   1073.824947   2114.309177   3490.329782   4917.426521
0.659375   316.317936   2162.606361   2318.425454   3538.804291
0.665625   348.157491   2221.302991   2512.077431   3820.868589
0.671875   297.222425   2153.167316   3082.418226   3433.749656
0.678125   292.903357   2065.903298   2944.479404   3465.739302
0.684375   295.337386   2018.990081   3088.285847   3492.468274
0.690625   299.253476   2033.243698   3018.269028   3558.062165
0.696875   301.158286   2057.771362   2975.803962   3614.216255
0.703125   302.381191   2070.317046   2964.610620   3666.040806
0.709375   303.272454   2069.178124   2965.435146   3755.712359
0.715625   303.144884   2083.445347   2989.335395   3849.330043
0.721875   303.179381   2187.860555   2993.572215   3870.660032
0.728125   335.696173   2295.244180   2978.187728   3975.833941
0.734375   412.373702   2364.792524   3043.595134   3788.471599
0.740625   445.752804   2438.949063   3128.271385   3740.343133
0.746875   447.601313   2515.944604   3156.176864   3582.963235
0.753125   426.564229   2558.374021   2875.399238   3805.955663
0.759375   387.893779   2413.856959   2996.189190   3918.324233
0.765625   374.498384   2421.095790   3058.997917   3902.110395
0.771875   377.422240   2405.294835   3100.623107   3713.194039
0.778125   378.571095   2408.414821   3096.893353   3645.090707
0.784375   361.352493   2437.911746   3030.135294   3741.970289
0.790625   355.011897   2457.165042   3028.552107   3771.148715
0.796875   359.253941   2526.233933   3002.087941   3747.257343
0.803125   364.499547   2674.975737   3006.322677   3908.810301
0.809375   363.734060   2710.317057   3030.613569   3959.254112
0.815625   373.787070   2653.745065   2931.038683   3810.785098
0.821875   383.570267   2517.838111   2997.011766   3890.078013
0.828125   397.377190   2505.618273   3060.306169   4543.296985
0.834375   448.266651   2473.894848   3086.904488   4682.930139
0.840625   485.183438   2392.233260   3097.780196   4757.481059
0.846875   506.276234   2379.900817   3101.726569   4739.614103
0.853125   489.649601   2334.159635   3076.581084   4671.863716
0.859375   433.456299   2214.717802   3113.550705   4734.547816
0.865625   417.076466   2219.090264   3137.408636   4542.710659
0.871875   397.626478   2208.398026   3263.093770   4541.283073
0.878125   534.781872   2155.644748   3419.966691   4261.316660
0.884375   1250.146119   2223.838435   3305.015316   4555.535719
0.890625   1429.557892   2210.699998   3156.742442   4604.182519
