Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1081.202314   2288.171030   2466.546474   3940.125044
0.034375   1051.214102   2258.482575   --undefined--   --undefined--
0.040625   1122.084856   2075.553316   3590.912801   4149.502384
0.046875   1230.273398   1960.163117   3135.737538   4332.157971
0.053125   1301.289253   2146.937675   3114.845610   4473.772867
0.059375   1343.807891   2507.237172   3541.802612   4471.087548
0.065625   1303.893542   2460.448718   3618.831181   4388.210559
0.071875   1335.318136   1892.150357   3053.367015   3786.111217
0.078125   1236.644983   2013.446559   3199.716847   3886.146762
0.084375   1137.631820   2046.573678   3236.389299   4356.599398
0.090625   1116.853476   2180.769448   3253.772023   4305.383926
0.096875   1056.613454   2165.761150   3187.200980   4313.375557
0.103125   1220.470919   2057.593256   3210.884067   4488.712616
0.109375   1429.672685   2168.132753   3317.676663   4505.590328
0.115625   1536.012130   2311.043894   3457.159774   4431.009062
0.121875   1203.190374   2104.338652   3268.488807   4226.691062
0.128125   1151.102014   2377.081848   3362.677366   4470.802679
0.134375   1110.420233   2255.594836   3192.278589   4461.513545
0.140625   1074.724974   2299.797737   3168.926627   4503.232965
0.146875   1004.908263   2375.620110   2951.117273   4424.273155
0.153125   1063.056456   2121.194709   3042.789278   4322.368914
0.159375   1101.539111   2182.129614   3233.327544   4225.976488
0.165625   1023.292493   2190.649131   3143.705121   4374.463330
0.171875   1142.780270   2192.937288   3230.079109   4336.420742
0.178125   1286.634454   2292.623116   3349.304756   4369.119291
0.184375   1359.893203   2294.425456   3524.552346   4452.489858
0.190625   1244.033007   2068.676006   3575.383966   4425.035253
0.196875   1183.852289   2023.450309   3343.885397   4344.486582
0.203125   1488.531472   1821.968508   3153.733462   4278.208418
0.209375   1256.532872   2070.162463   3097.978177   4295.710054
0.215625   1016.721048   2241.866145   3278.130067   4346.252073
0.221875   1190.668040   2415.167332   3426.850817   4473.977149
0.228125   1268.831520   2544.504861   3614.120870   4461.830147
0.234375   1336.621495   2487.000083   3347.110723   4546.443488
0.240625   1283.536124   2116.456914   3156.673267   4334.867833
0.246875   1182.753895   2229.361714   3261.082129   4099.301492
0.253125   1180.161739   2156.134223   3371.718813   4229.084221
0.259375   1055.427075   2100.422293   3289.631801   4368.291539
0.265625   1037.698923   2148.426996   3263.805634   4291.546577
0.271875   1049.334742   2122.335797   3305.004695   4341.965977
0.278125   1252.575951   2184.668673   3418.766991   4581.191244
0.284375   1332.449816   2299.220860   3446.416404   4311.123051
0.290625   1232.223857   2130.165407   3151.712824   4162.010401
0.296875   1348.010865   2132.527665   3251.192104   4303.550418
0.303125   1404.728141   2483.518961   3339.176881   4356.506560
0.309375   1209.291271   1936.798665   3054.317711   4086.319771
0.315625   1584.222351   2779.720181   2919.776798   4196.136392
0.321875   1544.114477   2216.631822   3566.635922   4416.558947
0.328125   1521.752248   2315.660992   3527.052755   4425.073122
0.334375   1494.022920   2563.345816   3593.975697   4530.200926
0.340625   1505.967285   2646.546187   3477.888892   4617.145719
0.346875   1395.365542   2497.273179   3389.327603   4448.857035
0.353125   1216.100478   2065.865973   3300.181463   4366.020991
0.359375   1223.352022   2527.599886   3436.958617   4498.026655
0.365625   1257.627940   2500.819268   3818.540338   4869.885442
0.371875   1269.345759   2438.410687   3747.911377   4821.294192
0.378125   1251.049763   2371.860927   3627.314410   4785.354268
0.384375   1383.167218   2557.794898   3610.461046   4829.459008
0.390625   1390.653776   2547.575387   3357.950082   4581.720641
0.396875   1380.539910   2631.274005   3554.067182   4870.668893
0.403125   1318.614950   2659.638793   3454.766860   4799.890609
0.409375   1345.557518   2555.811995   3373.851291   4608.909267
0.415625   1473.967047   2817.981675   --undefined--   --undefined--
0.421875   1628.698875   2124.715115   3023.287768   4301.688513
0.428125   964.726622   1707.539721   3020.297579   4272.926331
0.434375   859.161952   1709.536885   2991.114006   4198.181183
0.440625   840.040378   2060.728382   2925.538205   4210.736207
0.446875   953.015220   2312.598735   2641.501039   4016.299308
0.453125   902.289123   1881.500042   2917.044725   4048.659638
0.459375   721.464952   1855.937602   2879.897493   4092.926850
0.465625   807.967163   1743.090553   2846.152620   4129.848489
0.471875   711.342263   1659.538102   2593.689972   3952.448021
0.478125   654.896074   1687.208626   2500.036291   3927.492211
0.484375   599.213786   1573.750101   2389.000225   3975.271807
0.490625   531.414944   1526.544918   2524.680665   4154.797348
0.496875   565.864044   1799.305284   2818.329531   4299.336757
0.503125   1571.585527   2187.189490   3276.147842   4410.202047
0.509375   1471.819068   2123.883801   3238.879245   4577.521129
0.515625   1403.923514   2030.205894   3364.281541   4668.704581
0.521875   1374.188143   2039.179458   3342.095001   4419.819547
0.528125   325.000585   1672.857278   2937.120406   4298.675890
0.534375   356.856560   1440.559380   2888.001568   4113.301609
0.540625   399.063623   1428.804241   2968.740878   4662.575614
0.546875   442.853058   1423.573920   3008.275404   4624.427307
0.553125   464.503412   1504.316059   3045.863274   4578.910438
0.559375   513.911202   1705.516488   3064.051114   4575.277839
0.565625   530.616651   1770.646110   3066.415891   4605.983570
0.571875   540.024302   1904.328064   3057.436603   4582.273840
0.578125   537.929692   1994.015924   3060.516702   4551.094741
0.584375   526.673666   2070.218769   3063.347357   4538.865196
0.590625   515.281489   2188.482550   3058.714064   4558.079117
0.596875   494.473575   2270.794495   3080.359051   4577.397202
0.603125   458.505551   2323.119256   3070.770800   4602.632863
0.609375   444.536156   2400.961413   3047.498171   4612.315442
0.615625   448.128181   2505.073296   3060.698263   4624.786914
0.621875   424.891432   2532.010829   3038.724093   4628.177976
0.628125   398.921743   2554.219109   2999.267682   4712.724664
0.634375   398.663645   2546.119836   2977.749547   4801.358885
0.640625   377.694360   2513.966557   2979.621146   4773.381577
0.646875   346.659427   2523.821080   2951.907922   4753.183102
0.653125   340.685236   2538.384581   2956.084685   4755.132249
0.659375   351.557392   2545.976380   2985.736745   4774.529321
