Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1028.982493   2173.070554   2694.699530   4137.221256
0.034375   379.532978   1396.673156   2695.699763   4264.839626
0.040625   463.642798   1601.259476   2689.086406   4130.735272
0.046875   450.121550   1842.531138   3068.191601   3954.683412
0.053125   411.980918   1888.408833   2869.050435   3657.819805
0.059375   366.242572   1787.354687   2976.080430   3687.442407
0.065625   370.473522   2054.284390   3305.804805   4382.772560
0.071875   423.436191   2074.773565   2830.356168   3163.838629
0.078125   400.921888   2357.329375   2607.238613   3139.346394
0.084375   414.558665   2088.469547   2919.630854   3194.367198
0.090625   435.431060   2157.188250   3330.047773   4675.354481
0.096875   482.802252   2110.129184   3233.608757   4437.385974
0.103125   522.244962   1995.982750   2909.386715   4366.829266
0.109375   462.926870   1810.299769   2917.613256   4447.995373
0.115625   452.808183   1670.709551   2569.545416   3518.816188
0.121875   546.150726   2020.545408   3008.020084   4702.215136
0.128125   471.119444   1998.539803   3047.152007   4630.985544
0.134375   338.482301   1773.587787   2520.104835   3611.185364
0.140625   362.508538   1777.220144   2337.703494   3685.161136
0.146875   365.213738   2020.632734   3259.206545   4258.911090
0.153125   365.167670   1500.974392   2425.533507   3967.322836
0.159375   291.946056   1505.323400   2571.268922   3859.687710
0.165625   1045.226023   2608.677758   3618.362558   4863.956995
0.171875   1184.571467   1975.940900   3049.738119   4064.293138
0.178125   1484.345569   2233.892872   3685.745247   5208.464737
0.184375   1511.385026   2332.084077   3694.569367   4957.115925
0.190625   418.705708   1600.388557   2581.275339   3717.162429
0.196875   448.224050   1852.564897   2891.235727   4292.829934
0.203125   500.682617   2108.928658   3144.675293   4615.229202
0.209375   456.699929   1454.308446   2303.768942   3687.017903
0.215625   282.757203   1488.864746   2491.579174   3853.409577
0.221875   1518.667562   2499.091165   3926.626929   4849.974018
0.228125   1374.844410   2234.511380   3501.818738   4206.361206
0.234375   1291.101726   2098.445105   3607.537496   4692.721895
