Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1076.002533   1821.817510   3173.929077   4083.398421
0.034375   1017.214210   2010.357423   3295.032268   4219.267548
0.040625   1197.925237   1910.253300   3283.077869   4199.406068
0.046875   1604.264727   2527.516130   3212.072077   4373.266162
0.053125   1299.929682   2486.354952   3271.886955   4427.645639
0.059375   1304.957280   2446.099507   3392.645510   4525.871770
0.065625   1306.947290   2423.445490   3421.904984   4596.553386
0.071875   1242.029263   2248.629338   3496.313873   4614.500536
0.078125   1070.947509   2234.630027   3096.890805   4235.070822
0.084375   1088.354587   2311.622137   3116.221896   4255.404743
0.090625   1133.244489   2122.611564   3190.961422   4230.778182
0.096875   1251.370073   2065.538567   3240.066512   4256.138264
0.103125   1223.405641   2151.014382   3388.150900   4531.820027
0.109375   1032.710756   2159.646272   3404.379518   4352.723481
0.115625   1204.643043   2239.749024   3374.061595   4207.479782
0.121875   1306.183292   2217.351407   3248.356357   4124.696613
0.128125   1118.252101   2177.957531   3084.817297   4027.224199
0.134375   1137.297631   2292.987566   3020.764983   4045.574730
0.140625   1294.071405   2398.175395   3473.304071   4163.940284
0.146875   1359.029530   1997.376974   3104.460752   4142.793733
0.153125   1201.306438   2111.389511   3233.507551   4286.750836
0.159375   1060.439352   2023.226874   3329.550084   4334.031719
0.165625   1096.375135   2069.483920   3221.442690   4210.572392
0.171875   1141.052552   2262.173608   3297.512845   4445.353298
0.178125   1120.659065   2261.185161   3325.458090   4414.954394
0.184375   1100.498967   2171.005177   3168.433387   4208.167423
0.190625   1119.205348   1996.226524   3219.623561   4254.359546
0.196875   1208.128222   1976.709415   3282.808055   4381.886710
0.203125   1111.822253   2172.008487   3334.051098   4381.658882
0.209375   1094.084130   2238.577546   3324.252431   4438.013208
0.215625   1277.179995   2266.004667   3477.657833   4509.958760
0.221875   1389.612177   2421.414439   3464.847667   4550.231065
0.228125   1248.070486   2438.250489   3440.743039   4586.363428
0.234375   1136.710027   2354.986060   3368.834090   4483.395844
0.240625   1200.049556   2581.647164   2800.765565   4045.687126
0.246875   1189.771553   2562.175372   2786.418352   3978.141265
0.253125   1185.316733   2305.140471   2921.481366   4045.397153
0.259375   1611.636517   2015.162329   3074.063298   4247.063866
0.265625   1247.436261   2405.795976   3518.309143   4611.532121
0.271875   1172.610309   2342.360574   3109.738821   4294.850466
0.278125   1469.032480   2492.157300   3490.376504   4444.488582
0.284375   1290.438236   2479.017023   3475.524245   4365.720346
0.290625   1095.986514   2337.339525   3361.515346   4447.418059
0.296875   1125.657783   2232.189054   3617.032127   4431.429023
0.303125   1207.854848   2299.164533   3322.752047   4343.531866
0.309375   1224.675122   2231.136391   2901.874937   4158.724241
0.315625   1239.573346   2588.760500   3883.480493   4244.262487
0.321875   1189.234083   2230.093751   3362.393393   4240.149954
0.328125   1090.422433   2182.202643   3286.776238   4319.260126
0.334375   1087.656063   2347.586068   3396.830041   4365.666048
0.340625   1222.712053   2379.745027   3277.567660   4545.587202
