Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1058.897900   2567.873892   --undefined--   --undefined--
0.034375   970.343625   2437.028356   --undefined--   --undefined--
0.040625   1248.376408   2280.800973   3436.853557   4986.097145
0.046875   1636.609510   2391.081935   3482.425646   4925.197489
0.053125   1573.288618   2453.939674   3431.598228   4909.439140
0.059375   1496.361846   2490.916485   3387.928921   4908.259480
0.065625   1476.747955   2552.479015   3406.366129   4892.811495
0.071875   1433.706997   2554.493695   3518.172330   4852.003635
0.078125   1573.252062   2528.885577   3545.325044   4805.519656
0.084375   1650.746691   2460.231365   3558.443117   4877.209459
0.090625   1503.591943   2316.023285   3489.443868   4862.848942
0.096875   1417.611859   2417.044916   3331.555897   4876.618352
0.103125   1490.075821   2484.653244   3218.282645   4805.490003
0.109375   1662.513012   2227.660896   3239.223310   4805.632926
0.115625   1480.281709   2245.103456   3254.553222   4721.598840
0.121875   1303.799109   2527.146896   3377.200814   4647.919916
0.128125   1334.710193   2436.840550   3160.999497   4731.842275
0.134375   1401.471104   2188.936239   3063.431069   4869.581225
0.140625   1398.819229   2287.551082   3193.030180   4907.825757
0.146875   1461.026287   2370.468365   3335.176998   4883.159425
0.153125   1498.815083   2388.481457   3158.565683   4706.886176
0.159375   1434.995363   2342.355738   3128.937837   4661.014333
0.165625   1376.439834   2361.750146   3100.482993   4770.087950
0.171875   1413.829794   2286.068816   3122.026179   4863.413696
0.178125   1467.345957   2411.630071   3181.650921   4855.718840
0.184375   1467.661168   2420.955191   3340.241973   4931.328849
0.190625   1489.708135   2408.565948   3302.071351   4902.926782
0.196875   1535.767229   2493.385297   3278.796636   4819.063410
0.203125   1660.170180   2560.744444   3281.143926   4675.402979
0.209375   1603.433235   2539.742266   3189.586640   4597.453056
0.215625   1440.295743   2458.577291   3172.488602   4606.693001
0.221875   1324.877626   2442.826126   3202.827222   4811.009644
0.228125   1293.063975   2354.046515   3305.107755   4787.177836
0.234375   1450.131591   2440.497380   3357.890954   4730.700931
0.240625   1493.993248   2356.048690   3218.948799   4666.276098
0.246875   1542.495119   2349.812371   3063.616612   4745.927002
