Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1471.987152   2477.908348   3629.263800   4390.655969
0.034375   1484.624267   2480.038118   3750.646669   4329.562197
0.040625   1717.364700   2678.953180   3919.020255   4792.646474
0.046875   1781.739983   2825.931549   --undefined--   --undefined--
0.053125   1224.839621   2443.888920   2700.129884   4294.688595
0.059375   1793.907312   2157.821532   3095.190217   4225.234088
0.065625   1511.581839   2533.067303   3132.550976   4286.513787
0.071875   1294.487140   2270.851656   3317.193321   4241.797749
0.078125   561.113797   2244.614313   3286.509863   4112.215346
0.084375   585.061778   2219.806213   3200.341427   3837.799377
0.090625   564.014057   2172.881464   3177.401141   3882.043800
0.096875   626.775037   2224.502242   3115.723909   3969.379781
0.103125   574.750602   2155.699956   3159.881139   3800.879825
0.109375   494.050794   2146.321703   3619.210267   3803.292417
0.115625   504.617012   2150.544151   3396.922145   3898.446748
0.121875   362.545899   2168.951506   2850.786354   3922.647133
0.128125   554.173659   2090.754873   2908.948219   3969.323378
0.134375   500.608200   2027.816910   3007.555398   3996.507874
0.140625   369.446819   2004.732572   3237.058485   4205.179584
0.146875   440.340052   2015.940188   3195.553533   4179.203993
0.153125   614.439140   1903.822648   3009.482682   4112.081879
0.159375   653.961692   2051.238307   3042.564471   4006.012755
0.165625   609.615730   2070.966143   3143.515996   4290.483025
0.171875   494.804521   2068.282389   3211.869754   4496.752679
0.178125   461.679524   2100.157638   3249.481347   4564.747714
0.184375   458.110107   2081.000286   3279.620623   4205.106633
0.190625   382.946017   2057.039141   3156.420137   4138.083840
0.196875   368.160475   2009.480399   3195.675548   4169.552497
0.203125   457.801685   2046.363495   3310.752013   4251.506966
0.209375   594.257545   2026.265650   3258.601529   4376.664269
0.215625   598.977589   2047.585506   3423.744150   3452.545319
0.221875   454.141238   2041.360167   3077.615626   4278.016844
0.228125   456.393865   2059.655833   3031.001319   3972.783258
0.234375   454.314068   2010.611603   3287.143879   4433.986906
0.240625   469.919778   2157.432263   3330.907411   4306.219849
0.246875   508.459480   2140.745185   3209.304082   4137.760809
0.253125   541.188245   2049.988417   3296.073712   4027.352784
0.259375   557.843884   2165.135724   3493.661093   3744.712582
0.265625   606.394260   2183.519895   3400.117122   4332.405222
0.271875   616.454870   2093.485916   2938.762354   4361.082695
0.278125   606.116313   2030.655532   3013.884341   3974.080450
0.284375   546.299747   2041.199691   3306.416344   4018.210107
0.290625   495.071348   2024.831178   3374.824906   4233.966636
0.296875   528.992023   2007.420980   3178.662295   4053.365005
0.303125   596.642698   1994.751498   3097.190285   4168.506006
0.309375   596.686214   2012.977561   3306.457698   4151.118675
0.315625   470.651880   2020.333054   3297.616541   4061.871679
0.321875   412.306009   2042.431751   3101.332213   3986.775079
0.328125   474.877720   2036.413817   3039.266093   4046.350141
0.334375   503.080746   2054.243625   3241.124314   4132.882939
