Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   854.243240   2464.258480   3336.015763   4167.358619
0.034375   723.499760   2415.467272   3963.025740   4109.969195
0.040625   703.836012   2272.095052   3251.205533   4035.817266
0.046875   1076.279107   2232.440343   2870.423685   4163.523731
0.053125   1240.781815   2446.327199   --undefined--   --undefined--
0.059375   854.991232   2295.367766   2860.372456   4174.586874
0.065625   832.524683   2199.202552   3805.237586   4871.707106
0.071875   1110.791926   2170.888172   3146.651902   4354.227535
0.078125   1121.113292   2111.211312   3312.807246   4327.061637
0.084375   1154.087308   2037.032976   3286.832685   4362.280466
0.090625   612.889121   1722.277720   2370.457673   4140.333278
0.096875   708.053223   1718.592936   2490.282954   4101.680794
0.103125   1297.577492   2387.919283   --undefined--   --undefined--
0.109375   476.524516   2167.819020   2776.804506   4292.603772
0.115625   1301.707325   2313.557500   --undefined--   --undefined--
0.121875   557.353460   1013.431209   2371.801917   4265.351701
0.128125   819.177090   2238.613377   3482.022151   4368.303812
0.134375   893.964155   2252.514323   3587.190651   4389.015156
0.140625   814.917377   2133.675822   3842.732154   4291.249781
0.146875   692.764240   1870.875531   2321.785175   4214.501049
0.153125   860.060937   2290.054583   3909.800244   4249.676877
0.159375   1034.829263   2257.900189   3482.750054   4346.493628
0.165625   1014.386396   2352.357122   3355.665656   4346.383526
0.171875   975.774737   2318.791642   3304.424528   4388.208608
0.178125   898.886664   2143.582043   3165.526148   4443.656240
0.184375   919.259418   2282.588830   3172.460872   4453.678097
0.190625   1128.091861   2361.031880   3050.665271   4317.682671
0.196875   1004.119625   2388.473327   3314.565104   4441.866760
0.203125   1036.009600   2158.846512   3160.175892   4452.782755
0.209375   1165.221296   1892.847719   3095.885255   4396.472289
0.215625   1243.861548   2034.695405   3135.637793   4518.112000
0.221875   1163.536422   2112.141389   3331.843715   4638.390983
0.228125   1085.533168   2180.088931   3199.410197   4478.574669
0.234375   1151.196870   2245.000441   3160.684592   4157.058753
0.240625   1231.518497   2347.670433   2539.326541   4064.656078
0.246875   1264.376638   2252.576941   2434.233753   4072.426463
0.253125   1279.691947   2194.023000   3521.925324   4840.109380
0.259375   788.128961   1493.334149   2236.620317   3845.368285
0.265625   1020.221030   1399.716291   2167.304694   4302.809903
0.271875   356.245026   1490.845469   2170.100141   3879.898914
0.278125   1457.151949   2273.324931   --undefined--   --undefined--
0.284375   392.045343   1573.185752   2293.293931   3778.543450
0.290625   542.469289   1674.290844   2311.913414   3748.172425
0.296875   1571.028855   2197.689407   3163.236849   4553.201334
0.303125   1476.474972   2198.404007   3279.861397   4622.320803
0.309375   1483.345911   2177.727852   3694.390792   5111.683316
0.315625   791.304294   1654.620667   2162.459185   3885.861627
0.321875   923.926018   1937.523776   2137.576613   3959.504878
0.328125   1761.125522   2080.148711   3090.112531   4772.639288
0.334375   2015.927357   2115.758833   2575.987164   4549.610893
0.340625   546.108258   1960.159022   2483.439127   4371.988269
0.346875   627.443437   1949.093306   2396.744018   4382.282306
0.353125   1073.563779   2080.621548   2521.879200   4477.928933
0.359375   1521.126344   2095.880036   3260.694217   5104.155536
0.365625   1501.999505   2059.965288   2902.479348   4345.900861
0.371875   1330.319774   2036.178529   2527.832690   4333.543862
0.378125   718.867567   1906.001648   2437.869810   4288.716771
0.384375   628.014578   1965.649391   2449.733018   4175.814405
0.390625   698.049611   2065.638002   2379.389560   4298.437315
0.396875   711.521376   2001.436538   2690.778789   4391.913249
0.403125   481.500269   2019.196134   2500.140820   4384.525507
0.409375   442.021695   2029.172629   2430.748854   4395.243874
