Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   494.734452   1926.491621   3241.003664   4210.409668
0.034375   417.911774   1896.502849   3224.916025   4185.989766
0.040625   396.118510   2110.885819   3061.996577   4223.637590
0.046875   990.882343   2292.657549   3631.736754   4397.993548
0.053125   1003.448668   2133.308146   3649.767200   5067.467550
0.059375   1778.149307   3171.364459   --undefined--   --undefined--
0.065625   347.797998   1786.758166   3242.278144   4313.957383
0.071875   313.457558   1372.708685   3038.801264   4281.758285
0.078125   561.925244   1562.066213   2793.729472   4084.070372
0.084375   492.178160   2180.141388   2843.476764   4128.204346
0.090625   492.649216   1868.375193   2294.164522   3682.355024
0.096875   578.807848   2315.811158   3565.003819   4189.491343
0.103125   333.010209   1871.749074   2928.832942   4329.003059
0.109375   430.848684   1736.889204   2893.695343   3971.014796
0.115625   560.391763   1767.765528   2868.796094   3709.578496
0.121875   532.195327   1546.411596   2598.968712   3828.588567
0.128125   483.868938   1925.688592   2862.714112   3959.281030
0.134375   511.311930   1858.145208   2922.311149   4098.390435
0.140625   438.024424   1771.450020   2706.212446   4060.445188
0.146875   282.560243   1707.248365   2778.335629   3982.531576
0.153125   452.095598   1835.629118   2819.553348   3850.019369
0.159375   450.361003   1907.379449   2810.034410   3922.851378
0.165625   459.143671   2281.041185   2462.248618   3467.741164
0.171875   433.297996   1621.464205   2965.729177   3801.692363
0.178125   498.687972   1913.028164   2973.369114   3650.478463
0.184375   429.875001   1849.216779   2797.408363   4075.867057
0.190625   472.394464   1761.929480   2812.391918   4123.727273
0.196875   517.989651   1744.791097   2789.003032   4020.740307
0.203125   516.867242   1711.955957   2768.193128   3902.824226
0.209375   449.334043   1763.227862   2825.887832   3884.168531
0.215625   518.891905   1797.976948   2668.510541   3790.865009
0.221875   534.498548   1871.857787   2823.848393   4038.328840
0.228125   458.271514   1847.770621   3023.557187   4089.743292
0.234375   465.128886   1763.300766   3048.828709   3871.641261
0.240625   380.584614   1788.345951   3106.765988   4096.861096
0.246875   481.581621   1781.293649   3042.100757   4237.644732
0.253125   427.385139   1776.261117   3016.311538   4307.125335
0.259375   508.455796   1790.790220   3031.332960   4355.555086
0.265625   548.644424   1894.085668   3125.519767   4473.129805
0.271875   138.985619   1975.344995   3114.879823   4465.756936
0.278125   535.265444   2033.029901   3199.718291   4537.021350
0.284375   595.394472   1941.333821   3290.329640   4368.205305
0.290625   497.053524   1883.618214   3062.397114   3962.974842
0.296875   429.525567   1838.746416   3152.586473   4378.975780
0.303125   422.185233   1837.019930   3275.831789   4432.889848
0.309375   492.308939   1787.912995   2822.908456   4187.449359
0.315625   596.521701   2182.074837   3425.253512   4311.216288
0.321875   491.718963   1804.926021   2882.221545   4113.885448
0.328125   413.512333   1533.242422   2748.483209   4044.953578
0.334375   307.611653   1671.143918   2704.801723   3749.481220
0.340625   305.623792   1770.884495   2742.297428   4048.237598
0.346875   346.774711   1759.220761   2777.006543   3945.275749
0.353125   406.597340   1682.555174   2767.260380   4117.673986
0.359375   373.309835   1758.537207   2750.832054   4212.108742
0.365625   459.126587   2211.660669   3333.157923   4567.317550
0.371875   361.842311   2108.751314   3330.873743   4850.604403
0.378125   934.428871   2321.356171   3285.131041   4297.330428
0.384375   389.896629   1737.241346   2783.327844   4009.266266
0.390625   328.626501   1618.834424   2763.164609   4068.867486
0.396875   248.176372   1738.174513   2847.175558   4019.042085
0.403125   188.451635   1451.012719   2729.339734   3940.686494
0.409375   1418.120580   2687.337990   3981.847771   5128.686326
0.415625   398.667615   1989.791632   3011.092193   4294.802429
0.421875   445.368100   1890.956432   3005.567757   4214.710619
0.428125   587.466653   1679.967627   3125.833853   4021.453003
0.434375   482.366879   1663.082558   2960.223570   3979.327549
0.440625   463.420584   1695.754491   2932.241461   3898.870724
0.446875   461.695714   1601.558450   2895.802474   3791.855813
0.453125   601.679568   1620.465508   2982.006425   3887.334607
0.459375   494.746024   1766.640403   2925.644536   4045.601184
0.465625   521.563876   1687.739756   2985.761672   3987.646132
0.471875   516.931674   1586.611615   2881.727763   4120.730994
0.478125   414.722651   1563.748883   2848.005576   4052.968521
0.484375   466.398083   1647.760223   2804.434062   3767.430467
0.490625   593.070108   1663.194092   2876.046554   3925.093672
0.496875   588.957796   1896.220291   3119.906603   4527.951258
0.503125   601.032644   1864.037130   3096.372687   4430.267076
0.509375   650.083653   1918.566422   3054.041659   4215.102044
0.515625   297.815860   1671.648647   2633.952862   3970.867576
0.521875   1091.373289   2215.229381   3573.099189   4842.186149
0.528125   1119.502658   2192.740994   3542.397886   4775.763567
0.534375   631.360215   1842.013494   3523.138131   4404.861286
0.540625   566.353077   2182.307831   3364.701895   4407.335506
0.546875   985.446371   2448.573895   3086.078254   4415.676407
0.553125   302.019471   1496.065372   2822.221092   3707.201406
0.559375   894.556081   1991.561651   3208.126671   4332.405466
0.565625   692.574579   2014.470928   3129.186320   3864.377404
0.571875   559.400406   2131.443302   3302.244003   4538.012527
0.578125   371.011604   1868.485685   3178.730294   4185.148247
0.584375   478.444086   1846.477767   3061.222219   4000.300997
0.590625   404.884195   1839.997715   2905.245588   4062.855048
0.596875   494.406012   1752.851272   2712.518781   3934.600764
0.603125   398.709094   1855.683775   2671.523975   3837.549693
0.609375   417.143227   1813.211093   2854.431444   3883.755919
0.615625   313.302226   1690.461476   2857.553984   4166.078570
0.621875   470.214409   1750.926693   2442.635849   3721.900081
0.628125   538.259978   2111.618369   3141.347965   4298.675558
0.634375   473.090443   1947.447741   2926.443138   3987.289419
0.640625   352.611126   1840.343777   3036.377836   3967.028292
0.646875   299.061359   1897.881942   3284.675805   4488.141581
0.653125   428.114153   1778.918186   2925.680978   4064.783949
0.659375   513.004723   1812.042507   2723.945800   3942.672978
0.665625   353.915973   1866.955972   2668.849408   4034.859348
0.671875   382.474345   1836.789184   2870.519515   4209.900264
0.678125   443.041154   1775.006733   2910.670759   4024.486644
0.684375   425.872787   1892.467919   3076.333473   4064.259147
0.690625   424.024428   2026.544292   3295.695498   4231.219872
0.696875   810.757487   2213.243839   3298.646620   4405.044422
0.703125   2043.230290   3178.421811   --undefined--   --undefined--
0.709375   385.982589   1896.629447   3079.851992   4302.795218
0.715625   570.690019   1625.067907   2903.374877   3988.987504
0.721875   560.492950   1550.184835   2820.584160   3976.669997
0.728125   551.082067   1747.626872   2741.471089   3915.818851
0.734375   559.681301   1827.018153   2473.111307   3890.654380
0.740625   412.985381   1839.094021   2471.451289   3876.763134
0.746875   413.500759   1808.727246   2546.475239   3914.348001
0.753125   862.883663   2086.252282   3069.020782   4343.462118
0.759375   439.742542   2182.292919   3078.455327   4310.209547
0.765625   547.383958   2052.935705   2966.262507   4292.391573
0.771875   402.066517   1884.897646   2559.467253   3954.156633
0.778125   380.976112   1919.787465   2479.091768   4183.873452
0.784375   401.071766   1962.431155   2785.039061   4208.591639
0.790625   1134.482392   2120.093737   3287.006193   4494.684419
0.796875   969.849523   2125.507730   3390.930987   4469.772519
0.803125   459.225676   1810.645256   2810.198672   3880.983662
0.809375   529.201153   1951.237814   2698.630939   3829.804360
0.815625   587.399766   1957.634625   2660.051194   4214.661375
0.821875   552.934407   1984.760055   2791.812259   4366.403531
0.828125   1153.185968   2119.065886   2954.997862   4425.612744
0.834375   320.767159   1818.690351   2840.104567   4051.319445
0.840625   430.411100   2190.909222   2807.013263   4452.821102
0.846875   499.274727   2264.432461   3217.113868   4271.171536
0.853125   446.905885   2100.112388   3114.500964   4162.216966
0.859375   497.457762   2081.239345   2976.518251   3529.898626
0.865625   603.894458   2211.854431   3222.457303   4128.606756
0.871875   597.701031   2111.069075   2719.381415   4034.703809
0.878125   468.976968   2037.774603   2374.291506   4080.750871
0.884375   355.415055   1809.655410   2463.068138   3937.655017
0.890625   1830.496299   2396.915503   3945.646398   4907.122743
0.896875   1218.845139   2218.040935   3784.985114   4854.875778
0.903125   554.716554   2133.912878   3268.473935   4194.970389
0.909375   502.105528   2162.217927   2854.810845   4192.733349
0.915625   620.143488   2114.963221   3114.746120   4153.713633
0.921875   590.210573   2080.835580   3218.889519   4212.867789
0.928125   650.698038   2115.666177   3206.890526   4235.309384
0.934375   759.902890   2196.550001   3175.485001   4231.341929
0.940625   851.476746   2201.657377   3231.946515   4226.072383
0.946875   713.095799   2193.948169   3457.819967   3746.766127
0.953125   539.702545   2024.016850   2603.013599   3987.569367
0.959375   549.082649   1943.084475   2658.531216   4074.586860
0.965625   694.601849   2125.667978   2690.133009   4232.525872
0.971875   748.649729   1988.509133   2785.661605   4209.781836
0.978125   488.088890   1889.930343   2771.273408   4390.736336
0.984375   704.143132   2061.454224   2882.580574   4394.252949
