Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   947.489678   1840.954739   3145.202718   4136.952255
0.034375   904.676014   1764.055114   3062.626495   4182.094293
0.040625   1074.504580   1867.537029   3014.701532   4246.456454
0.046875   1170.665831   2224.251807   3202.357856   4196.630466
0.053125   1224.505557   2093.798232   3275.440648   4101.737274
0.059375   1236.146689   1990.958929   3311.855325   4152.800147
0.065625   1211.636558   2107.430069   3254.785357   4131.231660
0.071875   1117.331271   2191.168945   3164.278996   4195.020073
0.078125   1180.120061   2162.173199   3084.310892   4258.766155
0.084375   1196.598754   2366.632553   3353.364540   4787.518879
0.090625   1082.188055   2166.658522   3309.538271   4240.343160
0.096875   1222.635826   2008.987223   3240.474006   4257.937172
0.103125   1576.059338   1678.118010   3234.770093   4237.627558
0.109375   1572.616975   1918.368329   2970.891994   4055.694707
0.115625   1141.984950   1926.417279   2921.363819   4162.131954
0.121875   959.698219   2015.927426   2933.035968   4156.387913
0.128125   972.767980   2120.101831   3092.487384   4171.765292
0.134375   1022.641999   2199.456248   3228.647182   4025.159774
0.140625   1097.658064   2200.920149   3378.454077   3906.868993
0.146875   1160.384655   2175.297300   3317.184698   4423.870122
0.153125   1354.283341   2265.332080   3378.305292   4512.476051
0.159375   1077.753097   2234.408097   3207.392887   4054.520800
0.165625   851.452832   2147.952125   3208.300257   3916.821428
0.171875   981.978569   2195.348759   3113.623255   3991.529784
0.178125   1021.814426   2294.600351   2844.069165   4025.871649
0.184375   1239.806006   2638.027021   3659.413557   4666.816917
0.190625   1161.532182   2356.531195   3314.725512   4287.454383
0.196875   1261.095590   2169.191145   3076.232064   4132.350380
0.203125   1148.525513   2002.928656   2938.384946   4124.709715
0.209375   1197.085917   2633.348071   2869.173791   3849.442274
0.215625   1347.573932   1768.256847   3042.566760   3987.232639
0.221875   1165.484702   2050.320106   3139.180339   3949.479831
0.228125   1161.041285   2221.032462   3056.424939   3861.585170
0.234375   1215.883566   2154.221442   2894.319962   3997.650983
0.240625   1164.125023   1995.884147   3057.773739   3966.897085
