Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1269.808353   2222.148401   3374.366135   4267.332528
0.034375   1259.872555   2129.339004   3376.755485   4334.232759
0.040625   1124.427475   1972.553325   3274.160604   4330.677939
0.046875   603.138379   1918.402916   3141.441754   4126.854749
0.053125   624.632104   1918.103212   2941.186946   3713.310147
0.059375   731.613664   1962.364531   3137.910867   3951.971872
0.065625   688.645919   1958.365164   3220.280875   3979.521837
0.071875   670.063023   2005.206496   3198.757961   4259.707043
0.078125   657.630400   2009.230787   2988.961128   4050.557492
0.084375   670.948342   1961.088019   2888.820623   3682.770223
0.090625   747.979074   2000.078161   3313.748858   4077.216411
0.096875   769.909508   2030.573945   3358.520966   4052.934717
0.103125   664.081050   1992.531204   3238.315026   4001.057585
0.109375   714.395997   1740.970373   2958.328233   3670.663307
0.115625   704.316524   1781.044103   2984.159012   3505.262857
0.121875   737.839544   1964.739344   3021.442196   4111.897211
0.128125   772.669134   1945.217400   2948.835179   4076.347674
0.134375   738.749861   1898.043550   3038.004783   4129.912484
0.140625   758.025262   1934.528458   3008.477226   4158.143948
0.146875   672.250904   1958.642972   2955.709809   4190.292624
0.153125   694.857948   1968.196946   2999.369276   4195.781946
0.159375   726.634505   2034.675008   3055.853613   4133.606269
0.165625   565.963019   2030.305982   3086.656578   4364.209346
0.171875   738.050131   1755.602307   2615.122465   3636.049979
0.178125   770.143651   1637.238152   2830.474535   3700.796800
0.184375   689.697147   1731.661651   2934.479820   4110.479600
0.190625   704.435200   1938.017788   2825.702861   4068.843282
0.196875   741.046643   1940.998729   3024.220831   4281.619867
0.203125   622.673377   1884.393468   3084.402485   4430.434133
0.209375   572.344008   1760.627084   2895.513255   3689.924021
0.215625   679.943744   1686.363261   2930.846792   3555.388760
0.221875   717.636534   1851.867329   3162.356063   3290.367629
0.228125   625.815029   1672.342813   2437.774418   3691.432186
0.234375   591.540594   1774.117815   2358.229735   3681.428535
0.240625   631.610796   1781.505059   2742.869041   3888.996403
0.246875   681.190830   1554.671904   2344.414817   3679.342667
0.253125   597.540236   1741.730217   2474.294763   3604.217820
0.259375   758.453053   1758.673637   2812.058602   4416.197853
0.265625   754.732710   1690.479240   2757.003632   3538.284154
0.271875   982.638169   2014.610683   3208.143188   4440.546604
0.278125   774.671465   2076.483899   3187.882268   4407.240533
0.284375   579.733496   1577.079218   2886.179884   4318.001650
0.290625   704.712032   1490.475161   2377.738735   3722.695856
0.296875   803.802671   1384.396213   2283.666154   3685.829747
0.303125   838.939322   1367.530245   2239.606738   3672.585202
0.309375   1289.566969   1862.914508   3000.752042   4326.500401
0.315625   1145.860064   2106.884346   3020.601096   4293.885977
0.321875   1194.817279   2206.911136   3093.190021   4428.276837
0.328125   833.112557   1252.714471   2677.049798   4253.355863
0.334375   1220.706698   1960.040606   3087.607896   4312.237743
0.340625   1243.911888   1270.182134   2896.089455   4305.746587
0.346875   953.020207   1372.719474   2925.046124   4316.287094
0.353125   817.626775   1378.217930   2965.789681   4279.226577
0.359375   1443.939873   1551.839581   3153.594961   4282.844811
0.365625   283.540863   1538.011660   3006.123385   4316.201976
0.371875   403.190379   1555.399539   2975.831664   4352.436183
