Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   651.122170   1912.903125   2971.379672   4338.815184
0.034375   1436.744764   1835.356710   3189.537692   4431.321641
0.040625   1405.732158   1789.879910   3369.709616   4551.594286
0.046875   826.219508   1802.678917   2908.201502   3732.788421
0.053125   657.846340   1805.905772   2843.142399   3827.262232
0.059375   750.939749   1813.039083   2649.116885   3758.639946
0.065625   605.759961   1827.635779   2744.004815   3741.805083
0.071875   577.176887   1814.099723   2654.216503   3680.971694
0.078125   1772.620349   2387.910112   3847.496301   4923.466990
0.084375   1742.917118   2312.573850   2479.757602   3987.164630
0.090625   810.669123   1681.213389   2306.350903   3909.125400
0.096875   1523.565728   2216.562846   3885.743810   4093.316649
0.103125   1200.715576   2087.470608   2992.974473   4186.429319
0.109375   1233.317581   2102.448761   3162.425214   4132.997571
0.115625   1226.691451   2206.504546   3255.521232   4053.071301
0.121875   1188.591965   2342.323574   3801.538689   3886.413640
0.128125   1148.227219   2287.804885   3386.173786   4190.953264
0.134375   1061.117487   2209.468098   3299.216361   4116.728341
0.140625   1291.162526   2314.321249   3836.805278   4506.606927
0.146875   1236.415818   2486.508773   3461.336830   4245.488611
0.153125   1034.158390   2337.443045   2934.999076   4252.657564
0.159375   1196.691131   2732.312575   3288.586121   4305.328765
0.165625   1262.350091   1980.143002   3379.701861   4306.516996
0.171875   1229.973583   2094.483173   3421.395147   4424.699036
0.178125   1096.963456   2296.157999   3373.341656   4386.742200
0.184375   1008.925796   2299.252170   3347.868445   4394.427093
0.190625   1092.207786   2189.478774   3401.628445   4393.118846
0.196875   1213.696061   2143.015347   3288.806056   4354.762443
0.203125   1086.361324   2193.257637   3162.581724   4335.813236
0.209375   1146.725112   2227.891385   3110.330021   4315.825338
0.215625   1244.566734   2207.135478   2985.890645   4321.425404
0.221875   1249.918501   2341.274939   3238.903314   4379.808710
0.228125   1065.820832   2422.913572   3030.218084   4339.113233
0.234375   1248.280049   2108.808950   2863.948111   4273.089012
0.240625   1138.012832   1857.512464   3034.801765   4166.254165
0.246875   1191.749299   1940.024522   3292.040161   4219.602675
0.253125   972.219015   2232.947408   3274.939251   4234.000309
0.259375   973.970233   2329.467604   3181.007017   4109.997071
0.265625   1044.218610   2220.643600   3140.626143   4005.002147
0.271875   1150.908037   2202.301861   3338.328343   4463.982600
0.278125   1790.610082   2201.273198   3291.864116   4497.921587
0.284375   1064.045743   2077.270446   3250.452862   4298.369478
0.290625   1063.510162   2079.447576   3141.028126   4205.280222
0.296875   1022.007569   2000.063887   3114.178013   4130.026026
0.303125   1047.169120   2010.000126   3182.615352   4094.000742
0.309375   1122.149210   2137.783780   3277.960101   4385.976447
0.315625   1311.781280   2304.053510   3367.387161   4506.847009
0.321875   1135.184598   2428.171572   3373.481853   4544.213948
0.328125   1128.090296   2511.765415   3645.572038   4298.925448
0.334375   1385.336620   2455.853364   3731.871408   4407.757504
0.340625   1495.015310   2095.307250   2665.646443   3993.885143
0.346875   1394.204139   2604.870500   3443.039859   4182.970725
0.353125   1184.161164   2227.200865   3271.026453   4268.981638
0.359375   1455.048835   2330.236586   2957.309988   4182.134167
0.365625   1137.548999   2137.293580   3380.244570   4354.228637
0.371875   1140.394798   2153.724565   3371.916500   4409.829828
0.378125   1522.196323   2236.281964   3197.593630   4542.484140
0.384375   1256.180262   2234.697083   3097.815827   4398.693359
0.390625   1099.728422   2224.165076   3260.037755   3935.618222
0.396875   1478.993792   2403.755113   3518.419007   4307.316678
0.403125   1448.534292   2334.021199   3502.177434   4470.017265
0.409375   1184.231469   2221.032806   3251.512789   4384.936223
0.415625   1345.947126   2162.708763   3315.212510   4336.852711
0.421875   1204.920632   2381.361236   3480.452441   4273.944911
0.428125   1022.558723   2266.157976   3194.007467   4053.730711
0.434375   1098.251310   2111.868168   3209.717088   4231.044042
0.440625   1219.908009   2066.612933   3258.225309   4272.557712
