Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   495.104596   1598.636734   2729.087474   3980.133502
0.034375   1496.213197   2516.137771   3376.404730   4181.089140
0.040625   1342.457622   2294.634057   3062.923225   4217.840615
0.046875   1346.777434   2423.426490   2697.375868   4187.960800
0.053125   1426.086271   1545.869829   2519.097040   4180.460649
0.059375   995.510490   2319.004744   2781.903910   4199.884650
0.065625   1091.798945   2400.112004   2743.262732   4208.647164
0.071875   1145.863792   2399.575129   3119.938140   4190.404834
0.078125   996.956772   2224.948713   3525.368014   4145.847263
0.084375   913.232823   2310.880343   3517.312646   4217.022054
0.090625   976.208806   2235.591864   3276.655068   4188.019426
0.096875   1044.831112   2284.593515   2963.003708   4170.707470
0.103125   1205.451630   2420.025075   2880.984647   4141.479650
0.109375   1194.200697   2446.102942   3277.701130   4083.639749
0.115625   1038.593620   2406.280976   3507.206792   3995.064448
0.121875   993.822053   2413.347585   3665.800908   4019.802473
0.128125   1179.959543   2300.916464   3470.232914   4141.620566
0.134375   1078.769103   2338.397087   3344.220376   4101.720885
0.140625   626.011566   2376.096398   2883.765464   3982.496283
0.146875   727.865157   2276.930215   3201.784793   4117.665909
0.153125   949.562210   2313.324804   3301.279500   4176.454478
0.159375   1037.357620   2269.871424   3348.547998   4269.826027
0.165625   868.662373   2186.390473   3258.365992   4244.368307
0.171875   786.046826   2025.380986   3162.594259   4184.889808
0.178125   800.948018   2160.345184   3225.576011   4175.305250
0.184375   926.747701   1967.251250   3096.334085   4286.387454
0.190625   1116.788861   2270.607651   3056.778894   4277.280574
0.196875   1220.286550   2453.605061   3143.758804   4246.249446
0.203125   1144.934627   2426.356987   3044.015871   4242.181897
0.209375   1018.965314   2107.416914   3111.679143   4230.379252
0.215625   1057.965545   2333.661451   3049.121928   4254.039705
0.221875   1328.688571   2437.136704   3229.990146   4331.720595
0.228125   1229.070294   1841.347637   2702.642505   3342.053195
0.234375   1328.189646   1880.582781   2708.377173   3328.124919
0.240625   1356.862603   2103.988537   3053.038304   3153.025169
0.246875   1069.116195   1966.317630   2956.100026   4101.020794
0.253125   719.001299   2007.242635   3135.322648   4244.461718
0.259375   656.702306   2060.263976   3020.299069   4300.247811
0.265625   916.576659   1984.063156   2918.136205   4397.706363
0.271875   1190.887658   2075.276189   2904.001687   4382.786601
0.278125   1404.586673   2500.208937   3082.072959   4333.782772
0.284375   1321.779797   2583.290148   3109.429152   4062.358151
0.290625   1528.309534   2848.593198   --undefined--   --undefined--
0.296875   1278.263337   2094.853051   3304.523871   4444.150624
0.303125   667.849594   2065.594297   3404.347285   4353.070130
0.309375   651.196224   2197.897964   3477.218004   4321.484947
0.315625   483.411154   2261.493347   2690.035525   4165.773110
0.321875   504.486957   2064.774430   2944.574901   4016.844261
0.328125   443.891238   2001.905549   3253.129984   3903.708458
0.334375   487.821723   1861.457662   2931.640006   4067.266244
0.340625   607.718906   1760.518586   2853.449749   4075.592706
0.346875   635.262911   1736.234713   3544.913798   3918.728807
0.353125   586.291525   1716.999939   3272.944096   3882.491489
0.359375   1118.558713   2276.681161   3818.917033   4675.801525
0.365625   1333.267721   2359.790230   3836.148283   4659.973538
0.371875   1532.311848   2498.935332   3906.187700   4945.534177
0.378125   1532.992085   2286.361123   3523.963594   4534.208019
0.384375   1623.291499   2042.764022   3521.172518   4569.973076
0.390625   1629.138457   2925.949760   4409.916986   4806.966868
0.396875   188.694508   1647.406978   2774.871799   4501.523896
0.403125   349.122081   1890.518634   2792.709289   4474.448395
0.409375   382.230972   1778.303808   2844.334880   4386.066884
0.415625   417.083575   1859.020883   2817.598745   4235.031317
0.421875   423.686178   1982.455339   2907.938391   3818.793478
0.428125   426.135469   2081.440305   2896.245378   3767.223903
0.434375   429.491444   2201.548774   2870.272168   3607.294199
0.440625   427.647043   2392.213120   2849.528372   3660.046024
0.446875   423.797173   2508.233119   2814.974764   3683.837620
0.453125   421.563917   2602.350959   2873.551800   3802.420077
0.459375   419.036522   2694.981516   2931.943550   4138.944206
0.465625   420.467803   2865.514276   2909.404585   4563.147492
0.471875   418.764907   2837.531579   2970.066715   4550.922854
0.478125   419.042404   2834.230565   2964.818752   4565.327665
0.484375   422.699328   2833.754742   3046.854570   4576.866825
0.490625   425.349032   2830.029246   3021.956102   4587.810636
0.496875   424.351791   2789.851078   3112.966731   4591.598380
0.503125   421.428477   2743.006307   3176.469417   4587.923588
0.509375   414.231445   2688.868894   3124.798758   4610.743194
0.515625   404.426767   2696.255110   3133.807577   4655.667253
0.521875   387.995799   2684.891457   3143.413845   4666.177740
0.528125   356.842054   2634.828763   2998.067582   4667.384850
0.534375   345.755652   2492.165974   3303.260163   4626.877521
0.540625   264.056753   2395.020466   3201.825576   4369.484568
0.546875   2120.167508   2450.991243   4335.343450   4638.432303
0.553125   2065.893928   2579.635519   4096.211480   4661.091619
0.559375   2198.762895   2573.618818   4193.325460   4545.853736
0.565625   2162.588879   2752.170085   4314.097973   4444.894903
0.571875   2130.323473   2927.428142   4338.601903   5167.133150
0.578125   2077.752240   2604.531192   4103.180219   4743.033285
0.584375   2066.584614   2376.816190   3858.278012   4633.917600
0.590625   2069.452699   2383.512471   3981.385332   4510.175685
0.596875   2010.729751   2978.029699   --undefined--   --undefined--
0.603125   1969.224790   2915.817387   --undefined--   --undefined--
0.609375   1943.132300   2654.625281   4397.793759   4927.818732
0.615625   1967.088100   2673.015954   4255.659998   4570.820414
0.621875   1825.606285   2648.382672   4075.867747   4703.786231
0.628125   1817.116224   2455.419842   4600.017186   4660.944956
0.634375   1810.621967   2289.421175   --undefined--   --undefined--
0.640625   1792.178171   2147.848057   --undefined--   --undefined--
0.646875   1779.840498   1863.176901   3377.826143   4575.732197
