Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   633.793160   2203.484603   2581.207171   4059.567139
0.034375   505.511270   2150.973397   3386.360411   4395.066564
0.040625   1672.339864   2320.134236   3532.109479   4330.477607
0.046875   1617.947390   2386.799316   3459.824220   4584.700855
0.053125   1591.647880   2623.914387   3394.145882   4638.254348
0.059375   1624.713692   2761.935727   3315.204887   4585.850661
0.065625   1750.787204   2818.004770   3411.757296   4640.425280
0.071875   1727.797711   2827.045651   3353.033625   4615.124166
0.078125   1702.260459   2998.372666   3775.203381   4317.732164
0.084375   1458.695187   3035.184331   3043.260759   4446.534856
0.090625   1501.265951   2872.267153   3308.878481   4567.621943
0.096875   1461.536289   2611.228448   3729.634277   4480.927968
0.103125   1438.750660   2594.251995   3596.617580   4465.949779
0.109375   1424.248917   2614.416757   3539.415441   4546.713831
0.115625   1502.643873   2404.325252   3598.339683   4429.142005
0.121875   1446.039024   2382.914685   3611.829966   4554.284944
0.128125   1385.082341   2473.328249   3658.356657   4537.204462
0.134375   1401.651272   2555.349069   3662.163173   4331.326319
0.140625   1684.756423   2760.094664   3968.119598   4311.343634
0.146875   1755.001680   2929.248747   3215.432935   4064.444964
0.153125   1749.479529   2750.535072   3407.593404   4073.196977
0.159375   1648.159507   2728.383027   3829.644401   4603.975324
0.165625   1659.040890   2507.827679   --undefined--   --undefined--
0.171875   1577.075072   2545.915687   3824.447929   4297.784361
0.178125   1466.443331   2586.998535   3757.377017   4573.578410
0.184375   1461.582942   2550.521811   3804.674964   4593.732713
0.190625   1534.593937   2545.886461   3950.322360   4352.134141
0.196875   1652.592054   2655.127828   3461.450705   4270.506925
0.203125   1630.517359   2759.949206   3966.934708   4391.515131
0.209375   1709.736690   2689.099207   3791.670333   4248.945467
0.215625   1722.235553   2701.016520   3478.434989   4558.878273
0.221875   1598.836111   2930.245401   3323.844731   4553.311394
0.228125   1367.867834   2609.753552   3462.194351   4558.012018
0.234375   1381.873296   2712.196394   3461.646962   4538.648019
0.240625   1463.377956   2683.616886   3322.134402   4480.782408
0.246875   1528.416787   2611.822597   3482.162858   4452.574263
0.253125   1527.590470   2475.501295   3457.782581   4541.198689
0.259375   1575.770973   2665.044892   3490.722494   4549.634868
0.265625   1606.167391   2638.145486   3717.180128   4370.804317
0.271875   1438.222243   2640.749220   3885.630846   4349.967679
0.278125   1434.695152   2648.729480   3753.702305   4432.417076
0.284375   1469.136136   2534.390926   3666.383796   4635.074489
0.290625   1567.953924   2481.583536   3633.606218   4729.833524
0.296875   1629.669830   2706.231270   3759.950658   4427.179685
0.303125   1612.822034   2825.246891   3481.333241   4436.078551
0.309375   1532.412942   2626.107146   3437.135433   4541.207256
0.315625   1752.440586   2760.554279   3581.508319   4504.270932
0.321875   1740.442959   2894.480660   3841.404235   4133.052756
0.328125   1614.324794   2598.612345   3454.061658   4374.714752
0.334375   1490.345801   2597.108159   3365.237394   4381.759508
0.340625   1681.152685   2566.266669   3451.613665   4511.342508
0.346875   1608.805782   2363.154323   3378.261703   4495.607409
0.353125   1888.088187   2297.750141   3203.323634   4464.683274
0.359375   1945.343599   2266.459835   3325.615972   4476.652221
0.365625   1854.299313   2574.627946   3406.104385   4579.458088
0.371875   1780.242316   2739.445080   3814.476717   4268.457123
0.378125   1614.017805   2637.565451   3715.672281   4452.107339
0.384375   1666.036364   2474.195789   3499.174931   4542.997150
0.390625   1671.146903   2444.327035   3513.491654   4674.128666
0.396875   1569.612641   2460.759894   3527.102224   4570.707871
0.403125   1497.792503   2576.613462   3493.029644   4616.052306
0.409375   1420.112891   2570.993801   3596.144985   4472.481170
0.415625   1683.746707   2538.401631   3485.659626   4505.426223
0.421875   1734.728312   2929.084269   3402.824221   4501.861580
0.428125   1591.399862   2838.513786   3601.041019   4546.268211
0.434375   1489.132894   2578.060686   3306.709015   4568.632130
0.440625   1589.022376   2561.786286   3397.784962   4557.694010
0.446875   1965.110563   2347.888234   3274.876960   4542.169310
0.453125   1834.382074   2385.520223   3371.803085   4572.299065
0.459375   1550.201862   2487.956276   3303.124087   4511.221834
0.465625   1515.173303   2881.087803   3976.473562   4127.244430
0.471875   1905.180200   2925.717461   --undefined--   --undefined--
0.478125   1929.191653   2797.107893   3513.963705   4298.224507
0.484375   1732.297621   2984.619674   3485.273433   4301.773385
0.490625   1536.033121   2540.435209   3659.855752   4531.551808
0.496875   1496.812534   2594.711625   3554.764049   4363.507035
0.503125   1557.682612   2733.059266   3678.302024   4380.370164
0.509375   1543.168043   2656.760687   3558.187521   4658.753411
0.515625   1542.097397   2646.978906   3389.640834   4693.640719
0.521875   1650.452498   2483.763522   3588.081355   4604.018919
0.528125   1529.861693   2523.874530   3676.096790   4579.948550
0.534375   1642.603784   2578.337002   3717.840653   4560.937229
0.540625   1747.188635   2802.732268   3167.843605   4469.540183
0.546875   1634.591104   2647.198437   3577.160280   4386.270408
0.553125   1620.819570   2711.134672   3640.081260   4424.934912
0.559375   1643.895369   2574.357873   3590.673371   4457.779606
0.565625   1705.457005   2569.593456   3546.050847   4506.762189
0.571875   1886.706833   3022.612257   4168.588377   4316.992056
