Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026013   306.746339   2166.022787   3090.655903   4117.951387
0.032263   2055.787076   2813.933959   --undefined--   --undefined--
0.038513   2007.025456   2651.121784   3466.460035   4997.638109
0.044763   1956.399751   2508.821781   3328.715244   4967.415281
0.051013   1515.358973   2384.515731   3375.331913   5001.379154
0.057263   1446.636531   2399.414847   3312.052816   5004.492657
0.063513   1504.272407   2418.485113   3202.647026   5021.124334
0.069763   1567.437810   2308.884882   3208.915183   4985.132902
0.076013   1685.302042   2394.372582   3094.594888   4931.167537
0.082263   1583.651924   2636.691496   3167.728300   4906.085314
0.088513   1589.654422   2427.791028   3234.879873   4954.759349
0.094763   1615.304979   2274.363290   3192.986103   4960.198226
0.101013   1532.186651   2404.747479   3242.127478   5140.761907
0.107263   1546.329194   2429.912176   3351.776287   5050.841411
0.113513   1576.330996   2414.784874   3352.972172   4979.316625
0.119763   1460.400629   2406.541647   3344.883900   4962.881936
0.126013   1458.593348   2513.070027   3346.355849   4971.985205
0.132263   1480.791156   2626.787656   3403.864782   5330.110848
0.138513   1491.254040   2415.514064   3298.571399   4982.520875
0.144763   1409.602017   2244.979381   3394.804254   4912.898631
0.151013   1844.618962   2043.549569   3229.437604   5394.679402
0.157263   1417.971354   2239.648673   --undefined--   --undefined--
0.163513   1358.445808   2240.049143   3387.994831   5037.570615
0.169763   1181.227966   2312.745720   3156.580593   5112.208113
0.176013   1221.201412   2366.499212   3157.187941   5180.620472
0.182263   1371.996428   2459.953047   --undefined--   --undefined--
0.188513   1410.837607   2636.669690   --undefined--   --undefined--
0.194763   1451.718659   2679.025189   3182.929237   5167.192399
0.201013   1473.818972   2573.936832   3156.711892   5163.354110
0.207263   1459.590620   2439.732373   3362.252112   5171.762024
0.213513   1539.696948   2568.708316   3445.093488   5369.092446
0.219763   1602.395216   2680.191969   --undefined--   --undefined--
0.226013   1732.451542   2744.895282   --undefined--   --undefined--
0.232263   1753.204287   2820.615233   3048.318657   5260.776227
0.238513   1579.349431   2557.352780   3336.721259   5228.718301
0.244763   1504.409531   2430.468496   --undefined--   --undefined--
0.251013   1585.479363   2154.453524   --undefined--   --undefined--
0.257263   1501.697864   2400.478822   --undefined--   --undefined--
0.263513   1487.713222   2465.522371   --undefined--   --undefined--
0.269763   1621.602682   2444.765887   3199.953087   5237.548120
0.276013   1535.568271   2428.891466   3190.433037   5103.484710
0.282263   1545.572824   2551.336283   3168.364722   5163.650936
0.288513   1735.335046   2904.766279   --undefined--   --undefined--
0.294763   1504.250562   2340.309928   --undefined--   --undefined--
0.301013   1547.929610   2430.645205   --undefined--   --undefined--
0.307263   1533.623446   2515.105219   --undefined--   --undefined--
0.313513   1350.815961   2526.870373   --undefined--   --undefined--
0.319763   1407.823369   2549.637688   --undefined--   --undefined--
0.326013   1556.615308   2500.306054   --undefined--   --undefined--
0.332263   1552.286613   2520.423502   --undefined--   --undefined--
0.338513   1572.349118   2335.162712   --undefined--   --undefined--
0.344763   1627.676620   2407.593806   3197.992381   5191.354912
0.351013   1608.201572   2523.279738   3254.529623   5104.593490
0.357263   1554.275352   2456.375300   3343.159914   5301.310261
0.363513   1486.963808   2479.122313   --undefined--   --undefined--
0.369763   1593.757342   2417.268527   --undefined--   --undefined--
0.376013   1590.209689   2361.451561   --undefined--   --undefined--
0.382263   1613.736757   2344.769763   --undefined--   --undefined--
0.388513   1619.547945   2497.863648   --undefined--   --undefined--
0.394763   1639.900612   2617.061614   --undefined--   --undefined--
0.401013   1602.605302   2570.563174   3439.976436   5400.024577
0.407263   1570.368423   2642.277571   --undefined--   --undefined--
0.413513   1488.250548   2682.956639   --undefined--   --undefined--
0.419763   1455.805896   2513.098467   --undefined--   --undefined--
0.426013   1457.147843   1538.875617   3126.074375   4293.099196
0.432263   1446.017686   1635.209580   3096.900337   4244.809436
0.438513   1444.595484   1676.763350   3106.761036   4348.024257
0.444763   1203.991337   1452.841483   2952.575530   4328.774515
0.451013   856.483377   1451.843073   2758.434314   4109.853053
0.457263   799.372473   1444.577701   2931.204434   3961.449112
0.463513   763.187823   1446.927604   2866.209321   3957.431888
0.469763   735.071365   1440.559142   3049.648053   4185.738025
0.476013   722.586750   1441.196334   2992.844361   4055.482908
0.482263   792.706961   1444.353707   2932.588845   4109.365832
0.488513   836.412482   1441.991789   2840.219432   3810.307623
0.494763   920.830083   1444.247594   2826.005836   4004.005207
0.501013   906.910201   1495.548114   2808.655714   3613.704129
0.507263   806.730294   1462.383663   2768.853149   3836.389015
0.513513   811.802717   1438.907762   2597.158087   3814.745345
0.519763   735.858815   1435.013880   2569.192428   3823.368120
0.526013   697.299881   1439.343356   2697.148289   3931.414551
0.532263   837.474963   1433.631594   2768.690498   3833.172781
0.538513   933.803328   1437.857062   2924.872941   4049.665370
0.544763   876.688185   1442.970774   2780.110023   4149.062954
0.551013   847.012238   1438.210526   2851.145149   4143.005711
0.557263   1445.590092   2513.440005   3623.999569   3688.428319
0.563513   605.474341   1837.914739   2803.624522   3630.725468
0.569763   692.118584   1906.725340   2955.891144   3676.015647
0.576013   755.324397   1921.657141   2795.371302   3713.700835
0.582263   828.494515   1953.340971   2906.278486   4037.071115
0.588513   1252.095763   1773.259575   2761.797442   3604.311913
0.594763   1116.151544   1859.291491   2897.540075   3483.415000
0.601013   1009.180093   1787.544884   2969.803208   3682.752508
0.607263   946.511426   1681.169017   2805.667986   3643.747910
0.613513   553.225201   1666.310671   2609.935572   3536.440769
0.619763   1664.767496   2575.726240   3538.467878   4768.306635
0.626013   1698.782695   2384.717027   3638.447670   4735.433244
0.632263   986.740052   1706.298329   2761.538407   3693.777532
0.638513   876.168223   1723.318001   2791.262940   3650.823154
0.644763   1180.174325   1854.462040   2816.416108   3853.956709
0.651013   288.441656   2001.301378   2764.949564   3687.639225
0.657263   320.595025   2107.554406   2819.460256   3875.706159
0.663513   338.313484   2320.463808   2879.368317   3066.835245
0.669763   356.897101   2390.432235   2848.106867   3560.039338
0.676013   347.228569   2486.025072   2958.583210   4101.917616
0.682263   336.871726   2494.821215   3008.619158   4113.603900
0.688513   329.962952   2516.852631   3026.416766   3899.280199
0.694763   331.319927   2561.546152   2829.240219   3155.989251
0.701013   329.377112   2573.148683   2992.636556   3166.002012
0.707263   317.752642   2570.929364   3147.007520   3180.735781
0.713513   311.569442   2568.866227   3134.787347   3709.785475
0.719763   312.775381   2568.582522   3129.515152   4147.910605
0.726013   314.973405   2564.240330   3118.639474   4139.460413
0.732263   315.985212   2567.736532   3126.996270   4135.170736
0.738513   322.666072   2570.833320   2844.707771   3124.438628
0.744763   325.949789   2313.064879   2570.164319   3120.797804
0.751013   319.146588   2115.793658   2571.265559   3118.279727
0.757263   314.950305   2051.980759   2562.055315   3117.503840
0.763513   310.579920   2068.671322   2554.033313   3099.096987
0.769763   308.945148   2127.165237   2559.057300   3015.689712
0.776013   315.156778   2175.937481   2701.678373   4026.147400
0.782263   322.904664   2094.738049   2634.300569   4023.663916
0.788513   343.669528   2019.621210   2608.563747   3922.565895
0.794763   301.626803   1997.029303   2649.282443   4021.320086
0.801013   2018.017864   2878.266786   4156.616034   4986.982836
0.807263   137.062898   2024.778040   3199.967663   4184.684408
0.813513   2016.020153   3138.029434   3954.925805   5153.957130
0.819763   2156.839656   2978.476165   3875.555083   5180.666714
0.826013   1413.500719   2520.627764   3759.895119   4933.925117
0.832263   1535.794470   2538.279123   3879.706565   4879.653782
0.838513   1775.968156   2636.995847   4016.823980   4546.869618
0.844763   1761.320287   2710.638471   4098.750538   4501.074196
0.851013   1672.561305   2595.402515   3773.002580   4633.758787
0.857263   1635.132326   2484.537209   3773.891385   4712.567155
0.863513   1549.769436   2290.382918   3115.784914   4063.244893
0.869763   1543.428829   2092.993427   2722.011562   3995.032576
0.876013   1553.790675   2181.682294   2253.084616   3924.050271
0.882263   1029.599868   1601.797153   2552.300207   3862.605292
0.888513   1119.468564   1585.517497   2611.415117   3923.986196
0.894763   1516.018033   1823.777195   2762.335305   4121.317096
0.901013   1462.697652   1486.659437   2727.691405   4293.614581
0.907263   1548.679928   2405.111557   4102.349019   4275.002369
0.913513   1546.599504   2450.093376   3981.754956   5097.516146
0.919763   1493.091342   2353.421781   3725.166460   5159.690711
0.926013   1479.493132   2271.258210   --undefined--   --undefined--
0.932263   805.150308   1655.015732   2175.466503   4368.855776
0.938513   707.360249   1637.300074   2088.663747   4283.532754
0.944763   1606.224669   2073.948441   4231.952050   4441.814544
0.951013   1552.861489   1566.811465   3018.662648   4395.184772
0.957263   1410.564273   1635.218934   2875.620437   4329.744243
0.963513   1350.933023   1627.174950   2855.261403   4324.768841
0.969763   1269.848575   1597.885717   2883.979291   4160.627672
0.976013   997.668573   1383.727230   2700.522083   4026.793102
0.982263   588.925982   1274.590261   2648.934593   4172.683236
0.988513   622.421011   1227.256740   2638.590277   4078.812800
0.994763   668.160980   1191.476748   2680.531407   4139.294223
1.001013   699.426956   1173.226550   2713.041558   3895.357322
1.007263   713.826299   1154.286300   2686.202670   3825.830831
1.013513   727.335360   1141.629066   2623.354328   3983.636401
1.019763   717.496540   1129.743615   2612.572418   3983.222315
1.026013   726.666929   1112.133859   2626.920056   3886.379110
1.032263   728.536485   1095.973729   2708.441897   3780.079859
1.038513   710.292463   1052.294925   2761.664666   3919.397896
1.044763   683.894261   1023.252235   2707.576984   3965.401478
1.051013   671.222058   1008.042863   2759.586519   3974.266807
1.057263   689.313115   1004.966637   2767.658632   3869.026301
1.063513   729.382937   1007.322309   2864.139642   3856.779802
1.069763   715.692481   1035.001732   2972.039872   3970.723318
1.076013   700.464475   1041.196613   3026.000768   3780.433027
1.082263   690.854847   1040.229998   3051.506309   3742.047336
1.088513   683.723125   1036.389989   3097.801439   3775.808067
1.094763   673.017042   1033.061467   3154.127096   3604.981545
1.101013   637.284315   1038.813312   3058.206714   3731.367747
1.107263   662.176910   1043.400400   3028.198498   3666.519774
1.113513   648.562828   1053.708585   3040.987066   3722.127091
1.119763   618.125872   1062.669952   3035.901198   3698.142346
1.126013   606.816660   1046.736298   3024.306704   3737.808623
1.132263   552.988163   1025.813993   3053.732527   3777.845603
1.138513   496.515294   1021.546085   3068.654200   3460.570047
1.144763   876.936459   1981.348696   3159.878138   4164.731566
1.151013   926.651985   2138.076586   3595.532715   4320.360984
1.157263   1031.341912   2140.486059   3605.134790   4341.983016
1.163513   1138.248342   2225.017634   3839.111675   4623.630693
1.169763   1061.746858   2428.192795   3720.908167   4625.243089
1.176013   892.655764   2283.437032   3335.767427   4405.671410
1.182263   962.587170   2088.074394   3314.665989   4333.737860
1.188513   1291.381745   2080.362891   3744.899296   4601.857923
1.194763   1066.717035   2011.557506   4038.905391   4731.915715
1.201013   604.095006   1901.470556   3137.113119   4209.099138
1.207263   1015.378039   1878.256780   3137.298062   4155.287674
