Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   471.613260   1775.165575   3259.022650   4253.171258
0.034375   428.881628   1894.947445   3290.931127   4213.098731
0.040625   512.801569   2020.009087   3407.818122   4212.032000
0.046875   402.468534   2023.706547   3672.921986   4166.189899
0.053125   222.850507   2023.951344   2495.724559   3754.508077
0.059375   320.793616   2048.449543   2662.678532   3733.226766
0.065625   350.338468   2024.030885   2834.760946   3820.463186
0.071875   191.586553   2073.552368   2850.145619   3733.520159
0.078125   171.774717   1992.381111   2836.846057   3709.212236
0.084375   252.522458   1973.235165   2925.920211   3714.537051
0.090625   230.158214   2048.491270   3253.362925   4048.183006
0.096875   273.340188   2088.661867   2695.722859   3814.776999
0.103125   1217.339857   2183.512929   3494.848916   4312.316175
0.109375   1872.896904   1924.778917   3320.717718   4136.666422
0.115625   1949.200099   2810.759788   --undefined--   --undefined--
0.121875   208.231249   1909.346953   2674.439135   3868.011942
0.128125   1954.519778   2494.156364   3827.304667   5004.709802
0.134375   270.738943   1981.887367   2825.159648   3830.472794
0.140625   401.206338   1914.792142   3055.203820   3851.727621
0.146875   406.757784   1992.860829   3407.930965   3558.116973
0.153125   150.231714   2031.208228   3139.236479   3610.093219
0.159375   106.740735   1995.485665   2834.226688   3694.182128
0.165625   355.201085   1982.080160   2737.179590   3694.127731
0.171875   219.108485   2031.878848   2235.719875   3647.341383
0.178125   1728.732634   2107.802179   3615.995754   5113.192368
0.184375   2002.418634   2606.828594   3643.767699   5207.402044
0.190625   1948.770708   2816.435530   3652.857052   4957.406115
0.196875   261.269544   2037.486445   2633.999208   3619.875718
0.203125   264.381888   2041.211199   2648.795653   3607.718843
0.209375   1940.445279   2715.741432   3854.886124   5145.947917
0.215625   196.657829   1986.862895   3022.904643   3863.248690
0.221875   265.482425   2051.262170   2997.743796   3573.453328
0.228125   199.430184   1985.145843   2860.347752   3699.119745
0.234375   237.765826   1958.033181   2742.231659   3798.476765
0.240625   1980.746453   2706.492162   3778.808109   5086.410929
0.246875   321.940041   1986.456698   2942.868086   3980.019281
0.253125   1978.339203   2893.051439   --undefined--   --undefined--
0.259375   2007.626990   2887.781877   --undefined--   --undefined--
0.265625   177.880018   2013.733417   2956.331614   3873.906671
0.271875   317.582267   2016.118271   2653.009084   3571.751540
0.278125   1960.769408   2672.526276   3678.684081   5273.537248
0.284375   315.538738   2013.288065   2657.825108   3744.400015
0.290625   166.782841   2011.358902   3668.223902   4439.116248
0.296875   217.551566   2008.672479   2547.981687   3754.568959
0.303125   193.932210   1947.878301   2690.187395   3806.321024
0.309375   1938.806990   3158.791782   --undefined--   --undefined--
0.315625   380.847013   1991.017738   2865.237088   3710.298723
0.321875   254.486789   2084.652218   2311.927126   3626.990595
0.328125   640.675432   2038.970995   3529.641395   4834.074246
0.334375   273.245359   2013.036016   3307.797844   4314.237421
0.340625   269.873843   2025.598716   2638.877729   3870.568129
0.346875   198.682472   1954.142112   2715.780543   3809.705422
0.353125   370.581592   1893.345792   2740.538755   3840.986634
0.359375   276.474788   1962.786798   2940.871744   4094.839205
0.365625   1988.174191   3114.566820   --undefined--   --undefined--
0.371875   71.196406   1945.874630   2814.992142   3628.762522
0.378125   89.212331   2008.214157   3158.990810   3687.842191
0.384375   291.265936   1983.097144   2957.159866   3757.989961
