Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   769.164600   2131.109126   3399.684188   4479.013524
0.034375   774.636181   2081.997324   3061.661140   4254.164161
0.040625   808.510627   1963.039411   2809.594550   4105.616087
0.046875   732.792422   1710.774122   2894.069167   4141.601560
0.053125   529.660022   1796.282676   2909.524725   4135.585642
0.059375   527.776156   1798.855479   3093.513798   4103.411577
0.065625   515.435671   1703.135633   3007.851699   4110.790127
0.071875   617.162827   1724.263333   3037.249421   4107.392697
0.078125   851.498585   1868.754203   3146.544502   4114.780913
0.084375   476.778111   1790.583702   3006.842767   4171.905982
0.090625   457.253349   1707.095084   3075.160031   4143.699186
0.096875   635.999229   1590.475350   2950.732323   4109.869315
0.103125   654.201569   1769.769032   3077.674110   3771.327653
0.109375   631.346784   1794.846924   3082.945785   4087.694514
0.115625   877.403592   2092.812976   3582.542994   4054.694395
0.121875   891.635214   2124.373567   3641.590048   4173.080803
0.128125   914.006773   2119.638280   3601.908963   4314.935094
0.134375   827.233252   1934.427633   3252.527802   4069.390707
0.140625   849.430291   1882.992136   3408.895808   4101.312353
0.146875   968.097137   1972.455346   3450.764413   4274.872401
0.153125   847.472501   2005.109813   3339.166039   4197.891564
0.159375   1040.844905   2115.939318   3378.277099   4273.320618
0.165625   526.650904   1876.333506   2923.010053   4099.197594
0.171875   575.246073   1760.073483   2854.182783   4191.827266
0.178125   588.588549   1886.545666   2698.026550   4118.236740
0.184375   1071.520016   2453.014175   2649.924734   4134.650304
0.190625   1142.838215   2042.610467   2987.748023   4096.979460
0.196875   298.041003   1344.004549   2759.082445   4107.996601
0.203125   555.578666   1686.487603   2920.988565   4183.923536
0.209375   639.233133   1893.955065   3074.351917   4144.917472
0.215625   742.590740   2058.613275   3339.353241   4424.365717
0.221875   1132.297281   2384.272007   3415.987379   4495.374067
0.228125   1250.842911   2322.468858   3421.085701   4521.231431
0.234375   660.912279   2273.014177   3410.548952   4590.405362
0.240625   925.386512   2214.530014   3432.953922   4565.380062
0.246875   944.712992   2301.673271   3345.748810   4321.461607
0.253125   944.711329   2282.063961   3457.864311   4455.427561
0.259375   814.662415   2156.853906   3322.018182   4398.755826
0.265625   986.084097   2178.036357   3345.222946   4480.694765
0.271875   1154.371855   2165.834529   3309.986348   4550.347931
0.278125   939.869352   2167.385946   3335.644346   4475.125478
0.284375   893.537986   2190.190092   3339.873772   4278.177389
0.290625   948.522537   2159.691945   3336.326266   4253.714176
0.296875   967.135954   2154.644992   3315.486671   4271.330825
0.303125   873.940151   2215.081250   3305.619512   4189.207871
0.309375   940.548247   2269.366684   3253.088926   4226.018091
0.315625   905.235139   2243.060499   3236.887098   4305.898006
0.321875   1028.901762   2315.783007   3255.778329   4200.118360
0.328125   1289.378190   2338.475804   3337.356049   4211.305600
0.334375   1327.262180   2217.434311   3171.509302   4028.714253
0.340625   859.092258   2060.566299   3098.580341   4070.868734
0.346875   1365.480647   2285.234834   3135.942878   4148.887787
0.353125   1262.709651   2371.542730   3284.270364   4486.663613
0.359375   1369.261996   2380.581809   3297.801544   4646.184937
0.365625   1543.885458   2404.595109   3221.086878   4208.120402
0.371875   1043.286798   2253.972101   3192.621515   4169.113927
0.378125   781.434028   2105.732656   3128.678974   3887.979918
0.384375   825.486499   2069.461498   3011.025713   3729.795622
0.390625   823.765640   1571.905434   2753.741271   4000.077529
0.396875   694.346840   1778.443491   2779.185032   4041.178995
0.403125   639.402189   1832.213874   2877.791633   4162.686059
0.409375   594.620708   1734.331880   2779.621007   4099.116735
0.415625   606.361642   1659.683416   2776.436542   4060.551771
0.421875   609.894669   1853.694585   2974.751479   4165.401396
0.428125   1258.288684   1729.011369   2947.475977   4147.839010
0.434375   1392.900403   2691.046842   3009.748078   4065.185913
0.440625   636.025100   1874.467704   2763.401190   4096.588346
0.446875   520.892073   1862.857048   2895.743406   4022.409605
0.453125   604.172570   1661.814992   2899.635427   3866.526893
0.459375   662.930273   1933.400989   2855.558500   3985.035817
0.465625   679.336195   1974.459279   2828.574128   4157.747492
0.471875   1143.170162   2045.150940   3169.142402   4183.994436
0.478125   833.587725   2082.304300   3319.495664   4272.652028
0.484375   683.815744   1849.344846   3024.367806   4104.592979
0.490625   715.655347   1942.433141   2924.416557   4067.600850
0.496875   1231.383671   2316.176444   3499.292779   4696.400389
0.503125   568.131099   1655.281862   3127.807845   4078.820930
0.509375   745.305988   1794.616166   3288.783632   4006.899963
0.515625   569.672440   1821.277212   3282.689830   4192.456914
0.521875   526.476033   1744.343642   2963.259374   4154.847991
0.528125   726.553535   1805.737378   2924.954645   4138.126682
0.534375   775.644106   2014.759799   3202.202339   4197.670171
0.540625   1109.869306   1984.490737   3223.609539   4201.339481
0.546875   388.176534   1797.243247   3015.667283   4007.228139
0.553125   1528.682509   2878.658064   3791.705287   4636.873671
0.559375   1319.639579   2412.286250   3533.920139   4811.194632
0.565625   1329.150922   2405.237117   3501.683377   4795.106630
0.571875   1270.890419   2488.657535   3196.369209   4763.756029
0.578125   932.719596   2505.833867   3208.730288   4776.726912
0.584375   669.014944   2493.281904   3290.482489   3638.611606
0.590625   592.677065   2519.239905   3157.830122   3637.498747
0.596875   584.886463   2513.507082   3248.883817   4360.522502
0.603125   339.711126   2363.202137   3312.116274   4370.112064
0.609375   312.533478   2312.192894   3293.084834   4539.877608
0.615625   292.359078   2334.362561   3297.532702   4573.445448
0.621875   314.434965   2447.873818   3286.597050   4630.075947
0.628125   339.104690   2401.455682   3315.857233   4795.486182
0.634375   345.044537   2295.459438   3257.136760   4486.107489
0.640625   360.649990   2374.978846   3268.348382   4470.034915
0.646875   371.625098   2360.309204   3313.849976   4533.825321
0.653125   450.994661   2409.726794   3351.080533   4620.967643
0.659375   479.117036   2416.830256   3374.391393   4585.680041
0.665625   466.502931   2438.992065   3418.697035   4584.313833
0.671875   489.282599   2479.779924   3386.844285   4581.719656
0.678125   508.474522   2493.546103   3403.229186   4454.522503
0.684375   513.213601   2494.495819   3456.814979   4354.760053
0.690625   510.404453   2496.385319   3399.147117   4289.169432
0.696875   498.883661   2494.202760   3429.613022   4306.387596
0.703125   483.143922   2503.567622   3500.392049   4264.264675
0.709375   459.522131   2507.396647   3519.944181   4221.601314
0.715625   456.920545   2463.700291   3514.419766   4249.638491
0.721875   437.216726   2590.214833   3665.401921   4360.192121
0.728125   457.280107   2649.592567   3634.761634   3998.253228
0.734375   455.365924   2639.811262   3372.011361   4042.921417
0.740625   465.703764   2619.119070   3513.429440   4171.296436
0.746875   446.550626   2606.014554   3443.343521   4175.179220
0.753125   442.128648   2594.743194   3478.573303   4074.687205
0.759375   459.836177   2558.056043   3470.011901   4039.289739
0.765625   467.664069   2567.018894   3379.519603   4081.697583
0.771875   457.116661   2530.914896   3384.105445   3828.970473
0.778125   453.813814   2433.645852   3368.765407   4144.790677
0.784375   453.161397   2457.463889   3265.683774   4258.403279
0.790625   446.064412   2506.409272   3227.791762   4202.714307
0.796875   443.240294   2519.570248   3134.553150   4186.889940
0.803125   438.150876   2324.522681   3169.645337   4255.896254
0.809375   438.690897   2372.954166   3148.730752   4316.923370
0.815625   435.626264   2350.632901   3041.537483   4224.642106
0.821875   397.465883   2271.298702   3094.160353   4190.663214
0.828125   372.693797   2211.300933   3137.582059   4232.327744
0.834375   451.117692   2207.583585   3157.375104   4315.461805
0.840625   476.924535   2268.116273   3515.163605   4546.008880
0.846875   363.454872   2291.612023   3848.076676   4781.767748
0.853125   345.412282   2071.241556   3112.054068   4486.436058
0.859375   362.774766   1917.530627   3265.851846   4529.145564
0.865625   460.819769   2072.580089   3430.289498   4415.200167
0.871875   687.353831   2180.622455   3443.364204   4524.995364
0.878125   987.745058   2279.070277   3364.790430   4443.796028
0.884375   1026.350452   2236.659494   3269.274744   4342.596870
0.890625   945.943835   2300.133210   3346.891318   4395.034709
0.896875   1267.141512   2366.362990   3514.171199   4940.049883
0.903125   1247.526359   2297.127939   3509.930062   4879.742612
