Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   969.053970   2029.198710   3281.077308   4514.724787
0.034375   990.976592   2080.732202   3201.396761   4418.659039
0.040625   1049.001806   2162.050532   3206.137891   4408.096938
0.046875   1276.339444   2205.023776   3561.902623   4667.801089
0.053125   1565.158524   2451.825565   3614.662553   4780.628799
0.059375   1750.286153   2538.433420   3658.023014   4823.204591
0.065625   1897.139583   2386.357867   3778.124840   4865.028163
0.071875   2013.784354   2440.437443   3688.643107   4906.651455
0.078125   1474.677912   2562.205145   3571.516350   4970.691501
0.084375   1275.444311   2555.332877   --undefined--   --undefined--
0.090625   1677.672808   2743.812247   3635.072220   4873.615785
0.096875   1592.987705   3253.327970   3286.994519   4915.979656
0.103125   1619.093790   2972.955198   3819.539381   4952.882488
0.109375   1546.657339   2876.620920   3712.533753   4943.724521
0.115625   1582.775318   2814.770229   3742.390558   5021.606538
0.121875   1602.194675   2912.828497   --undefined--   --undefined--
0.128125   1651.624553   2963.222768   --undefined--   --undefined--
0.134375   1462.183047   1491.685605   2904.582173   4252.610359
0.140625   1395.719335   2296.802444   2955.299241   3981.089417
0.146875   1424.797538   2542.480984   3395.397292   4175.169702
0.153125   1050.687404   1929.149263   3120.058350   4499.639225
0.159375   1394.283810   2554.171568   3901.424498   4766.690641
0.165625   252.901027   1853.685174   2749.133455   3878.567422
0.171875   258.204337   1780.941547   2711.076630   3617.659914
0.178125   247.358871   1881.569630   2818.675211   3864.936003
0.184375   194.528837   1796.944401   2753.569358   4055.480865
0.190625   1755.647186   2831.986176   --undefined--   --undefined--
0.196875   1801.777100   2941.171446   --undefined--   --undefined--
0.203125   1887.804143   2806.809161   --undefined--   --undefined--
0.209375   1623.146371   2736.470310   --undefined--   --undefined--
0.215625   1548.629405   2750.986784   3933.441071   5132.326161
0.221875   206.428043   1674.404139   2611.019600   3849.291473
0.228125   1554.416799   2458.817929   3775.647354   4908.905653
0.234375   1203.104167   2314.703186   3482.081386   4456.003229
0.240625   1202.160872   2331.179319   3507.192399   4349.176453
0.246875   1280.285750   2244.114635   3573.903703   4400.544368
0.253125   1714.313009   2540.938992   3591.238809   4983.071581
0.259375   182.223161   1520.000917   2728.527656   3824.337052
0.265625   1793.806745   2671.400199   3985.187407   4808.108022
0.271875   2078.786403   2663.229881   4074.882904   4642.592246
0.278125   2069.115817   3041.417452   --undefined--   --undefined--
0.284375   2005.780225   3123.708878   --undefined--   --undefined--
0.290625   1414.179065   1773.510331   3198.938804   4219.439023
0.296875   1452.460748   2600.987087   3091.703035   4255.735777
0.303125   1506.096057   2651.287671   3763.609019   5134.299229
0.309375   1052.919335   2406.430178   3730.382286   4854.131738
0.315625   722.134096   2275.760101   3574.068510   4473.945062
0.321875   340.074763   2255.383736   2817.072640   3850.666879
0.328125   303.712306   1789.865894   2777.465929   4131.556693
0.334375   294.476123   1926.824161   2597.113000   4124.981048
0.340625   109.959422   1731.476695   2660.310875   3998.632007
0.346875   95.432362   1657.072510   2879.188506   3918.252057
0.353125   104.022706   1833.198390   3060.615175   3750.707352
0.359375   229.101535   2171.714846   2981.861162   3238.112469
0.365625   196.980955   1745.666691   2760.865484   3695.372794
0.371875   1524.613077   2669.338418   3793.940663   4993.616353
0.378125   942.040317   2312.139196   3442.722460   4497.205152
0.384375   1873.079191   2787.600242   --undefined--   --undefined--
0.390625   244.469902   1717.110989   2888.443804   4131.981022
0.396875   241.858291   1777.974540   2784.556059   3870.469863
0.403125   247.286087   1868.887882   2786.098261   3998.986784
0.409375   1851.496134   2687.756779   3801.911094   5066.722375
0.415625   1845.238910   2273.159541   3647.401130   5081.694739
0.421875   1393.270254   2355.119167   3602.331458   5077.027307
0.428125   305.221018   2340.167845   3528.681268   5043.498640
0.434375   1590.084372   2588.065285   3688.463198   4862.435649
0.440625   1685.881950   2630.796994   3799.027633   4786.903558
0.446875   275.140009   1716.621263   2542.343741   3667.216262
0.453125   273.145165   1564.499601   2612.005707   3697.529027
0.459375   318.910142   1588.626121   2690.852500   3639.645211
0.465625   1078.711925   2234.703774   3458.829509   4801.092407
0.471875   216.226610   2080.334657   3038.003633   3671.160006
0.478125   915.296472   2392.976260   3624.634479   4505.638998
0.484375   1061.052337   2520.873605   3376.651871   4417.904791
0.490625   1376.724893   2560.852333   3603.043895   4936.669817
0.496875   1050.624301   2482.567979   3778.100686   4064.187803
0.503125   1227.137301   2553.640057   3773.976678   5090.630764
0.509375   1168.130285   2626.656806   3924.605032   3927.108275
0.515625   57.575213   1121.992678   2660.734667   3665.681382
0.521875   1298.514472   2730.455189   3638.361567   4899.817048
0.528125   244.324017   1516.510692   2698.178973   3639.450851
0.534375   585.445368   2278.038555   3480.373620   4726.030590
0.540625   873.224681   2311.926402   3498.669293   4682.769658
0.546875   877.943164   2361.303923   3623.202090   4572.380168
0.553125   2026.909845   2994.153620   4351.254789   4662.040486
0.559375   1875.610858   2927.486379   3876.416395   4671.861787
0.565625   1712.517141   2893.593600   3289.190091   4655.896032
0.571875   1543.165363   2840.576618   3255.910387   4758.981775
0.578125   1455.656920   2763.438021   3784.915037   4870.801757
0.584375   132.204722   1769.335636   2635.174380   3679.848003
0.590625   738.134267   2385.013432   3444.692371   4721.491039
0.596875   914.381905   2328.742922   3521.779211   5027.710448
0.603125   431.243034   1616.113961   2615.567309   3776.472068
0.609375   423.417765   2051.125097   2850.466630   3993.178280
0.615625   242.858232   2183.278393   2918.704015   4379.945593
0.621875   466.391609   1916.061050   2912.132624   4698.340699
0.628125   514.264914   1777.608542   2787.307814   4588.367228
0.634375   417.367701   1943.559276   2816.103253   3833.782369
