Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   650.683799   1767.840384   3020.620226   3642.343952
0.034375   441.222353   1692.398881   2791.328530   3508.430457
0.040625   390.813105   1656.105083   2896.781487   3491.794585
0.046875   440.080407   1651.171787   3190.262622   3694.078897
0.053125   646.349065   1832.957296   3107.806772   4430.009722
0.059375   666.200529   2027.450385   3109.994616   4507.320932
0.065625   685.581785   2096.827814   3149.930830   4491.636833
0.071875   699.189828   2074.236796   3106.460475   4181.072269
0.078125   721.991272   1953.051287   3170.449192   4227.942043
0.084375   794.683744   2059.898051   3209.770664   4332.234476
0.090625   836.997990   2076.823307   3221.085917   4200.508274
0.096875   456.620749   2093.863193   3284.167807   4399.783400
0.103125   404.241050   1846.588063   2898.533076   3606.386334
0.109375   587.450989   1350.474507   2760.509650   3540.130029
0.115625   669.974745   1677.265635   2646.847583   3762.879676
0.121875   714.326945   1676.971316   2745.716898   4044.262352
0.128125   1485.937247   1735.351496   2937.455531   4243.499393
0.134375   381.799859   1765.967383   3128.495041   4324.977311
0.140625   670.967223   1681.886248   3172.743004   3387.458003
0.146875   637.620676   1733.759774   3140.302549   4077.448154
0.153125   554.178086   1853.538563   3122.983480   4128.179006
0.159375   453.552773   1870.992439   3218.763178   3411.780432
0.165625   451.101980   1731.695750   2932.823747   3625.783343
0.171875   511.038820   1873.874381   2851.384996   3904.117372
0.178125   490.233029   1654.129860   2809.949252   3915.438740
0.184375   462.997184   1572.858906   2863.524291   3971.823795
0.190625   455.464181   1721.198261   2927.986134   4007.977663
0.196875   489.722764   1825.626680   2933.862366   4004.203870
0.203125   546.167920   1862.833697   2929.565290   3951.123330
0.209375   606.885785   1836.514799   2854.656525   3997.129162
0.215625   693.758313   2217.293251   3223.028333   4651.205133
0.221875   608.969393   2022.857071   3060.019641   4032.353632
0.228125   638.104669   1831.166725   3011.835073   3976.043813
0.234375   756.226519   2042.420598   3184.485896   4288.066987
0.240625   797.773949   2041.674201   3252.154001   4292.836921
0.246875   959.852853   2083.001449   3247.938828   4283.165205
0.253125   481.725973   1782.717337   2927.506475   4055.030094
0.259375   556.333261   1714.452276   2816.440417   3852.721619
0.265625   623.363739   1678.826982   2863.674944   3817.021633
0.271875   620.382337   1689.203062   2844.611909   4231.318782
0.278125   421.872215   1797.088784   2928.571197   4252.090078
0.284375   448.027349   1764.007487   2813.559823   3908.747867
0.290625   445.201116   1819.489297   3078.813584   4142.184861
0.296875   441.062808   1794.331704   2982.920353   4312.994791
0.303125   568.780197   1784.552589   2983.336591   4416.438460
0.309375   579.468054   1741.286873   3004.464858   3816.838465
0.315625   503.634988   1767.193804   2959.309241   4362.427667
0.321875   478.246693   1786.487610   3040.468083   4372.389385
0.328125   446.910669   1771.470607   3184.948944   4289.170409
0.334375   419.473561   1689.013455   2923.071145   3641.639208
0.340625   468.227590   1783.267803   2905.465754   4086.617437
0.346875   546.126733   1742.977042   2954.822284   4158.542293
0.353125   617.373579   1741.540101   2913.146331   4085.657500
0.359375   518.499413   1665.452912   2835.980580   4070.771159
0.365625   589.872179   1734.404555   2952.354623   4161.603980
