Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   405.335043   1691.604965   2678.802784   3805.300059
0.034375   1203.301202   2324.823523   2980.276320   4059.382800
0.040625   1211.879354   2361.054966   3368.574861   4121.016571
0.046875   1334.003423   2332.295087   3381.243327   4606.119457
0.053125   1443.869431   2917.471042   3163.369950   4689.976458
0.059375   1683.326437   2930.836956   3782.245941   4520.026547
0.065625   1595.736634   2696.106125   3639.778433   4713.059312
0.071875   1550.393445   2618.516839   3748.544793   4606.844733
0.078125   1454.584060   2662.470082   3802.752978   4411.587530
0.084375   1498.209528   2687.623217   3824.418108   4424.624233
0.090625   1394.685457   2622.152179   3635.516104   4599.135033
0.096875   1509.801399   2526.712083   3692.508282   4581.718253
0.103125   1592.528267   2565.400267   3826.358608   4602.775839
0.109375   1612.472655   2667.949397   4022.226466   4211.370322
0.115625   1660.847976   2790.011573   4129.905554   4257.797221
0.121875   1627.851499   2653.407626   3899.028840   4455.819544
0.128125   1605.326871   2458.341572   3742.308385   4667.685249
0.134375   1740.860101   2466.706096   3627.716575   4594.128303
0.140625   1654.721282   2659.672878   3426.486148   4492.164544
0.146875   1631.515323   2941.843021   3293.282984   4415.708387
0.153125   1786.173830   2531.100073   3617.781597   4328.583459
0.159375   1750.568677   2606.916986   3874.808180   4269.098321
0.165625   1715.036903   2843.099805   --undefined--   --undefined--
0.171875   1657.248890   2666.276403   4064.602730   4503.111412
0.178125   1719.655287   2952.292171   --undefined--   --undefined--
0.184375   1654.013983   2943.347947   --undefined--   --undefined--
0.190625   1784.822382   2795.702890   4143.939573   4323.581831
0.196875   1593.299217   2521.511750   3600.380254   4543.574497
0.203125   1430.690249   2670.897708   3646.503397   4492.005085
0.209375   1462.495662   2600.725168   3820.766555   4636.634145
0.215625   1588.167383   2646.810246   3873.173084   4667.699283
0.221875   1678.941555   2798.189898   3870.304745   4477.945717
0.228125   1742.617307   2688.489158   3663.294754   4652.157843
0.234375   1745.856879   2381.954941   3683.593541   4612.327487
0.240625   1568.795737   2336.880060   3631.646232   4606.287662
0.246875   1549.253724   2395.994891   3581.096580   4590.264341
0.253125   1517.932020   2652.434432   3545.713570   4565.232290
0.259375   1528.166425   2627.161546   3541.526001   4600.500787
0.265625   1608.945543   2606.045927   3568.775900   4549.981079
0.271875   1694.047327   2701.037492   3716.849757   4532.898951
0.278125   1780.936573   2794.430108   --undefined--   --undefined--
0.284375   1651.407269   2780.360323   --undefined--   --undefined--
0.290625   1889.114111   2924.146346   --undefined--   --undefined--
0.296875   1634.990709   2718.989861   3271.012483   4587.321043
0.303125   1654.070733   2609.445912   3504.916230   4549.862626
0.309375   1803.916418   3014.285438   --undefined--   --undefined--
0.315625   1830.334723   2367.667811   3579.172682   4574.817087
0.321875   1519.837432   2440.947676   3591.675104   4690.408634
0.328125   1547.621028   2687.746899   3755.286770   4515.232275
0.334375   1537.478888   2693.308281   4054.568227   4480.216295
0.340625   1562.298205   2680.675322   3942.101362   4380.835964
0.346875   1599.819488   2801.236684   3820.489205   4645.710184
0.353125   1703.675591   2664.682155   3797.432739   4520.151462
0.359375   1533.020713   2532.807140   3716.936864   4688.396562
0.365625   1494.591327   2590.794034   3756.320502   4680.801969
0.371875   1708.596013   2594.560963   3757.991219   4562.642688
0.378125   1687.159950   2825.005471   3700.278629   4458.748988
0.384375   1699.717219   2679.925529   3604.144462   4660.711001
0.390625   1646.121953   2753.922179   3599.375937   4713.519491
0.396875   1903.566026   2969.219643   4306.238015   5143.042072
0.403125   1617.030203   2600.397285   4202.854117   4331.124894
0.409375   1742.550633   2510.123709   3675.031735   4635.819953
0.415625   1802.058017   2600.639828   3734.423921   4629.991497
0.421875   778.696797   1756.855267   3238.177520   4276.381523
0.428125   1026.569769   1799.548013   3138.108261   4232.019610
0.434375   713.486280   1824.440551   3061.628137   4227.231990
0.440625   840.276151   1846.645438   3031.792747   4248.635394
0.446875   883.653861   1855.886786   3048.526702   4286.602209
0.453125   867.178018   1846.989113   2955.602371   4261.254723
0.459375   849.867760   1838.903981   2911.639580   4242.220649
0.465625   712.027119   1814.074954   2930.554601   4228.285542
0.471875   700.308866   1756.058465   3032.091384   4232.614888
0.478125   257.543576   1699.013500   2979.448446   4356.215613
0.484375   125.043617   1689.218053   2764.076152   4062.101695
0.490625   1690.059882   2992.458564   3895.096349   5217.909370
0.496875   1687.105150   3027.801220   3817.856543   5170.480436
0.503125   1311.972667   2457.088285   3800.723899   5203.860044
0.509375   1094.352858   2107.285970   3448.372675   4390.487813
0.515625   1254.657893   2093.856345   2996.249910   4292.710502
0.521875   1245.782037   2062.944583   2885.927017   4388.040565
0.528125   1718.893782   2732.339740   --undefined--   --undefined--
0.534375   1580.308398   2753.692379   --undefined--   --undefined--
0.540625   1517.565285   2707.959475   --undefined--   --undefined--
0.546875   1568.294040   2779.171059   --undefined--   --undefined--
0.553125   320.606800   1306.936481   2663.768842   4300.046140
0.559375   448.747719   2392.711441   2619.226666   4314.909104
0.565625   707.001553   2251.442944   3049.776844   4303.963370
0.571875   796.009353   2140.298923   3352.671907   4233.847056
0.578125   840.826925   2022.944794   3270.615490   4152.437947
0.584375   1896.376050   3065.784712   --undefined--   --undefined--
0.590625   732.418660   1823.454678   3193.759146   4443.777346
0.596875   1289.144126   2953.911574   --undefined--   --undefined--
0.603125   1066.761925   2586.859462   3547.367242   4936.559547
0.609375   1177.018775   2833.976616   3558.892766   4858.000939
0.615625   1155.303563   2760.360357   3585.388756   4848.538118
0.621875   1243.294975   2603.552221   3634.284858   4722.887926
0.628125   1482.741861   2697.522215   3664.752296   4825.185868
0.634375   84.928453   2165.169391   3187.668175   4148.875781
0.640625   309.840685   1740.010258   2924.820108   4259.436096
0.646875   394.652336   1648.949015   2849.900535   4322.098170
0.653125   414.088825   1505.197673   2937.777897   4352.621668
0.659375   388.417546   1513.974386   2926.992003   4316.251111
0.665625   386.672558   1612.854310   2829.710315   4356.823061
0.671875   392.120001   1745.841295   2860.499333   4383.801476
0.678125   394.061455   1776.234564   2842.941725   4403.674898
0.684375   397.556293   1789.695530   2849.849135   4394.941146
0.690625   400.474423   1742.176372   2854.945971   4016.355358
0.696875   400.478867   1769.095899   2801.321194   3927.591200
0.703125   400.984338   1932.776314   2798.485140   3951.678842
0.709375   402.671805   2321.231136   2843.781427   4401.654524
0.715625   402.913196   2442.089491   2892.136725   4403.466520
0.721875   400.787980   2542.245063   2820.366366   4395.905428
0.728125   398.243743   2029.206645   2820.846978   3578.898121
0.734375   405.238590   2293.075227   2868.712397   4388.717075
0.740625   408.801557   2116.416078   2904.296444   4392.306377
0.746875   398.728180   1945.357888   2857.277604   4382.693376
0.753125   378.790485   1893.064073   2852.833208   4391.060190
0.759375   362.513196   1864.701588   2816.559255   4426.892616
0.765625   336.982706   1848.564675   2909.201906   4457.883361
0.771875   312.971040   1839.365891   2958.319959   4483.921835
0.778125   280.196197   1899.802631   2858.804791   4326.212744
0.784375   239.702663   1982.491526   3090.936547   4341.336767
