Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   912.348138   2188.301032   3485.149171   3980.678676
0.034375   791.164098   2047.932919   3251.650527   4086.447141
0.040625   641.364772   1881.026697   3010.971237   3748.096800
0.046875   538.334832   1831.308350   3137.491401   3697.912829
0.053125   515.832216   1811.668713   3248.907859   3868.356387
0.059375   536.827617   1916.229432   3323.386948   4188.033994
0.065625   525.020512   2013.753142   3374.430644   4698.422399
0.071875   577.690959   1838.589719   2782.534901   3675.478790
0.078125   561.443459   1924.905700   2909.555140   3748.202399
0.084375   544.844133   1967.472765   3341.758338   3933.915851
0.090625   535.496326   1942.712480   3226.184720   4263.390021
0.096875   473.365835   1748.798295   2693.872541   3835.530588
0.103125   451.027757   1730.502273   2693.102226   3818.602652
0.109375   515.526948   1633.131742   2447.476555   3791.497682
0.115625   569.650148   1797.314318   2361.729313   3778.613150
0.121875   553.447118   2122.655284   3215.245954   3950.068427
0.128125   547.095077   1921.010015   2788.181060   3771.105284
0.134375   515.350299   1935.353996   3005.306191   3669.721755
0.140625   629.091461   1779.484900   3013.390269   3996.031129
0.146875   592.983629   1816.906539   2956.579282   3826.535694
0.153125   534.820182   1871.437428   3371.402827   3598.509563
0.159375   544.126101   1971.624557   3316.150164   4354.535765
0.165625   579.126693   1991.909750   3153.778208   4081.848189
0.171875   626.463723   2290.837474   3478.832441   3750.693276
0.178125   766.339476   2224.302396   3483.994145   4614.130888
0.184375   786.065025   2141.563992   3395.624851   4699.851278
0.190625   537.276071   1709.975083   2770.041502   3799.548636
0.196875   514.989502   1710.398571   2722.442212   3870.256602
0.203125   539.503476   1949.044134   2909.936963   3816.516934
0.209375   672.450785   2315.059188   3415.123266   4899.809589
0.215625   795.943727   2220.620068   3508.132644   4479.215374
0.221875   594.061967   1773.310801   2783.171296   3768.038556
0.228125   780.402213   1967.576783   2864.456157   4231.447660
0.234375   609.394965   1903.602783   2891.266080   4350.226680
0.240625   538.579782   1903.282174   2814.605721   3998.126140
0.246875   567.923357   1721.925911   2783.889473   3906.121772
0.253125   620.482502   1783.759095   2776.768374   3777.915089
0.259375   622.486204   1733.443184   2712.620998   3739.667190
0.265625   678.125815   1613.211298   2735.377675   3835.057246
0.271875   579.743549   1796.267423   2911.539570   4075.872531
0.278125   459.027595   1880.378478   2942.039441   4020.891956
0.284375   643.712836   1853.310391   2871.475233   3951.498620
0.290625   559.802631   1896.500806   2800.370656   3876.554389
0.296875   501.704031   1821.171329   2765.796462   3662.705270
0.303125   445.957364   1744.766086   2802.615859   4058.433755
0.309375   481.949570   1814.739831   2825.420971   3958.590124
0.315625   564.234224   1663.340474   2794.867165   3895.285904
0.321875   599.490640   1749.698644   2844.664608   4004.100812
0.328125   637.016430   1736.546963   2800.984693   3989.562436
0.334375   651.051059   1559.480508   2723.615673   3835.722096
0.340625   508.386677   1856.779844   2905.444410   3973.400411
0.346875   448.198948   1803.690456   2951.601513   3568.420600
0.353125   475.209560   1991.415974   2715.008285   3477.907272
0.359375   520.781929   1805.850274   2646.269638   3736.947561
0.365625   527.189450   1586.537846   2686.371171   3856.126251
0.371875   577.025548   1715.769783   2819.655488   3966.729050
0.378125   547.142963   1814.022933   2872.526007   4125.544482
0.384375   561.565759   1910.446577   2539.410298   3762.942121
0.390625   644.474047   1713.785879   2498.696010   3714.794439
0.396875   601.352881   1789.407616   2575.689735   3546.987196
0.403125   530.097326   1771.345808   2681.871787   3640.477445
0.409375   520.425539   1483.769821   2621.921533   3723.017404
0.415625   458.023425   1679.073921   2821.368105   3839.578232
0.421875   597.065489   1698.439016   2958.551479   4047.417518
0.428125   599.088728   1383.313357   2963.884189   4210.264546
0.434375   529.457022   1679.932943   2998.342708   3899.078845
0.440625   488.572168   1890.511912   3140.713085   3917.777251
0.446875   470.653307   1925.770837   3224.337763   4316.526596
0.453125   515.555840   1951.942614   3131.514244   4237.648023
0.459375   547.283474   1428.705920   2593.855464   4076.230496
0.465625   858.854378   2325.853206   3564.852764   4646.909456
0.471875   704.964065   2208.982728   3422.099638   4751.908026
