Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1618.481130   1909.944155   3346.315584   4224.472375
0.034375   1619.797308   1888.205634   3357.373814   4214.550158
0.040625   1472.337545   1869.071814   3391.736155   4096.717415
0.046875   1265.382984   1902.305778   3451.307154   4078.817997
0.053125   1205.400581   1900.764190   3317.691815   4071.090066
0.059375   1173.358302   1872.754288   3307.276431   4035.274831
0.065625   1240.897849   1799.284526   3423.683137   3971.535188
0.071875   1124.773025   1803.807760   3287.116491   3968.337436
0.078125   1114.311951   1763.929831   3122.394474   4075.144971
0.084375   1291.766196   1683.609191   3075.452351   4109.574844
0.090625   1442.213951   1684.577083   3104.019557   4188.249309
0.096875   1229.193058   1860.125047   3157.557037   4167.605756
0.103125   1183.392990   1770.443772   3045.376958   4152.779039
0.109375   1113.528240   1731.846013   3082.713237   4076.334898
0.115625   1250.013705   1759.741151   3176.854475   3977.588963
0.121875   1366.495670   1713.686824   3113.536601   4094.844244
0.128125   1262.305035   1785.405383   3176.801768   4129.642000
0.134375   1177.280992   1859.738806   3254.384339   4224.629672
0.140625   1159.924563   1848.730452   3275.214390   4184.413080
0.146875   1469.888815   1743.394881   3144.321089   4215.044988
0.153125   1190.407823   1644.799463   2977.320097   4195.565458
0.159375   1219.372818   1705.940668   3144.521632   4163.684109
0.165625   1157.026064   1772.402562   3193.002519   4166.980733
0.171875   1072.962801   1814.019492   3117.015067   4056.840967
0.178125   1020.907096   1780.740176   3054.597065   4131.368441
0.184375   969.886429   1765.200300   2986.716163   4209.747313
0.190625   1104.780698   1752.141770   2972.260756   4262.630703
0.196875   998.765306   1708.145797   2825.220501   4118.100401
0.203125   974.483509   1663.993400   2782.626407   4131.555801
0.209375   926.742884   1796.322446   2904.920134   4096.148288
0.215625   804.233285   1772.699692   2851.866098   3970.259388
0.221875   755.329017   1722.059531   2740.861221   3967.548754
0.228125   860.518439   1449.217343   2647.861470   3882.997701
0.234375   1484.365542   2637.468579   3942.806098   4961.065167
0.240625   1525.349390   2477.150386   3874.597232   5036.862726
0.246875   1377.098034   2670.172019   3864.400066   5104.581658
0.253125   594.219951   1544.766575   2960.001708   3976.940545
0.259375   111.664181   1400.141522   3099.284185   4199.997382
0.265625   1362.763270   1534.353766   2981.209462   4199.861858
0.271875   1620.478545   1895.262649   2934.331535   4205.825893
0.278125   1392.315720   2806.207349   2882.634092   4243.650092
0.284375   1247.363953   2661.876437   3035.547412   4258.903090
0.290625   972.668148   2591.907193   3501.069417   4364.343828
0.296875   1020.323002   2376.382668   3275.606712   4489.509702
0.303125   1120.084242   2480.540761   3202.923012   4548.558028
0.309375   1261.283041   2499.747887   3460.230213   4626.188867
0.315625   1288.694360   2322.735181   3605.787915   4613.462902
0.321875   1301.283204   2366.068175   3601.722533   4444.007131
0.328125   825.155123   1825.453673   2840.040078   3832.525018
0.334375   1182.758376   2485.570875   3514.307804   4724.923393
0.340625   1221.148873   2409.384456   3491.827127   4763.383174
0.346875   1333.529511   2301.532558   3128.328285   4516.029777
0.353125   1158.961222   1595.945064   3008.727576   4650.277417
0.359375   994.489651   1724.925603   2987.438939   4589.440459
0.365625   1274.950643   2228.507810   3068.405503   4440.569741
0.371875   1406.471045   2735.298094   3875.234942   5020.991705
0.378125   962.402561   1608.361239   2722.946441   4180.557807
0.384375   1335.323961   2326.960858   3141.005807   4333.585677
0.390625   1261.913053   2497.388524   3359.019154   4488.382012
0.396875   1099.884071   2490.665937   3817.010367   4703.130412
0.403125   1174.152302   2464.884295   3506.008228   4535.785116
0.409375   1313.896598   2556.754957   3350.809652   4555.085127
0.415625   1402.118886   2300.144107   3377.757254   4476.935446
0.421875   952.565645   1600.561888   2744.351978   4033.899078
0.428125   1108.603584   1425.054172   2650.962422   4071.343280
0.434375   1151.832788   2508.424535   3674.165046   4712.111412
0.440625   1152.530014   1718.450449   2587.595236   4436.117644
0.446875   1185.617322   1276.055433   2595.789907   4322.776600
0.453125   1313.194601   2646.655071   3592.499385   4304.410364
0.459375   1605.561578   2834.482571   3356.980948   4317.948468
0.465625   1378.566557   2303.346084   3404.657259   4519.099993
0.471875   1201.540152   2357.421808   3323.423623   4371.085115
0.478125   1310.336716   2394.683801   3375.711316   4488.940199
0.484375   1288.820852   2434.789540   3440.250415   4626.874788
0.490625   1163.179338   2359.883853   3267.685204   4446.141483
0.496875   546.154845   1762.311899   2986.227193   3844.549282
0.503125   569.941670   1861.059675   2776.599315   3913.043548
0.509375   789.969724   2047.905994   2774.301950   3817.052250
0.515625   838.066269   2192.275047   2904.958010   3756.922089
0.521875   1212.029012   1949.232449   2918.817673   3774.862388
0.528125   1262.478549   1940.911192   2946.782304   3825.124809
0.534375   1054.591044   2245.569993   3065.025100   3890.117437
0.540625   1177.498521   2164.748359   3216.231740   4088.147392
0.546875   944.535585   2194.028288   3291.989120   4123.225857
0.553125   789.667991   2332.255638   3206.684046   4055.747140
0.559375   1466.053100   2919.740134   3799.163201   4416.335868
0.565625   280.995242   2070.027584   3303.470500   4162.675968
0.571875   296.910600   2096.454015   3316.716928   4151.059110
0.578125   291.166224   2162.033224   3061.220344   4089.420195
0.584375   287.849497   2043.182587   3265.537304   4226.457701
0.590625   286.483050   1752.530429   3306.156083   4180.330458
0.596875   307.465004   1907.229822   3222.808451   4258.933989
0.603125   353.754695   2009.027737   2869.963354   4195.830689
0.609375   399.372445   2117.021015   2858.556743   4174.733590
0.615625   423.209008   2215.789775   2866.043493   4196.159903
0.621875   427.126773   2199.845257   2807.101133   3498.384420
0.628125   422.513973   2195.077257   2749.867404   4152.177405
0.634375   394.281320   2235.243455   2644.967826   3665.608190
0.640625   379.611886   2052.946054   2572.935006   3558.779681
0.646875   368.951464   1921.967699   2601.212830   3548.876054
0.653125   366.877582   1893.070924   2611.751239   3548.683545
0.659375   380.005398   1976.789349   2605.423270   3529.636887
0.665625   393.102231   2046.886632   2611.858352   3377.587111
0.671875   386.544279   1975.562168   2651.155789   3159.840277
0.678125   360.623625   1981.133566   2720.556038   3310.050772
0.684375   333.506249   2149.179353   2918.557325   3570.430249
0.690625   326.305594   2189.365843   2951.153583   3707.930307
0.696875   333.102535   2191.882611   2937.548557   3480.724046
0.703125   335.758156   2105.762073   2745.614851   3274.141868
0.709375   334.984038   1898.979398   2679.915807   3228.412146
0.715625   342.095813   1938.765874   2704.403455   3948.059445
0.721875   352.381662   2006.484210   2847.766935   4255.476557
0.728125   360.833120   2120.874569   2934.490850   4422.356319
0.734375   414.771273   2113.830030   2941.143709   4473.201962
0.740625   436.477730   2095.403456   2983.822664   4214.789295
0.746875   457.279122   2075.898847   3068.079601   4155.744971
0.753125   568.154472   2004.481600   3043.148675   4082.515028
0.759375   894.696176   2053.869089   2859.253968   3960.203635
0.765625   712.747637   2061.538171   2925.391038   4149.825130
0.771875   414.932730   2071.821353   2860.453775   4334.954226
0.778125   286.094485   2042.033896   2963.066500   4377.135140
0.784375   215.161350   2069.687644   3113.479083   4335.196824
0.790625   2028.654507   3244.913580   4379.570695   5138.217289
0.796875   1935.229248   3345.724166   4358.663424   5021.430220
0.803125   1936.321649   2973.082208   3975.190088   5042.971427
0.809375   1925.837482   2416.339527   3668.418923   4702.513060
0.815625   1856.342615   2631.267467   3558.773746   4685.777074
0.821875   1818.878505   2191.366001   2958.343378   5044.997603
0.828125   1652.794244   1981.798039   3067.233056   4688.108754
0.834375   1549.299411   1948.424266   2947.185095   4309.271784
0.840625   1535.850480   1691.136088   2925.711059   4188.791949
0.846875   1540.110733   2198.102928   3292.814878   4641.177525
0.853125   1541.512294   2328.626661   3452.041299   4657.293674
0.859375   1564.930145   2240.074454   3488.610298   4758.060934
0.865625   1540.741141   1707.777933   3020.300664   4036.235473
0.871875   1537.226307   1638.353246   2965.765671   4096.290271
0.878125   1550.627223   1580.514913   2918.885831   4071.131782
0.884375   1599.142758   1600.967881   3016.963498   4587.383074
0.890625   1671.080189   1836.672791   3309.458301   4608.296124
0.896875   1534.178957   2299.795343   2933.541630   4709.539360
0.903125   1302.001333   1617.303899   2780.888021   4185.022460
0.909375   1271.259648   1608.849121   2751.408500   4370.349225
0.915625   1252.071146   1671.878496   3089.161152   4506.872987
0.921875   1270.816608   1458.306080   2315.456642   4123.504768
0.928125   785.502652   1364.382751   2581.542480   4097.840560
0.934375   535.044085   1366.323129   2443.866848   4327.010142
0.940625   555.208856   1290.851957   2475.686643   4304.412939
0.946875   555.785514   1272.084928   2533.903422   4187.216998
0.953125   557.463059   1246.915851   2593.230673   3973.346451
0.959375   591.347984   1237.650269   2633.650586   3819.954253
0.965625   623.432488   1237.270875   2679.067886   3852.787823
0.971875   634.359386   1227.184612   2702.530936   3845.397875
0.978125   645.806925   1222.010215   2682.238536   3817.947331
0.984375   643.071584   1217.468801   2652.946960   3780.475928
0.990625   650.355166   1224.515052   2659.336160   3762.424363
0.996875   661.456883   1245.817419   2709.844514   3782.029447
1.003125   664.686232   1240.069392   2776.043565   3766.359552
1.009375   664.667093   1227.500383   2842.140136   3758.383148
1.015625   642.619627   1218.483215   2839.656948   3745.650118
1.021875   629.090307   1201.828449   2835.593933   3760.282754
1.028125   639.762729   1185.247779   2826.656154   3760.149339
1.034375   645.863284   1181.334948   2816.312103   3739.536631
1.040625   639.564696   1180.102185   2841.066657   3731.169598
1.046875   633.831314   1183.833247   2887.073050   3745.413384
1.053125   623.539191   1181.120979   2884.258631   3742.791560
1.059375   613.374863   1173.179103   2890.985358   3787.789778
1.065625   608.456223   1174.781204   2887.241455   3822.339199
1.071875   596.304932   1183.669175   2864.665372   3833.543381
1.078125   576.302607   1188.435806   2840.473421   3846.767997
1.084375   560.522484   1192.354679   2853.056162   3861.883601
1.090625   550.275994   1180.203453   2865.528926   3820.534986
1.096875   547.040070   1147.933915   2856.016840   3843.285831
1.103125   540.445999   1157.529439   2868.979774   3872.643447
1.109375   522.925767   1178.773410   2912.676389   3894.868826
1.115625   499.895535   1151.998071   2950.053648   3826.843938
1.121875   491.354648   1194.362529   3027.354066   4228.785892
1.128125   439.608920   1479.679009   2906.375782   4053.106715
1.134375   547.918999   1714.955199   3055.173450   3995.198853
1.140625   691.280035   2367.632207   3097.619144   4373.974604
1.146875   733.610860   2168.996987   2644.603977   3976.480186
1.153125   731.208892   1900.000569   2785.032167   4032.654481
1.159375   717.250480   1777.363293   2744.330215   3991.032332
1.165625   617.823328   1796.370028   2573.010334   3974.806799
1.171875   548.637837   1871.835362   2816.354929   4049.989835
1.178125   781.763001   1875.194537   3013.466416   4134.002050
1.184375   1831.463038   2965.681757   4129.927971   5088.481419
1.190625   1451.223019   1816.605270   2984.920984   4188.567523
1.196875   1377.433682   1939.310120   3083.452294   4267.336796
1.203125   1379.375009   1830.397879   2953.945567   4202.931120
1.209375   1584.954206   1770.271163   2718.720800   4155.451665
1.215625   1428.290212   1997.014506   2875.836335   4363.617069
1.221875   1277.004011   1982.200460   3011.685645   4324.533626
1.228125   1215.300398   1994.805849   3026.329635   4309.587267
1.234375   1238.621460   2001.679421   3009.267558   4260.313377
1.240625   875.233122   1964.856690   2974.909697   4270.265870
1.246875   146.993993   2023.235188   3044.154593   4308.686349
1.253125   931.642482   2018.538450   3192.421530   4266.834732
1.259375   966.916905   2055.783178   3137.166438   4314.868344
1.265625   1097.298749   2062.204094   3140.915653   4409.053010
1.271875   395.848060   2035.893813   3203.531999   4419.497758
1.278125   2008.770963   3026.950978   4301.211598   5163.013979
1.284375   1970.536280   2968.001172   4356.842387   5372.862057
1.290625   1951.322809   2920.206708   4181.750645   4853.009404
1.296875   2014.234321   2981.579690   4169.583955   5039.253401
1.303125   367.605784   2116.483998   3488.930129   4428.260992
1.309375   782.897499   2114.593379   3455.281637   4547.412246
1.315625   822.593976   2044.095064   3419.052916   4639.438350
1.321875   942.026577   2122.830478   3257.683338   4627.067376
1.328125   899.383943   2206.853326   3097.317685   4507.098820
1.334375   718.352671   2225.394075   3065.285346   4694.120927
1.340625   1718.955240   1734.531447   3021.440407   4079.584274
1.346875   1624.860326   1921.815656   3204.703604   4160.301508
1.353125   1252.466962   1924.975389   3069.898913   4189.759301
1.359375   508.311980   1972.385294   3002.127139   4245.627926
1.365625   531.601139   1925.483729   2897.972077   4416.095353
1.371875   553.324590   1940.354287   2877.430941   4452.659104
1.378125   589.405823   1976.552496   2902.627745   4245.093551
1.384375   640.167152   1978.315451   2916.390809   4279.518232
1.390625   668.806010   1959.696196   2893.996114   4271.080944
1.396875   678.928584   1957.386204   2887.745142   4072.468551
1.403125   697.261698   1959.931156   2884.105948   4016.823038
1.409375   706.487656   1946.725759   2882.952427   4029.506482
1.415625   713.229856   1919.521524   2862.840407   4040.141080
1.421875   714.120718   1870.837804   2820.634249   4053.174849
1.428125   713.868112   1803.890975   2794.934207   4068.182094
1.434375   722.053019   1763.177509   2776.224594   3926.240791
1.440625   743.169350   1738.997127   2753.958608   3989.287611
1.446875   774.405577   1693.714096   2763.131370   3914.699974
1.453125   778.632611   1596.157232   2730.894271   3776.432861
1.459375   781.682755   1532.637224   2666.389374   3756.823313
1.465625   790.763408   1491.443665   2711.217615   3968.251563
1.471875   779.051038   1441.096219   2772.508340   4018.345461
1.478125   725.741462   1390.394722   2814.639133   4180.450675
1.484375   515.890324   1429.420765   2837.427406   3968.024861
1.490625   463.194460   1449.115687   2909.964823   3965.144125
1.496875   460.593406   1441.508834   2886.285879   3942.527237
1.503125   452.519958   1409.707237   2935.919820   3908.019228
1.509375   450.383173   1385.719909   2931.450342   3898.223992
1.515625   453.945695   1330.285065   2919.612703   3944.038747
1.521875   536.076437   1335.196478   2870.378269   4028.350913
1.528125   663.014025   1364.158277   2879.294635   4080.645249
1.534375   710.514209   1409.467559   2905.683057   4090.966697
1.540625   731.441754   1430.695425   2902.623876   4056.078130
1.546875   737.637726   1447.667227   2887.464760   4040.518295
1.553125   706.630222   1448.714767   2874.016467   3944.511208
1.559375   678.206965   1450.007472   2879.246264   3941.792290
1.565625   661.602719   1446.349661   2863.294141   3934.249185
1.571875   667.306026   1441.499213   2857.327886   3935.519689
1.578125   673.567872   1448.832924   2850.694194   3979.209233
1.584375   674.701665   1447.530029   2835.842710   4020.719501
1.590625   671.317316   1442.326656   2829.156986   4032.761058
1.596875   692.403679   1441.739549   2834.104958   4039.586786
1.603125   687.557046   1445.946371   2825.162978   4030.068846
1.609375   667.777137   1447.305815   2797.712233   4053.616057
1.615625   671.632916   1446.927880   2784.428730   4061.409115
1.621875   752.832630   1459.892216   2807.535493   4058.454946
1.628125   775.468905   1457.531918   2813.969533   4064.704091
1.634375   671.483957   1436.445745   2825.508364   4077.126140
1.640625   624.510978   1414.241556   2818.246630   4069.105279
1.646875   601.572023   1402.472642   2844.239084   4109.992018
1.653125   611.071776   1418.847158   2884.664478   4136.906646
1.659375   615.296906   1470.086889   2900.530393   4202.206214
1.665625   554.325231   1405.358011   2884.680841   4482.347378
1.671875   500.955774   1381.317411   2782.512175   3852.951167
1.678125   450.014049   1417.225874   2742.069257   3805.790464
1.684375   406.226109   1424.493674   2711.287380   3272.358484
1.690625   721.825853   1534.749579   3239.452904   4553.268824
1.696875   537.625917   1528.920801   3204.847778   4444.499959
1.703125   993.091520   1845.205438   3173.824580   4060.106116
1.709375   922.893329   1906.381323   3114.394808   4472.919645
1.715625   464.081269   1543.925830   2220.552312   3688.464939
1.721875   590.202718   1626.191795   2505.673426   3993.679916
1.728125   520.183337   1805.190091   2671.156373   4069.564080
1.734375   666.638504   1830.136463   2688.434604   3929.748181
1.740625   762.451562   1748.003947   2577.848756   3851.139437
1.746875   882.347255   1699.783887   2756.602809   3918.781556
1.753125   960.918815   1759.380111   2726.123016   3902.969432
1.759375   1003.992718   1687.753580   2684.691079   3924.338440
1.765625   1101.418082   1691.029852   2677.969777   3991.598399
1.771875   1072.097083   1778.435888   2578.824309   3873.557584
1.778125   1235.161533   1478.127928   2502.604594   3952.031700
1.784375   1099.999297   1641.678022   2484.608641   3949.186213
1.790625   1241.118679   1731.194585   2533.513847   3947.926576
1.796875   1256.746374   1706.361550   2784.896179   4089.280136
1.803125   1231.562718   1646.791022   2834.582927   4247.084385
1.809375   1398.689960   1566.700410   2763.215851   4233.733097
1.815625   1446.746570   2437.592412   3965.833464   4762.112090
1.821875   1452.096285   2303.869595   3779.912558   4783.289358
1.828125   1260.551834   1678.161285   2492.788455   3816.584325
1.834375   1284.361158   1923.259343   2627.953970   4029.213809
1.840625   1451.178964   2203.286930   3059.852096   4679.756337
1.846875   1467.092161   2194.429780   3280.918719   4631.446950
1.853125   1473.375132   2264.438027   3445.281182   4663.453191
1.859375   1570.301038   2256.573209   3325.875338   4723.308130
1.865625   1564.340540   2120.655399   3316.815887   4645.526319
1.871875   1584.587449   2210.100081   3257.548818   4596.767631
1.878125   1666.167585   2127.655266   3240.656982   4744.735077
1.884375   1126.196535   2024.124987   3214.701857   4514.977960
1.890625   1289.607418   1996.949200   3282.192584   4549.721274
1.896875   1744.695180   1921.621915   2899.711373   4387.384435
1.903125   268.688765   1844.516356   2919.865105   4160.756199
1.909375   661.354617   1799.867216   2781.283936   4082.968412
1.915625   577.112129   1620.361989   2687.709339   4044.318197
1.921875   671.997399   1710.907448   2815.498169   4088.094374
1.928125   745.849408   1787.229544   2872.470935   4107.633996
1.934375   800.295208   1736.066900   2877.728800   4179.509888
1.940625   379.029919   1626.821905   3071.797482   4391.978900
1.946875   1625.554033   2661.873101   2893.969281   4360.187877
1.953125   520.967765   1680.267819   2615.666775   4042.731564
1.959375   653.373560   1786.725788   3048.159814   4467.080762
1.965625   1012.602806   1822.288604   3141.920541   4466.460459
1.971875   1467.648903   2021.278272   3234.190787   4471.253209
1.978125   1015.402955   1823.290359   3095.380929   4375.175644
1.984375   805.592965   1867.028442   2661.167582   4010.103285
1.990625   875.836809   2048.426592   2986.905278   4169.773403
1.996875   1654.319663   1897.235839   3109.511080   4223.898182
2.003125   662.235081   1965.281095   2909.082520   4225.645128
2.009375   801.388774   1991.461736   2998.744919   4099.304904
2.015625   1552.718361   2035.228735   3028.500222   4024.621487
2.021875   1571.595206   2034.433462   3034.345428   4044.597400
2.028125   1573.376596   2005.570660   3037.421124   4074.504778
2.034375   1566.643098   1949.135112   3065.475296   4241.640876
2.040625   1420.641363   1770.195222   3103.122932   4853.951988
2.046875   964.477774   1832.076278   2766.286716   3539.856312
2.053125   856.828892   1563.475014   2868.184973   3427.566526
2.059375   1025.002785   1563.449448   3160.501097   4300.665425
2.065625   1159.264821   1575.184928   2855.309762   3970.674608
2.071875   1163.982599   1613.002164   3044.069536   4178.166072
2.078125   1165.538543   1622.805974   3012.826801   3956.249054
2.084375   1196.722166   1603.673517   2143.207048   3009.380528
2.090625   1196.373460   1512.573768   2393.684217   3045.742607
2.096875   1188.129163   1480.712693   2497.056542   3131.065850
2.103125   1144.710900   1447.780993   2342.940942   3228.964864
2.109375   1188.824160   1433.771428   2193.741194   3258.005805
2.115625   1107.892114   1443.854849   2134.973801   3212.459918
2.121875   1078.145097   1445.755890   2161.134439   3107.677334
2.128125   1113.247664   1430.647541   1984.649009   3024.003721
2.134375   1167.140283   1435.999188   1613.655304   2994.788016
2.140625   1210.784897   1488.218127   3001.652008   4100.195221
2.146875   1167.421300   1496.978687   3046.982029   4128.134623
2.153125   1171.411882   1532.693468   3023.048500   4179.644047
2.159375   1123.040336   1558.964034   2968.887013   4300.722290
2.165625   1073.263021   1543.596225   2959.736224   4351.656602
2.171875   1009.350414   1519.871574   2971.465887   4379.297803
2.178125   1061.168549   1529.215828   2990.325315   4407.235301
2.184375   1113.298305   1570.710909   2990.250322   4445.342540
2.190625   1296.617436   1721.223834   3067.887777   4351.165225
2.196875   1246.039804   2075.867041   3207.051673   4477.332350
2.203125   1320.254716   2091.999200   3067.148326   4531.715159
2.209375   788.714770   1630.234608   3067.407256   4509.536004
2.215625   1028.457175   1593.857319   3296.730462   4620.694431
2.221875   1298.908525   2223.352304   3585.241317   4686.563687
2.228125   1411.130219   2102.518258   3911.129736   5036.964440
2.234375   372.324001   1661.329856   2886.835717   4290.339910
2.240625   1683.708900   2541.028799   4230.655342   5181.222216
2.246875   1451.596391   2385.857191   3887.249363   4977.689230
2.253125   1477.061288   2623.718676   4078.024458   5136.796088
2.259375   1704.005141   2301.023806   4208.089645   5294.734775
2.265625   1217.000486   1869.555771   3544.083907   4281.434337
2.271875   1443.204104   1688.906492   3151.106562   4311.358365
2.278125   1609.295744   2317.754138   2876.153594   4365.698676
2.284375   1599.012690   1972.062592   2954.906715   4399.017105
2.290625   1647.802374   1728.328716   2875.126636   4403.852597
2.296875   1587.449293   1906.198547   2739.082804   4284.844297
2.303125   1562.833121   1752.062473   2104.290332   4264.546618
2.309375   948.747539   1560.845740   2769.820160   4381.336998
2.315625   870.527634   1689.547518   2854.520831   4331.679279
2.321875   1088.714082   1757.181649   2962.480531   4277.319254
2.328125   1111.573068   1791.584759   2904.649475   4153.446533
2.334375   1218.967403   1734.018287   2749.442965   4087.329016
2.340625   1320.196182   1774.949008   2053.352076   3626.581542
2.346875   1325.907525   1582.838879   1893.145974   3544.729021
2.353125   1271.195291   1724.583109   3129.958373   3225.907828
2.359375   1402.216970   1642.941242   3002.333634   3766.178455
2.365625   1312.986069   1571.376515   3040.060864   3327.314146
2.371875   821.571869   1584.886000   2999.898775   3678.582058
2.378125   1555.518069   2622.316612   3043.433868   4891.471623
2.384375   354.923224   1553.806931   2555.926394   3116.075469
2.390625   446.428388   1602.242412   2072.710722   3058.097443
2.396875   484.218287   1590.755162   1957.301804   2998.702758
2.403125   581.246624   1510.574902   1972.599426   3010.440452
2.409375   645.521117   1481.379409   2005.945716   3018.657074
2.415625   661.728350   1477.593062   2012.989831   2975.108476
2.421875   657.903001   1480.748815   2014.282261   2969.105504
2.428125   655.209768   1484.933912   2022.124299   2967.065253
2.434375   649.177187   1489.749017   2015.956787   2966.670785
2.440625   626.877350   1492.349298   1995.197221   2967.381920
2.446875   594.872117   1493.791252   1957.274291   2959.971978
2.453125   549.939326   1495.053578   1873.107461   2947.129210
2.459375   485.821160   1490.108686   1792.394832   2929.103912
2.465625   575.266844   1485.110135   1745.900862   2907.970745
2.471875   612.189619   1492.654660   1720.002476   2857.140830
2.478125   416.060152   1589.706949   1979.113258   4103.330549
2.484375   361.227659   1536.205727   1987.500650   3792.841410
2.490625   349.923161   1567.917918   1962.954796   3500.041397
2.496875   391.831180   1554.456255   1986.759391   3621.184937
2.503125   559.023042   1555.762966   2124.899315   3524.689969
2.509375   640.076821   1565.044149   2276.391882   3461.401271
2.515625   660.631773   1730.612725   2520.590117   4028.661612
2.521875   643.550913   1821.559574   3077.878461   4080.316849
2.528125   251.358139   1892.619563   2972.666975   4093.508626
2.534375   538.133309   1940.263455   2981.706444   4138.023909
2.540625   387.526320   1930.740344   3042.104658   4157.422240
2.546875   358.754595   1859.268025   2749.499544   4092.308226
2.553125   371.440506   1919.908990   2719.812575   4085.707234
2.559375   387.748378   1982.407111   2763.288564   4076.467727
2.565625   448.097253   1992.888567   2902.516637   4040.534515
2.571875   550.233859   1987.949205   2957.238379   4010.010618
2.578125   476.638267   1973.697314   2601.047321   3955.380402
2.584375   403.587280   1795.100883   2391.830078   4031.561282
2.590625   353.214347   1690.095962   2548.990541   4004.605455
2.596875   294.712502   1447.945341   2496.466334   4004.894027
2.603125   277.141301   1913.458990   2217.813898   3968.868461
2.609375   279.418821   1949.761438   3479.117333   4195.726552
2.615625   265.954545   1506.772444   2306.699391   4002.519396
2.621875   282.858792   1545.654299   2576.036907   4129.163743
2.628125   274.350648   1362.023941   2508.760955   4042.931038
2.634375   275.471373   1336.968252   2353.613290   4024.440509
2.640625   271.343299   1272.203516   2303.082086   3952.774928
2.646875   246.397608   1262.692777   2407.333237   3954.529593
2.653125   203.513094   1336.644114   2593.858572   3984.459251
2.659375   226.453214   1533.095438   2844.456135   4068.997782
2.665625   105.587537   1726.449277   2659.162503   4015.215284
2.671875   1652.997338   1986.068698   2900.181045   4242.910430
2.678125   1611.356706   2838.356855   --undefined--   --undefined--
2.684375   1563.833688   1684.000184   2796.498367   4204.456480
2.690625   1514.612658   2785.965254   --undefined--   --undefined--
2.696875   450.791819   1550.272031   2423.248578   3574.281904
2.703125   460.512111   1477.061696   2086.847184   3062.559725
2.709375   460.287792   1447.935345   2079.703432   3033.707387
2.715625   461.596887   1446.715320   2069.281324   3002.179481
2.721875   461.669594   1501.313383   2061.383979   2982.598824
2.728125   463.999903   1564.954629   2057.158850   2979.688277
2.734375   472.441748   1641.232827   2116.685058   2990.799909
2.740625   473.389093   1670.611706   2163.069782   3005.117392
2.746875   472.747469   1746.218430   2209.684524   3021.037368
2.753125   481.317689   1867.004332   2634.550348   3033.497203
2.759375   483.032661   1913.034385   2850.153140   3804.869686
2.765625   481.914783   1942.453437   2845.302155   3898.908112
2.771875   463.999747   1979.053476   2833.576473   3936.924199
2.778125   457.909136   2044.689070   2850.774822   3833.893338
2.784375   451.324833   2070.088754   2870.667246   3877.961833
2.790625   438.224372   2026.244129   2875.856000   3822.794735
2.796875   417.993925   2152.425859   2858.539629   3672.197632
2.803125   420.020217   2439.203744   2838.578592   4171.045201
2.809375   418.458997   2125.534327   2706.430304   2763.661924
2.815625   368.617266   1632.046869   2684.549843   3577.847244
