Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   878.694596   1701.083069   3198.230244   4307.194252
0.034375   753.330946   1634.472540   2829.722953   4213.864537
0.040625   692.016626   1603.685735   2741.670862   4110.844327
0.046875   597.954019   1597.632620   2717.532143   4046.409291
0.053125   554.653973   1634.447883   2812.033858   4186.220068
0.059375   564.864524   1649.108799   2933.352125   4223.045663
0.065625   706.952493   1672.855050   2995.965304   4129.268462
0.071875   681.518340   1623.326984   2813.312461   3969.026732
0.078125   578.250262   1547.507817   2735.226896   3923.593076
0.084375   585.471041   1537.301639   2697.570226   3988.546893
0.090625   658.412997   1780.897737   2693.609452   4007.530362
0.096875   660.890566   1864.988496   2774.169500   3953.534450
0.103125   596.314899   1693.123891   2826.078242   3981.361762
0.109375   564.942736   1719.902574   2845.584382   4059.370491
0.115625   561.403017   1816.579393   2867.107110   3972.399334
0.121875   572.986061   1833.426282   2906.367142   4056.010371
0.128125   567.268076   1724.072822   2986.692243   4174.166038
0.134375   657.333033   1738.572647   3161.541505   4165.308473
0.140625   617.262324   1743.862809   2990.367936   3844.737191
0.146875   613.743243   1656.607977   2806.207855   3873.444819
0.153125   685.863053   1539.081547   2684.622958   4017.292396
0.159375   597.033946   1666.491638   2697.234869   3988.397058
0.165625   606.351241   1601.610465   2695.972592   4029.584460
0.171875   689.910419   1703.821106   2765.999400   4083.457997
0.178125   715.488854   1622.855167   2752.431232   4049.619514
0.184375   558.703516   1697.870593   2800.140572   3931.044010
0.190625   694.340941   1650.735118   2664.375528   3921.666193
0.196875   644.947540   1886.862705   2691.779216   3762.752145
0.203125   617.408191   1783.066565   3215.288000   3865.732383
0.209375   710.256938   1738.477544   2855.842154   4004.602289
0.215625   635.665688   1712.360999   2736.609118   3873.918224
0.221875   652.192397   1825.618720   2656.197990   3896.509308
0.228125   578.790215   1755.668840   2751.452398   4035.774237
0.234375   556.899454   1722.564733   2832.130768   4179.317051
0.240625   552.003159   1597.784521   2769.886051   4306.735359
0.246875   1298.116958   2528.488878   3446.892075   4611.420918
0.253125   738.470176   1514.341178   2930.802232   4232.492917
0.259375   674.550531   1641.884644   2850.611652   4189.957128
0.265625   773.359184   1835.648466   2971.127934   4176.367772
0.271875   657.739694   1757.269029   3302.307995   4075.708958
0.278125   631.477974   1838.046522   2939.475181   3830.008189
0.284375   642.467394   1559.135116   2773.505380   4103.406076
0.290625   546.659254   1558.499402   2719.926166   4125.901230
0.296875   554.793381   1644.311257   2756.879912   4116.406263
0.303125   661.100175   1715.149440   2700.224290   4052.965396
0.309375   705.399389   1714.107128   2586.532571   3914.458232
0.315625   623.054553   1585.160987   2814.215060   4006.706431
0.321875   666.221177   1598.843281   2911.872856   4048.541767
0.328125   657.067918   1579.637454   2991.936998   3986.493315
0.334375   727.905589   1706.152248   3041.689252   3714.146317
0.340625   732.211139   1618.656735   2880.649399   3963.869340
0.346875   663.616955   1649.214726   2864.631030   4053.081090
0.353125   642.909443   1670.796193   2921.622978   4064.625350
0.359375   728.997216   1570.865110   2828.236490   4007.672143
0.365625   742.989750   1758.697934   2746.495568   4026.355307
0.371875   692.280391   1793.457399   2823.899711   4035.912833
0.378125   682.940285   1702.216735   2792.636829   4073.233435
0.384375   667.323079   1700.700579   2838.333726   4368.436937
0.390625   746.991798   1731.307038   2934.468115   4197.997883
0.396875   694.441796   1725.027639   2893.449413   4105.720352
0.403125   627.899282   1721.399673   3028.088635   4104.786865
0.409375   715.613781   1671.955238   3030.099206   4130.175602
0.415625   700.451806   1687.630542   2982.389354   4142.955362
0.421875   578.379539   1713.034591   2917.945673   3957.283474
0.428125   725.871002   1689.906251   2952.121472   3882.277680
0.434375   755.579961   1714.895082   2906.443807   4089.379149
0.440625   741.366655   1691.889314   2835.289742   4076.247775
0.446875   783.460153   1759.330578   2831.025487   4061.602643
0.453125   743.259758   1681.076117   2761.308034   3935.901136
0.459375   630.571366   1724.440070   2792.915965   3877.474112
0.465625   708.137885   1624.248338   2838.976615   3888.389183
0.471875   683.241111   1547.094861   2904.746149   4001.629445
0.478125   696.415366   1643.967417   2891.390473   4016.358123
0.484375   786.765810   1874.353840   3316.076362   4381.065317
0.490625   653.003024   1649.696219   2843.034339   4146.657338
0.496875   646.742746   1637.397173   2769.128038   4059.627220
0.503125   697.477827   1700.093644   2784.802778   4036.274438
0.509375   670.630518   1794.689594   2796.625066   4171.550814
0.515625   569.212014   1819.486309   2897.941899   4200.253875
0.521875   570.523724   1831.755485   2861.264479   4077.004057
0.528125   592.111942   1751.980483   2581.856251   4044.103937
0.534375   649.281306   1526.998897   2796.887470   4080.298281
0.540625   671.938477   1546.473632   2749.580553   4059.425223
0.546875   579.265920   1757.508722   2758.300678   4043.847674
0.553125   636.506728   1800.544237   2734.111789   4158.988261
0.559375   713.891445   1857.654670   2851.585377   4271.409687
0.565625   676.073461   1946.520702   2874.646148   4262.346116
0.571875   727.557259   1533.714174   2756.284890   4132.603339
0.578125   740.118555   1693.355713   2691.208062   4081.600380
0.584375   639.088848   1732.999353   2814.997112   4018.609737
0.590625   603.573593   1702.777496   2814.765964   3964.807261
0.596875   631.715166   1704.526509   2851.706972   3848.836629
0.603125   667.405494   1664.218000   2871.280652   3886.159446
0.609375   606.339224   1684.057155   2868.498270   4101.410560
0.615625   603.809413   1708.390634   2866.564740   4152.839629
0.621875   637.175801   1662.981993   2803.753300   4137.192365
0.628125   624.814562   1673.020874   2797.321707   4107.279735
0.634375   682.796719   1595.776796   2453.511886   4050.407323
0.640625   597.197803   1650.714698   2786.769286   4108.572536
0.646875   545.408229   1713.276129   2902.549404   4027.834781
0.653125   613.778217   1762.832838   2953.983678   3960.149847
0.659375   610.099842   1748.022693   2982.042799   3951.101707
0.665625   664.349718   1709.277483   2858.132100   3923.037429
0.671875   737.475763   1569.449862   2893.184717   3942.559556
0.678125   580.373900   1591.229412   2905.975850   4107.555640
0.684375   672.852525   1775.523518   2784.060133   4099.793799
0.690625   751.676757   1668.623018   2788.717808   4049.420182
0.696875   696.551908   1673.830692   2776.996798   3979.207440
0.703125   694.179261   1699.322884   2735.013851   3940.246008
