Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1031.411617   1559.600977   2792.115661   3790.212490
0.034375   787.343373   1342.014837   2577.754772   3761.748391
0.040625   678.877350   1233.880643   2439.164976   3672.383595
0.046875   513.273551   1775.845301   2521.067559   3623.521940
0.053125   533.314110   1808.573540   2555.170603   3666.419802
0.059375   616.345651   2076.097733   2371.542870   3553.752708
0.065625   1295.261642   2385.119044   3502.751811   4995.782316
0.071875   1257.909841   2451.940613   2937.650012   3936.059802
0.078125   722.092662   2116.882717   3102.788818   3838.114375
0.084375   596.594605   2081.800236   3256.344044   3834.713061
0.090625   562.775823   2060.034400   3008.210879   3858.385348
0.096875   481.497848   1963.798370   3094.737909   3815.241044
0.103125   362.878819   1809.460343   3024.146276   4012.476294
0.109375   598.969779   1912.563496   2967.332183   3996.907111
0.115625   397.897817   1973.952689   2944.206418   4223.381499
0.121875   906.556138   2276.903101   3038.507871   4307.019400
0.128125   1188.993051   2387.984257   3415.844962   4542.464606
0.134375   1605.079673   2896.974320   3717.583618   4715.176650
0.140625   529.008814   1723.200900   2791.004308   3748.322785
0.146875   677.355753   1730.966147   2650.474519   3843.178782
0.153125   634.023369   1765.035967   2616.543371   3841.187711
0.159375   615.137840   1711.836095   2629.106816   3690.119859
0.165625   127.025380   1746.044704   2569.199856   3645.307417
0.171875   1603.306985   2425.455781   3771.242210   4644.550796
0.178125   1110.099965   2446.009752   3551.530999   4591.852211
0.184375   1171.808146   2384.175468   3322.560935   4266.206998
0.190625   1183.103567   2312.939462   3279.040257   4408.371085
0.196875   1322.752570   2320.447889   3313.171809   4564.414202
0.203125   1427.069552   2286.028163   3250.019538   4392.231210
0.209375   1377.256636   2218.099906   3187.702379   4381.510668
0.215625   1395.267248   2234.369476   3225.840524   4376.305236
0.221875   1721.261879   1920.429928   3073.807459   4125.036378
0.228125   1498.604737   1832.362345   3190.768241   4140.654916
0.234375   1277.749010   1973.102070   3265.030486   4267.998573
0.240625   1272.810172   1943.301482   3287.623355   4215.200598
0.246875   1538.500179   2858.915893   --undefined--   --undefined--
0.253125   1467.786098   2714.865081   3527.198584   4789.981731
0.259375   1482.453646   2268.580200   3308.935021   4703.951607
0.265625   1189.338663   2161.011757   3227.751327   4150.396530
0.271875   1178.795952   2476.705431   3596.287453   4696.999476
0.278125   1073.634680   2643.517372   3475.226041   4775.228363
0.284375   1290.188409   2131.707634   3027.428751   4127.596959
0.290625   1402.201554   2468.498172   3557.343467   4589.097096
0.296875   1324.293139   2458.914667   3585.663483   4530.400195
0.303125   1288.934562   2561.215033   3961.786533   3999.477431
0.309375   1061.998633   2251.512864   3294.089566   4311.505309
0.315625   1126.905900   2422.612186   3567.958821   3781.387531
0.321875   1117.725887   2246.349622   3112.214861   3930.459425
0.328125   1140.568970   2096.664011   3134.507488   3953.178225
0.334375   1239.487561   2218.893218   3311.443377   4097.019332
0.340625   1130.371262   2157.353292   3309.776094   4195.066883
0.346875   1034.675512   2469.403045   3516.696094   4804.790362
0.353125   1110.044442   2537.727900   3485.764215   5133.535242
0.359375   703.166641   1915.910354   2954.135388   3949.725050
0.365625   961.519742   2050.065046   3188.133513   4077.331692
0.371875   1230.018415   2440.137032   3698.417236   3783.026553
0.378125   423.900911   1644.307869   2746.267387   3775.821678
