Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   916.501237   2188.134730   3152.168334   4173.490574
0.034375   1003.865100   2204.839677   3137.814127   4133.972712
0.040625   1139.309837   2161.092853   3054.963600   4106.533517
0.046875   1086.816911   2098.782750   3233.401294   4184.706664
0.053125   1032.808936   2094.120527   3325.265047   4404.868621
0.059375   1093.286592   2280.914591   3082.663175   4136.960168
0.065625   1076.692353   2283.221963   3061.937690   4256.677474
0.071875   1297.022351   2127.766362   3151.755376   4212.378505
0.078125   1575.553201   1697.807211   3105.117683   4224.994334
0.084375   1484.521067   2460.312061   3554.536320   4370.610424
0.090625   1263.568190   2231.931759   3489.762987   4392.709198
0.096875   1098.369027   2206.927688   3319.150848   4399.714384
0.103125   1175.915765   2443.954381   3440.971500   4525.432552
0.109375   1297.590730   2329.242910   3534.589186   4368.941767
0.115625   1219.094493   2359.351020   3432.063045   4484.670700
0.121875   1164.800105   2428.684227   3327.902361   4438.879754
0.128125   1211.225180   2356.164473   3321.239622   4313.822351
0.134375   1162.931793   2191.826908   3387.979297   4288.541205
0.140625   1145.491301   2110.901877   3188.585603   4365.527971
0.146875   1230.951310   2074.441336   3226.669609   4298.945024
0.153125   1162.844834   2261.928529   3273.305170   4454.665910
0.159375   1260.820139   2210.822437   3216.434256   4446.748205
0.165625   1136.717269   2273.310671   3316.207544   4331.921955
0.171875   1399.812643   2483.199714   3506.914370   4287.431265
0.178125   1350.121044   2207.230311   3514.913382   4342.885399
0.184375   1388.226569   2189.415666   3463.774335   4478.492269
0.190625   1197.765038   2121.277270   3402.513950   4443.934619
0.196875   1219.026089   2218.247888   3390.476475   4328.963634
0.203125   1203.598892   2289.425596   3339.881225   4282.194972
0.209375   1124.926112   2144.199900   3155.166645   4235.552159
0.215625   1007.533526   2124.349379   3115.932964   4207.579577
0.221875   1621.624131   1678.842349   3113.053299   4268.373948
0.228125   1360.976937   2180.502602   3343.052766   4450.405131
0.234375   1233.800944   2312.027477   3369.497145   4343.055784
0.240625   1241.071612   2060.296127   3236.329753   4144.746510
0.246875   1210.586969   2056.958546   3130.671046   4105.477454
0.253125   1183.990017   2181.831461   3136.985500   4234.244353
0.259375   1149.936758   2244.570263   3052.746505   4187.145196
0.265625   1201.089102   2203.742019   2975.304745   4168.746577
0.271875   1148.245239   2283.438422   3179.071419   4383.525683
0.278125   1469.415970   2438.460612   3419.179624   4525.551559
0.284375   1494.992318   2399.845590   3482.709600   4451.385390
0.290625   1446.143852   2418.653735   3455.442735   4432.484218
0.296875   1497.407604   2283.914649   3439.356804   4204.936813
0.303125   1334.984538   1819.362105   3125.955036   4040.165406
0.309375   1223.715385   1794.748502   3180.050347   4212.860504
0.315625   1165.988993   1988.771262   3133.544974   4321.433240
0.321875   1217.476805   2212.664182   3360.753453   4432.666449
0.328125   1448.514475   2294.696762   3541.324689   4606.492012
0.334375   1304.401169   2230.637998   3499.075760   4480.610145
0.340625   1000.714429   2226.997780   3486.398821   4330.464075
0.346875   943.301658   2315.569296   3365.095681   4359.670229
0.353125   1087.104510   2385.187963   3398.514445   4502.595566
0.359375   1340.743482   2494.951802   3505.842618   4517.275131
0.365625   1425.593321   2558.033002   3466.046751   4548.722860
0.371875   1422.679576   2426.790067   3461.962681   4678.008093
0.378125   1155.589948   2464.476659   3365.653120   4635.433335
0.384375   1260.015444   2089.844410   3167.801261   4337.049576
0.390625   1704.409522   2194.683563   3197.049132   4394.732659
0.396875   1564.804901   2094.783529   3166.392959   4426.536873
0.403125   1056.699139   2185.234809   3145.273282   4201.176906
0.409375   1358.310027   2419.105853   3707.227824   4446.370681
0.415625   1490.681422   2560.761132   3654.756549   4393.891183
0.421875   1303.539056   2515.591728   3713.448475   4460.468689
0.428125   1407.778774   2478.150035   3600.279072   4520.356093
0.434375   1488.749966   2591.453569   3620.787891   4294.091007
0.440625   1226.863147   2268.341999   3304.720009   4178.218694
0.446875   1527.507811   2324.005015   3451.035819   4400.126875
0.453125   1400.206270   2366.603757   3475.277203   4412.424153
0.459375   1120.293213   2441.353126   3547.555486   4622.377250
0.465625   1198.117092   2440.517467   3504.337517   4509.744005
0.471875   1249.362558   2101.043667   3090.931744   4360.311328
0.478125   1348.953090   2049.170408   3143.299918   4267.300985
0.484375   1271.932519   2353.629034   3219.558422   4420.795992
0.490625   1191.131390   2438.486815   3189.657042   4303.925982
0.496875   1037.388173   2132.187525   3073.057793   4258.966423
0.503125   1065.246889   2258.525568   3165.312198   4464.050420
0.509375   1260.644914   2174.322535   3289.179033   4338.101805
0.515625   1188.558556   2040.461055   3208.628750   4191.084279
0.521875   1193.791747   2132.413679   3142.637151   4080.870113
0.528125   1214.229855   2166.544956   3160.376399   4193.581556
0.534375   1086.069187   2142.426724   3175.872621   4164.016478
0.540625   1109.615463   2100.249243   3429.958918   4109.218228
0.546875   1129.029887   2037.421181   3396.501954   4206.720342
0.553125   1416.561581   2296.053348   3435.687357   4321.852241
0.559375   487.917045   1820.249049   2661.952863   4010.965881
0.565625   596.995174   1802.122637   2619.825324   4078.272542
0.571875   617.330147   1751.364057   2574.155834   4142.491077
0.578125   613.116061   1851.783873   2662.935314   4134.504027
0.584375   1161.086444   2267.238761   3709.864331   4069.073682
0.590625   764.631192   1787.527338   2905.005133   4355.557847
0.596875   692.446611   1702.319442   2903.847916   3999.240490
0.603125   522.462478   1501.463832   2833.552780   3982.983205
0.609375   1360.012594   2723.678860   3041.627358   4243.414828
0.615625   746.476776   1780.688355   2874.026595   4207.684642
0.621875   650.186172   1693.521143   2922.633742   4219.849730
0.628125   619.872261   1547.163334   3242.232315   4508.251422
0.634375   339.181828   1459.235092   2892.527728   3870.172034
0.640625   380.314853   1574.670830   2788.828603   3714.896869
0.646875   448.611651   1569.728544   3111.756858   4165.780476
0.653125   450.522168   1344.692892   3216.841394   4320.356486
0.659375   442.570628   1247.644095   3139.866241   4179.433599
0.665625   441.159066   1269.997794   2998.237175   3902.432316
0.671875   436.557502   1376.217131   2712.678350   3665.009480
0.678125   473.280972   1430.869720   2692.845900   3717.432595
0.684375   487.728780   1540.509240   2919.315278   3288.624980
0.690625   493.194790   1695.617660   2917.238047   3467.447271
0.696875   502.226674   1978.501168   2943.191908   4582.106635
0.703125   506.088168   2026.467255   2744.966155   3290.537815
0.709375   496.272416   1816.962646   2403.727555   3713.758650
0.715625   461.394825   1941.222701   2617.446590   3383.850457
0.721875   398.722452   2079.970114   2826.223860   2881.207554
0.728125   399.617488   1841.646034   2560.112469   3114.092007
0.734375   404.154692   1687.269243   2620.135942   3151.384230
0.740625   335.751624   1918.970537   2721.119740   3211.895129
0.746875   364.329437   1907.605131   2797.646976   3218.385508
0.753125   437.939143   2242.175917   2709.523090   2988.485866
0.759375   471.595183   2357.744067   2619.879721   3075.857208
0.765625   472.482998   2571.832252   3037.254406   3105.794706
0.771875   450.207351   2504.436364   3015.745302   3349.087091
0.778125   470.648852   2427.047915   2929.299160   3828.244680
0.784375   436.657169   2347.747607   2953.015014   4552.206542
0.790625   396.475573   2283.162220   3031.976578   4518.207481
0.796875   381.264627   2248.704024   3020.969321   4525.483004
0.803125   328.970450   2197.625065   3052.764661   3080.211762
0.809375   319.506887   2114.973533   3123.138314   3259.987944
0.815625   328.275194   2081.582781   3048.166550   4344.536705
0.821875   349.520114   2028.318600   2904.741695   4220.794980
0.828125   475.414133   1981.904407   2917.182791   4325.255309
0.834375   466.150691   2220.697071   3013.371382   4509.603892
0.840625   408.439962   2229.288021   2998.043158   4415.057913
0.846875   460.321206   1917.617133   2796.892339   4392.758420
0.853125   407.909463   2088.441719   2632.755146   4287.667200
0.859375   383.181517   1992.756660   2680.413118   3952.701643
0.865625   484.160867   1864.043039   2935.983278   4226.123527
0.871875   594.444148   1751.006792   2910.422934   4117.869671
0.878125   598.649940   1823.854176   2804.317931   4157.544121
0.884375   435.032111   1881.686118   2596.930117   3933.268530
0.890625   484.237444   2033.959458   2768.495115   3913.953476
0.896875   506.508334   2047.933582   2772.774698   3938.863125
0.903125   1600.371953   2119.341692   2956.662098   4634.528142
0.909375   1305.650163   2145.735958   3357.347498   4839.661827
0.915625   468.174384   1412.170456   2544.543646   3775.794946
0.921875   1187.129590   2211.903224   3728.413309   5039.914623
0.928125   1257.137976   2136.153316   3195.761401   4473.184966
0.934375   781.875554   1445.558546   2403.239027   3924.277883
0.940625   709.098842   1648.687713   2593.693960   4059.406713
0.946875   510.725478   1667.138665   2700.352456   4080.699566
0.953125   634.875741   1882.356642   2832.075863   4182.601017
