Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   427.127017   1639.246815   2666.393177   3765.457653
0.034375   303.451655   1577.739386   2681.568215   3763.191989
0.040625   1518.631103   2643.878288   --undefined--   --undefined--
0.046875   1497.642175   2727.439807   --undefined--   --undefined--
0.053125   1556.460367   1829.991477   --undefined--   --undefined--
0.059375   1341.961405   2291.338201   --undefined--   --undefined--
0.065625   1431.752998   2459.710040   --undefined--   --undefined--
0.071875   2222.735199   --undefined--   --undefined--   --undefined--
0.078125   2266.543915   3100.354756   --undefined--   --undefined--
0.084375   2275.322342   3143.917418   --undefined--   --undefined--
0.090625   2339.170801   3151.634486   --undefined--   --undefined--
0.096875   2315.225946   --undefined--   --undefined--   --undefined--
0.103125   1508.168210   2273.956148   --undefined--   --undefined--
0.109375   1948.111812   2143.869339   --undefined--   --undefined--
0.115625   1653.128905   2066.540882   --undefined--   --undefined--
0.121875   1926.143286   1936.806658   --undefined--   --undefined--
0.128125   1423.780856   2261.474206   --undefined--   --undefined--
0.134375   1415.968161   2495.754971   --undefined--   --undefined--
0.140625   1239.463105   2231.926216   --undefined--   --undefined--
0.146875   1329.264430   2207.315467   --undefined--   --undefined--
0.153125   1537.426115   2315.882467   --undefined--   --undefined--
0.159375   1723.293855   2738.562680   --undefined--   --undefined--
0.165625   1614.608863   2662.476345   --undefined--   --undefined--
0.171875   1315.074375   2418.298654   --undefined--   --undefined--
0.178125   1176.518320   2356.576188   --undefined--   --undefined--
0.184375   1214.213921   2402.886241   --undefined--   --undefined--
0.190625   1214.595549   2435.180566   --undefined--   --undefined--
0.196875   1332.834210   2228.255539   --undefined--   --undefined--
0.203125   1832.616816   1929.008971   --undefined--   --undefined--
0.209375   1909.995982   2048.505355   --undefined--   --undefined--
0.215625   1412.574094   2157.019589   --undefined--   --undefined--
0.221875   1291.153063   2213.767861   --undefined--   --undefined--
0.228125   1529.870633   1971.026179   --undefined--   --undefined--
0.234375   1883.152248   1921.989409   --undefined--   --undefined--
0.240625   1895.530017   2837.051088   --undefined--   --undefined--
0.246875   1849.597918   2709.383922   --undefined--   --undefined--
0.253125   1621.149257   2599.808289   --undefined--   --undefined--
0.259375   1505.346246   2389.793459   --undefined--   --undefined--
0.265625   1651.342434   2217.412441   --undefined--   --undefined--
0.271875   1733.001080   2067.150789   --undefined--   --undefined--
0.278125   1433.228590   2285.428348   --undefined--   --undefined--
0.284375   1489.169640   2164.873756   --undefined--   --undefined--
0.290625   1712.153310   2053.815795   --undefined--   --undefined--
0.296875   1506.230733   2258.193542   --undefined--   --undefined--
0.303125   1563.775032   2287.996503   --undefined--   --undefined--
0.309375   1488.685669   2301.596281   --undefined--   --undefined--
0.315625   1326.461458   2356.198526   --undefined--   --undefined--
0.321875   1439.262802   2512.610607   --undefined--   --undefined--
0.328125   1724.126480   2127.616858   --undefined--   --undefined--
0.334375   1847.297836   1971.147761   --undefined--   --undefined--
0.340625   1795.303536   2228.791346   --undefined--   --undefined--
0.346875   1341.719264   2669.731340   --undefined--   --undefined--
0.353125   1310.805633   2461.005208   --undefined--   --undefined--
0.359375   1482.190387   2448.131577   --undefined--   --undefined--
0.365625   1483.466224   2510.339463   --undefined--   --undefined--
0.371875   1478.822824   2322.033184   --undefined--   --undefined--
0.378125   1415.475147   2500.810414   --undefined--   --undefined--
0.384375   1475.145215   2403.711462   --undefined--   --undefined--
0.390625   1660.104200   1972.303111   --undefined--   --undefined--
0.396875   1887.732240   1916.273115   --undefined--   --undefined--
0.403125   1868.964881   1885.415845   --undefined--   --undefined--
0.409375   1748.682926   1920.568242   --undefined--   --undefined--
0.415625   1550.239418   2256.590742   --undefined--   --undefined--
0.421875   1426.562072   2354.656018   --undefined--   --undefined--
0.428125   1429.862970   2296.150871   --undefined--   --undefined--
0.434375   1275.952567   2256.359977   --undefined--   --undefined--
0.440625   1300.765152   2382.362961   --undefined--   --undefined--
0.446875   1471.985213   2687.817897   --undefined--   --undefined--
0.453125   1352.989017   2274.664020   --undefined--   --undefined--
0.459375   1191.006920   2561.035501   --undefined--   --undefined--
0.465625   1138.496875   2687.021755   --undefined--   --undefined--
0.471875   973.257915   2674.580184   --undefined--   --undefined--
0.478125   1041.475471   2691.147073   3641.907508   3986.698985
0.484375   1091.239348   2753.214002   3016.479227   4077.954336
0.490625   1101.717414   2719.294215   3896.745979   4068.173998
0.496875   1136.142764   2686.351546   --undefined--   --undefined--
0.503125   1379.192045   2705.812275   --undefined--   --undefined--
0.509375   1466.584848   2095.699614   2778.401861   4107.580363
0.515625   1379.336879   1973.796647   3075.774525   4278.428301
0.521875   875.264585   2060.244309   3011.550125   4345.877461
0.528125   1295.432242   2014.835435   2893.697839   4178.849022
0.534375   1670.778383   3018.828352   --undefined--   --undefined--
0.540625   1772.419304   2861.660005   --undefined--   --undefined--
0.546875   443.690016   2172.925760   2688.725261   4186.718234
0.553125   93.046737   2098.981479   2690.657440   4142.230659
0.559375   2098.619030   2906.605344   --undefined--   --undefined--
0.565625   1596.700558   2644.702351   --undefined--   --undefined--
0.571875   1453.001954   2504.409406   --undefined--   --undefined--
0.578125   1650.529721   2630.251684   --undefined--   --undefined--
0.584375   1640.617131   3045.845537   3856.318626   5251.887087
0.590625   1671.201000   3135.376248   3864.830900   4812.655247
0.596875   1686.961198   3035.910162   3909.712069   4770.909635
0.603125   1633.318513   2858.814058   4007.473705   4818.854069
0.609375   1515.379736   2755.624316   3977.714477   5043.972243
0.615625   1665.982078   2520.680645   3926.776697   4997.998272
0.621875   1773.022185   2287.123136   3573.927414   4651.807372
0.628125   1830.108094   2844.515498   4061.674860   4951.958049
0.634375   155.871267   1682.597237   2888.920977   4148.405797
0.640625   364.420167   1433.176048   2952.157003   4119.027377
0.646875   364.295779   1324.105080   2956.410061   4128.010824
0.653125   388.748631   1351.104339   2906.194878   4094.714888
0.659375   396.086006   1409.612922   2923.517316   4081.252072
0.665625   403.961210   1437.770440   2928.594950   4071.364002
0.671875   414.625035   1486.278529   2885.091366   4079.271621
0.678125   428.655354   1593.287960   2776.057321   4052.190179
0.684375   437.380624   1737.804786   2815.514870   4053.385970
0.690625   432.146656   1811.291040   2860.119008   3860.051619
0.696875   431.088727   1892.138470   2878.676148   3977.153375
0.703125   440.388708   1924.144534   2917.201873   3989.840577
0.709375   459.222933   1903.518096   2890.558365   3979.521954
0.715625   463.618768   1904.015149   2850.081228   3817.171532
0.721875   467.213404   1932.939332   2840.210994   3760.723946
0.728125   475.574534   1961.794572   2822.021013   3722.385320
0.734375   478.573262   1942.702073   2789.920918   3730.502195
0.740625   481.226274   1940.581733   2837.012924   3948.089725
0.746875   482.924028   1952.435982   2883.657844   3991.665966
0.753125   474.963864   1930.582964   2873.335148   4040.474850
0.759375   473.566996   1914.254361   2903.774545   4043.882773
0.765625   452.677452   1914.393599   2998.970268   4074.770549
0.771875   418.319838   1911.608393   3000.517111   4124.186752
0.778125   390.801186   1871.429011   2861.907446   4124.254017
0.784375   355.845489   1877.084392   2896.755379   4187.032082
0.790625   265.761882   1908.238380   3102.450340   4213.274210
0.796875   1843.422210   3148.459272   4122.969857   5063.169296
0.803125   1842.263243   3096.429904   4162.574301   5123.631358
0.809375   2012.872368   3333.100964   4302.474035   5196.589925
0.815625   818.760896   2226.167695   3440.291293   4332.390931
0.821875   789.431982   2123.695644   3134.640358   4292.091281
0.828125   532.746655   1690.264241   3383.945452   4320.238739
0.834375   1616.108900   3096.881933   4242.959991   4878.256150
0.840625   1689.630251   3021.502110   4218.860008   5010.208367
0.846875   1735.969494   2930.455407   4181.380662   5091.737843
0.853125   1843.340279   2901.405881   4012.008748   4964.298884
0.859375   1801.169292   2410.802236   3919.075762   4937.153580
0.865625   1812.602671   3081.465887   4036.935593   4935.976984
0.871875   1785.321563   3239.328046   4242.134337   4955.034751
0.878125   1787.427938   2740.408961   3945.947057   4969.816999
0.884375   1631.388873   2559.428432   3757.703831   4873.691368
0.890625   1538.031327   2714.247552   3729.509184   4916.553829
0.896875   1488.111543   2770.641771   3800.636996   4997.771428
0.903125   1484.071203   2928.177376   3913.059191   4979.396501
0.909375   1117.259886   1502.977754   3077.206950   3940.129864
0.915625   1186.932201   1536.749925   2964.621712   4023.595709
0.921875   1519.639739   2246.451276   --undefined--   --undefined--
0.928125   1562.752032   3022.962329   --undefined--   --undefined--
0.934375   315.552259   1625.504485   3090.586910   4573.941085
0.940625   1613.118371   3027.006695   --undefined--   --undefined--
0.946875   1528.706554   2909.333991   --undefined--   --undefined--
0.953125   1527.304895   2983.616344   --undefined--   --undefined--
0.959375   1542.906496   3118.389376   --undefined--   --undefined--
0.965625   988.485192   1283.056138   3595.951135   4521.214534
0.971875   1164.480639   1478.810331   3662.699171   4265.742253
0.978125   1175.949689   1396.642720   2923.652520   4011.994838
0.984375   1200.740049   1299.520739   2850.283527   4190.557214
0.990625   1184.702709   1199.248407   2804.995242   4139.523794
0.996875   737.463371   1228.568117   2839.424810   4068.729708
1.003125   740.196586   1230.821098   2879.067396   4028.621296
1.009375   622.461466   1213.245395   2872.824525   3827.453391
1.015625   440.932696   1193.704580   2767.317384   3785.634969
1.021875   494.617193   1144.683456   2714.833633   3796.397643
1.028125   525.144675   1100.597849   2779.636728   3789.600168
1.034375   549.363078   1082.443126   2819.511908   3780.825843
1.040625   559.196757   1064.933125   2778.037594   3755.950038
1.046875   568.127244   1049.344423   2775.504006   3743.900298
1.053125   576.423360   1023.818654   2807.596710   3766.215424
1.059375   564.162950   981.855249   2866.670739   3765.271729
1.065625   542.465040   948.589167   2896.167315   3778.534318
1.071875   519.360871   909.625166   2916.681423   3786.102714
1.078125   506.283646   889.467258   2940.660490   3815.777754
1.084375   503.682373   890.435889   3044.075620   3845.915298
1.090625   492.836577   889.614284   3090.705977   3855.214650
1.096875   483.164916   875.845724   3072.498477   3885.504469
1.103125   483.488436   862.775395   3071.490138   3928.386593
1.109375   487.673380   860.292335   3212.068402   3930.353264
1.115625   485.710280   888.249122   3403.000238   3931.700490
1.121875   476.839857   928.350662   3104.499929   3941.710846
1.128125   481.090982   923.778512   3071.094821   4017.302471
1.134375   468.711948   917.184650   3082.220394   4047.599575
1.140625   470.209651   986.167167   3095.096383   4055.596082
1.146875   459.841327   1049.925694   3100.756679   4070.548368
1.153125   464.799055   1081.807469   3108.711165   3933.235362
1.159375   469.955141   1168.447757   3052.713642   4024.460607
1.165625   482.738817   1341.091797   3033.128039   4216.428376
1.171875   831.596834   2137.056102   3856.381341   4861.485879
1.178125   725.163986   2085.149559   3830.846876   4927.051905
1.184375   787.580564   2029.313010   3574.001563   4912.198678
1.190625   873.639916   1594.543093   3300.610937   4297.096352
1.196875   1543.275472   2901.880734   4359.079349   5040.211991
1.203125   1489.375926   2774.533997   4166.110228   5006.184014
1.209375   1327.253043   1486.261357   2796.717790   4231.358530
1.215625   1372.355267   1692.701510   2932.128887   4248.171176
1.221875   1024.560968   1855.472119   3112.013999   4223.927493
1.228125   1773.940153   3041.958676   4202.774049   5160.719132
1.234375   1760.482477   2755.047419   4078.012790   5175.376067
1.240625   1639.460513   2629.582278   3912.647134   5133.285197
1.246875   741.535069   2237.870768   3215.412059   3678.839302
1.253125   645.080370   2092.920022   3000.304210   4124.084530
1.259375   520.980841   1968.422559   3061.007549   3975.848205
1.265625   329.641451   1771.100254   2641.887930   3861.222002
1.271875   1737.899369   2668.617807   4005.477136   5200.675135
