Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1104.279330   2184.952340   2668.643915   4032.442025
0.034375   1097.488816   2160.663050   3403.270602   3987.418070
0.040625   1110.127882   2150.192987   3425.036025   4006.637611
0.046875   1160.540939   2125.727933   3367.419156   4136.950725
0.053125   1487.667253   2599.900540   --undefined--   --undefined--
0.059375   1865.249105   3079.934771   --undefined--   --undefined--
0.065625   1971.749191   3030.726322   --undefined--   --undefined--
0.071875   2002.678666   2908.522682   --undefined--   --undefined--
0.078125   2080.196670   3059.589063   --undefined--   --undefined--
0.084375   2085.045142   3173.760804   --undefined--   --undefined--
0.090625   1973.344818   3077.156706   --undefined--   --undefined--
0.096875   1752.887709   3023.547410   --undefined--   --undefined--
0.103125   1126.469427   2051.924886   3314.738427   4279.559293
0.109375   1139.139499   2058.522012   3374.784806   4359.139460
0.115625   1179.235502   2056.004845   3453.654658   4419.452880
0.121875   1545.318101   2993.470432   3774.322203   4967.087205
0.128125   1262.439349   2897.984745   3905.792901   4937.716487
0.134375   800.840108   2867.253494   3614.821868   4951.085368
0.140625   705.702201   2714.090060   3439.029882   4643.644120
0.146875   730.473571   2642.908911   3525.049677   5103.950734
0.153125   874.628682   2812.860228   3650.560366   5308.204751
0.159375   832.939583   2830.354533   --undefined--   --undefined--
0.165625   784.579853   2697.872860   3382.403758   4196.769047
0.171875   734.369244   2667.659469   3606.696177   4989.381636
0.178125   704.898803   2670.322165   3748.104095   4527.808439
0.184375   745.467081   2691.493371   3990.903878   4198.500308
0.190625   755.931394   2674.586773   3876.297476   5280.209063
0.196875   737.623193   2718.220722   3887.217131   5074.429001
0.203125   707.119338   2718.992085   --undefined--   --undefined--
0.209375   758.568991   2693.128312   --undefined--   --undefined--
0.215625   737.582249   2624.459202   3030.667795   4178.613470
0.221875   730.199416   2615.523648   4098.750400   4360.386079
0.228125   747.006327   2653.178629   3785.340940   4061.271254
0.234375   831.046644   2705.383673   --undefined--   --undefined--
0.240625   1015.608796   2608.732409   --undefined--   --undefined--
0.246875   826.586475   1756.489579   2585.317993   4130.630165
0.253125   715.015918   1803.219752   2889.843378   4225.498144
0.259375   429.260719   1722.816123   2984.337848   4493.094867
0.265625   605.303658   1794.374506   3147.958054   4447.908926
0.271875   694.401362   1825.025849   3137.443948   4282.298313
0.278125   718.699326   1857.723097   2999.777831   4276.784152
0.284375   717.198884   1995.989157   2958.494535   4231.779924
0.290625   729.726412   2060.339975   2891.703450   4353.833458
0.296875   766.495463   2159.705842   2757.146320   4442.149071
0.303125   744.077338   2181.987860   2772.176015   4463.477782
0.309375   711.919611   2189.218992   2948.817702   4476.052361
0.315625   696.183826   2525.774238   3513.661765   4491.493417
0.321875   697.720316   2549.997426   4117.445755   5125.685112
0.328125   731.394819   2605.283164   4105.350787   5281.569004
0.334375   688.498052   2597.107495   4018.992469   5172.589437
0.340625   666.866923   2611.206568   3929.500769   5057.542979
0.346875   669.676938   2621.601180   3923.549584   5053.656132
0.353125   670.928285   2617.914866   3951.351729   5078.537271
0.359375   691.217057   2617.423711   3979.414543   5160.427894
0.365625   696.313744   2677.813346   --undefined--   --undefined--
0.371875   684.867127   2651.959390   3733.396237   4079.936553
0.378125   689.441455   2645.947778   --undefined--   --undefined--
0.384375   685.585160   2722.311077   2794.816761   4214.710265
0.390625   669.116868   2703.369454   2732.891915   4324.469998
0.396875   668.709196   2711.755892   3136.484448   4245.560369
0.403125   670.050212   2717.930749   2794.014294   4225.238537
0.409375   664.479872   2691.581139   3544.943600   4195.081478
0.415625   673.695517   2689.025896   3593.654717   5117.405929
0.421875   683.221150   2653.135112   3744.111993   5106.872932
0.428125   676.104388   2594.623377   3624.727566   4077.633373
0.434375   686.454544   2521.309212   3238.908306   4181.049469
0.440625   703.181490   2480.816953   3276.769610   4134.968339
0.446875   704.841228   2497.486561   3068.200565   4029.270769
0.453125   684.799702   2414.844947   3276.390363   4070.763604
0.459375   692.494893   2376.792938   3099.297765   4147.028894
0.465625   726.796107   2397.412441   2896.887621   4368.904096
0.471875   723.236805   2492.612640   2570.418656   4549.780320
0.478125   744.649428   2455.722991   2627.837239   4493.987772
0.484375   787.721322   2135.552560   2663.426721   4048.156671
0.490625   856.704383   2640.590397   --undefined--   --undefined--
0.496875   1348.220331   2788.343644   3576.697641   5048.649659
0.503125   1313.091222   2789.842853   3477.522459   4987.264027
0.509375   1384.654695   2788.279724   3460.501855   4997.495083
0.515625   1371.793187   2798.810259   3594.576715   5007.004896
0.521875   847.257953   2679.449575   3456.211975   5127.028076
0.528125   725.520748   2600.330518   3380.025037   4810.528245
0.534375   661.914051   2894.743349   3642.144830   5117.651478
0.540625   1542.107490   3022.997370   3726.972992   5117.169582
0.546875   119.063281   1522.009635   3005.143914   3756.132449
0.553125   1605.170694   2970.195082   3727.393887   5004.478821
0.559375   1703.421768   2919.965790   3765.791552   5033.355531
0.565625   846.228751   2616.453321   3726.207301   5170.209056
0.571875   751.153921   2663.615419   3665.041686   5196.409159
0.578125   1337.285074   2658.384379   3643.100244   5211.581574
0.584375   1722.987736   2157.974615   3630.157544   5258.253609
0.590625   124.803748   1661.636726   2117.817054   3713.551427
0.596875   213.211123   1693.755929   2432.835019   3709.955123
0.603125   216.183148   1805.710178   2368.714250   3645.925652
0.609375   236.583526   1761.617974   2487.140637   3670.385181
0.615625   262.244177   1767.500707   2614.782901   3780.557028
0.621875   242.112478   1792.413876   2720.462372   3836.299530
0.628125   227.672076   1789.917205   2742.430026   3840.914213
0.634375   253.461202   1840.449144   2610.254319   3851.046603
0.640625   219.541439   1927.692476   2658.110446   3894.339018
0.646875   130.327658   1872.010686   2652.434509   3878.485823
0.653125   106.829998   1797.356976   2711.903448   3748.780684
0.659375   187.702579   1791.927556   2663.114451   3658.049135
0.665625   258.638929   1793.509269   2631.671641   3549.526766
0.671875   304.411134   1754.645702   2453.564308   3673.557135
0.678125   331.084539   1812.365342   2504.678181   3739.066183
0.684375   422.046898   1912.851143   2959.153973   4358.750964
0.690625   363.152437   1917.162130   2936.169126   4298.203685
0.696875   1986.654014   2847.448992   --undefined--   --undefined--
0.703125   561.189614   2028.987132   2982.384771   3999.237418
0.709375   619.101416   2106.273205   3207.842399   3923.232314
0.715625   471.452789   2101.387955   3297.955113   3810.171297
0.721875   625.457636   2092.746127   3061.171158   4079.476201
0.728125   693.469181   2277.554380   3269.115869   3894.111013
0.734375   686.712181   2369.318801   2989.021040   3907.168596
0.740625   676.048882   2453.999485   3273.445948   4098.516458
0.746875   669.939385   2346.900287   3489.963472   4679.694339
0.753125   677.927856   2347.291174   3369.098798   4710.041046
0.759375   667.497874   2300.937278   3086.815553   4357.611083
0.765625   665.010453   2181.201826   3023.903953   4093.717156
0.771875   666.273698   2223.432300   3009.411557   3930.061751
0.778125   675.327394   2212.101049   2980.063286   3959.609038
0.784375   690.676322   2171.069375   2926.477751   3983.848090
0.790625   746.719357   2196.767356   2786.711228   3784.827504
0.796875   792.456986   2227.226628   2781.567767   3804.025073
0.803125   732.645022   2574.054556   2845.737774   3896.998517
0.809375   706.177625   2630.122947   3261.300729   4059.727031
0.815625   702.078692   2581.260897   --undefined--   --undefined--
0.821875   699.365511   2628.112378   --undefined--   --undefined--
0.828125   703.834512   2685.924554   --undefined--   --undefined--
0.834375   710.653063   2740.018888   2799.821345   4262.426255
0.840625   725.871418   2608.554522   --undefined--   --undefined--
0.846875   710.586190   2572.646475   --undefined--   --undefined--
0.853125   679.450555   2426.064617   3566.632302   4501.080025
0.859375   695.959798   2534.563761   3593.223081   4533.209006
0.865625   960.089785   3045.720187   3610.385278   5201.189543
0.871875   1227.895428   3122.920120   3657.946446   5150.925167
0.878125   471.660643   1349.493304   3175.616591   3893.816038
0.884375   590.659464   1623.801419   3151.779290   4104.519742
0.890625   613.206888   1456.169908   3154.179060   4190.761807
0.896875   1129.335206   2899.165545   4137.466029   4565.884823
0.903125   952.263408   2693.842467   4102.277732   4628.773467
0.909375   885.123973   2913.397869   4154.076998   4639.553382
0.915625   874.548446   2905.173800   4351.553275   4536.885444
0.921875   866.829869   2924.821141   4453.961266   4468.407165
0.928125   393.149777   826.116585   3009.111690   4219.768754
0.934375   384.114451   858.080647   3038.678700   4194.770711
0.940625   433.598719   917.648302   3087.593624   4179.173632
0.946875   453.177377   956.696001   3075.767270   4065.243532
0.953125   457.157143   1002.226685   3081.720060   4044.228075
0.959375   458.028604   1075.445079   3078.690263   4023.299008
0.965625   460.005130   1173.306648   3067.930371   3909.662726
0.971875   464.082106   1226.607916   3049.641762   3803.723505
0.978125   466.582082   1255.938962   3004.432787   3729.081426
0.984375   467.697829   1296.022593   2966.499329   3801.250526
0.990625   476.322729   1504.100717   2931.194405   3726.463610
0.996875   463.817748   1790.916366   2893.378551   3661.140101
1.003125   413.556489   1916.871737   2918.360567   3579.292188
