Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   446.305574   2107.489223   3125.237913   4740.893626
0.034375   403.525099   2077.880261   3162.529006   4773.447780
0.040625   452.228755   2040.209244   3128.664835   4757.236859
0.046875   720.674630   1938.435889   3164.794287   4493.065396
0.053125   762.741379   1982.164548   3278.650726   4440.643607
0.059375   728.571461   2042.979865   3197.448272   4236.190146
0.065625   726.089740   2226.368007   3032.992444   4052.228267
0.071875   682.710132   1985.747831   2982.016859   4197.130891
0.078125   623.368127   1676.869796   2865.720367   4124.455410
0.084375   546.633479   1925.504771   3024.367504   4285.371290
0.090625   750.370721   2195.960851   3242.151482   4407.562892
0.096875   775.837753   2214.120739   3237.411036   4383.803545
0.103125   743.919392   2239.884724   2911.582841   4346.213603
0.109375   745.813984   2206.400602   2841.929166   4272.977300
0.115625   591.172908   2152.019541   2913.712254   4168.338418
0.121875   637.661818   2200.794671   3487.125258   3832.356234
0.128125   606.459836   2206.435961   3092.983682   3844.072681
0.134375   638.070611   2202.997154   2935.138456   4256.522809
0.140625   591.706976   2174.471215   2987.557576   4229.365572
0.146875   508.620518   2046.586470   3111.794557   4255.894563
0.153125   452.662252   2020.491017   3026.485329   4131.743250
0.159375   417.241539   1967.496367   3025.314875   4176.826346
0.165625   634.013709   2185.537694   3069.933459   4211.937882
0.171875   635.254637   2237.235485   3233.518922   4321.554533
0.178125   596.753063   2229.618842   3154.795404   4320.429354
0.184375   469.758885   2107.167183   3234.399063   4120.174942
0.190625   539.736796   2094.186482   3204.533469   4205.190596
0.196875   714.094283   2147.036005   3303.696367   4214.491614
0.203125   708.650469   2160.971707   3200.614587   4176.356166
0.209375   558.101752   2122.350086   3046.984213   4303.352629
0.215625   469.991964   2080.515008   2973.669016   4324.527984
0.221875   472.076868   2237.975866   3155.460799   4238.571039
0.228125   585.843587   2211.631099   3231.748647   4221.034802
0.234375   593.529112   2179.840540   3272.214972   4080.840659
0.240625   613.763687   2235.043452   3228.951333   4035.456967
0.246875   646.244692   2258.684766   3217.240386   4075.361286
0.253125   559.502152   2232.865384   3144.686506   4054.441593
0.259375   598.581276   2243.136194   3225.607491   4068.272654
0.265625   477.635200   2270.528360   2836.364375   4042.732968
0.271875   395.883083   2216.010229   3449.917568   3990.384700
0.278125   420.691246   2191.453828   3372.300961   3997.628756
0.284375   440.603779   2186.634766   3060.320855   3844.753602
0.290625   460.529348   2197.652859   3111.180628   4031.395690
0.296875   544.342255   2233.542922   3336.794894   3968.997993
0.303125   543.504983   2278.065632   3276.107203   4024.730774
0.309375   528.760929   2219.297200   3361.513813   4024.738054
0.315625   531.867809   2176.133000   3452.332144   4034.185280
0.321875   560.616838   2261.484710   3515.690910   3565.868507
0.328125   496.200720   2273.589112   2798.045493   3719.877656
0.334375   502.141921   2152.028652   2834.552239   3520.420527
0.340625   557.949720   2146.739006   2987.863568   3465.011820
0.346875   468.643462   2195.047513   2766.015332   3563.316187
0.353125   464.437998   2202.652977   2623.145276   3544.835564
0.359375   440.664782   2017.618922   2802.670736   3561.391367
0.365625   514.394332   2087.963118   2866.217727   3554.607076
0.371875   548.477544   2190.562756   3041.043286   3575.313493
0.378125   559.199051   2229.652947   3120.960005   3578.799039
0.384375   573.717347   2273.408163   2851.273094   3562.067410
0.390625   546.510858   2294.972056   2555.467620   3542.122944
0.396875   513.592675   2171.670772   2545.498420   3571.513421
0.403125   524.773619   2061.103573   2850.533269   3522.129923
0.409375   589.677706   2103.987624   2903.673987   3542.770376
0.415625   563.129066   2167.614718   3029.036305   3619.610690
0.421875   515.771631   2218.035833   3287.326160   3469.514437
0.428125   532.086406   2244.447360   2812.731937   3523.861627
0.434375   497.069234   2071.700720   2607.961680   3547.519424
0.440625   446.585289   2072.835135   2689.511254   3582.776964
0.446875   442.124691   2135.738666   2485.355373   3601.920523
0.453125   468.104540   2171.281148   2727.935723   3651.364831
0.459375   451.744894   2255.484453   2968.769400   3779.018389
0.465625   443.294453   2259.500083   3134.300074   3628.772263
0.471875   461.809908   2255.329488   3201.813381   3608.462356
0.478125   526.523126   2245.667489   3135.497300   3652.636363
0.484375   582.275337   2243.006548   3172.444000   3695.698103
0.490625   553.892755   2205.484647   3190.758016   3553.891396
0.496875   516.968348   2115.296788   3244.583048   3292.799202
0.503125   520.632173   2197.125374   3083.166930   3885.843461
0.509375   559.807040   2230.029011   3028.358888   3974.432210
0.515625   505.099709   2063.000116   2959.868848   3993.634598
0.521875   525.785108   2100.807582   3237.129964   3761.279767
0.528125   397.796924   2024.802028   2942.401796   3592.509664
0.534375   434.502280   2090.366247   3287.671208   3436.972898
0.540625   451.175274   2108.543382   3355.132534   3683.555722
0.546875   408.666354   1943.808796   3131.117607   3935.747361
0.553125   374.060437   1984.332901   2913.393919   3923.198967
0.559375   453.996530   2156.002785   3017.007956   4170.654885
0.565625   468.333682   2061.096745   3012.233127   4150.336491
0.571875   477.694099   1962.631403   3093.627718   4027.857390
0.578125   546.332396   2006.209953   3195.839319   3865.968462
0.584375   435.077297   2183.936931   2274.338435   3732.899757
0.590625   399.739285   1822.357493   2666.937259   3923.252749
0.596875   432.813339   2044.617031   2848.037916   4009.466768
0.603125   445.862085   1944.905383   2251.859567   3659.383144
0.609375   501.119729   2047.138153   2174.952679   3678.478564
0.615625   463.270919   2048.554351   3418.153330   3628.987622
0.621875   455.493213   2063.094322   2804.938484   3721.170138
0.628125   379.423051   2057.876364   2655.699882   3758.847981
0.634375   616.990009   2066.582104   3312.159041   4127.702009
0.640625   463.590010   2111.968360   2865.266306   4100.448586
0.646875   429.490045   1968.343710   2300.562268   4040.637884
0.653125   405.605266   2012.936914   2821.928291   4266.572245
0.659375   661.072342   2116.990233   2964.437700   4149.711593
0.665625   646.517473   2165.192076   2856.244290   4043.075635
0.671875   734.220490   2098.366779   3795.236374   4375.311818
0.678125   745.584950   2102.182764   3371.902178   4053.456509
0.684375   415.493257   1449.517258   2310.815775   3710.220502
0.690625   390.496326   1515.889084   2330.896945   3657.775461
0.696875   393.996642   1632.845425   2481.147811   3606.595504
0.703125   420.373465   1869.638878   3244.996774   3870.632525
0.709375   452.914792   1793.402403   3246.525319   3866.607813
0.715625   297.705884   1790.142767   3287.152999   3864.460997
0.721875   276.597839   1763.897837   3299.965450   3918.525285
0.728125   289.453032   3295.617594   4029.039792   4879.676022
0.734375   360.456914   3393.593740   --undefined--   --undefined--
0.740625   393.404158   3406.927651   3990.461593   4963.152753
0.746875   396.161307   3330.920930   --undefined--   --undefined--
0.753125   393.768911   3205.946815   3227.424521   4507.062914
0.759375   383.000128   2509.836490   3465.350790   4528.283752
