Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   265.819422   1970.177283   2805.576979   4016.077866
0.034375   275.775043   1935.539632   2820.178320   4036.133735
0.040625   371.969763   1974.164724   2829.647840   4107.329631
0.046875   1996.948845   2748.096251   --undefined--   --undefined--
0.053125   1949.573769   1987.520160   2609.431070   4206.384728
0.059375   1534.080179   2406.237260   --undefined--   --undefined--
0.065625   2122.431039   2373.084976   --undefined--   --undefined--
0.071875   537.390012   2309.226737   2925.704927   4267.535985
0.078125   429.825764   2351.463690   2456.540713   4111.461636
0.084375   2078.238997   2435.272076   4057.960748   4792.323021
0.090625   248.745495   2163.982592   2568.980687   4151.274682
0.096875   407.528116   2179.216514   2594.121703   4041.778284
0.103125   504.504713   2243.874458   2689.568196   3977.606995
0.109375   589.779127   2248.943261   2846.490529   3984.138454
0.115625   533.688269   2276.615563   2839.224982   4017.647872
0.121875   508.725986   2174.614343   2701.497225   3836.226756
0.128125   497.725768   2134.413552   2929.180776   4006.442004
0.134375   415.628395   2134.740992   2901.417147   4427.631239
0.140625   502.049890   2101.051835   2820.992038   4313.875724
0.146875   496.519984   2079.815972   2765.971775   4298.805257
0.153125   333.088709   2006.592169   2776.001410   4243.170159
0.159375   345.484715   2055.008311   2821.853108   4135.196216
0.165625   301.521915   2134.387305   2874.619510   4208.251324
0.171875   1984.759676   2804.274890   4195.364139   5105.922265
0.178125   2024.504212   2825.561730   4178.586059   5146.185818
0.184375   299.810257   2097.515795   2741.979063   4159.000217
0.190625   334.993520   2173.678046   2843.330349   4143.366093
0.196875   229.953532   2155.527081   2859.845267   4153.936442
0.203125   407.349492   2111.831466   2750.209097   4095.377189
0.209375   272.986771   2215.642810   2657.053816   4225.829973
0.215625   275.251057   2252.417584   2885.037858   4280.360117
0.221875   206.867311   2208.720002   2813.160983   4279.450105
0.228125   284.822393   2132.780739   2839.236187   4111.915887
0.234375   323.467437   2178.305415   2861.200017   4055.341179
0.240625   283.937885   2202.167868   2767.830225   4277.525781
0.246875   2174.728402   2710.408342   4236.125011   4614.927991
0.253125   2105.917475   2690.350867   4182.578278   4830.474063
0.259375   370.503811   2132.310713   2609.892824   4072.370644
0.265625   392.025263   2188.523390   2787.322319   4141.137292
0.271875   413.495441   2199.509003   2889.036096   4243.641618
0.278125   489.955439   2204.573172   2752.889531   4172.487782
0.284375   359.765884   2146.353129   2622.544904   4169.342699
0.290625   360.397472   2064.446531   2776.495940   4077.181158
0.296875   457.456530   2080.633498   2718.152011   3969.177757
0.303125   354.667430   2034.542238   2726.271362   4021.155807
0.309375   2100.926667   2566.628529   4034.609538   4412.133955
0.315625   467.459635   2183.690981   2661.214177   4082.747638
0.321875   497.171876   2200.394154   2766.742194   4164.906921
0.328125   494.675378   2196.536824   2839.894399   4163.492595
0.334375   491.118206   2164.419149   2870.138348   4164.040879
0.340625   361.118958   2126.347558   2902.521661   4268.902214
0.346875   1120.076269   2132.946926   2995.635766   4256.159505
0.353125   424.681508   2063.998436   3026.787697   4179.739123
0.359375   237.708936   2083.979654   2972.867838   4130.216756
0.365625   270.669375   2124.455147   2854.560544   4247.881501
0.371875   462.169294   2186.360547   2772.878512   4195.503569
0.378125   498.335877   2158.846212   2533.680107   4166.858565
0.384375   485.868907   2148.663093   2891.103852   4254.470188
0.390625   812.423763   2159.903632   2996.384945   4302.860114
0.396875   206.813184   2089.581411   2865.594370   3976.221778
0.403125   387.628148   2052.114612   2704.735112   3893.657569
0.409375   391.987496   1958.768662   2697.415629   4159.578820
0.415625   424.171639   1912.151219   2329.696389   4008.226522
0.421875   803.475827   2315.913611   3686.223482   4807.101815
0.428125   829.312662   2237.914225   3583.920263   4467.184419
0.434375   1067.550752   2278.867979   3815.779837   5125.789453
0.440625   1329.409676   2349.583339   --undefined--   --undefined--
0.446875   761.801229   2267.000721   2956.216956   3977.797269
0.453125   312.717321   1764.919125   2526.995317   3679.887530
0.459375   278.951174   2057.361507   3366.720925   4074.710332
0.465625   317.868783   2229.387061   2830.660342   3368.396262
0.471875   326.102560   1753.244105   2894.088129   3751.532482
0.478125   297.754376   1591.336060   2653.684195   3888.191767
0.484375   287.991520   1607.782185   2620.625570   3936.203524
0.490625   345.256541   1644.630720   2597.969475   3897.374288
0.496875   324.234160   1776.729014   2696.597568   3732.140561
0.503125   276.333714   1803.709636   3128.801497   4372.390490
0.509375   272.690562   1877.744879   3304.150332   4363.145721
0.515625   1915.290582   3194.957978   --undefined--   --undefined--
0.521875   378.763258   2138.059666   3128.829848   4340.963184
0.528125   364.083832   2207.131630   3192.594924   4317.865297
0.534375   335.526243   1810.962855   3169.136043   4342.200227
0.540625   345.661510   1553.044510   2873.957522   3904.457926
0.546875   324.313369   1450.903949   2550.174546   3849.864968
0.553125   339.074274   1575.084816   2569.031405   3704.518362
0.559375   303.913506   1144.457736   1940.604894   3531.503926
0.565625   426.325336   1642.209071   3073.419575   4338.793137
0.571875   348.990896   1733.789015   3072.797758   4275.598012
0.578125   303.808523   1821.072844   3136.186097   4344.652083
0.584375   286.913936   1984.035493   3213.693938   4522.178953
0.590625   237.138057   2167.246087   3335.879573   4541.649857
0.596875   777.654591   2181.492093   3174.928772   4334.249975
0.603125   378.867840   2005.294889   2444.962956   4096.469118
0.609375   399.133349   2000.598244   2435.091622   4075.253907
0.615625   441.980394   2009.245457   2436.321071   4036.547338
0.621875   482.613653   1871.182706   2450.097927   4013.249807
0.628125   373.849641   1846.559856   2739.483044   4067.472544
0.634375   266.147374   2043.638593   2803.720247   4256.604307
0.640625   310.730701   2225.877495   4009.327334   4614.898343
0.646875   392.654096   2236.403304   3773.277351   4498.175067
0.653125   428.282303   2018.777650   --undefined--   --undefined--
