Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   446.937075   1893.536003   2890.895338   3655.751210
0.034375   436.656925   1949.013744   2785.389673   3704.700540
0.040625   436.785381   1977.905594   2830.473150   3998.701148
0.046875   434.524249   2046.292460   3116.300749   3983.769391
0.053125   429.533033   2031.524498   2745.902675   3843.084536
0.059375   428.026216   2107.747615   2793.397810   4001.864967
0.065625   548.358960   1730.974384   2549.991391   3857.427512
0.071875   815.147589   2364.427916   3644.541949   4784.437771
0.078125   963.033858   2340.117543   3688.151957   4956.786957
0.084375   654.147259   1902.918435   2461.692534   3641.545136
0.090625   565.849082   2262.026560   2298.467543   3541.746309
0.096875   921.948842   2272.729694   3340.257688   4503.610307
0.103125   394.173123   2134.872354   2510.524596   3679.913514
0.109375   301.298715   1471.768654   2551.921502   3619.452885
0.115625   649.248044   2263.842065   3495.254116   4559.567576
0.121875   481.758122   1869.060551   2644.322723   3874.249340
0.128125   448.793281   1855.231919   2766.035236   3908.272144
0.134375   453.094147   1932.384751   2593.864948   3920.966859
0.140625   466.834001   1957.383114   2761.958910   3881.256200
0.146875   445.605254   1995.339443   2926.083073   3912.612510
0.153125   468.726589   1923.640782   2888.915606   3991.090428
0.159375   374.366143   1681.990000   2326.092826   3727.070171
0.165625   454.286222   2208.647770   2417.754751   3753.945039
0.171875   469.735544   1900.615057   2907.010578   3842.004519
0.178125   433.780503   1639.875177   2663.735592   3956.702742
0.184375   420.401431   1652.687701   2758.937054   4232.975847
0.190625   441.297727   1914.671082   2445.172114   3897.012833
0.196875   445.621544   2010.362286   3166.268026   4332.309801
0.203125   487.175140   2010.477147   3166.519412   4255.352410
0.209375   518.050763   1823.340858   2863.706976   4001.033143
0.215625   453.399567   1731.082352   2662.460881   3788.276759
0.221875   462.788870   1812.569290   2768.767648   3730.469709
0.228125   514.043841   1686.801273   2825.948366   3746.605491
0.234375   509.262815   1632.337726   2731.944042   3908.637076
0.240625   430.233410   1704.335438   2763.523401   3976.445072
0.246875   418.178434   1766.372405   2783.595250   3821.964468
0.253125   452.038324   1807.829830   2653.358225   3784.417421
0.259375   479.530605   2236.363082   3067.748252   4321.217230
0.265625   434.603491   2184.018413   3127.054222   4318.674402
0.271875   409.549512   2066.868521   3096.628481   4177.946596
0.278125   420.189581   1761.902583   2961.131881   4115.355153
0.284375   405.025384   1739.553472   2795.878720   3800.201886
0.290625   466.401993   1896.391925   2822.072234   3615.539140
0.296875   526.360746   1933.883549   2743.223720   3708.714184
0.303125   461.941206   1920.091222   2976.115293   3904.955082
0.309375   457.893176   1720.801576   2931.376361   3910.930642
0.315625   487.570214   1849.522707   2986.536107   3949.964629
0.321875   432.668010   2182.655091   3240.461529   4322.422279
0.328125   409.564644   2132.006845   3203.990087   4408.936284
0.334375   422.634848   2048.006789   2995.620893   3826.713112
0.340625   493.406795   1821.100131   2668.802056   3787.466208
0.346875   535.278060   1648.204172   2720.554991   3943.448747
0.353125   554.005534   1881.063707   2796.613381   3963.085713
0.359375   572.758814   2174.305104   3537.288534   3958.313728
0.365625   554.370885   2083.009168   3283.127678   4006.862819
0.371875   543.940047   1734.835068   2933.659645   3862.781428
0.378125   541.286560   1675.284381   2767.404576   3828.155121
0.384375   581.001829   1792.591883   2978.409719   4081.259409
0.390625   601.415086   1865.188496   3065.833435   3899.950861
0.396875   478.287997   1822.503679   2835.364159   4086.482457
0.403125   283.585237   1908.454221   2777.876879   4165.960212
0.409375   500.741013   1878.362757   2746.525689   3879.909229
0.415625   472.039703   1886.822988   2760.442440   3916.862690
0.421875   487.687800   2148.922325   2812.044417   3866.125543
0.428125   431.092376   2070.129862   3192.880344   4259.571511
0.434375   414.056386   1948.399584   3247.356638   4395.491783
0.440625   429.845723   1827.773085   2800.367768   3722.668780
0.446875   482.268666   1975.035286   2724.699283   3555.853312
0.453125   461.501879   2129.278584   3124.350489   3924.590360
0.459375   452.681727   1881.894616   2865.322937   3965.700509
0.465625   475.216377   1847.321373   2812.707017   3965.566659
0.471875   445.312717   2081.357952   2962.765124   4142.577056
0.478125   221.441440   1947.681433   2929.091806   4220.509695
0.484375   1520.924903   2630.477759   --undefined--   --undefined--
0.490625   1681.558738   2686.193064   3616.099174   5050.243416
0.496875   1863.658821   2374.285207   3535.431689   4948.668123
0.503125   1492.061101   2244.813444   3532.181343   4217.045419
0.509375   260.522936   2259.411653   2762.407741   3619.925447
0.515625   248.445131   2261.797841   3020.442725   3670.856154
0.521875   244.001165   2349.149595   3410.661604   3712.178421
0.528125   253.042815   2432.807351   3659.305524   3695.512680
0.534375   247.912256   2232.799910   2984.725585   3656.937237
0.540625   247.303764   2309.693629   3359.423669   3671.620133
0.546875   300.374287   2514.340488   3336.022237   4181.357891
0.553125   352.006275   2401.379011   3130.162056   3984.248007
0.559375   381.035505   2250.785437   2916.039137   3921.937324
0.565625   393.541033   2250.976406   2970.375273   3943.350664
0.571875   397.073043   2259.871461   3051.300839   4040.938886
0.578125   351.318752   2347.597198   3090.391847   4010.647129
0.584375   339.981750   2538.291082   3154.448578   3962.912110
0.590625   342.728204   2508.611402   3105.553546   3803.986847
0.596875   315.436481   2537.506560   3116.278070   3848.558914
0.603125   287.520857   2461.156414   3012.182629   4019.488795
0.609375   279.055236   2412.505416   3037.891021   3909.540453
0.615625   280.516569   2415.115851   3089.836172   3887.110789
0.621875   288.053650   2435.236648   3096.011442   4012.308886
0.628125   290.023727   2436.439296   3043.480361   4059.481128
0.634375   289.671408   2391.006141   3059.762858   4081.435309
0.640625   294.459887   2321.924205   3050.392407   3911.486628
0.646875   300.576173   2355.552417   2793.820863   3575.762898
