Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   449.810505   1788.111446   2846.138144   4125.293951
0.034375   1544.120392   2668.937920   --undefined--   --undefined--
0.040625   1423.151285   2682.175976   3805.970981   4342.564663
0.046875   1168.626248   2034.937947   3385.720813   4359.535125
0.053125   1246.286515   2357.252954   3357.284499   4475.161236
0.059375   1126.649840   2421.071928   3374.848285   4602.149047
0.065625   1140.831854   2588.357509   3507.959570   4764.989751
0.071875   1291.119026   1461.603861   2833.560587   3764.697247
0.078125   1061.444998   1922.486923   2945.492528   3890.793162
0.084375   985.437547   1979.849921   3011.933574   4051.048139
0.090625   1213.935603   1857.333309   2880.597404   4228.696285
0.096875   1228.920843   1860.624140   3080.317682   4062.941150
0.103125   1007.568447   1927.986806   3118.103859   4082.814029
0.109375   971.071867   2164.040418   3071.483685   4192.990352
0.115625   1026.063765   2247.134051   3085.238921   4027.253449
0.121875   1154.651354   2473.760031   2792.540693   3899.918258
0.128125   1279.247480   2222.306883   2784.417282   4044.495941
0.134375   1348.432449   2729.739950   3718.282955   5089.820737
0.140625   1367.404965   2482.118539   3513.417852   4716.451399
0.146875   1221.355198   2274.589797   3439.321124   4260.284027
0.153125   1171.996726   2047.862975   3147.526895   4200.199014
0.159375   1161.089490   2106.260209   3338.257656   4193.472390
0.165625   1280.327251   2113.974420   2990.867589   4051.864440
0.171875   1387.377335   2041.630239   2865.291151   4131.911539
0.178125   1243.746377   2149.298881   3114.204701   4169.372234
0.184375   1604.188640   2950.475635   --undefined--   --undefined--
0.190625   1627.539509   3027.576785   3509.352274   4824.656369
0.196875   835.995365   2069.394906   3173.541332   4306.508388
0.203125   1029.732133   2041.666401   3160.001743   4300.904730
0.209375   1149.389797   1868.651298   3203.575922   4224.471315
0.215625   1084.494324   1779.238198   3185.159714   4173.230125
0.221875   942.378093   1933.783131   3233.605241   4047.828604
0.228125   1058.984358   2068.111285   3252.415259   4005.442892
0.234375   1111.208594   2117.841310   3130.204527   4057.600616
0.240625   1077.093985   2370.851690   3284.812858   4136.547152
0.246875   1266.079131   2241.815244   2877.958779   4003.020748
0.253125   1695.868326   2869.278830   --undefined--   --undefined--
0.259375   950.653624   2015.085913   2956.917074   4321.992436
0.265625   1114.909431   2191.406087   3365.784064   4630.971605
0.271875   1073.869350   2249.721947   3506.157933   4711.770046
0.278125   1188.474318   2262.940055   2963.852508   4129.513333
0.284375   1456.842011   2932.289065   3989.660734   4209.720490
0.290625   1345.957836   1862.807154   3085.065572   4036.852065
0.296875   1335.885041   1910.805612   3284.370329   3915.555793
0.303125   1411.398965   2675.145347   3564.942872   4339.894260
0.309375   952.836687   2084.254470   3138.357921   4116.814579
0.315625   1078.076557   2073.401565   3223.775343   4044.256192
0.321875   1093.393309   1991.749180   3076.980569   4047.265704
0.328125   1138.255013   2059.515196   3101.576383   3999.254941
0.334375   1279.951002   1558.415222   2976.855218   3887.269493
0.340625   1367.847211   1828.007401   3164.496037   3914.673808
0.346875   1074.256499   2230.156446   3209.463994   3990.929026
0.353125   975.627720   2326.325843   3184.778289   4090.727562
0.359375   1011.898628   2105.972527   2882.719010   4166.061907
0.365625   1266.529457   2361.929542   2602.616475   4210.808900
0.371875   1225.301321   2367.839926   3584.094443   4713.427058
0.378125   1050.629854   2071.084995   3387.274438   4522.470323
0.384375   1145.084793   2023.807971   3382.760709   4188.952534
0.390625   1103.303033   2064.157346   2975.650793   4041.914929
0.396875   1295.245214   1955.022758   2851.014376   4086.504004
0.403125   1385.390841   1795.140551   2975.303560   4192.783755
0.409375   1392.115765   1713.357823   3176.504966   4029.351464
0.415625   1416.316117   1719.444787   3024.195667   3889.251445
0.421875   1188.012401   2195.024757   2915.676456   4177.817554
0.428125   1184.164882   2065.359573   3025.088182   4226.294621
0.434375   1136.990183   1998.553750   3094.966743   4141.611529
0.440625   1118.228721   2205.704348   3140.957106   3797.939159
0.446875   1103.704438   1848.026351   2962.915563   4092.752808
0.453125   807.917545   1830.252960   2911.684488   4151.804312
0.459375   955.265673   2300.468307   3269.041538   4269.098154
0.465625   917.834077   2239.511956   3142.309940   4363.757474
0.471875   1047.473047   2160.312955   3087.991443   4218.976588
0.478125   982.076188   1984.736418   3129.455050   4213.400321
0.484375   1194.129743   1911.647685   3044.685912   4176.131272
0.490625   1212.857412   2245.578472   3189.919309   4279.880319
0.496875   947.892360   2078.631828   3211.806767   4089.759290
0.503125   1017.332809   1873.238131   3135.671465   4074.002855
0.509375   1128.201626   2141.110643   3040.679952   4089.340570
0.515625   1188.559471   2146.817635   2869.400854   4016.334657
0.521875   779.415466   2055.566661   2882.170724   3850.431843
0.528125   706.418311   2071.116713   2756.850711   4053.167057
0.534375   695.820407   2030.351141   2701.420947   4070.640747
0.540625   671.147847   2028.036216   2728.639898   3939.446077
0.546875   613.064240   2070.312895   2814.353491   3947.033746
0.553125   649.306826   2022.361909   2719.385988   3923.217542
0.559375   651.048328   2039.857120   2725.496015   3909.175319
0.565625   635.851845   2055.970993   2752.419746   3725.783829
0.571875   661.648169   2031.204727   2789.364689   3880.433406
0.578125   554.128836   1956.437197   2648.923902   3802.237372
0.584375   497.794019   1985.435357   2703.200716   3799.985865
0.590625   546.048236   1954.551909   2712.596101   3831.267270
0.596875   620.878566   1920.953991   2670.942679   3972.619233
0.603125   548.382536   1910.757711   3252.346784   4095.786653
0.609375   636.595334   2190.379668   3157.736771   4016.431352
0.615625   876.097074   2284.626489   2552.809289   4230.581317
0.621875   1041.637638   2283.637179   3244.488811   4404.196199
0.628125   1184.323405   2320.814237   3261.840098   4324.438433
0.634375   567.965646   1830.395461   2607.782639   3749.561033
0.640625   640.993608   1939.870960   2693.350581   3954.212984
0.646875   742.186168   1972.906248   2882.010224   4068.667661
0.653125   998.035666   2119.085598   3545.656018   4383.220923
0.659375   592.697864   1954.322837   3177.470946   4324.117392
0.665625   670.356617   1941.536419   3211.677588   4396.896653
0.671875   983.766213   1972.065123   3237.707634   4245.495703
0.678125   1291.366353   1970.578706   2883.860281   4161.727941
0.684375   965.099828   2138.601676   3752.958600   5079.691677
0.690625   734.179927   2090.833338   3148.671251   3651.085761
0.696875   1588.682461   2666.450948   3822.753197   5227.552987
0.703125   767.500952   1754.949072   2574.541784   3836.605988
0.709375   869.045036   1713.885033   2556.638042   3859.620272
0.715625   767.452465   1949.595513   2628.080388   3902.605632
0.721875   1014.896947   1952.095791   3020.244654   4312.893958
0.728125   311.780005   1899.141196   2827.060325   4061.793925
0.734375   312.239925   2007.674946   2714.173125   4003.786846
0.740625   316.577856   1944.341029   2828.366445   4008.988166
0.746875   316.650257   1931.539620   2837.199724   4088.682659
0.753125   309.117366   2114.460430   2728.680373   4130.249097
0.759375   318.002363   2075.015394   2656.267471   3581.977564
0.765625   346.250768   2168.520575   2724.490247   3859.002889
0.771875   363.582464   2321.352455   2717.823283   4055.013222
0.778125   360.308038   2391.415583   2569.659069   2783.008490
0.784375   361.184765   2414.735291   2796.227710   4123.412882
0.790625   366.912816   2424.712112   2801.416573   3975.861452
0.796875   363.977232   2446.227038   2829.672360   4033.794546
0.803125   368.431786   2452.471062   2835.347871   3952.505920
0.809375   365.094365   2454.469849   2846.480646   3998.225217
0.815625   371.230866   2453.442431   2867.085472   4252.031532
0.821875   381.305912   2450.515136   2957.212516   4261.458190
0.828125   368.533833   2441.772915   2969.105487   4255.418137
0.834375   354.223399   2503.288477   2927.023859   4392.406563
0.840625   350.330201   2471.997610   2784.447924   4342.556170
0.846875   361.943174   2383.427874   2877.502204   4358.702989
0.853125   361.934841   2267.519633   2769.879751   4325.757846
0.859375   352.254932   2232.378733   2853.268449   4331.549588
0.865625   370.949936   2364.272455   2809.098203   4240.274680
0.871875   403.998435   2387.455397   2743.407125   4230.728983
0.878125   366.616628   2343.612135   2963.699318   4270.354289
