Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   770.644739   2162.994415   2958.467140   4406.393531
0.034375   668.952452   2080.731440   2772.203483   4135.195964
0.040625   579.651428   2098.177838   2677.514595   3922.936659
0.046875   129.061592   2160.791227   2494.282104   3864.638648
0.053125   1260.135303   2364.145547   3038.661226   4607.481443
0.059375   1522.696903   2486.009862   3252.801098   4702.114399
0.065625   1960.133847   2495.206254   3941.202074   4934.599990
0.071875   156.376657   2103.486175   2638.100835   3985.472317
0.078125   276.839334   2150.756411   2602.115212   4088.970668
0.084375   601.519776   1951.355785   2378.263334   3907.299359
0.090625   599.520257   2286.039999   2467.185114   3992.378968
0.096875   653.635710   2243.428474   2948.218502   4010.587717
0.103125   952.995980   2350.464930   3224.273696   4865.413679
0.109375   1436.362267   2366.659756   3257.728666   4668.173077
0.115625   1622.082843   2421.873464   3583.073403   4800.475347
0.121875   776.369931   1863.458326   2504.695167   3954.366939
0.128125   867.130356   2128.290092   2727.748378   4326.990007
0.134375   853.085213   2360.227395   2923.393977   4480.646419
0.140625   1150.142548   2290.562924   3228.855503   4555.707612
0.146875   1266.647795   2220.029491   3065.479342   4519.834392
0.153125   706.667564   2220.061459   2693.546132   4086.468319
0.159375   538.667928   2022.538367   2700.536376   4172.261082
0.165625   498.110147   2088.338855   2676.956540   4093.206307
0.171875   648.458376   2442.599446   2469.557896   4118.558156
0.178125   762.717600   2473.903929   2704.731001   4306.507210
0.184375   871.713581   2480.334273   3006.323457   4380.538058
0.190625   737.566618   2408.381644   2686.970443   4063.517174
0.196875   557.748716   2393.593349   2837.885231   4106.900946
0.203125   643.524431   2388.972125   3442.803605   4744.106211
0.209375   2160.863322   2799.650279   4446.434521   4869.376271
0.215625   1128.959624   2810.166796   3485.221986   4394.740996
0.221875   1162.786039   2850.306961   3571.324814   4551.577173
0.228125   971.121125   1540.880257   2909.419364   3482.750779
0.234375   763.648949   2017.874146   2921.166483   3526.548171
0.240625   590.823981   1809.638642   2753.757381   3558.013708
0.246875   709.221168   1853.546145   2753.079744   3775.944909
0.253125   659.202588   2036.126759   2745.771792   3812.838870
0.259375   748.082309   2033.950693   2846.118399   3674.003780
0.265625   815.460399   2099.130202   2937.963810   3728.474831
0.271875   926.278551   2129.132441   2925.101647   3645.532294
0.278125   855.384817   2152.518137   2860.518187   3741.739350
0.284375   1256.061427   2302.731246   3129.014516   4239.569494
0.290625   739.587682   2296.958822   3038.762021   4067.522241
0.296875   844.019784   2261.329149   2896.773807   4056.398728
0.303125   938.863379   2201.018655   2880.568927   3870.637905
0.309375   885.877006   2140.868901   2897.447827   4173.019828
0.315625   1037.783693   2387.695633   3118.036470   4328.580875
0.321875   1092.573318   2352.686053   3131.577419   4302.300263
0.328125   763.333542   2276.203629   2351.660711   3633.195068
0.334375   655.832337   2148.822908   2777.469217   3888.423330
0.340625   620.949191   2167.351683   2860.948392   4084.238920
0.346875   709.845617   2122.750926   2974.128867   4219.735933
0.353125   653.311910   2080.146652   3119.093295   4236.501463
0.359375   806.841987   2263.894667   3111.313729   4187.054968
0.365625   987.023080   2284.004149   3659.431787   4567.366883
0.371875   526.754689   1831.192611   2706.921910   3868.503659
0.378125   650.529498   1851.363185   2887.214533   4112.970969
0.384375   735.007083   1820.171866   2984.585589   4188.049314
0.390625   770.923856   1861.689796   3002.581853   4272.165097
0.396875   802.731524   2064.152851   3114.108988   4316.893385
0.403125   846.355649   2129.027316   2983.715725   4197.367423
0.409375   793.381157   2075.984124   3001.976890   4242.385747
0.415625   672.445300   1910.271350   2919.202017   4241.313337
0.421875   674.703101   1884.738911   2842.596943   4112.142537
0.428125   704.559885   1909.654006   2741.937805   4003.198947
0.434375   646.695969   1838.533427   2745.690702   3812.666854
0.440625   663.420588   1841.429607   2765.446737   3811.434415
0.446875   724.291948   1935.542161   2689.712410   3627.810718
0.453125   855.575306   1965.540552   2525.061559   3724.141271
0.459375   790.952118   2049.114048   2759.835424   3841.991087
0.465625   783.689779   2080.739514   3089.633880   4023.360414
0.471875   693.090110   2116.803780   3010.512469   4163.066336
0.478125   902.409311   1683.066111   2720.339272   4370.163023
0.484375   733.288416   1839.507500   2841.603135   4514.006517
0.490625   576.015137   1895.788394   3078.251250   4509.806408
0.496875   649.037047   1824.960809   3084.348333   3872.699715
0.503125   869.753662   1838.380478   3231.244854   4341.051056
0.509375   946.158495   1894.090323   3102.964837   4158.751131
0.515625   1097.986974   2103.599465   3230.473519   4450.613763
0.521875   1547.819195   1822.026035   3136.876362   4400.670095
0.528125   1201.100813   2267.044832   3461.635989   4374.938526
0.534375   612.734612   2136.798613   2926.695249   3903.045767
0.540625   561.879749   2132.570441   3017.417157   3881.877608
0.546875   528.606512   2067.320841   2819.620545   3867.590247
0.553125   390.876695   1742.693063   2711.456451   4097.959343
0.559375   401.679258   1958.611666   2899.282874   4221.112005
0.565625   399.869343   1970.062901   2789.059168   4227.248541
0.571875   382.567445   2057.059523   2279.834832   2832.217441
0.578125   372.157076   1978.327772   2702.326263   2813.412148
0.584375   378.757617   1898.266279   2804.749124   3051.084434
0.590625   379.872172   1843.222980   2776.549080   3121.357641
0.596875   373.051672   1722.025103   2650.290130   3156.350961
0.603125   363.751786   2145.730808   2619.210754   3041.458838
0.609375   341.388816   2628.311395   2658.304625   4112.417743
0.615625   314.760394   2517.908278   2637.923309   4074.758920
0.621875   328.806946   2286.559509   2655.899757   3825.110087
0.628125   437.055615   2008.464681   2669.448721   3864.998399
0.634375   488.952838   2073.784497   2707.601663   4074.290561
0.640625   508.238697   2186.044776   2773.357719   4072.919698
0.646875   509.596295   2266.552825   2800.097668   4081.866968
0.653125   482.660612   2272.621939   2815.899193   3979.916283
0.659375   463.228916   2240.752433   2831.887033   3819.653850
0.665625   455.243270   2250.548338   2864.750709   3812.501011
0.671875   432.444305   2276.814268   2880.444530   3879.804348
0.678125   406.331279   2279.999685   2913.613316   3917.614299
0.684375   389.148654   2284.369331   2952.536588   3869.313959
0.690625   368.281475   2308.308447   2934.705346   3900.990539
0.696875   361.935174   2326.304137   2928.189768   3965.543756
0.703125   357.336077   2328.507546   2909.855600   3988.294652
0.709375   342.312911   2296.897648   2858.163719   3989.662488
0.715625   338.125793   2209.541671   2843.435885   4009.256437
0.721875   337.213392   2210.733359   2858.001352   4037.068738
0.728125   338.555431   2232.923361   2886.886330   3996.308698
0.734375   339.177185   2196.550646   2837.885960   3992.638593
0.740625   336.236406   2077.264731   2723.677949   3863.682642
0.746875   339.775373   2107.830977   2764.316097   3910.132010
0.753125   360.548975   2083.252105   2914.681319   4062.009952
0.759375   382.549796   2113.113671   2905.516697   4133.405348
0.765625   354.721829   2097.867147   2854.168033   4151.095569
0.771875   357.302123   2168.255329   2848.724208   4131.900061
0.778125   370.336255   2323.617595   2784.981353   4004.414551
0.784375   351.502862   2213.080582   2942.254291   4047.851021
0.790625   320.633705   2208.885486   3052.229299   4149.205086
0.796875   2275.115718   3018.171800   4092.316975   5111.790855
0.803125   265.690792   2350.378157   2901.437436   4189.838443
0.809375   660.808130   2295.495537   2812.918858   4125.241569
0.815625   750.312345   2132.876582   3048.944283   4123.195416
0.821875   772.825606   2231.991983   2922.998180   4136.603019
0.828125   824.508474   2366.219394   2963.283423   4050.325462
0.834375   776.249506   2343.220380   2813.184456   3976.843451
0.840625   945.958111   2329.076458   2695.491266   4097.914268
0.846875   1083.125537   2486.880113   2998.395858   4153.860160
0.853125   1396.988076   2572.807077   --undefined--   --undefined--
0.859375   1317.153691   2354.518264   3592.606867   4030.134326
0.865625   1250.770052   2388.561563   3837.232988   4303.093390
0.871875   1020.414515   2076.392892   2627.621546   4662.467271
0.878125   814.968529   1496.918518   2807.857895   4591.183723
0.884375   939.352236   1561.916898   2793.429665   4303.947486
0.890625   996.637305   1699.296996   2809.465901   4241.886213
0.896875   783.665204   1612.992459   2813.552108   4201.534898
0.903125   626.041011   1569.136725   2797.950175   4266.230587
0.909375   742.109769   1494.323687   2679.165931   4207.516441
0.915625   1403.894775   2517.904660   --undefined--   --undefined--
0.921875   1398.771444   2591.293662   3777.692348   5271.450545
0.928125   604.155734   1533.434447   2746.528209   3947.730766
0.934375   870.616465   2071.358642   2408.511016   4213.651933
0.940625   730.598711   2137.883966   2405.345294   4017.963640
0.946875   640.551320   2030.487088   2443.346641   3940.161885
0.953125   568.034787   2001.036598   2506.209497   4044.413237
0.959375   469.286689   1871.311776   2608.952566   3916.608422
0.965625   541.074602   1935.105974   2619.739152   3800.055968
0.971875   569.393572   1923.536835   2634.562016   3734.391484
0.978125   578.773584   1668.238335   2567.710843   3614.075747
0.984375   605.211453   1468.785855   2535.171406   3569.810473
0.990625   659.813844   1519.505910   2567.262446   3555.727954
0.996875   667.655016   1563.609458   2559.080299   3565.027883
1.003125   669.717245   1588.746824   2504.436031   3553.170343
1.009375   696.445017   1581.111659   2417.739219   3448.501621
1.015625   711.025676   1556.072920   2356.939958   3411.192197
1.021875   706.996863   1487.774387   2313.200049   3377.563180
1.028125   709.180588   1463.056750   2267.791546   3349.550469
