Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   813.121480   2444.658736   3784.634150   4103.532233
0.034375   421.661587   1706.531895   2610.361150   3750.453845
0.040625   425.544801   1847.051649   2770.564452   3840.893585
0.046875   412.690000   1842.459084   2905.717407   3859.424848
0.053125   450.910046   1905.631014   3178.164514   4095.988652
0.059375   433.851131   1997.885517   3171.152785   4248.759188
0.065625   587.559389   1890.185434   2955.404614   4180.310015
0.071875   626.142913   1992.201639   3180.188453   4241.448613
0.078125   687.765237   2001.366054   3212.605813   4305.070160
0.084375   590.331914   1856.217963   3109.963668   4222.327380
0.090625   609.358117   1871.024519   3265.532040   3592.228581
0.096875   651.582468   2011.121918   3361.820940   4666.022510
0.103125   593.904450   2124.745432   3626.398071   5038.728280
0.109375   532.468292   1907.928481   3374.074632   3650.318297
0.115625   557.506213   1939.235790   3272.311155   4255.322737
0.121875   761.200004   1924.808293   3185.814385   4105.254250
0.128125   945.599712   1942.026679   3150.345257   4112.899381
0.134375   397.654248   1910.074832   2958.053766   4058.570821
0.140625   749.309392   2036.146829   3525.088327   4062.319012
0.146875   808.172729   2099.358990   3578.318388   4215.145646
0.153125   829.984699   2103.104129   3604.349764   4347.172670
0.159375   485.174163   1856.891381   3249.572461   4260.805936
0.165625   307.825600   1628.693795   2936.317636   4101.820310
0.171875   620.897337   1840.154814   3306.678454   4244.328684
0.178125   355.220750   1841.408451   3285.336548   4357.823682
0.184375   343.509157   1971.752921   3585.006944   4282.799291
0.190625   617.050232   2176.848330   2777.664972   3936.980271
0.196875   386.116788   1189.016691   2587.441671   3808.529869
0.203125   453.887163   1328.911541   2671.761431   3851.819350
0.209375   522.760957   1529.554940   2688.695935   3953.966856
0.215625   803.172391   2437.112411   3023.245687   4043.962632
0.221875   692.436364   2342.230050   3479.805648   3945.098123
0.228125   921.555608   2746.083140   3334.192390   3987.665030
0.234375   1036.301488   2064.482405   3335.472440   4066.278948
0.240625   984.957227   1920.325737   3564.215221   4088.457187
0.246875   1010.818414   2112.706215   3568.216719   4540.589047
0.253125   1296.068803   2601.598027   3848.934642   4993.353757
0.259375   530.511995   1328.596260   2507.898849   3859.637966
0.265625   455.500606   1294.834285   2525.035012   3797.805237
0.271875   1239.640147   2564.577508   3873.023726   4888.053092
0.278125   563.483315   1596.783221   2601.379457   3891.305679
0.284375   563.273621   1275.595972   2561.631755   4013.336941
0.290625   914.221844   2448.709286   --undefined--   --undefined--
0.296875   1251.158278   2432.865407   3834.815071   5083.500051
0.303125   1331.656656   2403.585134   3772.980977   5278.025562
0.309375   1291.635965   2229.935497   3611.948883   3823.763476
0.315625   476.056385   1815.805884   2643.793468   4007.667095
0.321875   476.926977   1680.943819   2572.133627   3951.673502
0.328125   409.976561   1493.390163   2569.526465   3915.221560
0.334375   351.567375   1536.496288   2719.510696   3884.921115
0.340625   287.899696   1614.217180   2754.570951   3901.716641
0.346875   432.267077   1604.307216   2751.733458   3906.079541
0.353125   374.978793   1623.059982   2819.775004   3803.993009
0.359375   297.478353   1622.182044   2807.832991   3740.085613
0.365625   146.363284   1576.045732   2961.195732   3864.385169
0.371875   287.812893   1563.741553   2794.460638   3817.846306
0.378125   293.728671   1630.498174   2768.317285   3804.239649
0.384375   363.538233   1817.542730   2494.436290   3862.519146
0.390625   313.509967   1729.045378   2605.463790   3935.999707
0.396875   1075.662281   2526.546438   --undefined--   --undefined--
0.403125   755.968782   2173.677693   3435.421662   4014.969072
0.409375   433.610136   2144.438660   2156.357477   3859.834867
0.415625   224.359774   1827.397739   3237.641285   4012.501998
0.421875   413.010103   1598.912403   3029.953341   3884.988648
0.428125   1365.049323   2837.824653   3769.460236   4877.273797
0.434375   1129.297166   2252.724521   3670.896719   4674.122259
0.440625   1130.632080   2267.582387   3889.724512   4140.013400
0.446875   1660.013507   2697.929407   3976.928288   4818.298969
0.453125   378.638607   1794.919562   2587.483258   3938.458092
0.459375   444.577434   2009.986478   2405.959113   3942.741311
0.465625   465.517602   1771.061156   2663.826515   3939.418358
0.471875   488.468500   1708.269388   2829.743721   3867.801503
0.478125   383.900816   1562.973380   2847.245265   3860.665434
0.484375   336.478067   1327.980107   2893.897620   3644.683690
0.490625   363.315815   1482.044144   2508.581118   3086.984609
0.496875   418.208154   1476.314791   2491.132156   3064.067899
0.503125   459.354871   1548.716557   2707.128188   3078.252892
0.509375   484.797153   1620.775435   3046.113030   4145.643617
0.515625   502.887194   1624.779287   3036.132621   4112.366682
0.521875   519.736899   1617.590460   3132.300678   4098.038637
0.528125   519.358951   1649.900891   3077.931916   4109.735625
0.534375   442.410300   1688.549634   3026.017552   4059.504861
0.540625   385.345489   918.763974   2772.240908   3905.731074
0.546875   334.966460   1417.426490   2918.769101   3709.628151
0.553125   341.682431   1566.290567   3111.676486   3141.592797
0.559375   348.963880   993.776351   2582.796797   3139.571371
0.565625   315.818141   2470.268115   3129.106107   4386.562076
0.571875   284.526351   2120.555220   3106.664507   4420.145700
0.578125   410.822904   1980.864710   3094.975597   4368.962464
0.584375   445.734018   2043.334736   3007.972520   4337.626117
0.590625   457.893540   2135.302603   3011.028867   4334.430298
0.596875   456.339429   2233.178124   3070.143129   4584.797123
0.603125   442.005498   2408.029409   3107.772939   4727.943995
0.609375   458.066004   2518.890922   3178.881453   4789.356778
0.615625   462.866917   2536.596285   3103.892308   4718.835333
0.621875   449.625906   2542.674126   3091.178533   4584.291760
0.628125   431.465914   2506.085708   3037.967594   4382.413364
0.634375   397.111481   2553.569482   3070.524722   4372.739511
0.640625   436.391707   2600.769355   3097.935910   4522.294536
0.646875   461.417779   2616.251573   3365.707874   4552.744650
0.653125   467.065920   2629.862430   3367.714094   4357.645359
0.659375   463.819258   2606.739890   3334.700423   4206.577083
0.665625   466.072311   2606.224000   3210.054103   4115.944584
0.671875   467.940282   2809.701714   2888.881179   4090.710623
0.678125   459.198164   2786.104220   2800.141446   4069.937892
0.684375   435.510888   2686.314979   2850.390055   4093.330953
0.690625   397.665761   2526.010578   3197.735121   4402.847994
0.696875   377.207212   2514.121950   2808.630047   4169.827781
0.703125   336.870564   1862.658671   2895.088949   4046.683839
0.709375   314.087751   877.300751   2939.563438   2982.179197
0.715625   319.782981   2112.940018   3018.135521   4335.141820
0.721875   310.014934   2031.818268   3014.874781   4344.540441
0.728125   292.985310   2007.067184   3092.222302   4492.968792
0.734375   287.238091   1992.665875   3170.692285   4456.995965
0.740625   293.989213   2036.190167   3359.417830   4455.911565
0.746875   307.001959   2179.333439   2295.997275   3940.011756
0.753125   325.669135   2127.688153   2739.474275   3970.369906
0.759375   345.256288   2068.772916   2959.681448   4457.833369
0.765625   351.958056   2090.720929   2942.680531   4460.981046
0.771875   322.485310   2067.188953   2975.333665   4130.988965
0.778125   309.320851   2047.586443   2857.322460   4180.801296
