Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1137.554831   2001.233232   3173.322915   4169.087455
0.034375   1207.237876   2129.640914   3226.897460   4184.487407
0.040625   1316.835260   2255.933427   3429.344752   4446.246850
0.046875   1478.836404   2374.168763   3362.003985   4448.139599
0.053125   1126.790507   1925.110659   3168.813695   4302.914338
0.059375   1140.580870   2157.783155   3296.281327   4159.791763
0.065625   1129.830539   2066.579340   3073.393284   4044.627732
0.071875   1210.773973   2235.053075   3313.827194   3919.814289
0.078125   1244.908096   2395.706662   3591.820630   4568.420701
0.084375   1244.663896   2325.749319   3561.074463   4503.569891
0.090625   1314.666539   2270.538115   3508.994785   4466.830250
0.096875   1261.555222   2161.747441   3430.818444   4140.154732
0.103125   996.283767   2136.409968   3311.821417   4143.790660
0.109375   1028.845227   2187.436972   3451.577251   4353.787233
0.115625   1145.698865   2097.133549   3393.879533   4387.812003
0.121875   1582.794256   2501.839378   3740.796049   4150.584489
0.128125   1495.903936   2612.204604   3652.000951   4424.181571
0.134375   1393.678157   2503.616894   3668.075832   4269.138305
0.140625   1315.804312   2486.568228   3562.791662   4370.204834
0.146875   1386.826514   2591.206222   3493.848505   4427.580373
0.153125   1252.941499   2486.792383   3424.086950   4385.066602
0.159375   1282.546948   2417.466837   3444.651837   4429.991911
0.165625   1399.709253   2267.246704   3215.421705   4339.745638
0.171875   1176.517105   2023.847136   3217.102130   4387.483389
0.178125   941.248668   2108.110208   3165.751025   4355.190511
0.184375   1119.432741   2390.402814   3220.425289   4314.625536
0.190625   1227.705145   2518.833845   3293.370171   4279.416739
0.196875   1402.982827   2675.793001   3266.581666   4270.513422
0.203125   1533.514577   2408.490701   3595.403834   4499.772783
0.209375   1320.573210   2291.255623   3547.265888   4542.628519
0.215625   1148.744962   2278.045727   3443.214407   4497.977174
0.221875   1215.184221   2365.218688   3464.592793   4599.820415
0.228125   1200.534805   2391.024684   3417.328034   4601.427052
0.234375   1172.543729   2279.917900   3331.282652   4548.423254
0.240625   1120.487404   2169.981892   3244.881992   4498.918611
0.246875   1104.236671   2105.539371   3201.497382   4402.424957
0.253125   1097.099178   2119.687998   3210.233174   4311.388101
0.259375   1162.920395   2170.977864   3560.425671   4272.315267
0.265625   1117.843083   2268.130050   3367.513913   4326.951946
0.271875   1055.577243   2286.933791   3372.649648   4438.499760
0.278125   1122.614488   2341.872247   3402.498568   4433.410962
0.284375   1167.713588   2319.606397   3164.159562   4338.191808
0.290625   1305.435340   2492.177595   3479.330756   4419.429135
0.296875   1201.575674   2212.359496   3257.778632   4103.938018
0.303125   1224.417623   2156.224627   3236.937297   4319.729326
0.309375   1211.579999   2210.558594   3296.323848   4250.200201
0.315625   1112.625855   2269.623407   3448.458515   4369.042404
0.321875   1147.303466   2225.120505   3437.308547   4503.936778
0.328125   1147.414240   2149.763172   3411.984750   4397.637917
0.334375   1203.784365   2248.700361   3462.504066   4469.072986
0.340625   1117.115324   2308.730459   3427.546584   4423.650610
0.346875   944.196767   2194.823127   3066.270792   4252.743933
0.353125   967.462153   2100.794755   3130.339416   4272.162599
0.359375   1038.223197   2042.257110   3186.098953   4330.038536
0.365625   1124.004384   2134.719794   3146.934358   4456.306511
0.371875   1231.759145   2355.453093   3213.363167   4445.107581
0.378125   1170.258817   2435.137096   3238.233899   4362.731156
0.384375   1152.263818   2418.429022   3413.603666   4463.079853
0.390625   1293.830981   2308.195888   3269.107794   4391.638538
0.396875   1212.361619   1982.421698   3036.645462   4201.428587
0.403125   1083.151481   2102.648281   3189.950507   4392.558391
0.409375   1074.525565   2173.100033   3231.620695   4483.112096
0.415625   1226.315113   2473.007068   3404.316799   4578.267875
0.421875   1239.983424   2216.145833   3197.985610   4016.662434
0.428125   1262.233814   2178.076663   3142.402298   4308.177677
0.434375   1223.365859   2498.697188   3115.227466   4198.901060
0.440625   1139.924700   2439.949179   3397.737530   4300.287425
0.446875   1149.820546   2266.985676   3352.801414   4286.217913
0.453125   1268.241363   2093.986720   3128.199673   3974.290681
0.459375   1349.027882   2018.924626   3174.802423   4040.017720
0.465625   1243.232486   2007.581464   3411.926970   4007.151622
0.471875   1530.936983   2534.090118   3532.780999   4477.145355
0.478125   1410.046089   2340.482217   3458.167752   4501.702373
0.484375   1256.520002   2306.567422   3254.992104   4414.423954
0.490625   1324.773997   2091.715856   3155.148694   4381.926783
0.496875   1212.535354   2239.501734   3185.530069   4393.720645
0.503125   1242.744953   2061.635487   3167.043080   4366.861081
0.509375   1489.617579   2387.090734   3340.066142   4475.071964
0.515625   1408.591439   2310.423690   3269.340656   4426.337661
0.521875   999.371037   2178.332616   3262.797718   4370.782600
0.528125   433.210023   1834.323651   2824.188955   4032.809434
0.534375   541.854799   1685.355519   2743.998432   3957.849223
0.540625   724.293403   1530.483225   2707.667855   3866.535568
0.546875   785.472441   1559.509186   2832.523690   3782.800633
0.553125   1086.201159   2365.355532   3607.539230   4444.678598
0.559375   1200.340956   2264.664454   3441.668318   4528.780890
0.565625   1082.254281   2189.659324   3493.125475   4546.243228
0.571875   1020.615184   2095.562719   3360.682029   4241.493901
0.578125   1501.890868   1670.559602   3124.864522   4103.637170
0.584375   1106.013636   1851.031048   2656.325038   3845.841049
0.590625   1114.128146   2032.383626   2408.093379   3779.355521
0.596875   1133.231907   1775.509971   2089.968288   3698.505019
0.603125   2151.995012   2235.157859   3511.503245   4662.784729
0.609375   285.222727   2105.474669   2763.842462   3768.328265
0.615625   322.521536   1864.461071   2815.851051   3508.576736
0.621875   343.182525   1817.603986   2775.034166   3443.914466
0.628125   335.001355   1851.207150   2779.963938   3490.136860
0.634375   326.351226   1880.767580   2754.057158   3544.362860
0.640625   303.114005   1898.383196   2761.469170   3559.826721
0.646875   298.283316   1892.150331   2746.699705   3554.051906
0.653125   340.059417   2119.820084   2789.808738   3778.899145
0.659375   420.356802   2103.020170   2824.038392   3968.903105
0.665625   447.383622   2144.060606   2822.312160   4282.326935
0.671875   456.647487   2186.016089   2858.784021   4268.084317
0.678125   460.038357   2195.836925   2884.268310   4300.050575
0.684375   466.168091   2206.631159   2877.262498   4339.719342
0.690625   463.969527   2252.687344   2897.055528   4407.176990
0.696875   462.290589   2265.119106   2914.679243   4403.796498
0.703125   458.507268   2245.538812   2907.912262   4455.409959
0.709375   449.831393   2215.415178   2919.976902   4530.790948
0.715625   433.042623   2197.224666   2907.833191   4640.283017
0.721875   331.961026   2156.682425   2980.324770   4603.376592
0.728125   280.806168   2175.303887   3154.632386   4659.975668
0.734375   327.983492   2114.769779   2961.085071   4026.535155
0.740625   316.211115   2101.400850   2987.824538   4027.607003
0.746875   2060.679252   3039.906908   4072.360960   4830.628719
0.753125   2116.173550   3352.111983   3645.140640   4807.329182
0.759375   2084.037759   3046.745157   3804.934365   4870.906657
0.765625   1811.309505   2992.645047   3612.490276   4846.134957
0.771875   1801.859006   3126.050187   3734.671378   4778.389054
