Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1258.158061   2684.411020   3873.732270   5047.082178
0.034375   1311.375787   2579.291809   3686.308680   4890.227588
0.040625   272.292764   1886.374283   3483.087620   4840.631661
0.046875   271.781925   2018.195109   3236.401552   4679.840358
0.053125   276.711431   1767.426239   3094.616078   4632.720743
0.059375   300.615685   2149.788664   3080.042189   4567.206662
0.065625   394.722496   2381.119616   3047.398521   4504.204630
0.071875   297.830659   2263.307662   3070.752048   4532.316000
0.078125   288.402051   1940.261450   3037.633159   4444.068882
0.084375   267.544749   1735.951280   2773.044390   3944.026357
0.090625   272.086076   1679.760452   2870.232816   3732.615811
0.096875   257.157494   1758.985480   2970.880052   3733.848681
0.103125   257.667653   1883.325819   2914.458355   3796.165978
0.109375   239.232163   1852.288163   3080.518327   3902.547921
0.115625   254.758526   1831.217249   3109.568284   4173.207808
0.121875   268.893465   1891.871636   3287.407947   4378.533695
0.128125   230.086601   1762.710868   3019.268810   4303.006945
0.134375   281.157429   1705.950095   2997.313828   4009.490832
0.140625   287.965586   1690.050140   2967.856823   3959.641725
0.146875   269.086072   1775.245072   2842.727688   3786.879858
0.153125   239.178482   1909.184774   2851.567963   3909.888141
0.159375   269.316795   2022.386403   2784.382701   3986.835539
0.165625   186.971563   2048.428973   2856.613900   4043.425395
0.171875   321.936140   2002.594194   2951.156664   4128.723114
0.178125   352.834606   2013.964476   2956.694860   4120.610021
0.184375   337.990810   2087.495894   2994.963657   4109.715953
0.190625   420.345070   2224.834653   3135.121032   4214.609559
0.196875   540.416709   2185.727659   3102.554489   4197.214233
0.203125   594.637588   2196.216782   3128.001998   4287.355689
0.209375   540.739337   2315.726610   3101.935678   4206.054190
0.215625   564.259708   2398.470678   3198.575933   4159.942750
0.221875   666.121552   2329.472304   3504.224521   4728.535366
0.228125   315.715422   1391.157084   2622.824359   3840.492413
0.234375   298.313426   1413.763555   2762.140398   3884.985713
0.240625   213.007077   1452.173566   2653.846189   3996.549578
0.246875   1162.978444   2614.748154   3653.370411   4932.914024
0.253125   238.988328   1445.594753   2740.648908   3734.883935
0.259375   308.762166   1384.084031   2676.809451   3731.578336
0.265625   272.064412   1320.830877   2650.249775   3706.197642
0.271875   220.278937   1262.877144   2564.681000   3785.649404
0.278125   232.027100   1332.012949   2541.442148   3804.992401
0.284375   276.245698   1319.197339   2547.482340   3738.798673
0.290625   222.246471   1248.446195   2581.438724   3825.305217
0.296875   1223.034330   2614.550979   3907.446071   4824.566457
0.303125   958.590000   2415.668520   3502.686050   4928.258045
0.309375   987.692491   2649.748309   3660.491519   4920.268357
0.315625   281.802423   1158.751311   2697.571262   3700.770657
0.321875   267.028991   1273.056982   2712.327397   3759.605899
0.328125   272.719284   1402.850443   2790.517862   3912.121949
0.334375   195.563285   1487.220950   2956.558558   3972.109040
0.340625   1110.057793   2842.268797   3642.032111   4822.767874
0.346875   1038.163084   2421.883154   3243.344950   4696.970729
0.353125   1455.178150   3109.650190   4627.428699   4703.336556
0.359375   1438.765075   2848.502747   4329.483206   5109.617905
0.365625   370.131017   1533.809584   2848.116672   4310.748183
0.371875   365.539980   1538.428284   2961.832689   4164.038652
0.378125   251.684150   1605.336139   3132.051455   3882.683050
0.384375   240.768993   1516.104260   2811.245918   4003.491271
0.390625   270.428740   1272.026874   2717.954121   4192.228696
0.396875   303.328094   1183.589564   2868.140697   3622.504975
0.403125   357.092707   1172.569174   2716.726177   3676.570218
0.409375   265.720322   1080.932198   2675.230533   3783.436493
0.415625   186.617997   1175.810847   2685.376317   3894.589998
0.421875   289.466310   1303.689150   2681.467659   3730.905000
0.428125   292.242239   1236.898861   2665.774499   3648.660312
0.434375   353.051737   1233.082286   2589.261190   3672.368532
0.440625   370.192884   1341.041049   2599.435282   3763.853029
0.446875   400.777614   1249.013899   2638.068198   3686.362763
0.453125   463.286763   1280.835217   2669.876149   3668.043584
0.459375   409.771893   1611.164751   2747.597410   4075.281047
0.465625   364.973569   1595.305511   2756.109702   4236.798834
0.471875   427.916717   1848.651950   2914.954991   4226.276349
0.478125   687.477248   2403.056496   2945.990051   4235.752820
