Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   777.593147   1609.413790   2609.069058   3747.812357
0.034375   735.920871   1649.478446   2629.162670   3715.352680
0.040625   706.718445   1906.222766   2867.203747   3703.577152
0.046875   605.153570   1988.766538   2977.871958   4001.632366
0.053125   552.677380   1960.126343   3313.691558   4222.652398
0.059375   802.950361   2116.658838   3525.758665   4521.720399
0.065625   1279.353081   2326.993416   3758.958508   4801.421549
0.071875   711.087104   2277.923679   2705.932392   4160.610346
0.078125   551.237359   2039.335179   3087.224102   4192.405568
0.084375   562.012290   2008.970737   3340.811857   4246.074914
0.090625   592.837999   2040.221004   3128.245850   4029.544747
0.096875   609.774552   1841.235673   3010.251008   4000.446162
0.103125   623.902203   1785.587595   2870.195045   4007.318320
0.109375   632.171777   1769.318980   2805.476736   3946.815407
0.115625   715.361416   1897.011239   3115.537963   4138.669329
0.121875   706.961666   1866.965622   3273.694223   4073.569937
0.128125   568.587878   2003.536180   3194.984868   4116.473041
0.134375   470.112405   1953.220881   3158.387740   4082.867769
0.140625   458.722753   1908.953460   3019.190845   3864.892073
0.146875   465.081291   1818.155061   3071.173788   3962.917652
0.153125   464.411490   1864.759996   3141.092860   3999.029912
0.159375   459.475332   1921.502465   2985.740728   3979.757300
0.165625   614.582926   2122.376592   3176.167505   4109.935995
0.171875   623.672669   2104.719123   3107.700105   4329.874807
0.178125   579.378016   2148.318606   3040.193892   4361.137631
0.184375   1742.275038   2459.630129   3908.461815   4664.743611
0.190625   701.065644   2075.074277   2770.230646   4056.037594
0.196875   759.027021   1807.174073   2820.767017   4050.037339
0.203125   658.884204   2141.391387   2854.684567   4085.183248
0.209375   512.695249   2033.623873   2884.312085   4101.983629
0.215625   499.680884   1755.300873   2777.511500   4129.476258
0.221875   504.116220   1783.818319   2793.926305   4146.762967
0.228125   530.074005   1766.628164   2814.176584   4126.161522
0.234375   546.783730   1684.839361   2743.724852   4155.505425
0.240625   541.239787   1748.615131   2961.743063   3891.842149
0.246875   466.664581   1846.384827   2859.231472   3785.416172
0.253125   402.141911   1859.685934   2770.921826   3874.286342
0.259375   496.456015   1800.637898   2644.045059   3836.428386
0.265625   528.704172   1963.279126   2888.763272   4003.729642
0.271875   440.855589   2018.959259   3022.805329   4445.543230
0.278125   442.496416   2208.779523   3081.250810   4474.870402
0.284375   428.719011   2033.275592   2983.630213   4278.549995
0.290625   369.405648   1726.243293   2717.244379   3509.633511
0.296875   315.176902   1976.092764   2615.585940   3685.680324
0.303125   459.988158   2084.249514   2736.438320   4273.944474
0.309375   386.527596   2054.251170   2814.501976   4243.213598
0.315625   138.331799   2072.652370   2911.045426   4397.246235
0.321875   1032.244569   2226.116006   3249.483632   4338.385465
0.328125   591.951008   2212.188785   3367.630721   4941.906992
0.334375   406.952236   2093.158627   3160.778189   4147.141198
0.340625   480.788654   2075.056190   3038.408615   3938.998172
0.346875   431.527442   2001.738734   2790.367345   3945.892443
