Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1011.900611   1927.538443   3289.463001   4054.344876
0.034375   1121.660375   1975.516009   3300.731718   4161.069769
0.040625   1203.937619   1962.204492   3452.549417   4283.173477
0.046875   1208.834811   2051.813218   3431.794270   4440.615111
0.053125   1301.973712   2452.624042   3109.839074   4089.037889
0.059375   1390.251606   2353.896718   3195.659386   4201.998910
0.065625   1261.220081   2185.728079   3212.260784   4172.738740
0.071875   1232.411241   2192.958207   3178.751109   4354.219886
0.078125   1205.085022   2278.297194   3208.847409   4245.315235
0.084375   1192.770147   2376.971292   3337.410147   4323.850522
0.090625   1219.630536   2330.413006   3403.416080   4752.501185
0.096875   1184.429116   2233.762846   3493.284046   4539.278331
0.103125   1150.493820   2295.329723   3254.373769   4112.097449
0.109375   1074.520617   1999.598534   3065.676805   4037.149686
0.115625   973.480693   2005.943596   3147.387386   4148.655003
0.121875   1125.285591   2059.728071   3139.340421   4188.867905
0.128125   1340.654355   2236.768048   2969.672070   4020.680281
0.134375   1345.590198   2142.281796   2863.929804   3974.747269
0.140625   1149.346136   2130.089608   3168.626046   3949.764536
0.146875   1178.217948   2200.365137   3239.510981   4037.172289
0.153125   1186.884178   2010.301466   3121.885522   4141.278459
0.159375   1499.876463   2242.090645   2848.376168   3987.546189
0.165625   1035.829874   2051.047757   3175.724135   4164.937896
0.171875   857.353203   2036.403189   3193.501511   4113.567110
0.178125   1170.387683   2202.578990   3151.160914   4123.461274
0.184375   1261.244797   2304.297120   3138.464263   4402.197262
0.190625   1308.542954   2494.125279   3578.929676   5021.424797
0.196875   1366.550566   2556.739104   2813.957159   3923.015950
0.203125   1189.042594   2186.759540   2807.482085   4176.681253
0.209375   1112.420382   2116.583023   3003.593806   4280.342629
0.215625   1153.524488   2035.101082   3143.225696   4319.431631
0.221875   1194.407444   2045.458361   3242.660240   4125.829403
0.228125   1189.995240   2068.807621   3260.382859   4029.046632
0.234375   1259.107521   2280.791459   3209.935339   4023.801262
0.240625   1301.013879   2231.305622   3092.026380   4108.860687
0.246875   1141.680465   2004.263769   3122.077323   4153.078110
0.253125   1054.881432   2051.414246   3225.398013   4225.155291
0.259375   1217.168393   2191.904267   3069.686094   3899.814833
0.265625   1447.344014   1927.889798   3009.257728   3815.358088
0.271875   1153.869522   1979.459837   3265.493062   4242.794058
0.278125   1037.447549   2037.729090   3230.536547   4257.022487
0.284375   1229.332598   2107.800123   3191.901652   4259.957426
0.290625   1137.031548   2226.506782   3076.248362   3937.976801
0.296875   1047.959587   2309.734813   3525.456911   3701.847644
0.303125   1158.888596   2244.434389   3168.269296   3919.556352
0.309375   1034.437089   2121.921161   3079.566152   4126.060864
0.315625   1029.437609   2071.470915   3147.136095   4192.345634
0.321875   1213.294134   2106.474003   3110.036582   4111.518023
0.328125   1132.856292   2266.201294   3381.860320   3837.285585
0.334375   1027.072496   2150.618041   3304.780415   3961.843235
0.340625   1160.268685   2190.357934   3137.869611   4010.412075
0.346875   1216.437669   2215.063257   3595.942393   3734.630372
0.353125   1199.753551   2137.315595   2839.699300   4011.689175
0.359375   1069.659605   1962.956035   2732.308097   4049.667733
0.365625   1079.047457   2161.992522   3004.220545   4064.632307
0.371875   1142.855606   2100.237925   3087.247182   4034.238724
0.378125   1063.148178   2086.125155   3093.271734   4128.320401
0.384375   1029.272421   2096.544953   3172.006870   4192.400388
